update_steps,returned_episode_lengths,returned_won_episode,test_returned_episode,test_returned_episode_returns,_step,loss,test_returned_won_episode,returned_episode,_runtime,grad_steps,test_returned_episode_lengths,returned_episode_returns,qvals,env_step,_timestamp
3,25.357423782348633,0.0,1.0,0.012218037620186806,2,0.0,0.0,0.02278645895421505,58.381595892,0,19.071182250976562,0.2125706821680069,0.0,4608,1747604340.3423085
4,27.527996063232422,0.0,1.0,0.012218037620186806,3,0.0,0.0,0.0221354179084301,58.452117536,0,19.071182250976562,0.22702598571777344,0.0,6144,1747604340.4128547
25,25.135417938232422,0.0,1.0,0.012218037620186806,24,0.0,0.0,0.0240885429084301,59.937812759,0,19.071182250976562,0.21629799902439117,0.0,38400,1747604341.8985875
32,26.335939407348633,0.0,1.0,0.012218037620186806,31,0.02863931655883789,0.0,0.0240885429084301,60.81865432,8,19.071182250976562,0.20171061158180237,0.0625542551279068,49152,1747604342.779391
47,26.33333396911621,0.0,1.0,0.012218037620186806,46,0.02299991250038147,0.0,0.02343750186264515,67.674973302,128,19.071182250976562,0.24268603324890137,0.35123300552368164,72192,1747604349.6356754
69,25.801433563232422,0.0,1.0,0.012218037620186806,68,0.04336349293589592,0.0,0.0240885429084301,77.746768229,304,19.071182250976562,0.2851181924343109,0.5159605741500854,105984,1747604359.7074332
96,26.410158157348633,0.0,1.0,0.012218037620186806,95,0.15436118841171265,0.0,0.02278645895421505,90.131817127,520,19.071182250976562,0.25344035029411316,0.541598916053772,147456,1747604372.0924542
117,25.759767532348633,0.0,1.0,0.012218037620186806,116,0.3889687657356262,0.0,0.0240885429084301,99.77867783,688,19.071182250976562,0.2507582902908325,0.5447503328323364,179712,1747604381.7392676
140,25.568361282348633,0.0,1.0,0.012218037620186806,139,0.3584026098251343,0.0,0.02278645895421505,110.370540493,872,19.071182250976562,0.26507848501205444,0.625724196434021,215040,1747604392.3309524
145,26.330730438232422,0.0,1.0,0.012218037620186806,144,0.3655864894390106,0.0,0.02148437686264515,112.664878314,912,19.071182250976562,0.2653504014015198,0.6415788531303406,222720,1747604394.6254597
151,27.50911521911621,0.0,1.0,0.012218037620186806,150,0.3657888174057007,0.0,0.02083333395421505,115.427687373,960,19.071182250976562,0.2851047217845917,0.6569553017616272,231936,1747604397.3882763
187,27.25716209411621,0.0,1.0,0.012218037620186806,186,0.3560907542705536,0.0,0.02278645895421505,132.030363001,1248,19.071182250976562,0.29545941948890686,0.6973851919174194,287232,1747604413.9909298
191,26.48177146911621,0.0,1.0,0.012218037620186806,190,0.3418949842453003,0.0,0.02148437686264515,133.863455593,1280,19.071182250976562,0.27219367027282715,0.6986781358718872,293376,1747604415.8240411
194,25.292970657348633,0.0,1.0,0.012218037620186806,193,0.333454966545105,0.0,0.02539062686264515,135.248840556,1304,19.071182250976562,0.30391472578048706,0.6929447650909424,297984,1747604417.2093315
223,27.078126907348633,0.0,1.0,0.012218037620186806,222,0.2931663691997528,0.0,0.0240885429084301,148.592201463,1536,19.071182250976562,0.2874804139137268,0.6866763830184937,342528,1747604430.5527601
231,25.848308563232422,0.0,1.0,0.012218037620186806,230,0.2835010886192322,0.0,0.0240885429084301,152.295116444,1600,19.071182250976562,0.2956196069717407,0.694913387298584,354816,1747604434.255734
236,25.287111282348633,0.0,1.0,0.012218037620186806,235,0.2705201804637909,0.0,0.02343750186264515,154.602158912,1640,19.071182250976562,0.32071539759635925,0.6857750415802002,362496,1747604436.5627027
237,26.369792938232422,0.0,1.0,0.012218037620186806,236,0.26839959621429443,0.0,0.02148437686264515,155.066662486,1648,19.071182250976562,0.28587692975997925,0.6886121034622192,364032,1747604437.0272844
277,26.891277313232422,0.0,1.0,0.012218037620186806,276,0.13372614979743958,0.0,0.02148437686264515,173.495706915,1968,19.071182250976562,0.28474298119544983,0.5897558331489563,425472,1747604455.456341
296,26.21224021911621,0.0,1.0,0.012218037620186806,295,0.11894193291664124,0.0,0.02343750186264515,182.265582152,2120,19.071182250976562,0.31634876132011414,0.5736492872238159,454656,1747604464.2262063
301,27.08528709411621,0.0,1.0,0.012218037620186806,300,0.12178841233253479,0.0,0.02343750186264515,184.5645507,2160,19.071182250976562,0.2999298870563507,0.5741506814956665,462336,1747604466.5250256
302,27.535808563232422,0.0,1.0,0.012218037620186806,301,0.11044727265834808,0.0,0.0221354179084301,185.021389656,2168,19.071182250976562,0.30778560042381287,0.5576338768005371,463872,1747604466.9819605
305,25.757814407348633,0.0,1.0,0.012218037620186806,304,0.1135026067495346,0.0,0.0221354179084301,186.398056071,2192,19.071182250976562,0.30557844042778015,0.5639197826385498,468480,1747604468.3585997
326,26.101564407348633,0.0,1.0,0.5052533745765686,325,0.098324254155159,0.0,0.01953125186264515,196.208025692,2360,41.5262336730957,0.31865742802619934,0.5569442510604858,500736,1747604478.1686203
331,25.766277313232422,0.0,1.0,0.5052533745765686,330,0.10268987715244293,0.0,0.02343750186264515,198.514535504,2400,41.5262336730957,0.35500961542129517,0.5570166110992432,508416,1747604480.4750662
339,26.990886688232422,0.0,1.0,0.5052533745765686,338,0.09259350597858429,0.0,0.02083333395421505,202.210551513,2464,41.5262336730957,0.3125980496406555,0.5501546859741211,520704,1747604484.1711411
359,26.892580032348633,0.0,1.0,0.5052533745765686,358,0.0853373184800148,0.0,0.02278645895421505,211.427636348,2624,41.5262336730957,0.32607951760292053,0.5379215478897095,551424,1747604493.3882737
367,26.873048782348633,0.0,1.0,0.5052533745765686,366,0.08098305016756058,0.0,0.0221354179084301,215.115301364,2688,41.5262336730957,0.340030312538147,0.5244021415710449,563712,1747604497.0758345
388,26.250652313232422,0.0,1.0,0.5052533745765686,387,0.07783497869968414,0.0,0.02343750186264515,224.807080752,2856,41.5262336730957,0.3477979302406311,0.5632600784301758,595968,1747604506.7676954
402,27.513673782348633,0.0,1.0,0.5052533745765686,401,0.07200820744037628,0.0,0.02148437686264515,231.273655789,2968,41.5262336730957,0.36261701583862305,0.5340182781219482,617472,1747604513.234147
403,27.06184959411621,0.0,1.0,0.5052533745765686,402,0.07363000512123108,0.0,0.0201822929084301,231.730540592,2976,41.5262336730957,0.3827674090862274,0.5356912016868591,619008,1747604513.6910777
410,27.199220657348633,0.0,1.0,0.5052533745765686,409,0.06948845088481903,0.0,0.02083333395421505,235.081714399,3032,41.5262336730957,0.3537401258945465,0.5661448240280151,629760,1747604517.042269
412,26.847658157348633,0.0,1.0,0.5052533745765686,411,0.06847880780696869,0.0,0.0221354179084301,235.997417147,3048,41.5262336730957,0.3856786787509918,0.5419139862060547,632832,1747604517.9578528
417,26.504558563232422,0.0,1.0,0.5052533745765686,416,0.0711488351225853,0.0,0.0221354179084301,238.303184256,3088,41.5262336730957,0.36681875586509705,0.525907039642334,640512,1747604520.2636628
441,27.699871063232422,0.0,1.0,0.5052533745765686,440,0.10763496905565262,0.0,0.02083333395421505,249.33041992,3280,41.5262336730957,0.3776024281978607,0.46943914890289307,677376,1747604531.2909594
442,26.39192771911621,0.0,1.0,0.5052533745765686,441,0.06964168697595596,0.0,0.02343750186264515,249.791054777,3288,41.5262336730957,0.38255393505096436,0.4318556785583496,678912,1747604531.7516289
467,27.259767532348633,0.0,1.0,0.5052533745765686,466,0.07406165450811386,0.0,0.02278645895421505,261.294451519,3488,41.5262336730957,0.37156426906585693,0.21852098405361176,717312,1747604543.2548847
469,25.255861282348633,0.0,1.0,0.5052533745765686,468,0.07207261025905609,0.0,0.0201822929084301,262.209322357,3504,41.5262336730957,0.33622708916664124,0.23651383817195892,720384,1747604544.169939
474,26.96614646911621,0.0,1.0,0.5052533745765686,473,0.06993886828422546,0.0,0.0201822929084301,264.513035129,3544,41.5262336730957,0.3804680407047272,0.1918228417634964,728064,1747604546.4736423
475,26.449871063232422,0.0,1.0,0.5052533745765686,474,0.06860992312431335,0.0,0.02343750186264515,264.974702947,3552,41.5262336730957,0.38975512981414795,0.17291438579559326,729600,1747604546.9351435
484,26.63606834411621,0.0,1.0,0.5052533745765686,483,0.14220823347568512,0.0,0.0221354179084301,269.11273868,3624,41.5262336730957,0.36570724844932556,0.24789071083068848,743424,1747604551.0733302
495,25.893230438232422,0.0,1.0,0.5052533745765686,494,0.07205811887979507,0.0,0.01953125186264515,274.17501255,3712,41.5262336730957,0.36187872290611267,0.2787216901779175,760320,1747604556.1356142
515,27.86067771911621,0.0,1.0,0.5052533745765686,514,0.042385034263134,0.0,0.02083333395421505,283.371776358,3872,41.5262336730957,0.3903766870498657,0.21266376972198486,791040,1747604565.3322093
520,28.344402313232422,0.0,1.0,0.5052533745765686,519,0.04350212588906288,0.0,0.015625,285.679200609,3912,41.5262336730957,0.3699512481689453,0.21820783615112305,798720,1747604567.63968
530,26.328126907348633,0.0,1.0,0.5052533745765686,529,0.049566831439733505,0.0,0.02278645895421505,290.275358667,3992,41.5262336730957,0.4097391366958618,0.20750388503074646,814080,1747604572.2359796
541,26.92903709411621,0.0,1.0,0.5052533745765686,540,0.05073603242635727,0.0,0.017578125,295.339221148,4080,41.5262336730957,0.31901296973228455,0.17324423789978027,830976,1747604577.2997088
599,27.518230438232422,0.0,1.0,0.5052533745765686,598,0.049720607697963715,0.0,0.0221354179084301,322.010803689,4544,41.5262336730957,0.39663800597190857,0.11066408455371857,920064,1747604603.9714081
