returned_episode_lengths,qvals,returned_won_episode,_runtime,update_steps,test_returned_episode_lengths,test_returned_won_episode,grad_steps,returned_episode_returns,loss,_timestamp,test_returned_episode,_step,test_returned_episode_returns,env_step,returned_episode
29.28255271911621,0.0,0.0,46.265203098,5,29.653371810913086,0.0,0,0.1629687398672104,0.0,1746459837.6084285,0.9999999403953552,4,0.10852555930614471,7680.0,0.01888020895421505
28.58919334411621,0.0,0.0,46.872374386,16,29.653371810913086,0.0,0,0.1459227353334427,0.0,1746459838.2156456,0.9999999403953552,15,0.10852555930614471,24576.0,0.01953125
26.603515625,0.0,0.0,47.037820824,19,29.653371810913086,0.0,0,0.1281718760728836,0.0,1746459838.381106,0.9999999403953552,18,0.10852555930614471,29184.0,0.02213541604578495
27.46549415588379,-0.034602537751197815,0.0,48.30033669,33,29.653371810913086,0.0,16,0.13690711557865143,0.01147591695189476,1746459839.643568,0.9999999403953552,32,0.10852555930614471,50688.0,0.01888020895421505
27.767578125,0.08081638813018799,0.0,51.246137861,43,29.653371810913086,0.0,96,0.15338368713855743,0.006858622655272484,1746459842.589358,0.9999999403953552,42,0.10852555930614471,66048.0,0.01888020895421505
28.1796875,0.326046884059906,0.0,53.006056028,49,29.653371810913086,0.0,144,0.1424235999584198,0.00510391453281045,1746459844.3493085,0.9999999403953552,48,0.10852555930614471,75264.0,0.02018229104578495
27.828125,0.3246415853500366,0.0,53.312880444,50,29.653371810913086,0.0,152,0.16758939623832703,0.00489860400557518,1746459844.6559496,0.9999999403953552,49,0.10852555930614471,76800.0,0.01953125
29.28255271911621,1.007027506828308,0.0,62.450335495,81,29.653371810913086,0.0,400,0.18327516317367554,0.006396575830876827,1746459853.7935658,0.9999999403953552,80,0.10852555930614471,124416.0,0.01627604104578495
29.3515625,1.029956579208374,0.0,63.918928489,86,29.653371810913086,0.0,440,0.17158418893814087,0.0069451406598091125,1746459855.2621424,0.9999999403953552,85,0.10852555930614471,132096.0,0.01822916604578495
29.30859375,1.0356647968292236,0.0,64.507425482,88,29.653371810913086,0.0,456,0.18617533147335052,0.006720001809298992,1746459855.8506322,0.9999999403953552,87,0.10852555930614471,135168.0,0.01692708395421505
27.76106834411621,1.011762261390686,0.0,67.160399868,97,29.653371810913086,0.0,528,0.16195832192897797,0.007731986697763205,1746459858.503616,0.9999999403953552,96,0.10852555930614471,148992.0,0.01953125
28.83854103088379,1.039161205291748,0.0,68.052717255,100,29.653371810913086,0.0,552,0.15478123724460602,0.007548343390226364,1746459859.3957946,0.9999999403953552,99,0.10852555930614471,153600.0,0.015625
28.49479103088379,1.0113985538482666,0.0,68.346235337,101,29.653371810913086,0.0,560,0.18427950143814087,0.007242282852530479,1746459859.6894124,0.9999999403953552,100,0.10852555930614471,155136.0,0.02018229104578495
28.453125,1.0171010494232178,0.0,68.933755976,103,29.653371810913086,0.0,576,0.18071961402893066,0.012067344971001148,1746459860.2768948,0.9999999403953552,102,0.10852555930614471,158208.0,0.01822916604578495
28.82682228088379,1.0567469596862793,0.0,74.851238348,123,29.653371810913086,0.0,736,0.1984756737947464,0.01757248491048813,1746459866.1944647,0.9999999403953552,122,0.10852555930614471,188928.0,0.01692708395421505
29.93880271911621,1.0395569801330566,0.0,81.96352398,147,29.653371810913086,0.0,928,0.20004425942897797,0.015599631704390049,1746459873.306638,0.9999999403953552,146,0.10852555930614471,225792.0,0.015625
