returned_won_episode,returned_episode_returns,test_returned_episode,update_steps,_timestamp,returned_episode,env_step,loss,returned_episode_lengths,_runtime,grad_steps,test_returned_episode_lengths,test_returned_episode_returns,test_returned_won_episode,qvals,_step
0.0,0.12248265743255615,0.9999999403953552,2,1746167316.2647736,0.0514322929084301,3072.0,0.0,15.463542938232422,48.337643284,0,16.218441009521484,0.053645141422748566,0.0,0.0,1
0.0,0.11603734642267227,0.9999999403953552,9,1746167316.6887288,0.0507812537252903,13824.0,0.0,15.605469703674316,48.761584777,0,16.218441009521484,0.053645141422748566,0.0,0.0,8
0.0,0.13296443223953247,0.9999999403953552,28,1746167317.8424249,0.0514322929084301,43008.0,0.0,15.442058563232422,49.915266232,0,16.218441009521484,0.053645141422748566,0.0,0.0,27
0.0,0.12786459922790527,0.9999999403953552,34,1746167319.008673,0.0520833358168602,52224.0,0.031940266489982605,15.593750953674316,51.081556443,24,16.218441009521484,0.053645141422748566,0.0,-0.09208595752716064,33
0.0,0.14976130425930023,0.9999999403953552,58,1746167326.8576524,0.0533854179084301,89088.0,0.04303012788295746,14.949870109558105,58.930504486,216,16.218441009521484,0.053645141422748566,0.0,0.5035008192062378,57
0.0,0.15188804268836975,0.9999999403953552,89,1746167336.9966915,0.0553385429084301,136704.0,0.04186231270432472,14.850912094116211,69.069539203,464,16.218441009521484,0.053645141422748566,0.0,0.6778139472007751,88
0.0,0.160698801279068,0.9999999403953552,97,1746167339.6164954,0.0572916679084301,148992.0,0.04323319345712662,14.348307609558105,71.689352843,528,16.218441009521484,0.053645141422748566,0.0,0.6513854265213013,96
0.0,0.1414930671453476,0.9999999403953552,98,1746167339.9434414,0.0533854179084301,150528.0,0.04210653901100159,14.350260734558105,72.016296198,536,16.218441009521484,0.053645141422748566,0.0,0.6450217366218567,97
0.0,0.15887589752674103,0.9999999403953552,111,1746167344.1965187,0.0598958358168602,170496.0,0.04227597266435623,14.202474594116211,76.269371843,640,16.218441009521484,0.053645141422748566,0.0,0.6437863707542419,110
0.0,0.1717665195465088,0.9999999403953552,118,1746167346.4859564,0.0566406287252903,181248.0,0.05679180100560188,14.554688453674316,78.558789072,696,16.218441009521484,0.053645141422748566,0.0,0.6515688300132751,117
0.0,0.1628689467906952,0.9999999403953552,119,1746167346.8129694,0.0592447929084301,182784.0,0.05568096041679382,14.287110328674316,78.885822752,704,16.218441009521484,0.053645141422748566,0.0,0.6509567499160767,118
0.0,0.17029081284999847,0.9999999403953552,137,1746167352.702077,0.0566406287252903,210432.0,0.07798225432634354,14.406901359558105,84.774896824,848,16.218441009521484,0.053645141422748566,0.0,0.6158793568611145,136
0.0,0.16805557906627655,0.9999999403953552,146,1746167355.6449983,0.0598958358168602,224256.0,0.07731179893016815,13.888672828674316,87.717828196,920,16.218441009521484,0.053645141422748566,0.0,0.6080333590507507,145
0.0,0.18140192329883575,0.9999999403953552,152,1746167357.6069186,0.0611979216337204,233472.0,0.11646924167871475,13.903646469116211,89.679746807,968,16.218441009521484,0.053645141422748566,0.0,0.5666056871414185,151
0.0,0.17819012701511383,0.9999999403953552,160,1746167360.2264931,0.0592447929084301,245760.0,0.11642652004957199,13.922526359558105,92.299355062,1032,16.218441009521484,0.053645141422748566,0.0,0.5153344869613647,159
0.0,0.18886719644069672,0.9999999403953552,171,1746167363.823709,0.0592447929084301,262656.0,0.08622479438781738,14.040365219116211,95.896549522,1120,16.218441009521484,0.053645141422748566,0.0,0.5359481573104858,170
0.0,0.205620676279068,0.9999999403953552,212,1746167377.2441862,0.0579427108168602,325632.0,0.09632363170385361,13.915365219116211,109.317042415,1448,16.218441009521484,0.053645141422748566,0.0,0.47364509105682373,211
0.0,0.2115451544523239,0.9999999403953552,222,1746167380.516061,0.0579427108168602,340992.0,0.07391759008169174,14.213541984558105,112.588911074,1528,16.218441009521484,0.053645141422748566,0.0,0.39533543586730957,221
