returned_episode_returns,test_returned_episode_lengths,test_returned_episode,loss,_step,qvals,update_steps,test_returned_won_episode,returned_episode_lengths,returned_episode,test_returned_episode_returns,grad_steps,returned_won_episode,_timestamp,env_step,_runtime
0.12037761509418488,12.288415908813477,1.0,0.0,21,0.0,22,0.0,15.406902313232422,0.0527343787252903,0.0005975834792479873,0,0.0,1746167563.8242245,33792.0,74.358653156
0.13387589156627655,12.288415908813477,1.0,0.05468525364995003,53,0.37576645612716675,54,0.0,15.567708969116211,0.0520833358168602,0.0005975834792479873,184,0.0,1746167572.066124,82944.0,82.600549753
0.13784724473953247,12.288415908813477,1.0,0.05089719593524933,78,0.5066206455230713,79,0.0,14.581380844116211,0.0559895858168602,0.0005975834792479873,384,0.0,1746167580.37356,121344.0,90.907993896
0.15655383467674255,12.288415908813477,1.0,0.044418834149837494,89,0.44014835357666016,90,0.0,14.456380844116211,0.0572916679084301,0.0005975834792479873,472,0.0,1746167584.0485058,138240.0,94.583010664
0.15531687438488007,12.288415908813477,1.0,0.07015292346477509,105,0.37483662366867065,106,0.0,14.659505844116211,0.0553385429084301,0.0005975834792479873,600,0.0,1746167589.3692842,162816.0,99.903847284
0.16660158336162567,12.288415908813477,1.0,0.09293867647647858,126,0.23029547929763794,127,0.0,15.104818344116211,0.0546875037252903,0.0005975834792479873,768,0.0,1746167596.3623931,195072.0,106.896864203
0.1654731035232544,12.288415908813477,1.0,0.14971351623535156,135,0.20251025259494781,136,0.0,13.992838859558105,0.0585937537252903,0.0005975834792479873,840,0.0,1746167599.3410552,208896.0,109.875532429
0.18689237534999847,12.288415908813477,1.0,0.24591608345508575,176,0.2094329446554184,177,0.0,14.258463859558105,0.0579427108168602,0.0005975834792479873,1168,0.0,1746167612.996371,271872.0,123.530845679
0.19490019977092743,12.288415908813477,1.0,0.23813390731811523,180,0.21098411083221436,181,0.0,13.621745109558105,0.0618489608168602,0.0005975834792479873,1200,0.0,1746167614.3204226,278016.0,124.854855831
0.2133246809244156,12.288415908813477,1.0,0.09221959114074707,195,0.22419671714305878,196,0.0,13.608724594116211,0.0618489608168602,0.0005975834792479873,1320,0.0,1746167619.3065407,301056.0,129.840955211
0.20933161675930023,12.288415908813477,1.0,0.12960553169250488,198,0.24440832436084747,199,0.0,14.662110328674316,0.0559895858168602,0.0005975834792479873,1344,0.0,1746167620.3144858,305664.0,130.848948573
0.213216170668602,12.288415908813477,1.0,0.0998227596282959,201,0.26246002316474915,202,0.0,13.901041984558105,0.0598958358168602,0.0005975834792479873,1368,0.0,1746167621.3231547,310272.0,131.857672546
0.18656687438488007,12.288415908813477,1.0,0.07933014631271362,215,0.26288866996765137,216,0.0,14.076823234558105,0.0592447929084301,0.0005975834792479873,1480,0.0,1746167625.9957957,331776.0,136.530242661
0.2096354216337204,12.288415908813477,1.0,0.09370355308055878,228,0.26202893257141113,229,0.0,14.022135734558105,0.0592447929084301,0.0005975834792479873,1584,0.0,1746167630.341424,351744.0,140.875890969
0.23797746002674103,12.288415908813477,1.0,0.05797969549894333,257,0.28667670488357544,258,0.0,14.430338859558105,0.0553385429084301,0.0005975834792479873,1816,0.0,1746167639.9801002,396288.0,150.514630103
0.2447482943534851,12.288415908813477,1.0,0.05661792680621147,267,0.3067079782485962,268,0.0,13.964193344116211,0.0592447929084301,0.0005975834792479873,1896,0.0,1746167643.31577,411648.0,153.850219325
0.2386719137430191,12.288415908813477,1.0,0.06051331013441086,270,0.3008931875228882,271,0.0,14.203776359558105,0.0592447929084301,0.0005975834792479873,1920,0.0,1746167644.3058343,416256.0,154.840369381
0.26111114025115967,12.288415908813477,1.0,0.04871385917067528,287,0.29280778765678406,288,0.0,13.449870109558105,0.0625,0.0005975834792479873,2056,0.0,1746167649.957015,442368.0,160.491455006
0.26404082775115967,12.288415908813477,1.0,0.05621405690908432,298,0.2969377040863037,299,0.0,13.557291984558105,0.0625,0.0005975834792479873,2144,0.0,1746167653.623871,459264.0,164.158339054
0.27493491768836975,12.288415908813477,1.0,0.0719786286354065,309,0.29174456000328064,310,0.0,13.322266578674316,0.0625,0.0005975834792479873,2232,0.0,1746167657.2889438,476160.0,167.823442163
0.251519113779068,12.288415908813477,1.0,0.10455609858036041,318,0.24804866313934326,319,0.0,14.473307609558105,0.0553385429084301,0.0005975834792479873,2304,0.0,1746167660.2910686,489984.0,170.825514474
0.27996963262557983,12.288415908813477,1.0,0.09439615160226822,319,0.24722319841384888,320,0.0,13.171224594116211,0.0638020858168602,0.0005975834792479873,2312,0.0,1746167660.6223915,491520.0,171.15683069
0.2911458909511566,14.381669998168945,1.0,0.05954741686582565,334,0.2399611622095108,335,0.0016241299454122782,13.276693344116211,0.0618489608168602,0.5583604574203491,2432,0.0,1746167665.69085,514560.0,176.22531744
0.2757161557674408,14.381669998168945,1.0,0.06050510331988335,337,0.24064332246780396,338,0.0016241299454122782,13.001302719116211,0.0638020858168602,0.5583604574203491,2456,0.0,1746167666.6883678,519168.0,177.222794284
0.2831380367279053,14.381669998168945,1.0,0.060648947954177856,338,0.24106456339359283,339,0.0016241299454122782,13.229166984558105,0.0625,0.5583604574203491,2464,0.0,1746167667.0206592,520704.0,177.555104283
0.30835506319999695,14.381669998168945,1.0,0.056377507746219635,352,0.24361181259155273,353,0.0016241299454122782,12.931641578674316,0.06640625,0.5583604574203491,2576,0.0,1746167671.696676,542208.0,182.231334861
0.30043405294418335,14.381669998168945,1.0,0.06877070665359497,360,0.25341978669166565,361,0.0016241299454122782,12.682291984558105,0.06640625,0.5583604574203491,2640,0.0,1746167674.3456697,554496.0,184.880090102
0.30271270871162415,14.381669998168945,1.0,0.062428347766399384,363,0.25813087821006775,364,0.0016241299454122782,12.451823234558105,0.0690104216337204,0.5583604574203491,2664,0.0,1746167675.3560827,559104.0,185.890579495
0.3037760555744171,14.381669998168945,1.0,0.0670880675315857,365,0.2623957395553589,366,0.0016241299454122782,13.439454078674316,0.0618489608168602,0.5583604574203491,2680,0.0,1746167676.0202959,562176.0,186.554789075
0.28209635615348816,14.381669998168945,1.0,0.12335751950740814,387,0.2335141897201538,388,0.0016241299454122782,14.218099594116211,0.0553385429084301,0.5583604574203491,2856,0.0,1746167683.3468416,595968.0,193.881288422
0.34535592794418335,14.381669998168945,1.0,0.04780575633049011,397,0.25184768438339233,398,0.0016241299454122782,12.636719703674316,0.0677083358168602,0.5583604574203491,2936,0.0,1746167686.6687946,611328.0,197.203298182
0.3511936366558075,14.381669998168945,1.0,0.04669477045536041,399,0.2512730360031128,400,0.0016241299454122782,12.332682609558105,0.0690104216337204,0.5583604574203491,2952,0.0,1746167687.335142,614400.0,197.869603722
0.3689887523651123,14.381669998168945,1.0,0.053845491260290146,429,0.26367247104644775,430,0.0016241299454122782,11.992188453674316,0.0716145858168602,0.5583604574203491,3192,0.0,1746167697.5030646,660480.0,208.037505705
0.3766493797302246,14.381669998168945,1.0,0.05512949079275131,443,0.2543773353099823,444,0.0016241299454122782,11.602213859558105,0.0742187574505806,0.5583604574203491,3304,0.0,1746167702.1558037,681984.0,212.690494704
0.3561849892139435,14.381669998168945,1.0,0.05245911329984665,452,0.23225122690200806,453,0.0016241299454122782,12.020833969116211,0.0716145858168602,0.5583604574203491,3376,0.0,1746167705.1497087,695808.0,215.684363632
