returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode,_runtime,grad_steps,returned_episode_returns,test_returned_episode_lengths,test_returned_won_episode,test_returned_episode,qvals,env_step,_timestamp
31.08333396911621,0.0,4,3,0.008333842270076275,0.0,0.015625,45.289186403,0,0.11007869243621826,20.92624855041504,0.0,1.0,0.0,6144,1746429202.8708513
31.67708396911621,0.0,17,16,0.008333842270076275,0.0,0.015625,46.135232805,0,0.13618844747543335,20.92624855041504,0.0,1.0,0.0,26112,1746429203.716935
30.85546875,0.0,35,34,0.008333842270076275,0.004858421161770821,0.015625,48.656077083,32,0.11596935987472534,20.92624855041504,0.0,1.0,0.10792708396911621,53760,1746429206.237715
30.76692771911621,0.0,42,41,0.008333842270076275,0.004167057108134031,0.01497395895421505,51.481884037,88,0.11619788408279419,20.92624855041504,0.0,1.0,0.3354443907737732,64512,1746429209.0635338
30.75520896911621,0.0,49,48,0.008333842270076275,0.002066066488623619,0.014322916977107525,54.296260701,144,0.12310829758644104,20.92624855041504,0.0,1.0,0.11252322793006897,75264,1746429211.8777065
30.12630271911621,0.0,57,56,0.008333842270076275,0.003790417220443487,0.012369791977107525,57.515993806,208,0.12521854043006897,20.92624855041504,0.0,1.0,0.3480300307273865,87552,1746429215.0974743
31.1875,0.0,60,59,0.008333842270076275,0.0035651247017085552,0.01497395895421505,58.723881625,232,0.15251880884170532,20.92624855041504,0.0,1.0,0.3714035153388977,92160,1746429216.3054712
31.1875,0.0,63,62,0.008333842270076275,0.00847414880990982,0.012369791977107525,59.932355962,256,0.1426452100276947,20.92624855041504,0.0,1.0,0.44120413064956665,96768,1746429217.5139554
31.625,0.0,85,84,0.008333842270076275,0.008392984047532082,0.01302083395421505,68.807962783,432,0.1418401598930359,20.92624855041504,0.0,1.0,0.6650670766830444,130560,1746429226.3895788
30.998699188232422,0.0,113,112,0.008333842270076275,0.01896226406097412,0.013671875,80.142526108,656,0.16398386657238007,20.92624855041504,0.0,1.0,0.7472658753395081,173568,1746429237.724093
30.373699188232422,0.0,115,114,0.008333842270076275,0.014731837436556816,0.013671875,80.953265593,672,0.16604968905448914,20.92624855041504,0.0,1.0,0.7460245490074158,176640,1746429238.5347545
30.72786521911621,0.0,133,132,0.008333842270076275,0.027076944708824158,0.014322916977107525,88.226568163,816,0.15633250772953033,20.92624855041504,0.0,1.0,0.7504754662513733,204288,1746429245.808186
31.83724021911621,0.0,140,139,0.008333842270076275,0.01724322699010372,0.014322916977107525,91.072368545,872,0.1685081422328949,20.92624855041504,0.0,1.0,0.7449854612350464,215040,1746429248.6538317
29.858074188232422,0.0,155,154,0.008333842270076275,0.023518169298768044,0.013671875,97.167685268,992,0.1540350615978241,20.92624855041504,0.0,1.0,0.7941714525222778,238080,1746429254.7491658
31.932292938232422,0.0,157,156,0.008333842270076275,0.022522788494825363,0.014322916977107525,97.9770513,1008,0.15832199156284332,20.92624855041504,0.0,1.0,0.8041533827781677,241152,1746429255.558674
31.467449188232422,0.0,162,161,0.008333842270076275,0.036738697439432144,0.014322916977107525,100.010238687,1048,0.16986483335494995,20.92624855041504,0.0,1.0,0.8089696168899536,248832,1746429257.591777
31.14453125,0.0,177,176,0.008333842270076275,0.026637345552444458,0.014322916977107525,106.097623107,1168,0.16622549295425415,20.92624855041504,0.0,1.0,0.8567283749580383,271872,1746429263.6792085
32.02994918823242,0.0,189,188,0.008333842270076275,0.028214454650878906,0.01302083395421505,110.970802405,1264,0.1732286661863327,20.92624855041504,0.0,1.0,0.8685600757598877,290304,1746429268.552379
31.70052146911621,0.0,198,197,0.008333842270076275,0.02950645051896572,0.014322916977107525,114.608480655,1336,0.1743433177471161,20.92624855041504,0.0,1.0,0.8716381788253784,304128,1746429272.1899517
31.70833396911621,0.0,206,205,0.008333842270076275,0.032794289290905,0.01497395895421505,117.847090013,1400,0.1815110743045807,20.92624855041504,0.0,1.0,0.8917385339736938,316416,1746429275.4286933
31.772136688232422,0.0,220,219,0.008333842270076275,0.03300276771187782,0.01497395895421505,123.531244528,1512,0.20495697855949402,20.92624855041504,0.0,1.0,0.9081345796585083,337920,1746429281.1127954
30.861980438232422,0.0,221,220,0.008333842270076275,0.034427858889102936,0.01302083395421505,123.936793019,1520,0.17692935466766357,20.92624855041504,0.0,1.0,0.8917210102081299,339456,1746429281.5184028
31.783855438232422,0.0,243,242,0.008333842270076275,0.06522315740585327,0.013671875,132.8565002,1696,0.20010195672512054,20.92624855041504,0.0,1.0,0.9191318154335022,373248,1746429290.438013
32.020835876464844,0.0,256,255,0.008333842270076275,0.03807690739631653,0.01302083395421505,138.12003996,1800,0.22575680911540985,20.92624855041504,0.0,1.0,0.9272345900535583,393216,1746429295.70142
31.365886688232422,0.0,261,260,0.008333842270076275,0.038728274405002594,0.012369791977107525,140.144435955,1840,0.2060539424419403,20.92624855041504,0.0,1.0,0.9279425144195557,400896,1746429297.7260535
32.16015625,0.0,265,264,0.008333842270076275,0.0424535870552063,0.01497395895421505,141.781279031,1872,0.22927510738372803,20.92624855041504,0.0,1.0,0.9390071630477905,407040,1746429299.3613372
31.529949188232422,0.0,271,270,0.008333842270076275,0.04255953058600426,0.01497395895421505,144.210906499,1920,0.21860969066619873,20.92624855041504,0.0,1.0,0.9279358386993408,416256,1746429301.79229
32.21484375,0.0,306,305,0.008333842270076275,0.06872081011533737,0.015625,158.41168711,2200,0.22983650863170624,20.92624855041504,0.0,1.0,0.9407485127449036,470016,1746429315.9933052
31.951824188232422,0.0,311,310,0.008333842270076275,0.07079887390136719,0.015625,160.447136464,2240,0.23507198691368103,20.92624855041504,0.0,1.0,0.9448691606521606,477696,1746429318.0286877
