grad_steps,_timestamp,returned_episode,test_returned_episode_lengths,qvals,env_step,test_returned_won_episode,returned_won_episode,test_returned_episode_returns,test_returned_episode,loss,_step,update_steps,_runtime,returned_episode_returns,returned_episode_lengths
384,1746455900.2691822,0.01888020895421505,28.47896957397461,0.9397902488708496,121344.0,0.0,0.0,0.12465053796768188,1.0,0.008243745192885399,78,79,62.568685215,0.16779425740242004,28.37565040588379
448,1746455902.6206172,0.017578125,28.47896957397461,0.92585688829422,133632.0,0.0,0.0,0.12465053796768188,1.0,0.00944431871175766,86,87,64.920141812,0.15857291221618652,27.544921875
632,1746455909.3855948,0.01822916604578495,28.47896957397461,0.8670444488525391,168960.0,0.0,0.0,0.12465053796768188,1.0,0.012198472395539284,109,110,71.6851427,0.19531509280204773,29.03125
816,1746455916.1488075,0.017578125,28.47896957397461,0.856047511100769,204288.0,0.0,0.0,0.12465053796768188,1.0,0.023843802511692047,132,133,78.448610041,0.18720224499702454,27.97721290588379
1024,1746455923.832306,0.01627604104578495,28.47896957397461,0.8334376811981201,244224.0,0.0,0.0,0.12465053796768188,1.0,0.02259283885359764,158,159,86.132242192,0.1962534636259079,28.265625
1048,1746455924.7187483,0.01692708395421505,28.47896957397461,0.826188325881958,248832.0,0.0,0.0,0.12465053796768188,1.0,0.03143688291311264,161,162,87.018414185,0.18126995861530304,29.65690040588379
1088,1746455926.1918592,0.017578125,28.47896957397461,0.8321951627731323,256512.0,0.0,0.0,0.12465053796768188,1.0,0.025073803961277008,166,167,88.491635944,0.18143142759799957,27.173828125
1184,1746455929.7323012,0.01692708395421505,28.47896957397461,0.794945240020752,274944.0,0.0,0.0,0.12465053796768188,1.0,0.026312606409192085,178,179,92.032024432,0.19849824905395508,29.37630271911621
1272,1746455932.9823952,0.01627604104578495,28.47896957397461,0.7717495560646057,291840.0,0.0,0.0,0.12465053796768188,1.0,0.03665494918823242,189,190,95.282033129,0.18395225703716278,29.0625
1424,1746455938.5875723,0.017578125,28.47896957397461,0.7587956786155701,321024.0,0.0,0.0,0.12465053796768188,1.0,0.038224317133426666,208,209,100.887196138,0.20315882563591003,29.857421875
1440,1746455939.175517,0.01627604104578495,28.47896957397461,0.7672799825668335,324096.0,0.0,0.0,0.12465053796768188,1.0,0.037222810089588165,210,211,101.475129193,0.1959635466337204,29.34700584411621
1680,1746455948.040788,0.017578125,28.47896957397461,0.4681410789489746,370176.0,0.0,0.0,0.12465053796768188,1.0,0.30205318331718445,240,241,110.340569208,0.16286545991897583,29.96940040588379
1752,1746455950.6996646,0.01822916604578495,28.47896957397461,0.6115727424621582,384000.0,0.0,0.0,0.12465053796768188,1.0,0.08565324544906616,249,250,112.99944081699999,0.16824652254581451,28.30599021911621
1992,1746455959.541784,0.01822916604578495,28.47896957397461,0.600782573223114,430080.0,0.0,0.0,0.12465053796768188,1.0,0.23330584168434143,279,280,121.841484673,0.19735848903656006,28.52213478088379
2048,1746455961.6221075,0.015625,28.47896957397461,0.6471744179725647,440832.0,0.0,0.0,0.12465053796768188,1.0,0.13975366950035095,286,287,123.922005672,0.18076995015144348,29.45052146911621
2456,1746455976.746022,0.015625,42.88629150390625,0.5755938291549683,519168.0,0.0,0.0,0.22256344556808472,1.0,0.18136708438396454,337,338,139.045727446,0.19634288549423218,30.04166603088379
2496,1746455978.2307897,0.01692708395421505,42.88629150390625,0.5689983367919922,526848.0,0.0,0.0,0.22256344556808472,1.0,0.1958208978176117,342,343,140.530631283,0.17802082002162933,29.75130271911621
2512,1746455978.8208828,0.015625,42.88629150390625,0.5581125020980835,529920.0,0.0,0.0,0.22256344556808472,1.0,0.176226407289505,344,345,141.12067237,0.17759113013744354,30.74479103088379
