returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,grad_steps,qvals,test_returned_episode,returned_episode,_runtime,test_returned_episode_lengths,returned_episode_returns,env_step,test_returned_won_episode,_timestamp
25.615236282348633,0.0,53,52,0.03517788648605347,0.04556455463171005,176,0.4765043258666992,0.9999999403953552,0.02278645895421505,68.914319725,21.061159133911133,0.24210967123508453,81408,0.0,1747610454.1161504
25.47005271911621,0.0,72,71,0.03517788648605347,0.17825372517108917,328,0.6699981689453125,0.9999999403953552,0.0240885429084301,77.613649984,21.061159133911133,0.24617597460746765,110592,0.0,1747610462.8154004
25.160158157348633,0.0,76,75,0.03517788648605347,0.056395839899778366,360,0.6584675312042236,0.9999999403953552,0.0240885429084301,79.449135185,21.061159133911133,0.27430275082588196,116736,0.0,1747610464.6509187
25.705080032348633,0.0,87,86,0.03517788648605347,0.09201859682798386,448,0.47384706139564514,0.9999999403953552,0.02343750186264515,84.49355162,21.061159133911133,0.29989510774612427,133632,0.0,1747610469.695328
26.765626907348633,0.0,118,117,0.03517788648605347,0.3735000491142273,696,0.4763571619987488,0.9999999403953552,0.02473958395421505,98.710818176,21.061159133911133,0.2862561047077179,181248,0.0,1747610483.912468
26.486980438232422,0.0,136,135,0.03517788648605347,0.3369333744049072,840,0.5552630424499512,0.9999999403953552,0.02278645895421505,106.993554321,21.061159133911133,0.2786305844783783,208896,0.0,1747610492.1951385
25.776042938232422,0.0,144,143,0.03517788648605347,0.3465743064880371,904,0.5868650674819946,0.9999999403953552,0.02539062686264515,110.673392562,21.061159133911133,0.2625020742416382,221184,0.0,1747610495.87496
25.940105438232422,0.0,182,181,0.03517788648605347,0.32833701372146606,1208,0.6432672142982483,0.9999999403953552,0.02343750186264515,128.184321536,21.061159133911133,0.2725394666194916,279552,0.0,1747610513.3860564
26.34309959411621,0.0,189,188,0.03517788648605347,0.3405262231826782,1264,0.6549619436264038,0.9999999403953552,0.02278645895421505,131.425508802,21.061159133911133,0.2693008482456207,290304,0.0,1747610516.6272337
26.85481834411621,0.0,194,193,0.03517788648605347,0.32594794034957886,1304,0.646898627281189,0.9999999403953552,0.02343750186264515,133.733950062,21.061159133911133,0.30807095766067505,297984,0.0,1747610518.9355361
27.664714813232422,0.0,215,214,0.03517788648605347,0.3093460202217102,1472,0.6432364583015442,0.9999999403953552,0.01888020895421505,143.420102616,21.061159133911133,0.2602751851081848,330240,0.0,1747610528.621796
25.764324188232422,0.0,222,221,0.03517788648605347,0.30824893712997437,1528,0.6511179208755493,0.9999999403953552,0.02343750186264515,146.65538641,21.061159133911133,0.29586470127105713,340992,0.0,1747610531.8571277
26.83724021911621,0.0,230,229,0.03517788648605347,0.29907506704330444,1592,0.6414560079574585,0.9999999403953552,0.02148437686264515,150.349412971,21.061159133911133,0.27964121103286743,353280,0.0,1747610535.5509787
24.40559959411621,0.0,285,284,0.03517788648605347,0.23874512314796448,2032,0.597551703453064,0.9999999403953552,0.0240885429084301,175.72269657,21.061159133911133,0.3299027383327484,437760,0.0,1747610560.9244626
25.804689407348633,0.0,290,289,0.03517788648605347,0.08662162721157074,2072,0.5796014070510864,0.9999999403953552,0.0240885429084301,178.018468988,21.061159133911133,0.3310839831829071,445440,0.0,1747610563.22012
26.81770896911621,0.0,292,291,0.03517788648605347,0.08703312277793884,2088,0.576479434967041,0.9999999403953552,0.02148437686264515,178.940819097,21.061159133911133,0.34374430775642395,448512,0.0,1747610564.142577
26.690105438232422,0.0,298,297,0.03517788648605347,0.08747401833534241,2136,0.5756688714027405,0.9999999403953552,0.02278645895421505,181.70590863,21.061159133911133,0.3181999623775482,457728,0.0,1747610566.9076693
26.055339813232422,0.0,302,301,0.03517788648605347,0.0856161117553711,2168,0.5853438377380371,0.9999999403953552,0.02083333395421505,183.546401022,21.061159133911133,0.32251933217048645,463872,0.0,1747610568.748148
26.042970657348633,0.0,318,317,0.03517788648605347,0.07998540997505188,2296,0.5867801904678345,0.9999999403953552,0.0221354179084301,190.930593668,21.061159133911133,0.3183421492576599,488448,0.0,1747610576.1323256
26.00130271911621,0.0,322,321,0.03517788648605347,0.08157292008399963,2328,0.5838804244995117,0.9999999403953552,0.02343750186264515,192.781213483,21.061159133911133,0.3190838098526001,494592,0.0,1747610577.9828238
25.673830032348633,0.0,335,334,0.5321969985961914,0.08065087348222733,2432,0.5770988464355469,1.0,0.02148437686264515,198.86838483,41.730308532714844,0.3276784420013428,514560,0.0,1747610584.0700088
26.176433563232422,0.0,339,338,0.5321969985961914,0.0804147720336914,2464,0.5654869675636292,1.0,0.0240885429084301,200.709914435,41.730308532714844,0.3524319529533386,520704,0.0,1747610585.911538
26.402996063232422,0.0,355,354,0.5321969985961914,0.07509930431842804,2592,0.5566161870956421,1.0,0.02148437686264515,208.102862401,41.730308532714844,0.3262188136577606,545280,0.0,1747610593.3044465
28.19075584411621,0.0,361,360,0.5321969985961914,0.07630026340484619,2640,0.563356876373291,1.0,0.0201822929084301,210.865589426,41.730308532714844,0.33834564685821533,554496,0.0,1747610596.0673418
24.33528709411621,0.0,378,377,0.5321969985961914,0.0658126100897789,2776,0.5418986082077026,1.0,0.0260416679084301,218.68831606,41.730308532714844,0.36742067337036133,580608,0.0,1747610603.8900323
27.90364646911621,0.0,382,381,0.5321969985961914,0.07018816471099854,2808,0.5496628284454346,1.0,0.02083333395421505,220.527455632,41.730308532714844,0.32625964283943176,586752,0.0,1747610605.7291114
