_timestamp,test_returned_won_episode,update_steps,returned_won_episode,test_returned_episode,test_returned_episode_lengths,returned_episode,loss,qvals,env_step,grad_steps,returned_episode_returns,test_returned_episode_returns,_step,returned_episode_lengths,_runtime
1746159751.6819098,0.0,21,0.0,1.0,14.848237991333008,0.014322916977107525,0.0,0.0,32256.0,0,0.09763889759778976,0.01437545008957386,20,28.658855438232422,83.728301468
1746159751.8634896,0.0,24,0.0,1.0,14.848237991333008,0.0162760429084301,0.0,0.0,36864.0,0,0.11519993841648102,0.01437545008957386,23,30.309246063232422,83.909938059
1746159754.9221022,0.0,39,0.0,1.0,14.848237991333008,0.01497395895421505,0.005356981419026852,-0.06096232682466507,59904.0,64,0.13600382208824158,0.01437545008957386,38,31.333335876464844,86.968875895
1746159764.167991,0.0,67,0.0,1.0,14.848237991333008,0.01302083395421505,0.007939910516142845,0.6377035975456238,102912.0,288,0.1502491980791092,0.01437545008957386,66,30.736980438232422,96.214715671
1746159768.800689,0.0,81,0.0,1.0,14.848237991333008,0.01302083395421505,0.008542915806174278,0.7560180425643921,124416.0,400,0.14200419187545776,0.01437545008957386,80,31.061199188232422,100.847149631
1746159769.784766,0.0,84,0.0,1.0,14.848237991333008,0.014322916977107525,0.010416107252240181,0.8534375429153442,129024.0,424,0.1663181036710739,0.01437545008957386,83,31.938804626464844,101.831228906
1746159770.4478815,0.0,86,0.0,1.0,14.848237991333008,0.012369791977107525,0.009594544768333435,0.8237907290458679,132096.0,440,0.16863331198692322,0.01437545008957386,85,30.552085876464844,102.494450443
1746159794.223565,0.0,158,0.0,1.0,14.848237991333008,0.014322916977107525,0.07128366827964783,0.7579707503318787,242688.0,1016,0.216162770986557,0.01437545008957386,157,31.929689407348633,126.270113858
1746159798.1902246,0.0,170,0.0,1.0,14.848237991333008,0.01497395895421505,0.07273374497890472,0.5415341854095459,261120.0,1112,0.21684446930885315,0.01437545008957386,169,31.539064407348633,130.236684088
1746159799.1785417,0.0,173,0.0,1.0,14.848237991333008,0.014322916977107525,0.08422781527042389,0.6217747926712036,265728.0,1136,0.17530639469623566,0.01437545008957386,172,31.407554626464844,131.225142433
1746159807.095008,0.0,197,0.0,1.0,14.848237991333008,0.012369791977107525,0.08706139028072357,0.7520129680633545,302592.0,1328,0.1987665593624115,0.01437545008957386,196,30.803386688232422,139.141479277
1746159807.7528296,0.0,199,0.0,1.0,14.848237991333008,0.014322916977107525,0.08368775248527527,0.742335319519043,305664.0,1344,0.21332700550556183,0.01437545008957386,198,32.02734375,139.799259141
1746159814.3615246,0.0,219,0.0,1.0,14.848237991333008,0.015625,0.26277148723602295,0.7971117496490479,336384.0,1504,0.24767445027828217,0.01437545008957386,218,31.721355438232422,146.407972126
1746159823.3209035,0.0,246,0.0,1.0,14.848237991333008,0.01497395895421505,0.1097082793712616,0.819682240486145,377856.0,1720,0.26048803329467773,0.01437545008957386,245,32.140625,155.367473114
1746159823.9749498,0.0,248,0.0,1.0,14.848237991333008,0.015625,0.1086742952466011,0.8323082327842712,380928.0,1736,0.2805710732936859,0.01437545008957386,247,31.753908157348633,156.02144053
1746159831.246689,0.0,270,0.0,1.0,14.848237991333008,0.015625,0.3156234920024872,0.7582420110702515,414720.0,1912,0.28245991468429565,0.01437545008957386,269,32.265625,163.293150451
1746159833.8735995,0.0,278,0.0,1.0,14.848237991333008,0.013671875931322575,0.34313714504241943,0.7619779109954834,427008.0,1976,0.21466881036758423,0.01437545008957386,277,31.828126907348633,165.920023266
1746159834.2024202,0.0,279,0.0,1.0,14.848237991333008,0.015625,0.33284881711006165,0.7672843337059021,428544.0,1984,0.28674325346946716,0.01437545008957386,278,31.726564407348633,166.248891493
1746159837.8341827,0.0,290,0.0,1.0,14.848237991333008,0.015625,0.3060011863708496,0.7479809522628784,445440.0,2072,0.2602939307689667,0.01437545008957386,289,31.966148376464844,169.880660923
1746159840.7896168,0.0,299,0.0,1.0,14.848237991333008,0.013671875931322575,0.2992521822452545,0.7572116851806641,459264.0,2144,0.27814096212387085,0.01437545008957386,298,31.985679626464844,172.836060328
1746159845.7582765,0.0,314,0.0,1.0,14.848237991333008,0.015625,0.2915421724319458,0.7456704378128052,482304.0,2264,0.25304532051086426,0.01437545008957386,313,32.10546875,177.804778133
1746159848.4291635,0.0,322,0.0,1.0,14.848237991333008,0.01497395895421505,0.2735205888748169,0.7342418432235718,494592.0,2328,0.2818666100502014,0.01437545008957386,321,31.354167938232422,180.475832346
1746159849.4901052,0.0012033693492412567,325,0.0,0.9999999403953552,60.24067306518555,0.014322916977107525,0.2849990725517273,0.736325740814209,499200.0,2352,0.28444457054138184,0.6229269504547119,324,31.921876907348633,181.536547181
1746159853.7565486,0.0012033693492412567,338,0.0,0.9999999403953552,60.24067306518555,0.014322916977107525,0.26144272089004517,0.7260944843292236,519168.0,2456,0.22234641015529633,0.6229269504547119,337,31.981773376464844,185.803015017
1746159855.418196,0.0012033693492412567,343,0.0,0.9999999403953552,60.24067306518555,0.015625,0.2656753659248352,0.7136745452880859,526848.0,2496,0.22210542857646942,0.6229269504547119,342,31.950523376464844,187.464676518
1746159862.0014868,0.0012033693492412567,363,0.0,0.9999999403953552,60.24067306518555,0.015625,0.254844605922699,0.6751322150230408,557568.0,2656,0.2581934332847595,0.6229269504547119,362,32.18619918823242,194.047925399
1746159865.9774323,0.0012033693492412567,375,0.0,0.9999999403953552,60.24067306518555,0.015625,0.24008500576019287,0.6597808599472046,576000.0,2752,0.23859182000160217,0.6229269504547119,374,32.095054626464844,198.023865834
1746159870.2810895,0.0012033693492412567,388,0.0,0.9999999403953552,60.24067306518555,0.01497395895421505,0.09800431877374649,0.6562120914459229,595968.0,2856,0.21030713617801666,0.6229269504547119,387,32.270835876464844,202.327565686
1746159872.2494302,0.0012033693492412567,394,0.0,0.9999999403953552,60.24067306518555,0.015625,0.0999598503112793,0.6564376354217529,605184.0,2904,0.2655753791332245,0.6229269504547119,393,31.968751907348633,204.295903685
1746159880.354364,0.0012033693492412567,418,0.0,0.9999999403953552,60.24067306518555,0.015625,0.10273607075214386,0.6284632682800293,642048.0,3096,0.22934702038764954,0.6229269504547119,417,31.838542938232422,212.400895715
1746159880.6829333,0.0012033693492412567,419,0.0,0.9999999403953552,60.24067306518555,0.013671875931322575,0.10149264335632324,0.651263415813446,643584.0,3104,0.22786475718021393,0.6229269504547119,418,31.610679626464844,212.729411369
1746159882.9809725,0.0012033693492412567,426,0.0,0.9999999403953552,60.24067306518555,0.014322916977107525,0.09723350405693054,0.6566058993339539,654336.0,3160,0.2485741227865219,0.6229269504547119,425,31.743492126464844,215.027431109
1746159884.3019378,0.0012033693492412567,430,0.0,0.9999999403953552,60.24067306518555,0.015625,0.09889431297779083,0.6579921841621399,660480.0,3192,0.1567392200231552,0.6229269504547119,429,31.714845657348633,216.348567679
1746159886.6210647,0.0012033693492412567,437,0.0,0.9999999403953552,60.24067306518555,0.015625,0.12646204233169556,0.6301732659339905,671232.0,3248,0.15406125783920288,0.6229269504547119,436,31.492189407348633,218.667514225
1746159887.9325233,0.0012033693492412567,441,0.0,0.9999999403953552,60.24067306518555,0.01497395895421505,0.13693273067474365,0.6273120641708374,677376.0,3280,0.18094874918460846,0.6229269504547119,440,31.473960876464844,219.978952021
1746159888.917547,0.0012033693492412567,444,0.0,0.9999999403953552,60.24067306518555,0.01497395895421505,0.10413505136966705,0.6970722079277039,681984.0,3304,0.1833665668964386,0.6229269504547119,443,31.777345657348633,220.963972788
1746159895.2152019,0.0012033693492412567,463,0.0,0.9999999403953552,60.24067306518555,0.01497395895421505,0.120372474193573,0.7125065922737122,711168.0,3456,0.14476348459720612,0.6229269504547119,462,30.981773376464844,227.261671511
1746159895.5429907,0.0012033693492412567,464,0.0,0.9999999403953552,60.24067306518555,0.01106770895421505,0.11596771329641342,0.7139354944229126,712704.0,3464,0.15719656646251678,0.6229269504547119,463,31.506511688232422,227.589647774
1746159899.8457422,0.0012033693492412567,477,0.0,0.9999999403953552,60.24067306518555,0.01497395895421505,0.1255364865064621,0.7123767137527466,732672.0,3568,0.21394243836402893,0.6229269504547119,476,32.02213668823242,231.892280806
1746159904.1241674,0.0012033693492412567,490,0.0,0.9999999403953552,60.24067306518555,0.012369791977107525,0.11332298815250397,0.7116283178329468,752640.0,3672,0.11225108802318573,0.6229269504547119,489,31.606773376464844,236.17083923
1746159905.4409587,0.0012033693492412567,494,0.0,0.9999999403953552,60.24067306518555,0.01497395895421505,0.10114442557096481,0.7168333530426025,758784.0,3704,0.0996188223361969,0.6229269504547119,493,32.032554626464844,237.487468339
1746159912.7283356,0.0012033693492412567,516,0.0,0.9999999403953552,60.24067306518555,0.01106770895421505,0.19298426806926727,0.6549431085586548,792576.0,3880,0.11138840019702911,0.6229269504547119,515,32.30859375,244.774793153
1746159914.3762245,0.0012033693492412567,521,0.0,0.9999999403953552,60.24067306518555,0.014322916977107525,0.13696375489234924,0.6644203066825867,800256.0,3920,0.10468035191297531,0.6229269504547119,520,31.402345657348633,246.422771269
1746159915.3617494,0.0012033693492412567,524,0.0,0.9999999403953552,60.24067306518555,0.014322916977107525,0.12414197623729706,0.6705546379089355,804864.0,3944,0.12121859937906265,0.6229269504547119,523,31.671876907348633,247.408220419
1746159919.3297043,0.0012033693492412567,536,0.0,0.9999999403953552,60.24067306518555,0.013671875931322575,0.17010602355003357,0.5262254476547241,823296.0,4040,0.10197125375270844,0.6229269504547119,535,32.06901168823242,251.376194538
1746159919.996,0.0012033693492412567,538,0.0,0.9999999403953552,60.24067306518555,0.015625,0.18044565618038177,0.5482715368270874,826368.0,4056,0.07813325524330139,0.6229269504547119,537,30.160158157348633,252.042535522
1746159929.5949066,0.0012033693492412567,567,0.0,0.9999999403953552,60.24067306518555,0.015625,0.13893893361091614,0.46688127517700195,870912.0,4288,0.05724935606122017,0.6229269504547119,566,30.895835876464844,261.641377282
1746159931.8936584,0.0012033693492412567,574,0.0,0.9999999403953552,60.24067306518555,0.012369791977107525,0.11683360487222672,0.4379385709762573,881664.0,4344,0.06295280903577805,0.6229269504547119,573,32.22265625,263.940128072
1746159934.5492754,0.0012033693492412567,582,0.0,0.9999999403953552,60.24067306518555,0.013671875931322575,0.14818009734153748,0.4416959285736084,893952.0,4408,0.05875673517584801,0.6229269504547119,581,31.449220657348633,266.595969302
1746159937.50245,0.0012033693492412567,591,0.0,0.9999999403953552,60.24067306518555,0.015625,0.1552615463733673,0.3595246374607086,907776.0,4480,0.0662330761551857,0.6229269504547119,590,31.341148376464844,269.548895126
1746159938.8165202,0.0012033693492412567,595,0.0,0.9999999403953552,60.24067306518555,0.01302083395421505,0.11015138030052185,0.3293078541755676,913920.0,4512,0.08193257451057434,0.6229269504547119,594,31.714845657348633,270.86296665
1746159944.750931,0.0012033693492412567,613,0.0,0.9999999403953552,60.24067306518555,0.0162760429084301,0.16436979174613953,0.29206839203834534,941568.0,4656,0.04577865079045296,0.6229269504547119,612,29.86067771911621,276.797358048
1746159947.4034786,0.0012033693492412567,621,0.0,0.9999999403953552,60.24067306518555,0.013671875931322575,0.2438812553882599,0.3433884382247925,953856.0,4720,0.09126785397529602,0.6229269504547119,620,30.795574188232422,279.449934096
1746159951.0205379,0.0012033693492412567,632,0.0,0.9999999403953552,60.24067306518555,0.015625,0.46370822191238403,0.22087949514389038,970752.0,4808,0.02363123930990696,0.6229269504547119,631,31.433595657348633,283.067106296
1746159954.684258,0.0012033693492412567,643,0.0,0.9999999403953552,60.24067306518555,0.01106770895421505,0.2375636100769043,0.22762641310691833,987648.0,4896,0.06252437084913254,0.6229269504547119,642,32.06510543823242,286.730710392
1746159955.9952555,0.0012033693492412567,647,0.0,0.9999999403953552,60.24067306518555,0.014322916977107525,0.2544369697570801,0.22506959736347198,993792.0,4928,0.02776731178164482,0.6229269504547119,646,30.934898376464844,288.041707252
1746159962.012627,0.0,665,0.0,1.0,55.42857360839844,0.01497395895421505,0.2256244421005249,0.23872001469135284,1021440.0,5072,0.023540856316685677,0.021081792190670967,664,32.10807418823242,294.059065544
1746159965.6565561,0.0,676,0.0,1.0,55.42857360839844,0.014322916977107525,0.20388928055763245,0.20944078266620636,1038336.0,5160,0.04880409315228462,0.021081792190670967,675,31.847658157348633,297.703080071
1746159968.6498194,0.0,685,0.0,1.0,55.42857360839844,0.01497395895421505,0.47333553433418274,0.15484999120235443,1052160.0,5232,0.03167339786887169,0.021081792190670967,684,30.591148376464844,300.696292279
1746159974.2611027,0.0,702,0.0,1.0,55.42857360839844,0.0162760429084301,0.21423976123332977,0.11187873035669327,1078272.0,5368,0.02378993108868599,0.021081792190670967,701,29.687501907348633,306.307623405
1746159974.594892,0.0,703,0.0,1.0,55.42857360839844,0.02148437686264515,0.27048060297966003,0.08898335695266724,1079808.0,5376,0.024971192702651024,0.021081792190670967,702,28.298830032348633,306.641382041
1746159983.5335042,0.0,730,0.0,1.0,55.42857360839844,0.015625,0.3897041380405426,0.20392446219921112,1121280.0,5592,0.02817854844033718,0.021081792190670967,729,29.873699188232422,315.579948363
1746159985.5026083,0.0,736,0.0,1.0,55.42857360839844,0.013671875931322575,0.16504639387130737,0.2068558782339096,1130496.0,5640,0.07755507528781891,0.021081792190670967,735,32.40494918823242,317.549030633
1746159986.4880493,0.0,739,0.0,1.0,55.42857360839844,0.0078125,0.2042538821697235,0.25308454036712646,1135104.0,5664,0.031701285392045975,0.021081792190670967,738,32.02604293823242,318.53454644
1746160000.3577225,0.0,781,0.0,1.0,55.42857360839844,0.013671875931322575,0.2310125231742859,0.31756770610809326,1199616.0,6000,0.07906359434127808,0.021081792190670967,780,32.36979293823242,332.404182494
1746160004.658458,0.0,794,0.0,1.0,55.42857360839844,0.014322916977107525,0.12187464535236359,0.3043656051158905,1219584.0,6104,0.16698519885540009,0.021081792190670967,793,31.867189407348633,336.704889477
1746160020.1825666,0.0,841,0.0,1.0,55.42857360839844,0.014322916977107525,0.15528586506843567,0.26850301027297974,1291776.0,6480,0.2615041434764862,0.021081792190670967,840,32.063804626464844,352.229048442
1746160021.1686852,0.0,844,0.0,1.0,55.42857360839844,0.010416666977107525,0.13682594895362854,0.22935593128204346,1296384.0,6504,0.20623476803302765,0.021081792190670967,843,32.1015625,353.21513016
