loss,test_returned_episode_lengths,returned_won_episode,returned_episode_returns,returned_episode,env_step,grad_steps,qvals,returned_episode_lengths,_timestamp,update_steps,_step,test_returned_episode,_runtime,test_returned_episode_returns,test_returned_won_episode
0.0,9.851764678955078,0.0,0.13390451669692993,0.02018229104578495,24576.0,0,0.0,26.26888084411621,1746190049.8215468,16,15,1.0,58.499812085,0.00011371447908459231,0.0
0.010680383071303368,9.851764678955078,0.0,0.1559435874223709,0.017578125,150528.0,536,0.8674898147583008,27.6953125,1746190070.4674091,98,97,1.0,79.145735245,0.00011371447908459231,0.0
0.010526789352297783,9.851764678955078,0.0,0.16753298044204712,0.01953125,152064.0,544,0.8611747622489929,28.1875,1746190070.7617526,99,98,1.0,79.440070199,0.00011371447908459231,0.0
0.024517200887203217,9.851764678955078,0.0,0.1813689023256302,0.01627604104578495,156672.0,568,0.8715764284133911,28.06770896911621,1746190071.6520588,102,101,1.0,80.330484315,0.00011371447908459231,0.0
0.012197038158774376,9.851764678955078,0.0,0.1793932169675827,0.01822916604578495,168960.0,632,0.838782548904419,28.36197853088379,1746190074.020532,110,109,1.0,82.698850163,0.00011371447908459231,0.0
0.018228929489850998,9.851764678955078,0.0,0.17530815303325653,0.017578125,210432.0,848,0.8287039399147034,27.35221290588379,1746190081.9853606,137,136,1.0,90.663820121,0.00011371447908459231,0.0
0.03399687260389328,9.851764678955078,0.0,0.18739409744739532,0.01627604104578495,233472.0,968,0.8020167946815491,29.25,1746190086.4128551,152,151,1.0,95.09117475,0.00011371447908459231,0.0
0.024100258946418762,9.851764678955078,0.0,0.19758419692516327,0.01627604104578495,259584.0,1104,0.7539097666740417,30.20703125,1746190091.4332912,169,168,1.0,100.111628703,0.00011371447908459231,0.0
0.028419381007552147,9.851764678955078,0.0,0.18555814027786255,0.015625,270336.0,1160,0.735161304473877,29.45963478088379,1746190093.5090096,176,175,1.0,102.187372708,0.00011371447908459231,0.0
0.031181998550891876,9.851764678955078,0.0,0.2184392213821411,0.01692708395421505,287232.0,1248,0.7362586259841919,29.17838478088379,1746190096.7617545,187,186,1.0,105.440079786,0.00011371447908459231,0.0
0.0318417102098465,9.851764678955078,0.0,0.19224651157855988,0.01627604104578495,316416.0,1400,0.5920865535736084,29.87109375,1746190102.3809862,206,205,1.0,111.059347367,0.00011371447908459231,0.0
0.06970677524805069,9.851764678955078,0.0,0.1674843579530716,0.014973958022892475,396288.0,1816,0.5324530601501465,30.38541603088379,1746190117.7825387,258,257,1.0,126.460887572,0.00011371447908459231,0.0
0.05144511163234711,9.851764678955078,0.0,0.2183932214975357,0.017578125,405504.0,1864,0.5410277843475342,29.71940040588379,1746190119.552486,264,263,1.0,128.230896148,0.00011371447908459231,0.0
0.04984070733189583,9.851764678955078,0.0,0.18100693821907043,0.01692708395421505,410112.0,1888,0.535101592540741,29.12890625,1746190120.431838,267,266,1.0,129.110204833,0.00011371447908459231,0.0
0.05881961062550545,9.851764678955078,0.0,0.1886579692363739,0.01627604104578495,416256.0,1920,0.5488925576210022,30.00325584411621,1746190121.6194582,271,270,1.0,130.297801903,0.00011371447908459231,0.0
0.1364113688468933,9.851764678955078,0.0,0.16867274045944214,0.017578125,425472.0,1968,0.537040114402771,29.53515625,1746190123.3912604,277,276,1.0,132.069620602,0.00011371447908459231,0.0
0.0899299681186676,9.851764678955078,0.0,0.15974651277065277,0.01822916604578495,434688.0,2016,0.5454823970794678,29.30338478088379,1746190125.1659944,283,282,1.0,133.844368193,0.00011371447908459231,0.0
0.10326921194791794,9.851764678955078,0.0,0.14857465028762817,0.01822916604578495,442368.0,2056,0.4683469533920288,28.82356834411621,1746190126.6450324,288,287,1.0,135.323375324,0.00011371447908459231,0.0
0.1006949245929718,9.851764678955078,0.0,0.1844843626022339,0.01627604104578495,443904.0,2064,0.46035853028297424,29.81510353088379,1746190126.939871,289,288,1.0,135.61823371,0.00011371447908459231,0.0
0.10627619922161102,39.682350158691406,0.0,0.1801232546567917,0.01822916604578495,500736.0,2360,0.538936197757721,29.259765625,1746190137.9269178,326,325,0.9999999403953552,146.605275541,0.11799606680870056,0.0
0.1740390658378601,39.682350158691406,0.0,0.15025432407855988,0.02083333395421505,508416.0,2400,0.5347365736961365,27.3671875,1746190139.3980744,331,330,0.9999999403953552,148.076491695,0.11799606680870056,0.0
0.09770730137825012,39.682350158691406,0.0,0.17244182527065277,0.014322916977107525,513024.0,2424,0.505119264125824,30.34895896911621,1746190140.2814443,334,333,0.9999999403953552,148.959780591,0.11799606680870056,0.0
0.13615816831588745,39.682350158691406,0.0,0.1810894012451172,0.01627604104578495,523776.0,2480,0.4377940893173218,29.375,1746190142.3793366,341,340,0.9999999403953552,151.057712116,0.11799606680870056,0.0
