returned_won_episode,update_steps,test_returned_episode_returns,qvals,env_step,test_returned_episode,returned_episode_returns,returned_episode,grad_steps,_step,_timestamp,loss,test_returned_won_episode,test_returned_episode_lengths,returned_episode_lengths,_runtime
0.0,3,0.0732981488108635,0.0,4608.0,1.0,0.11699084937572479,0.01497395895421505,0,2,1746155223.8599098,0.0,0.0,42.396636962890625,31.768230438232422,78.234168768
0.0,4,0.0732981488108635,0.0,6144.0,1.0,0.11658556759357452,0.01497395895421505,0,3,1746155223.9212685,0.0,0.0,42.396636962890625,31.136070251464844,78.295722572
0.0,25,0.0732981488108635,0.0,38400.0,1.0,0.12098231911659241,0.014322916977107525,0,24,1746155225.2134326,0.0,0.0,42.396636962890625,31.197917938232422,79.587682932
0.0,32,0.0732981488108635,0.021001294255256653,49152.0,1.0,0.11114063858985901,0.015625,8,31,1746155225.9139278,0.006954764015972614,0.0,42.396636962890625,30.486980438232422,80.288241428
0.0,47,0.0732981488108635,0.38581106066703796,72192.0,1.0,0.13142655789852142,0.01497395895421505,128,46,1746155230.873739,0.00564375426620245,0.0,42.396636962890625,30.951824188232422,85.248211461
0.0,69,0.0732981488108635,0.6579152345657349,105984.0,1.0,0.14402441680431366,0.01497395895421505,304,68,1746155238.155223,0.009608674794435501,0.0,42.396636962890625,31.104167938232422,92.52977297
0.0,96,0.0732981488108635,0.7785613536834717,147456.0,1.0,0.16874609887599945,0.014322916977107525,520,95,1746155247.0651891,0.0174536295235157,0.0,42.396636962890625,30.906251907348633,101.439284778
0.0,117,0.0732981488108635,0.7585698962211609,179712.0,1.0,0.20264217257499695,0.015625,688,116,1746155253.988689,0.026212053373456,0.0,42.396636962890625,31.891929626464844,108.363073863
0.0,140,0.0732981488108635,0.7103253602981567,215040.0,1.0,0.20165082812309265,0.015625,872,139,1746155261.5867198,0.06473109126091003,0.0,42.396636962890625,31.575523376464844,115.960892229
0.0,145,0.0732981488108635,0.7113548517227173,222720.0,1.0,0.19073276221752167,0.01302083395421505,912,144,1746155263.2288926,0.07167445868253708,0.0,42.396636962890625,30.901042938232422,117.602991747
0.0,151,0.0732981488108635,0.7128697037696838,231936.0,1.0,0.2071341723203659,0.011718750931322575,960,150,1746155265.2128842,0.04660908877849579,0.0,42.396636962890625,31.901042938232422,119.587003681
0.0,187,0.0732981488108635,0.6757683157920837,287232.0,1.0,0.21515783667564392,0.01497395895421505,1248,186,1746155277.1402457,0.13619935512542725,0.0,42.396636962890625,31.273439407348633,131.514378167
0.0,191,0.0732981488108635,0.6731950640678406,293376.0,1.0,0.24372602999210358,0.01497395895421505,1280,190,1746155278.468065,0.13944777846336365,0.0,42.396636962890625,31.928386688232422,132.842353839
0.0,194,0.0732981488108635,0.7023955583572388,297984.0,1.0,0.19108134508132935,0.01302083395421505,1304,193,1746155279.4526696,0.10649387538433075,0.0,42.396636962890625,30.600261688232422,133.826752653
0.0,223,0.0732981488108635,0.6833131313323975,342528.0,1.0,0.21056990325450897,0.014322916977107525,1536,222,1746155289.039995,0.4079906940460205,0.0,42.396636962890625,30.657554626464844,143.414126247
