returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode,_runtime,grad_steps,returned_episode_returns,test_returned_episode_lengths,test_returned_won_episode,test_returned_episode,qvals,env_step,_timestamp
27.759765625,0.0,7,6,0.07050636410713196,0.0,0.01888020895421505,44.964929477,0,0.15528732538223267,21.240447998046875,0.0,1.0,0.0,10752,1746193138.2176723
28.556640625,0.0,16,15,0.07050636410713196,0.0,0.01822916604578495,45.465708512,0,0.12899565696716309,21.240447998046875,0.0,1.0,0.0,24576,1746193138.7184465
29.517578125,0.0,24,23,0.07050636410713196,0.0,0.02018229104578495,45.911088384,0,0.14442448318004608,21.240447998046875,0.0,1.0,0.0,36864,1746193139.1638315
26.86458396911621,0.0,27,26,0.07050636410713196,0.0,0.01822916604578495,46.078056568,0,0.14123956859111786,21.240447998046875,0.0,1.0,0.0,41472,1746193139.330805
27.41666603088379,0.0,69,68,0.07050636410713196,0.0073995329439640045,0.01822916604578495,57.54918364,304,0.16090886294841766,21.240447998046875,0.0,1.0,0.8192412853240967,105984,1746193150.8018978
28.57421875,0.0,70,69,0.07050636410713196,0.007642623037099838,0.02018229104578495,57.845133363,312,0.16230641305446625,21.240447998046875,0.0,1.0,0.8063622713088989,107520,1746193151.097851
29.576171875,0.0,82,81,0.07050636410713196,0.020091256126761436,0.01888020895421505,61.404591557,408,0.1718810647726059,21.240447998046875,0.0,1.0,0.8594964742660522,125952,1746193154.6573
29.5546875,0.0,90,89,0.07050636410713196,0.008440804667770863,0.01692708395421505,63.772221808,472,0.1759565770626068,21.240447998046875,0.0,1.0,0.8421539664268494,138240,1746193157.0249496
29.81119728088379,0.0,95,94,0.07050636410713196,0.011842440813779831,0.017578125,65.250865559,512,0.17539842426776886,21.240447998046875,0.0,1.0,0.8395538330078125,145920,1746193158.503585
28.84440040588379,0.0,108,107,0.07050636410713196,0.010816731490194798,0.017578125,69.096780042,616,0.18536284565925598,21.240447998046875,0.0,1.0,0.8157107830047607,165888,1746193162.3495035
27.623046875,0.0,122,121,0.07050636410713196,0.02636190503835678,0.01953125,73.243476136,728,0.18277864158153534,21.240447998046875,0.0,1.0,0.8609644174575806,187392,1746193166.4962082
29.48567771911621,0.0,127,126,0.07050636410713196,0.01581893302500248,0.017578125,74.72337592,768,0.2068828046321869,21.240447998046875,0.0,1.0,0.8768996596336365,195072,1746193167.9761071
27.08724021911621,0.0,151,150,0.07050636410713196,0.020111067220568657,0.01822916604578495,81.829896991,960,0.18543055653572083,21.240447998046875,0.0,1.0,0.8260859251022339,231936,1746193175.0826156
