returned_episode_lengths,returned_won_episode,update_steps,test_returned_episode_lengths,_step,test_returned_episode_returns,loss,returned_episode,_runtime,grad_steps,env_step,returned_episode_returns,test_returned_won_episode,qvals,test_returned_episode,_timestamp
25.807292938232422,0.0,3,27.809934616088867,2,0.12359084188938141,0.0,0.02278645895421505,59.29477571,0,4608,0.23441599309444427,0.0,0.0,1.0,1747616550.7275085
26.090496063232422,0.0,6,27.809934616088867,5,0.12359084188938141,0.0,0.0240885429084301,59.506976897,0,9216,0.2236649990081787,0.0,0.0,1.0,1747616550.9397426
25.00716209411621,0.0,11,27.809934616088867,10,0.12359084188938141,0.0,0.02539062686264515,59.859898775,0,16896,0.23156723380088806,0.0,0.0,1.0,1747616551.2926705
25.86067771911621,0.0,13,27.809934616088867,12,0.12359084188938141,0.0,0.02539062686264515,60.001027467,0,19968,0.2238757312297821,0.0,0.0,1.0,1747616551.4337864
25.949220657348633,0.0,14,27.809934616088867,13,0.12359084188938141,0.0,0.0240885429084301,60.071539674,0,21504,0.23676708340644836,0.0,0.0,1.0,1747616551.504326
25.389324188232422,0.0,15,27.809934616088867,14,0.12359084188938141,0.0,0.02343750186264515,60.142176537,0,23040,0.229828879237175,0.0,0.0,1.0,1747616551.5749297
24.412761688232422,0.0,20,27.809934616088867,19,0.12359084188938141,0.0,0.02473958395421505,60.509659526,0,30720,0.21673516929149628,0.0,0.0,1.0,1747616551.9307873
24.967449188232422,0.0,21,27.809934616088867,20,0.12359084188938141,0.0,0.02539062686264515,60.568311583,0,32256,0.2033918797969818,0.0,0.0,1.0,1747616552.0011017
25.22200584411621,0.0,29,27.809934616088867,28,0.12359084188938141,0.0,0.02539062686264515,61.133399131,0,44544,0.23927314579486847,0.0,0.0,1.0,1747616552.5661623
24.652996063232422,0.0,37,27.809934616088867,36,0.12359084188938141,0.02047846093773842,0.0260416679084301,64.021051165,48,56832,0.22452981770038605,0.0,0.38439321517944336,1.0,1747616555.4537158
24.904949188232422,0.0,38,27.809934616088867,37,0.12359084188938141,0.017240401357412338,0.02473958395421505,64.478142258,56,58368,0.21984247863292694,0.0,0.30677860975265503,1.0,1747616555.9107776
26.410158157348633,0.0,55,27.809934616088867,54,0.12359084188938141,0.03471984714269638,0.02148437686264515,72.285973564,192,84480,0.25282976031303406,0.0,0.45169681310653687,1.0,1747616563.7185583
25.457683563232422,0.0,65,27.809934616088867,64,0.12359084188938141,0.0539514385163784,0.0240885429084301,76.880370658,272,99840,0.28495460748672485,0.0,0.4890744984149933,1.0,1747616568.3129907
26.246095657348633,0.0,70,27.809934616088867,69,0.12359084188938141,0.04378823935985565,0.02343750186264515,79.179365528,312,107520,0.27160289883613586,0.0,0.5223339200019836,1.0,1747616570.6120229
25.762371063232422,0.0,71,27.809934616088867,70,0.12359084188938141,0.04499918967485428,0.02278645895421505,79.636938953,320,109056,0.22717896103858948,0.0,0.5344846248626709,1.0,1747616571.0695748
26.277345657348633,0.0,78,27.809934616088867,77,0.12359084188938141,0.06977301090955734,0.02343750186264515,82.861999975,376,119808,0.2875525951385498,0.0,0.429962694644928,1.0,1747616574.2946308
26.664714813232422,0.0,79,27.809934616088867,78,0.12359084188938141,0.07099652290344238,0.02278645895421505,83.320559091,384,121344,0.26722216606140137,0.0,0.4406158924102783,1.0,1747616574.7530246
26.55403709411621,0.0,85,27.809934616088867,84,0.12359084188938141,0.10541363805532455,0.0240885429084301,86.0814714,432,130560,0.29018524289131165,0.0,0.458564817905426,1.0,1747616577.5139456
25.95052146911621,0.0,119,27.809934616088867,118,0.12359084188938141,0.2081741988658905,0.02148437686264515,101.735515905,704,182784,0.288235604763031,0.0,0.5640900135040283,1.0,1747616593.1680787
25.54622459411621,0.0,121,27.809934616088867,120,0.12359084188938141,0.2238042950630188,0.02473958395421505,102.661875742,720,185856,0.3018903136253357,0.0,0.5683203935623169,1.0,1747616594.0943027
25.419923782348633,0.0,130,27.809934616088867,129,0.12359084188938141,0.222135990858078,0.0221354179084301,106.82723134,792,199680,0.24972636997699738,0.0,0.6022366285324097,1.0,1747616598.2598736
27.068361282348633,0.0,135,27.809934616088867,134,0.12359084188938141,0.17193928360939026,0.0240885429084301,109.132090105,832,207360,0.2561483383178711,0.0,0.6127330660820007,1.0,1747616600.5645988
25.865236282348633,0.0,144,27.809934616088867,143,0.12359084188938141,0.17196780443191528,0.02278645895421505,113.285789197,904,221184,0.25417986512184143,0.0,0.624451756477356,1.0,1747616604.718284
25.15755271911621,0.0,146,27.809934616088867,145,0.12359084188938141,0.17374736070632935,0.0240885429084301,114.209152575,920,224256,0.27445051074028015,0.0,0.602858304977417,1.0,1747616605.6417818
25.904949188232422,0.0,147,27.809934616088867,146,0.12359084188938141,0.1731482744216919,0.02343750186264515,114.671430214,928,225792,0.2798539996147156,0.0,0.6189792156219482,1.0,1747616606.1040597
25.553386688232422,0.0,149,27.809934616088867,148,0.12359084188938141,0.17410293221473694,0.02278645895421505,115.597641761,944,228864,0.27733752131462097,0.0,0.6142642498016357,1.0,1747616607.030243
27.580080032348633,0.0,150,27.809934616088867,149,0.12359084188938141,0.15944962203502655,0.0221354179084301,116.059920302,952,230400,0.26980993151664734,0.0,0.6195647716522217,1.0,1747616607.4925606
25.330080032348633,0.0,154,27.809934616088867,153,0.12359084188938141,0.16381166875362396,0.02148437686264515,117.902691887,984,236544,0.23516494035720825,0.0,0.6417471170425415,1.0,1747616609.3352125
27.320964813232422,0.0,155,27.809934616088867,154,0.12359084188938141,0.1648235321044922,0.02278645895421505,118.363756456,992,238080,0.2810463011264801,0.0,0.6335526704788208,1.0,1747616609.7963014
26.46419334411621,0.0,156,27.809934616088867,155,0.12359084188938141,0.14700408279895782,0.0240885429084301,118.826724709,1000,239616,0.2928487956523895,0.0,0.6336538195610046,1.0,1747616610.2593367
25.94466209411621,0.0,162,27.809934616088867,161,0.12359084188938141,0.14802232384681702,0.02473958395421505,121.589156368,1048,248832,0.29077866673469543,0.0,0.637046217918396,1.0,1747616613.0217357
24.675783157348633,0.0,169,27.809934616088867,168,0.12359084188938141,0.15890800952911377,0.02343750186264515,124.826059887,1104,259584,0.254060834646225,0.0,0.6392362117767334,1.0,1747616616.258682
25.906251907348633,0.0,170,27.809934616088867,169,0.12359084188938141,0.15575557947158813,0.0221354179084301,125.288569725,1112,261120,0.2819310128688812,0.0,0.6438835859298706,1.0,1747616616.7212176
26.754558563232422,0.0,179,27.809934616088867,178,0.12359084188938141,0.1570584774017334,0.02343750186264515,129.447169784,1184,274944,0.30323526263237,0.0,0.6377395391464233,1.0,1747616620.87979
26.13216209411621,0.0,183,27.809934616088867,182,0.12359084188938141,0.15299952030181885,0.02278645895421505,131.302880197,1216,281088,0.28137582540512085,0.0,0.6494452953338623,1.0,1747616622.7355018
25.726564407348633,0.0,193,27.809934616088867,192,0.12359084188938141,0.15105509757995605,0.02278645895421505,135.921389381,1296,296448,0.2902901768684387,0.0,0.6507247090339661,1.0,1747616627.354025
26.26888084411621,0.0,201,27.809934616088867,200,0.12359084188938141,0.14171820878982544,0.02148437686264515,139.625846034,1360,308736,0.2761665880680084,0.0,0.6442441940307617,1.0,1747616631.0582922
25.397136688232422,0.0,211,27.809934616088867,210,0.12359084188938141,0.15017595887184143,0.02343750186264515,144.230685951,1440,324096,0.26692643761634827,0.0,0.6492099761962891,1.0,1747616635.663212
26.97591209411621,0.0,215,27.809934616088867,214,0.12359084188938141,0.14365163445472717,0.02148437686264515,146.080218776,1472,330240,0.2912544310092926,0.0,0.6387065649032593,1.0,1747616637.5128145
25.660158157348633,0.0,217,27.809934616088867,216,0.12359084188938141,0.14011633396148682,0.0240885429084301,147.004718661,1488,333312,0.2849065959453583,0.0,0.6412014365196228,1.0,1747616638.437226
24.75911521911621,0.0,223,27.809934616088867,222,0.12359084188938141,0.13705888390541077,0.02278645895421505,149.778919187,1536,342528,0.27348604798316956,0.0,0.6241705417633057,1.0,1747616641.2115316
26.005861282348633,0.0,231,27.809934616088867,230,0.12359084188938141,0.13044099509716034,0.0221354179084301,153.476880161,1600,354816,0.2639985680580139,0.0,0.6295064687728882,1.0,1747616644.9093354
26.820314407348633,0.0,232,27.809934616088867,231,0.12359084188938141,0.12903502583503723,0.02343750186264515,153.940610685,1608,356352,0.3058469295501709,0.0,0.6263164281845093,1.0,1747616645.373209
26.360027313232422,0.0,236,27.809934616088867,235,0.12359084188938141,0.12970632314682007,0.02343750186264515,155.790876965,1640,362496,0.2851477563381195,0.0,0.6240888833999634,1.0,1747616647.2235205
27.289064407348633,0.0,242,27.809934616088867,241,0.12359084188938141,0.12934306263923645,0.0221354179084301,158.566335478,1688,371712,0.3072727918624878,0.0,0.6100123524665833,1.0,1747616649.9989853
26.065105438232422,0.0,244,27.809934616088867,243,0.12359084188938141,0.1201900839805603,0.0240885429084301,159.493673813,1704,374784,0.31881314516067505,0.0,0.6199173927307129,1.0,1747616650.9261575
26.37239646911621,0.0,252,27.809934616088867,251,0.12359084188938141,0.11268986761569977,0.02278645895421505,163.185898623,1768,387072,0.3052976131439209,0.0,0.6026338338851929,1.0,1747616654.6185043
25.95833396911621,0.0,257,27.809934616088867,256,0.12359084188938141,0.122048020362854,0.0240885429084301,165.493165476,1808,394752,0.3101688027381897,0.0,0.5998284816741943,1.0,1747616656.9257014
26.49153709411621,0.0,259,27.809934616088867,258,0.12359084188938141,0.12112106382846832,0.02343750186264515,166.420940977,1824,397824,0.2643870413303375,0.0,0.6010978817939758,1.0,1747616657.8535914
27.500652313232422,0.0,260,27.809934616088867,259,0.12359084188938141,0.11724964529275894,0.02083333395421505,166.879380106,1832,399360,0.312945157289505,0.0,0.6036468148231506,1.0,1747616658.3118901
25.27278709411621,0.0,272,27.809934616088867,271,0.12359084188938141,0.11291877180337906,0.0221354179084301,172.427233395,1928,417792,0.31951555609703064,0.0,0.5803993940353394,1.0,1747616663.8597927
26.43684959411621,0.0,276,27.809934616088867,275,0.12359084188938141,0.10793013870716095,0.02083333395421505,174.28115001,1960,423936,0.305294930934906,0.0,0.5876945853233337,1.0,1747616665.7137923
27.16341209411621,0.0,279,27.809934616088867,278,0.12359084188938141,0.11136876046657562,0.0221354179084301,175.663933159,1984,428544,0.3196752965450287,0.0,0.5762629508972168,1.0,1747616667.0965762
25.609376907348633,0.0,290,27.809934616088867,289,0.12359084188938141,0.1065962165594101,0.02278645895421505,180.738313333,2072,445440,0.3346543312072754,0.0,0.568735659122467,1.0,1747616672.170856
27.130861282348633,0.0,298,27.809934616088867,297,0.12359084188938141,0.10859620571136475,0.02278645895421505,184.442868331,2136,457728,0.31440436840057373,0.0,0.5592131614685059,1.0,1747616675.8755121
26.266277313232422,0.0,306,27.809934616088867,305,0.12359084188938141,0.09562291204929352,0.0221354179084301,188.14513123,2200,470016,0.2897750437259674,0.0,0.5448691844940186,1.0,1747616679.5776594
25.736330032348633,0.0,313,27.809934616088867,312,0.12359084188938141,0.09712792932987213,0.02278645895421505,191.390863635,2256,480768,0.29951193928718567,0.0,0.5305886268615723,1.0,1747616682.8233063
27.069011688232422,0.0,315,27.809934616088867,314,0.12359084188938141,0.09481969475746155,0.02278645895421505,192.316013446,2272,483840,0.31320416927337646,0.0,0.5282835960388184,1.0,1747616683.7486532
