test_returned_won_episode,returned_won_episode,returned_episode_returns,grad_steps,update_steps,_runtime,qvals,env_step,returned_episode,loss,returned_episode_lengths,_timestamp,test_returned_episode_returns,test_returned_episode,_step,test_returned_episode_lengths
0.0,0.0,0.1290295124053955,96,43,50.781331597,0.45703792572021484,66048.0,0.02018229104578495,0.012738036923110485,25.86197853088379,1746187226.1038125,0.01285566296428442,1.0,42,12.50939655303955
0.0,0.0,0.17624826729297638,504,94,65.888337061,1.0446308851242065,144384.0,0.01822916604578495,0.01486930064857006,28.27083396911621,1746187241.2108154,0.01285566296428442,1.0,93,12.50939655303955
0.0,0.0,0.15982551872730255,512,95,66.183937282,1.0667973756790161,145920.0,0.01953125,0.013381635770201683,28.15885353088379,1746187241.5064216,0.01285566296428442,1.0,94,12.50939655303955
0.0,0.0,0.18053296208381653,688,117,72.698909023,1.0467240810394287,179712.0,0.01627604104578495,0.015902703627943993,28.77408790588379,1746187248.0213842,0.01285566296428442,1.0,116,12.50939655303955
0.0,0.0,0.187913179397583,1080,166,87.217637421,0.9629790782928467,254976.0,0.01692708395421505,0.03481152653694153,29.99283790588379,1746187262.5400965,0.01285566296428442,1.0,165,12.50939655303955
0.0,0.0,0.2043081372976303,1128,172,88.993844161,0.9718431234359741,264192.0,0.01692708395421505,0.04038083553314209,29.08203125,1746187264.3163285,0.01285566296428442,1.0,171,12.50939655303955
0.0,0.0,0.18758852779865265,1136,173,89.289617468,0.9670058488845825,265728.0,0.01692708395421505,0.03811052069067955,28.30078125,1746187264.6120973,0.01285566296428442,1.0,172,12.50939655303955
0.0,0.0,0.20227862894535065,1392,205,98.764776301,0.9092234373092651,314880.0,0.017578125,0.051690634340047836,29.33658790588379,1746187274.0872428,0.01285566296428442,1.0,204,12.50939655303955
0.0,0.0,0.1924808770418167,1472,215,101.730375569,0.7377539873123169,330240.0,0.01627604104578495,0.06958398222923279,30.44791603088379,1746187277.052832,0.01285566296428442,1.0,214,12.50939655303955
0.0,0.0,0.19782117009162903,1504,219,102.914149131,0.7640039920806885,336384.0,0.01692708395421505,0.03812597692012787,29.56184959411621,1746187278.2366235,0.01285566296428442,1.0,218,12.50939655303955
0.0,0.0,0.19255121052265167,1648,237,108.243796631,0.8980894088745117,364032.0,0.015625,0.058294348418712616,30.6015625,1746187283.5662885,0.01285566296428442,1.0,236,12.50939655303955
0.0,0.0,0.18306075036525726,2072,290,123.948401892,0.6072807312011719,445440.0,0.015625,0.05489397794008255,29.21744728088379,1746187299.2708776,0.01285566296428442,1.0,289,12.50939655303955
0.0,0.0,0.18235935270786285,2088,292,124.541929638,0.6184893846511841,448512.0,0.01627604104578495,0.07278446853160858,30.28775978088379,1746187299.8644044,0.01285566296428442,1.0,291,12.50939655303955
0.0,0.0,0.1574895828962326,2240,311,130.165348953,0.618229866027832,477696.0,0.01692708395421505,0.08821356296539307,30.26692771911621,1746187305.487814,0.01285566296428442,1.0,310,12.50939655303955
0.0,0.0,0.1007508784532547,2280,316,131.645030245,0.4827646017074585,485376.0,0.02994791604578495,0.09536461532115936,22.79622459411621,1746187306.9674947,0.01285566296428442,1.0,315,12.50939655303955
0.0,0.0,0.15438716113567352,2336,323,133.716312173,0.5396897792816162,496128.0,0.015625,0.09632229804992676,27.96744728088379,1746187309.0387943,0.01285566296428442,1.0,322,12.50939655303955
0.0,0.0,0.1966249942779541,2392,330,135.855668586,0.5280530452728271,506880.0,0.01627604104578495,0.09554528445005417,29.7265625,1746187311.1781158,0.1692177653312683,1.0,329,41.52167510986328
0.0,0.0,0.16151820123195648,2432,335,137.3355731,0.43745744228363037,514560.0,0.014973958022892475,0.14518588781356812,30.5078125,1746187312.6580412,0.1692177653312683,1.0,334,41.52167510986328
0.0,0.0,0.16122481226921082,2440,336,137.631484047,0.38750159740448,516096.0,0.01822916604578495,0.16297176480293274,28.68033790588379,1746187312.9539387,0.1692177653312683,1.0,335,41.52167510986328
0.0,0.0,0.14417187869548798,2592,355,143.261556512,0.35188060998916626,545280.0,0.014973958022892475,0.08454678952693939,29.529296875,1746187318.5840094,0.1692177653312683,1.0,354,41.52167510986328
0.0,0.0,0.16177776455879211,2624,359,144.444855777,0.3676482141017914,551424.0,0.014973958022892475,0.077895388007164,29.390625,1746187319.7673283,0.1692177653312683,1.0,358,41.52167510986328
0.0,0.0,0.17450693249702454,2696,368,147.108857154,0.3794206380844116,565248.0,0.014973958022892475,0.0889962837100029,29.57552146911621,1746187322.4313369,0.1692177653312683,1.0,367,41.52167510986328
0.0,0.0,0.1408897489309311,2816,383,151.557332179,0.39600080251693726,588288.0,0.015625,0.11812435835599899,29.720703125,1746187326.8798099,0.1692177653312683,1.0,382,41.52167510986328
0.0,0.0,0.15965624153614044,2864,389,153.335712185,0.4076950252056122,597504.0,0.015625,0.16807320713996887,30.41796875,1746187328.657751,0.1692177653312683,1.0,388,41.52167510986328
0.0,0.0,0.13288888335227966,2880,391,153.930593118,0.4494049847126007,600576.0,0.01953125,0.1154489815235138,28.84895896911621,1746187329.253079,0.1692177653312683,1.0,390,41.52167510986328
0.0,0.0,0.1660321056842804,2944,399,156.297328147,0.47302013635635376,612864.0,0.015625,0.09879124164581299,30.265625,1746187331.6198194,0.1692177653312683,1.0,398,41.52167510986328
0.0,0.0,0.16875173151493073,3000,406,158.370057128,0.44715172052383423,623616.0,0.015625,0.09530816972255707,30.30924415588379,1746187333.6925204,0.1692177653312683,1.0,405,41.52167510986328
0.0,0.0,0.1685260385274887,3160,426,164.363277982,0.4156116843223572,654336.0,0.017578125,0.20506468415260315,28.84375,1746187339.6857555,0.1692177653312683,1.0,425,41.52167510986328
