env_step,test_returned_won_episode,_timestamp,loss,test_returned_episode_returns,qvals,update_steps,test_returned_episode,returned_episode_lengths,_runtime,grad_steps,returned_episode_returns,returned_episode,returned_won_episode,_step,test_returned_episode_lengths
29184.0,0.0,1746192097.6124256,0.0,0.06096353754401207,0.0,19,1.0,27.513671875,101.719439407,0,0.13493141531944275,0.02083333395421505,0.0,18,35.56966018676758
32256.0,0.0,1746192097.7219584,0.0,0.06096353754401207,0.0,21,1.0,27.41471290588379,101.829184572,0,0.145787313580513,0.01888020895421505,0.0,20,35.56966018676758
55296.0,0.0,1746192099.7581248,0.010008979588747025,0.06096353754401207,0.2524985373020172,36,1.0,26.44140625,103.865490537,40,0.12864583730697632,0.021484375,0.0,35,35.56966018676758
112128.0,0.0,1746192110.6961608,0.010971814393997192,0.06096353754401207,0.8530398011207581,73,1.0,27.33919334411621,114.803432678,336,0.15500694513320923,0.01888020895421505,0.0,72,35.56966018676758
127488.0,0.0,1746192113.6473963,0.014095854014158249,0.06096353754401207,0.8417158126831055,83,1.0,28.486328125,117.754475696,416,0.16655120253562927,0.017578125,0.0,82,35.56966018676758
172032.0,0.0,1746192122.2170508,0.022929374128580093,0.06096353754401207,0.8395540118217468,112,1.0,28.65950584411621,126.324344979,648,0.19342012703418732,0.01888020895421505,0.0,111,35.56966018676758
222720.0,0.0,1746192131.958508,0.022875916212797165,0.06096353754401207,0.7878646850585938,145,1.0,29.640625,136.065878987,912,0.18904165923595428,0.01692708395421505,0.0,144,35.56966018676758
319488.0,0.0,1746192150.5657768,0.031279511749744415,0.06096353754401207,0.7360802888870239,208,1.0,29.32682228088379,154.673006586,1416,0.18346180021762848,0.014322916977107525,0.0,207,35.56966018676758
410112.0,0.0,1746192167.9498072,0.05627215653657913,0.06096353754401207,0.5398592948913574,267,1.0,28.85677146911621,172.056746654,1888,0.19027169048786163,0.01692708395421505,0.0,266,35.56966018676758
417792.0,0.0,1746192169.4194388,0.13134798407554626,0.06096353754401207,0.5569475889205933,272,1.0,28.38541603088379,173.52634393,1928,0.13861976563930511,0.01627604104578495,0.0,271,35.56966018676758
428544.0,0.0,1746192171.476916,0.12050505727529526,0.06096353754401207,0.645248293876648,279,1.0,29.19661521911621,175.583832099,1984,0.1821354180574417,0.017578125,0.0,278,35.56966018676758
454656.0,0.0,1746192176.4845536,0.0683448538184166,0.06096353754401207,0.6756929159164429,296,1.0,29.681640625,180.591450004,2120,0.19629772007465363,0.017578125,0.0,295,35.56966018676758
539136.0,0.0,1746192192.7378175,0.16170930862426758,0.02333529107272625,0.4534020721912384,351,1.0,28.80794334411621,196.844761981,2560,0.18380554020404816,0.017578125,0.0,350,28.190500259399414
577536.0,0.0,1746192200.0863345,0.10443595051765442,0.02333529107272625,0.4760597348213196,376,1.0,29.42838478088379,204.193251993,2760,0.15005207061767578,0.01692708395421505,0.0,375,28.190500259399414
582144.0,0.0,1746192200.9736435,0.10866108536720276,0.02333529107272625,0.4637872576713562,379,1.0,28.07421875,205.080634559,2784,0.13165278732776642,0.02018229104578495,0.0,378,28.190500259399414
586752.0,0.0,1746192201.8559341,0.11961342394351959,0.02333529107272625,0.48113009333610535,382,1.0,28.63997459411621,205.962841589,2808,0.15047046542167664,0.017578125,0.0,381,28.190500259399414
600576.0,0.0,1746192204.500659,0.3230055570602417,0.02333529107272625,0.4697644114494324,391,1.0,23.29231834411621,208.607568129,2880,0.09275086969137192,0.02864583395421505,0.0,390,28.190500259399414
611328.0,0.0,1746192206.5610757,0.26909753680229187,0.02333529107272625,0.5497665405273438,398,1.0,31.01953125,210.667994998,2936,0.13372394442558289,0.015625,0.0,397,28.190500259399414
622080.0,0.0,1746192208.6203704,0.22696202993392944,0.02333529107272625,0.5431081056594849,405,1.0,28.90690040588379,212.727303261,2992,0.15672655403614044,0.01953125,0.0,404,28.190500259399414
654336.0,0.0,1746192214.8897834,0.20724356174468994,0.02333529107272625,0.5066103935241699,426,1.0,25.70247459411621,218.99678676,3160,0.12502343952655792,0.0234375,0.0,425,28.190500259399414
663552.0,0.0,1746192216.6606293,0.1870364248752594,0.02333529107272625,0.4761428236961365,432,1.0,30.138671875,220.76753569,3208,0.17644357681274414,0.01692708395421505,0.0,431,28.190500259399414
683520.0,0.0,1746192220.4859934,0.17334747314453125,0.02333529107272625,0.4720757007598877,445,1.0,30.59765625,224.592944636,3312,0.15016579627990723,0.015625,0.0,444,28.190500259399414
686592.0,0.0,1746192221.0746617,0.18104097247123718,0.02333529107272625,0.45691344141960144,447,1.0,30.00911521911621,225.181613018,3328,0.17656077444553375,0.01627604104578495,0.0,446,28.190500259399414
691200.0,0.0,1746192221.9591215,0.16757458448410034,0.02333529107272625,0.41895121335983276,450,1.0,28.70638084411621,226.066072021,3352,0.15328818559646606,0.01953125,0.0,449,28.190500259399414
701952.0,0.0,1746192224.0124898,0.23682034015655518,0.02333529107272625,0.3715253472328186,457,1.0,31.09505271911621,228.119427711,3408,0.16242098808288574,0.015625,0.0,456,28.190500259399414
721920.0,0.0,1746192227.8435106,0.223936527967453,0.02333529107272625,0.43246322870254517,470,1.0,28.27408790588379,231.950417272,3512,0.1506553739309311,0.01953125,0.0,469,28.190500259399414
737280.0,0.0,1746192230.7802942,0.2457265853881836,0.02333529107272625,0.40685153007507324,480,1.0,31.30078125,234.887189499,3592,0.16958332061767578,0.015625,0.0,479,28.190500259399414
743424.0,0.0,1746192231.956561,0.22373096644878387,0.02333529107272625,0.3844524621963501,484,1.0,30.58984375,236.063479847,3624,0.16289843618869781,0.014973958022892475,0.0,483,28.190500259399414
757248.0,0.0,1746192234.6029696,0.20948579907417297,0.02333529107272625,0.4382795989513397,493,1.0,31.68229103088379,238.709886938,3696,0.12682898342609406,0.015625,0.0,492,28.190500259399414
771072.0,0.0,1746192237.2709866,0.20131553709506989,0.02333529107272625,0.39977574348449707,502,1.0,29.205078125,241.377905563,3768,0.15504252910614014,0.01953125,0.0,501,28.190500259399414
827904.0,0.0,1746192248.1428087,0.20202788710594177,0.02333529107272625,0.3788298964500427,539,1.0,31.89713478088379,252.249718513,4064,0.12758506834506989,0.01171875,0.0,538,28.190500259399414
840192.0,0.0,1746192250.4952447,0.38767850399017334,0.02333529107272625,0.3510172367095947,547,1.0,31.79817771911621,254.60216649,4128,0.13894444704055786,0.013671875,0.0,546,28.190500259399414
846336.0,0.0,1746192251.6707432,0.3538988530635834,0.02333529107272625,0.3437565267086029,551,1.0,31.01822853088379,255.77765284,4160,0.10581682622432709,0.01171875,0.0,550,28.190500259399414
900096.0,0.0,1746192261.9851577,0.20444993674755096,0.02333529107272625,0.28939157724380493,586,1.0,31.15364646911621,266.092112474,4440,0.1284201294183731,0.014322916977107525,0.0,585,28.190500259399414
927744.0,0.0,1746192267.2801805,0.2029729187488556,0.02333529107272625,0.17434300482273102,604,1.0,31.68359375,271.387111603,4584,0.15044443309307098,0.014973958022892475,0.0,603,28.190500259399414
936960.0,0.0,1746192269.0467837,0.20763638615608215,0.02333529107272625,0.19542914628982544,610,1.0,31.97135353088379,273.153693279,4632,0.08753558993339539,0.009765625,0.0,609,28.190500259399414
940032.0,0.0,1746192269.6345625,0.17812204360961914,0.02333529107272625,0.19552800059318542,612,1.0,31.68229103088379,273.741457609,4648,0.11706770956516266,0.013020833022892475,0.0,611,28.190500259399414
941568.0,0.0,1746192269.9285738,0.1851368099451065,0.02333529107272625,0.17800942063331604,613,1.0,32.12760543823242,274.035494108,4656,0.11019965261220932,0.014973958022892475,0.0,612,28.190500259399414
978432.0,0.0,1746192276.983002,0.42056533694267273,0.02333529107272625,0.16210874915122986,637,1.0,31.40625,281.089918624,4848,0.14410589635372162,0.013671875,0.0,636,28.190500259399414
1009152.0,0.0,1746192282.934467,0.2990546226501465,0.19824504852294922,0.182296484708786,657,1.0,31.60025978088379,287.041381251,5008,0.06061024218797684,0.015625,0.0,656,54.18730926513672
1024512.0,0.0,1746192285.873705,0.3335980772972107,0.19824504852294922,0.14313849806785583,667,1.0,30.88150978088379,289.980623008,5088,0.13300172984600067,0.014322916977107525,0.0,666,54.18730926513672
1056768.0,0.0,1746192292.0510552,0.3183891773223877,0.19824504852294922,0.3206380605697632,688,1.0,31.58072853088379,296.157976013,5256,0.08018923550844193,0.01171875,0.0,687,54.18730926513672
1067520.0,0.0,1746192294.1091137,0.2427576780319214,0.19824504852294922,0.27507731318473816,695,1.0,31.55078125,298.216052102,5312,0.13916665315628052,0.014322916977107525,0.0,694,54.18730926513672
1073664.0,0.0,1746192295.2860706,0.2596287131309509,0.19824504852294922,0.2964702248573303,699,1.0,32.28385543823242,299.39301996,5344,0.11966318637132645,0.010416666977107525,0.0,698,54.18730926513672
1082880.0,0.0,1746192297.051724,0.21251676976680756,0.19824504852294922,0.33123916387557983,705,1.0,31.92317771911621,301.158644211,5392,0.15329165756702423,0.015625,0.0,704,54.18730926513672
1095168.0,0.0,1746192299.4064105,0.288196861743927,0.19824504852294922,0.31854066252708435,713,1.0,31.7109375,303.513320025,5456,0.1707170009613037,0.009114583022892475,0.0,712,54.18730926513672
1105920.0,0.0,1746192301.4620864,0.2789279818534851,0.19824504852294922,0.3192667067050934,720,1.0,30.78515625,305.569005531,5512,0.17971961200237274,0.01627604104578495,0.0,719,54.18730926513672
1116672.0,0.0,1746192303.5191038,0.3991599380970001,0.19824504852294922,0.2850140333175659,727,1.0,31.80338478088379,307.626012054,5568,0.144460067152977,0.011067708022892475,0.0,726,54.18730926513672
1121280.0,0.0,1746192304.4111743,0.3796823024749756,0.19824504852294922,0.28811267018318176,730,1.0,30.80208396911621,308.51808818,5592,0.14556248486042023,0.009765625,0.0,729,54.18730926513672
1133568.0,0.0,1746192306.7757661,0.2899019122123718,0.19824504852294922,0.29735803604125977,738,1.0,31.15885353088379,310.882673025,5656,0.13794443011283875,0.011067708022892475,0.0,737,54.18730926513672
1147392.0,0.0,1746192309.416856,0.29176926612854004,0.19824504852294922,0.2792336344718933,747,1.0,31.296875,313.523760561,5728,0.2283446043729782,0.015625,0.0,746,54.18730926513672
1208832.0,0.0,1746192321.1927924,0.2786715626716614,0.19824504852294922,0.33672332763671875,787,1.0,30.44661521911621,325.29979942,6048,0.14648696780204773,0.009114583022892475,0.0,786,54.18730926513672
1227264.0,0.0,1746192324.7158844,0.21352770924568176,0.19824504852294922,0.2601045072078705,799,1.0,31.9140625,328.822791049,6144,0.199807271361351,0.014973958022892475,0.0,798,54.18730926513672
1259520.0,0.0,1746192330.8952231,0.11559401452541351,0.19824504852294922,0.18547025322914124,820,1.0,31.45963478088379,335.002130369,6312,0.1628836840391159,0.008463541977107525,0.0,819,54.18730926513672
1274880.0,0.0,1746192333.8347805,0.11304598301649094,0.19824504852294922,0.1568000614643097,830,1.0,30.70572853088379,337.941695632,6392,0.2235242873430252,0.014973958022892475,0.0,829,54.18730926513672
