test_returned_won_episode,test_returned_episode_lengths,env_step,returned_episode_returns,returned_won_episode,returned_episode_lengths,returned_episode,test_returned_episode,_runtime,test_returned_episode_returns,update_steps,grad_steps,_step,qvals,loss,_timestamp
0.0,22.865570068359375,4608.0,0.14004498720169067,0.0,17.819011688232422,0.0442708358168602,1.0,57.509167684,0.19055160880088806,3,0,2,0.0,0.0,1746180946.9803627
0.0,22.865570068359375,9216.0,0.13713306188583374,0.0,17.763671875,0.0436197929084301,1.0,57.728880429,0.19055160880088806,6,0,5,0.0,0.0,1746180947.2001634
0.0,22.865570068359375,16896.0,0.12948627769947052,0.0,17.21224021911621,0.0449218787252903,1.0,58.095023366,0.19055160880088806,11,0,10,0.0,0.0,1746180947.5663068
0.0,22.865570068359375,23040.0,0.1414654552936554,0.0,17.709636688232422,0.0423177108168602,1.0,58.387756242,0.19055160880088806,15,0,14,0.0,0.0,1746180947.8590746
0.0,22.865570068359375,30720.0,0.13879024982452393,0.0,17.80989646911621,0.0416666679084301,1.0,58.757482286,0.19055160880088806,20,0,19,0.0,0.0,1746180948.2287884
0.0,22.865570068359375,56832.0,0.14063683152198792,0.0,17.86458396911621,0.0442708358168602,1.0,62.253611308,0.19055160880088806,37,48,36,0.08359786868095398,0.01644517108798027,1746180951.724817
0.0,22.865570068359375,58368.0,0.142660990357399,0.0,17.79231834411621,0.0442708358168602,1.0,62.702177743,0.19055160880088806,38,56,37,0.19520016014575958,0.01596633344888687,1746180952.1734266
0.0,22.865570068359375,99840.0,0.156439408659935,0.0,17.15169334411621,0.0455729179084301,1.0,74.812546603,0.19055160880088806,65,272,64,0.5433402061462402,0.027402488514780998,1746180964.283756
0.0,22.865570068359375,199680.0,0.1846235990524292,0.0,16.59700584411621,0.0468750037252903,1.0,103.977709434,0.19055160880088806,130,792,129,0.6032226085662842,0.029423199594020844,1746180993.4489276
0.0,22.865570068359375,225792.0,0.18624529242515564,0.0,17.662109375,0.0449218787252903,1.0,111.629713279,0.19055160880088806,147,928,146,0.47382020950317383,0.036225397139787674,1746181001.1009207
0.0,22.865570068359375,228864.0,0.1916903555393219,0.0,16.12630271911621,0.0488281287252903,1.0,112.536273367,0.19055160880088806,149,944,148,0.4737098813056946,0.06437800824642181,1746181002.007442
0.0,22.865570068359375,259584.0,0.21487930417060852,0.0,16.4765625,0.0481770858168602,1.0,121.566247985,0.19055160880088806,169,1104,168,0.4642549455165863,0.04448026791214943,1746181011.037456
0.0,22.865570068359375,274944.0,0.19422350823879242,0.0,16.67903709411621,0.0468750037252903,1.0,126.091278959,0.19055160880088806,179,1184,178,0.44036632776260376,0.04460872709751129,1746181015.56242
0.0,22.865570068359375,296448.0,0.21175429224967957,0.0,16.02669334411621,0.0488281287252903,1.0,132.435314475,0.19055160880088806,193,1296,192,0.4495103359222412,0.05774533003568649,1746181021.9064786
0.0,22.865570068359375,342528.0,0.22636130452156067,0.0,15.443360328674316,0.0533854179084301,1.0,146.003421692,0.19055160880088806,223,1536,222,0.25306829810142517,0.11910779774188995,1746181035.4745514
0.0,22.865570068359375,354816.0,0.2384943664073944,0.0,15.783855438232422,0.0520833358168602,1.0,149.614330685,0.19055160880088806,231,1600,230,0.2520226836204529,0.11821785569190979,1746181039.0854647
0.0,22.865570068359375,356352.0,0.2254616767168045,0.0,15.904297828674316,0.0501302108168602,1.0,150.066960629,0.19055160880088806,232,1608,231,0.2372456192970276,0.25809332728385925,1746181039.5381446
0.0,22.865570068359375,362496.0,0.23488402366638184,0.0,15.685547828674316,0.0507812537252903,1.0,151.87473993,0.19055160880088806,236,1640,235,0.23480986058712006,0.25895607471466064,1746181041.3458655
0.0,22.865570068359375,394752.0,0.2518821358680725,0.0,14.811198234558105,0.0540364608168602,1.0,161.351455816,0.19055160880088806,257,1808,256,0.23280596733093262,0.25252294540405273,1746181050.822658
0.0,22.865570068359375,397824.0,0.2498343288898468,0.0,14.572266578674316,0.0533854179084301,1.0,162.246710378,0.19055160880088806,259,1824,258,0.2290053367614746,0.2313818335533142,1746181051.7179396
0.0,22.865570068359375,399360.0,0.2513376474380493,0.0,16.55403709411621,0.0468750037252903,1.0,162.694438087,0.19055160880088806,260,1832,259,0.2245408445596695,0.22178339958190918,1746181052.1656482
