test_returned_episode_returns,loss,test_returned_episode_lengths,returned_episode_lengths,test_returned_episode,qvals,returned_episode,env_step,returned_won_episode,grad_steps,_timestamp,update_steps,returned_episode_returns,_runtime,test_returned_won_episode,_step
0.13532555103302002,0.0,21.7208194732666,25.626955032348633,0.9999999403953552,0.0,0.02278645895421505,4608.0,0.0,0,1746452911.8334641,3,0.2294403314590454,70.116045607,0.0,2
0.13532555103302002,0.0,21.7208194732666,27.271486282348633,0.9999999403953552,0.0,0.02278645895421505,9216.0,0.0,0,1746452912.0600095,6,0.22455798089504242,70.342551071,0.0,5
0.13532555103302002,0.0,21.7208194732666,24.26692771911621,0.9999999403953552,0.0,0.02343750186264515,16896.0,0.0026041667442768812,0,1746452912.4389791,11,0.20312164723873138,70.721502274,0.0,10
0.13532555103302002,0.0,21.7208194732666,26.29036521911621,0.9999999403953552,0.0,0.02473958395421505,23040.0,0.0,0,1746452912.740998,15,0.1895672231912613,71.023575755,0.0,14
0.13532555103302002,0.0,21.7208194732666,26.631511688232422,0.9999999403953552,0.0,0.02539062686264515,30720.0,0.0,0,1746452913.1186655,20,0.18738925457000732,71.40119471,0.0,19
0.13532555103302002,0.02141936495900154,21.7208194732666,24.87239646911621,0.9999999403953552,0.05534053593873978,0.02669270895421505,56832.0,0.0,48,1746452916.7268653,37,0.20414064824581146,75.009456668,0.0,36
0.13532555103302002,0.02964165061712265,21.7208194732666,25.47591209411621,0.9999999403953552,-0.036902062594890594,0.02473958395421505,58368.0,0.0,56,1746452917.1895177,38,0.1678360551595688,75.472130763,0.0,37
0.13532555103302002,0.06336654722690582,21.7208194732666,26.318361282348633,0.9999999403953552,0.16376841068267822,0.02148437686264515,99840.0,0.0,272,1746452929.7565532,65,0.2385183870792389,88.039114808,0.0,64
0.13532555103302002,0.3998417556285858,21.7208194732666,28.294923782348633,0.9999999403953552,0.18781280517578125,0.02083333395421505,199680.0,0.0,792,1746452960.0753586,130,0.23393933475017548,118.357930663,0.0,129
0.13532555103302002,0.8970307111740112,21.7208194732666,26.66341209411621,0.9999999403953552,0.2521386444568634,0.02473958395421505,225792.0,0.0,928,1746452967.9938955,147,0.2627179026603699,126.276452856,0.0,146
