_runtime,rng3359774640/returned_won_episode,qvals,rng3359774640/qvals,test_returned_episode_returns,rng3359774640/test_returned_episode_returns,_step,rng3359774640/returned_episode_lengths,test_returned_episode_lengths,rng3359774640/returned_episode,rng3359774640/returned_episode_returns,rng3359774640/env_step,returned_episode_lengths,rng3359774640/loss,rng3359774640/test_returned_won_episode,returned_won_episode,rng3359774640/update_steps,loss,grad_steps,rng3359774640/test_returned_episode,rng3359774640/test_returned_episode_lengths,_timestamp,test_returned_episode,test_returned_won_episode,rng3359774640/grad_steps,returned_episode_returns,env_step,update_steps,returned_episode
65.052010777,0.0,0.0,0.0,0.04859044402837753,0.04859044402837753,25,29.908855438232422,32.1638298034668,0.0162760429084301,0.11666172742843628,39936.0,29.908855438232422,0.0,0.0,0.0,26,0.0,0,1,32.1638298034668,1746178884.239917,1,0.0,0,0.11666172742843628,39936.0,26,0.0162760429084301
65.185975222,0.0,0.0,0.0,0.04859044402837753,0.04859044402837753,27,29.9453125,32.1638298034668,0.01497395895421505,0.09860168397426605,43008.0,29.9453125,0.0,0.0,0.0,28,0.0,0,1,32.1638298034668,1746178884.373855,1,0.0,0,0.09860168397426605,43008.0,28,0.01497395895421505
70.080232061,0.0,0.3230579197406769,0.3230579197406769,0.04859044402837753,0.04859044402837753,42,29.94270896911621,32.1638298034668,0.01497395895421505,0.11602848023176193,66048.0,29.94270896911621,0.003853201400488615,0.0,0.0,43,0.003853201400488615,96,1,32.1638298034668,1746178889.2681122,1,0.0,96,0.11602848023176193,66048.0,43,0.01497395895421505
80.682929997,0.0,0.6104534864425659,0.6104534864425659,0.04859044402837753,0.04859044402837753,69,30.963542938232422,32.1638298034668,0.015625,0.13365328311920166,107520.0,30.963542938232422,0.004480305593460798,0.0,0.0,70,0.004480305593460798,312,1,32.1638298034668,1746178899.8707716,1,0.0,312,0.13365328311920166,107520.0,70,0.015625
81.465092502,0.0,0.652837872505188,0.652837872505188,0.04859044402837753,0.04859044402837753,71,31.203125,32.1638298034668,0.015625,0.14383427798748016,110592.0,31.203125,0.021264001727104187,0.0,0.0,72,0.021264001727104187,328,1,32.1638298034668,1746178900.652924,1,0.0,328,0.14383427798748016,110592.0,72,0.015625
95.974030562,0.0,0.7516002058982849,0.7516002058982849,0.04859044402837753,0.04859044402837753,108,31.651042938232422,32.1638298034668,0.013671875,0.16598327457904816,167424.0,31.651042938232422,0.01094353012740612,0.0,0.0,109,0.01094353012740612,624,1,32.1638298034668,1746178915.1618755,1,0.0,624,0.16598327457904816,167424.0,109,0.013671875
98.719901805,0.0,0.6916030645370483,0.6916030645370483,0.04859044402837753,0.04859044402837753,115,31.5,32.1638298034668,0.014322916977107525,0.1548813283443451,178176.0,31.5,0.018778711557388306,0.0,0.0,116,0.018778711557388306,680,1,32.1638298034668,1746178917.9077547,1,0.0,680,0.1548813283443451,178176.0,116,0.014322916977107525
106.202546576,0.0,0.8165757656097412,0.8165757656097412,0.04859044402837753,0.04859044402837753,134,31.690105438232422,32.1638298034668,0.01497395895421505,0.1574290543794632,207360.0,31.690105438232422,0.03941630572080612,0.0,0.0,135,0.03941630572080612,832,1,32.1638298034668,1746178925.390381,1,0.0,832,0.1574290543794632,207360.0,135,0.01497395895421505
106.984174733,0.0,0.8222493529319763,0.8222493529319763,0.04859044402837753,0.04859044402837753,136,31.63020896911621,32.1638298034668,0.015625,0.16729864478111267,210432.0,31.63020896911621,0.03669729828834534,0.0,0.0,137,0.03669729828834534,848,1,32.1638298034668,1746178926.1720328,1,0.0,848,0.16729864478111267,210432.0,137,0.015625
111.685720013,0.0,0.7959133982658386,0.7959133982658386,0.04859044402837753,0.04859044402837753,148,31.576824188232422,32.1638298034668,0.015625,0.16880249977111816,228864.0,31.576824188232422,0.029450425878167152,0.0,0.0,149,0.029450425878167152,944,1,32.1638298034668,1746178930.8735387,1,0.0,944,0.16880249977111816,228864.0,149,0.015625
113.266844623,0.0,0.8501141667366028,0.8501141667366028,0.04859044402837753,0.04859044402837753,152,31.213542938232422,32.1638298034668,0.01497395895421505,0.1727132797241211,235008.0,31.213542938232422,0.037546344101428986,0.0,0.0,153,0.037546344101428986,976,1,32.1638298034668,1746178932.4546762,1,0.0,976,0.1727132797241211,235008.0,153,0.01497395895421505
116.782837328,0.0,0.7844167947769165,0.7844167947769165,0.04859044402837753,0.04859044402837753,161,31.30599021911621,32.1638298034668,0.014322916977107525,0.18500429391860962,248832.0,31.30599021911621,0.04105224832892418,0.0,0.0,162,0.04105224832892418,1048,1,32.1638298034668,1746178935.9707143,1,0.0,1048,0.18500429391860962,248832.0,162,0.014322916977107525
119.926126936,0.0,0.6651113033294678,0.6651113033294678,0.04859044402837753,0.04859044402837753,169,30.658855438232422,32.1638298034668,0.01497395895421505,0.16865605115890503,261120.0,30.658855438232422,0.02720009908080101,0.0,0.0,170,0.02720009908080101,1112,1,32.1638298034668,1746178939.1138365,1,0.0,1112,0.16865605115890503,261120.0,170,0.01497395895421505
128.957044632,0.0,0.6117103695869446,0.6117103695869446,0.04859044402837753,0.04859044402837753,192,31.53255271911621,32.1638298034668,0.01497395895421505,0.18088534474372864,296448.0,31.53255271911621,0.05343209207057953,0.0,0.0,193,0.05343209207057953,1296,1,32.1638298034668,1746178948.1448185,1,0.0,1296,0.18088534474372864,296448.0,193,0.01497395895421505
129.359003165,0.0,0.6158506870269775,0.6158506870269775,0.04859044402837753,0.04859044402837753,193,31.52734375,32.1638298034668,0.01497395895421505,0.16779282689094543,297984.0,31.52734375,0.051189228892326355,0.0,0.0,194,0.051189228892326355,1304,1,32.1638298034668,1746178948.5466917,1,0.0,1304,0.16779282689094543,297984.0,194,0.01497395895421505
134.847951855,0.0,0.6472175121307373,0.6472175121307373,0.04859044402837753,0.04859044402837753,207,31.93099021911621,32.1638298034668,0.01497395895421505,0.18360364437103271,319488.0,31.93099021911621,0.12824591994285583,0.0,0.0,208,0.12824591994285583,1416,1,32.1638298034668,1746178954.035733,1,0.0,1416,0.18360364437103271,319488.0,208,0.01497395895421505
145.859414022,0.0,0.657077431678772,0.657077431678772,0.04859044402837753,0.04859044402837753,235,31.04296875,32.1638298034668,0.01497395895421505,0.16074255108833313,362496.0,31.04296875,0.3034456968307495,0.0,0.0,236,0.3034456968307495,1640,1,32.1638298034668,1746178965.0472648,1,0.0,1640,0.16074255108833313,362496.0,236,0.01497395895421505
146.250304746,0.0,0.6310601234436035,0.6310601234436035,0.04859044402837753,0.04859044402837753,236,31.736980438232422,32.1638298034668,0.015625,0.182501882314682,364032.0,31.736980438232422,0.2788427770137787,0.0,0.0,237,0.2788427770137787,1648,1,32.1638298034668,1746178965.4381518,1,0.0,1648,0.182501882314682,364032.0,237,0.015625
147.041188042,0.0,0.6538164019584656,0.6538164019584656,0.04859044402837753,0.04859044402837753,238,31.444011688232422,32.1638298034668,0.015625,0.17483119666576385,367104.0,31.444011688232422,0.3121825158596039,0.0,0.0,239,0.3121825158596039,1664,1,32.1638298034668,1746178966.228992,1,0.0,1664,0.17483119666576385,367104.0,239,0.015625
