loss,test_returned_won_episode,returned_won_episode,grad_steps,test_returned_episode,env_step,test_returned_episode_lengths,returned_episode,test_returned_episode_returns,returned_episode_lengths,returned_episode_returns,update_steps,_runtime,_timestamp,_step,qvals
0.0,0.0,0.0,0,1.0,7680.0,35.0280876159668,0.0162760429084301,0.09618254750967026,30.293621063232422,0.10030385106801987,5,58.681549751,1746189447.5770476,4,0.0
0.0,0.0,0.0,0,1.0,24576.0,35.0280876159668,0.01497395895421505,0.09618254750967026,30.596355438232422,0.09871125221252441,16,59.416755176,1746189448.312324,15,0.0
0.0,0.0,0.0,0,1.0,29184.0,35.0280876159668,0.0162760429084301,0.09618254750967026,30.119792938232422,0.10342243313789368,19,59.62000518,1746189448.515577,18,0.0
0.003992635291069746,0.0,0.0,16,1.0,50688.0,35.0280876159668,0.015625,0.09618254750967026,29.99349021911621,0.09495554864406586,33,61.20461659,1746189450.1001136,32,0.02462879754602909
0.004283620044589043,0.0,0.0,96,1.0,66048.0,35.0280876159668,0.014322916977107525,0.09618254750967026,30.54817771911621,0.10508745908737183,43,65.126186925,1746189454.02168,42,0.30150333046913147
0.002689163899049163,0.0,0.0,144,1.0,75264.0,35.0280876159668,0.014322916977107525,0.09618254750967026,29.80599021911621,0.1026538759469986,49,67.482380605,1746189456.3778641,48,0.3483480215072632
0.0027177128940820694,0.0,0.0,152,1.0,76800.0,35.0280876159668,0.01302083395421505,0.09618254750967026,30.393230438232422,0.1277100294828415,50,67.872051649,1746189456.7675319,49,0.3515412211418152
0.006232988089323044,0.0,0.0,400,1.0,124416.0,35.0280876159668,0.014322916977107525,0.09618254750967026,30.45703125,0.1253730058670044,81,80.046392251,1746189468.941865,80,0.6603273749351501
0.009184852242469788,0.0,0.0,440,1.0,132096.0,35.0280876159668,0.015625,0.09618254750967026,31.38802146911621,0.15247324109077454,86,82.021430011,1746189470.9167695,85,0.7055772542953491
0.00821644440293312,0.0,0.0,456,1.0,135168.0,35.0280876159668,0.015625,0.09618254750967026,31.268230438232422,0.143018901348114,88,82.803045152,1746189471.6985025,87,0.6974201798439026
0.010868879035115242,0.0,0.0,528,1.0,148992.0,35.0280876159668,0.01497395895421505,0.09618254750967026,30.713542938232422,0.13442453742027283,97,86.327085758,1746189475.2225475,96,0.7118337154388428
0.009959052316844463,0.0,0.0,552,1.0,153600.0,35.0280876159668,0.015625,0.09618254750967026,31.811199188232422,0.1612156480550766,100,87.507726382,1746189476.4031858,99,0.7133861184120178
0.010334091261029243,0.0,0.0,560,1.0,155136.0,35.0280876159668,0.014322916977107525,0.09618254750967026,29.62890625,0.13923417031764984,101,87.899648427,1746189476.7951205,100,0.7262341380119324
0.0224815234541893,0.0,0.0,576,1.0,158208.0,35.0280876159668,0.015625,0.09618254750967026,30.6953125,0.1491687297821045,103,88.68346202,1746189477.5788987,102,0.7449702620506287
0.024630406871438026,0.0,0.0,736,1.0,188928.0,35.0280876159668,0.015625,0.09618254750967026,30.768230438232422,0.14499612152576447,123,96.544099717,1746189485.4395258,122,0.7989522814750671
0.021546045318245888,0.0,0.0,928,1.0,225792.0,35.0280876159668,0.01497395895421505,0.09618254750967026,30.95052146911621,0.16607682406902313,147,105.969775765,1746189494.865141,146,0.7722911834716797
0.02852117270231247,0.0,0.0,1000,1.0,239616.0,35.0280876159668,0.014322916977107525,0.09618254750967026,31.40234375,0.1674923598766327,156,109.502948474,1746189498.3983748,155,0.7995319366455078
0.029833786189556122,0.0,0.0,1008,1.0,241152.0,35.0280876159668,0.01497395895421505,0.09618254750967026,32.0234375,0.17996260523796082,157,109.894867733,1746189498.790294,156,0.7770515084266663
0.04838266968727112,0.0,0.0,1080,1.0,254976.0,35.0280876159668,0.01497395895421505,0.09618254750967026,29.8046875,0.16912339627742767,166,113.458837354,1746189502.3542888,165,0.8212438225746155
0.02953435108065605,0.0,0.0,1168,1.0,271872.0,35.0280876159668,0.015625,0.09618254750967026,31.33333396911621,0.18131518363952637,177,117.776762095,1746189506.6722257,176,0.8493088483810425
0.056218113750219345,0.0,0.0,1280,1.0,293376.0,35.0280876159668,0.015625,0.09618254750967026,30.55208396911621,0.18251237273216248,191,123.281579693,1746189512.1770043,190,0.6642470955848694
0.06574109196662903,0.0,0.0,1320,1.0,301056.0,35.0280876159668,0.01497395895421505,0.09618254750967026,30.58203125,0.15854600071907043,196,125.253090781,1746189514.1485248,195,0.6100755333900452
0.15979604423046112,0.0,0.0,1480,1.0,331776.0,35.0280876159668,0.01497395895421505,0.09618254750967026,31.572917938232422,0.17928284406661987,216,133.156317729,1746189522.051728,215,0.6080710291862488
