test_returned_won_episode,test_returned_episode_returns,env_step,test_returned_episode,test_returned_episode_lengths,update_steps,returned_episode,qvals,loss,returned_won_episode,returned_episode_returns,_runtime,_timestamp,grad_steps,returned_episode_lengths,_step
0.0,0.004308725707232952,24576.0,1,16.836318969726562,16,0.0423177108168602,0.0,0.0,0.0,0.13901515305042267,50.483760399,1746172055.4010372,0,18.26692771911621,15
0.0,0.004308725707232952,46080.0,1,16.836318969726562,30,0.0429687537252903,0.0,0.0,0.0,0.13600853085517883,51.518345173,1746172056.4356232,0,17.384765625,29
0.0,0.004308725707232952,81408.0,1,16.836318969726562,53,0.0449218787252903,0.32634204626083374,0.04332570731639862,0.0,0.16233429312705994,61.656942227,1746172066.5742102,176,17.26692771911621,52
0.0,0.004308725707232952,133632.0,1,16.836318969726562,87,0.0462239608168602,0.322486937046051,0.037997469305992126,0.0,0.1698271930217743,77.206449798,1746172082.1237295,448,16.75716209411621,86
0.0,0.004308725707232952,281088.0,1,16.836318969726562,183,0.0462239608168602,0.16475063562393188,0.06185026839375496,0.0,0.1877841055393219,121.133492064,1746172126.050763,1216,16.871746063232422,182
0.0,0.004308725707232952,301056.0,1,16.836318969726562,196,0.0462239608168602,0.17312893271446228,0.05705539137125015,0.0,0.20177559554576874,127.078923412,1746172131.9960856,1320,16.83203125,195
0.0,0.004308725707232952,327168.0,1,16.836318969726562,213,0.0449218787252903,0.16567642986774445,0.05100551247596741,0.0,0.21622873842716217,134.858369522,1746172139.775643,1456,17.470703125,212
0.0,0.004308725707232952,339456.0,1,16.836318969726562,221,0.0449218787252903,0.16042640805244446,0.041935428977012634,0.0,0.22476328909397125,138.517257126,1746172143.4345353,1520,17.12630271911621,220
0.0,0.004308725707232952,345600.0,1,16.836318969726562,225,0.0494791679084301,0.1436862349510193,0.059548698365688324,0.0,0.23436319828033447,140.346053235,1746172145.2633126,1552,15.664714813232422,224
0.0,0.004308725707232952,367104.0,1,16.836318969726562,239,0.0423177108168602,0.15705446898937225,0.06605921685695648,0.0,0.22112929821014404,146.751116476,1746172151.668395,1664,17.787109375,238
0.0,0.004308725707232952,370176.0,1,16.836318969726562,241,0.0520833358168602,0.15419960021972656,0.04921093210577965,0.0,0.24708810448646545,147.665869376,1746172152.5831394,1680,15.992839813232422,240
0.0,0.004308725707232952,411648.0,1,16.836318969726562,268,0.0559895858168602,0.10746835917234421,0.13354620337486267,0.0,0.26607486605644226,160.020668112,1746172164.9379525,1896,14.638021469116211,267
0.0,0.004308725707232952,417792.0,1,16.836318969726562,272,0.0455729179084301,0.0994408130645752,0.110614113509655,0.0,0.23864823579788208,161.854019001,1746172166.7712998,1928,17.061199188232422,271
0.0,0.004308725707232952,430080.0,1,16.836318969726562,280,0.0488281287252903,0.06761495023965836,0.11975924670696259,0.0,0.2536576986312866,165.512225589,1746172170.4295142,1992,15.151041984558105,279
0.0,0.004308725707232952,446976.0,1,16.836318969726562,291,0.0494791679084301,0.012855840846896172,0.181357741355896,0.0,0.27136605978012085,170.546771289,1746172175.464031,2080,16.068359375,290
0.01702483929693699,0.7033162117004395,500736.0,1,17.07982063293457,326,0.0520833358168602,0.025339903309941292,0.06966186314821243,0.0,0.28540489077568054,186.677668755,1746172191.5949368,2360,15.646485328674316,325
0.01702483929693699,0.7033162117004395,523776.0,1,17.07982063293457,341,0.0514322929084301,0.004146370105445385,0.0757092759013176,0.0,0.2994791865348816,193.53803054,1746172198.4553077,2480,15.762371063232422,340
0.01702483929693699,0.7033162117004395,615936.0,1,17.07982063293457,401,0.0527343787252903,-0.0011130508501082659,0.06385376304388046,0.0,0.33436325192451477,220.994357146,1746172225.9116158,2960,15.204427719116211,400
0.01702483929693699,0.7033162117004395,635904.0,1,17.07982063293457,414,0.0579427108168602,-0.09860578179359436,0.15125876665115356,0.0,0.357552170753479,227.009924125,1746172231.9271858,3064,14.052735328674316,413
0.01702483929693699,0.7033162117004395,680448.0,1,17.07982063293457,443,0.0618489608168602,-0.07947880774736404,0.1462874859571457,0.0,0.39686319231987,240.283857892,1746172245.201163,3296,13.382813453674316,442
0.01702483929693699,0.7033162117004395,723456.0,1,17.07982063293457,471,0.0618489608168602,-0.04498903453350067,0.045154038816690445,0.0,0.42362695932388306,253.093289335,1746172258.01057,3520,13.502604484558105,470
