test_returned_episode,grad_steps,returned_episode_lengths,test_returned_episode_lengths,returned_episode_returns,test_returned_episode_returns,_step,test_returned_won_episode,_runtime,_timestamp,update_steps,returned_episode,loss,env_step,qvals,returned_won_episode
1.0,0,30.57942771911621,30.021032333374023,0.09692155569791794,0.0846984013915062,1,0.0,57.736055931,1746160653.8258796,2,0.014322916977107525,0.0,3072.0,0.0,0.0
1.0,0,30.592449188232422,30.021032333374023,0.11965775489807129,0.0846984013915062,8,0.0,58.190126962,1746160654.2799833,9,0.015625,0.0,13824.0,0.0,0.0
1.0,0,31.131511688232422,30.021032333374023,0.121469646692276,0.0846984013915062,27,0.0,59.428294393,1746160655.5181344,28,0.01497395895421505,0.0,43008.0,0.0,0.0
1.0,24,30.7890625,30.021032333374023,0.11645056307315826,0.0846984013915062,33,0.0,60.834622973,1746160656.9243748,34,0.015625,0.004542008973658085,52224.0,0.18439318239688873,0.0
1.0,216,31.1953125,30.021032333374023,0.13929519057273865,0.0846984013915062,57,0.0,70.539012797,1746160666.6287534,58,0.015625,0.004417970776557922,89088.0,0.5296503305435181,0.0
1.0,464,30.75520896911621,30.021032333374023,0.14557278156280518,0.0846984013915062,88,0.0,83.007489391,1746160679.0971851,89,0.013671875,0.009427222423255444,136704.0,0.7451345920562744,0.0
1.0,528,31.46484375,30.021032333374023,0.16734884679317474,0.0846984013915062,96,0.0,86.228845978,1746160682.318299,97,0.013671875,0.01270234677940607,148992.0,0.7029715776443481,0.0
1.0,536,31.65234375,30.021032333374023,0.163189098238945,0.0846984013915062,97,0.0,86.624660435,1746160682.7144315,98,0.014322916977107525,0.012299522757530212,150528.0,0.724993109703064,0.0
1.0,640,31.34505271911621,30.021032333374023,0.17817232012748718,0.0846984013915062,110,0.0,91.856981218,1746160687.9466844,111,0.015625,0.01319179218262434,170496.0,0.7547986507415771,0.0
1.0,696,31.11067771911621,30.021032333374023,0.16689634323120117,0.0846984013915062,117,0.0,94.649392907,1746160690.7391524,118,0.013671875,0.01830177754163742,181248.0,0.7974328398704529,0.0
1.0,704,31.98958396911621,30.021032333374023,0.1822325438261032,0.0846984013915062,118,0.0,95.055219858,1746160691.1447024,119,0.01497395895421505,0.017142275348305702,182784.0,0.7980117201805115,0.0
1.0,848,31.7734375,30.021032333374023,0.18824252486228943,0.0846984013915062,136,0.0,102.322338044,1746160698.4119222,137,0.014322916977107525,0.03988773375749588,210432.0,0.8638417720794678,0.0
1.0,920,31.58984375,30.021032333374023,0.18807196617126465,0.0846984013915062,145,0.0,105.927904721,1746160702.017637,146,0.01302083395421505,0.0207698754966259,224256.0,0.8920587301254272,0.0
1.0,968,32.134117126464844,30.021032333374023,0.19033777713775635,0.0846984013915062,151,0.0,108.365565558,1746160704.4552448,152,0.01497395895421505,0.04655160754919052,233472.0,0.9233202934265137,0.0
1.0,1032,31.484375,30.021032333374023,0.19171833992004395,0.0846984013915062,159,0.0,111.585051108,1746160707.6747508,160,0.013671875,0.04051809757947922,245760.0,0.9500378370285034,0.0
1.0,1120,31.877605438232422,30.021032333374023,0.20080327987670898,0.0846984013915062,170,0.0,116.016320298,1746160712.106075,171,0.01497395895421505,0.025404226034879684,262656.0,0.8467444181442261,0.0
1.0,1448,31.96875,30.021032333374023,0.22331677377223969,0.0846984013915062,211,0.0,132.55533627,1746160728.6450205,212,0.014322916977107525,0.045217398554086685,325632.0,0.9317407011985779,0.0
1.0,1528,32.0390625,30.021032333374023,0.2189437597990036,0.0846984013915062,221,0.0,136.620245648,1746160732.7099078,222,0.014322916977107525,0.06257963180541992,340992.0,0.9472423791885376,0.0
1.0,1576,32.20573043823242,30.021032333374023,0.22912292182445526,0.0846984013915062,227,0.0,139.012632062,1746160735.1023822,228,0.012369791977107525,0.056678254157304764,350208.0,0.9457722306251526,0.0
1.0,1648,29.608074188232422,30.021032333374023,0.21736419200897217,0.0846984013915062,236,0.0,142.62754162,1746160738.7172115,237,0.01302083395421505,0.05742324888706207,364032.0,0.9558359980583191,0.0
1.0,1824,31.9296875,30.021032333374023,0.23992280662059784,0.0846984013915062,258,0.0,151.474085653,1746160747.5636032,259,0.014322916977107525,0.03883333504199982,397824.0,0.7817783355712891,0.0
1.0,1936,32.18619918823242,30.021032333374023,0.24686384201049805,0.0846984013915062,272,0.0,157.146414431,1746160753.236107,273,0.014322916977107525,0.3280653655529022,419328.0,0.8213307857513428,0.0
1.0,2104,31.6875,30.021032333374023,0.23754605650901794,0.0846984013915062,293,0.0,165.578508708,1746160761.6682625,294,0.014322916977107525,0.31638526916503906,451584.0,0.6374776363372803,0.0
1.0,2192,31.9609375,30.021032333374023,0.23392948508262634,0.0846984013915062,304,0.0,170.016319774,1746160766.105813,305,0.013671875,0.2880563735961914,468480.0,0.6448596715927124,0.0
1.0,2232,32.259117126464844,30.021032333374023,0.2129908800125122,0.0846984013915062,309,0.0,172.02913229,1746160768.1187532,310,0.01497395895421505,0.26472073793411255,476160.0,0.6537511348724365,0.0
1.0,2416,32.1328125,66.51969909667969,0.24691340327262878,0.6788403391838074,332,0.0015151515835896134,181.381176241,1746160777.4707384,333,0.015625,0.11791890114545822,511488.0,0.663384199142456,0.0
1.0,2464,31.95703125,66.51969909667969,0.23016004264354706,0.6788403391838074,338,0.0015151515835896134,183.818769445,1746160779.9085472,339,0.01497395895421505,0.11896266043186188,520704.0,0.662678062915802,0.0
1.0,2496,32.0234375,66.51969909667969,0.22042033076286316,0.6788403391838074,342,0.0015151515835896134,185.458808965,1746160781.5484173,343,0.015625,0.09101050347089767,526848.0,0.6740143299102783,0.0
1.0,2784,32.36979293823242,66.51969909667969,0.22516608238220215,0.6788403391838074,378,0.0015151515835896134,199.899748628,1746160795.9893265,379,0.014322916977107525,0.08426724374294281,582144.0,0.6646223068237305,0.0
1.0,2872,31.9453125,66.51969909667969,0.198299378156662,0.6788403391838074,389,0.0015151515835896134,204.362483073,1746160800.4521863,390,0.014322916977107525,0.07470141351222992,599040.0,0.6510684490203857,0.0
1.0,2968,32.145835876464844,66.51969909667969,0.2619413137435913,0.6788403391838074,401,0.0015151515835896134,209.191311853,1746160805.2807524,402,0.01497395895421505,0.20504698157310486,617472.0,0.6181091070175171,0.0
1.0,2976,31.81380271911621,66.51969909667969,0.17500317096710205,0.6788403391838074,402,0.0015151515835896134,209.587802509,1746160805.6775606,403,0.015625,0.10391292721033096,619008.0,0.5723143219947815,0.0
1.0,3048,32.13151168823242,66.51969909667969,0.22904282808303833,0.6788403391838074,411,0.0015151515835896134,213.33282654,1746160809.4222448,412,0.012369791977107525,0.060711659491062164,632832.0,0.5403044819831848,0.0
1.0,3504,32.05338668823242,66.51969909667969,0.19018980860710144,0.6788403391838074,468,0.0015151515835896134,236.296764557,1746160832.3863492,469,0.014322916977107525,0.057811714708805084,720384.0,0.4444699287414551,0.0
1.0,3696,32.1171875,66.51969909667969,0.21105381846427917,0.6788403391838074,492,0.0015151515835896134,245.950466069,1746160842.0401676,493,0.012369791977107525,0.0747421532869339,757248.0,0.27709102630615234,0.0
1.0,3792,32.25260543823242,66.51969909667969,0.1442781686782837,0.6788403391838074,504,0.0015151515835896134,250.78786642,1746160846.8774662,505,0.014322916977107525,0.16775739192962646,775680.0,0.2825201451778412,0.0
1.0,3848,32.15104293823242,66.51969909667969,0.2134608030319214,0.6788403391838074,511,0.0015151515835896134,253.620771478,1746160849.710493,512,0.013671875,0.08924972265958786,786432.0,0.1569710373878479,0.0
1.0,3896,32.2734375,66.51969909667969,0.21193242073059082,0.6788403391838074,517,0.0015151515835896134,256.013340535,1746160852.1030421,518,0.01302083395421505,0.06831757724285126,795648.0,0.18305981159210205,0.0
1.0,4168,32.13932418823242,66.51969909667969,0.19402989745140076,0.6788403391838074,551,0.0015151515835896134,269.720133759,1746160865.809873,552,0.01497395895421505,0.10445369780063629,847872.0,0.08040745556354523,0.0
1.0,4640,32.220054626464844,66.51969909667969,0.20697258412837982,0.6788403391838074,610,0.0015151515835896134,293.50622628,1746160889.5954685,611,0.01106770895421505,0.03191853314638138,938496.0,0.07073989510536194,0.0
1.0,4648,31.920574188232422,66.51969909667969,0.20415809750556946,0.6788403391838074,611,0.0015151515835896134,293.910046925,1746160889.9996765,612,0.01497395895421505,0.03819656744599342,940032.0,0.05866599082946777,0.0
1.0,4808,32.0703125,66.51969909667969,0.25607118010520935,0.6788403391838074,631,0.0015151515835896134,301.974941115,1746160898.0646472,632,0.012369791977107525,0.05038803070783615,970752.0,0.06759872287511826,0.0
1.0,4936,32.16666793823242,66.51969909667969,0.20208722352981567,0.6788403391838074,647,0.0015151515835896134,308.48544413,1746160904.575162,648,0.01497395895421505,0.04396261274814606,995328.0,0.021311648190021515,0.0
1.0,5032,32.1484375,62.20783996582031,0.16732165217399597,0.46866267919540405,659,0.0,313.388185978,1746160909.4778504,660,0.01497395895421505,0.07802227884531021,1013760.0,-0.04132375493645668,0.0
1.0,5080,31.889324188232422,62.20783996582031,0.258924663066864,0.46866267919540405,665,0.0,315.80648756,1746160911.8911638,666,0.012369791977107525,0.08971671760082245,1022976.0,-0.021268688142299652,0.0
1.0,5152,32.17057418823242,62.20783996582031,0.28635650873184204,0.46866267919540405,674,0.0,319.406823424,1746160915.4964888,675,0.014322916977107525,0.08280261605978012,1036800.0,-0.11681538820266724,0.0
1.0,5400,32.33203125,62.20783996582031,0.26851922273635864,0.46866267919540405,705,0.0,331.869847105,1746160927.959531,706,0.012369791977107525,0.022953780367970467,1084416.0,-0.13332754373550415,0.0
1.0,5560,32.259117126464844,62.20783996582031,0.3068693280220032,0.46866267919540405,725,0.0,339.92100977,1746160936.0107608,726,0.01171875,0.021403532475233078,1115136.0,-0.12501204013824463,0.0
1.0,5736,32.2265625,62.20783996582031,0.272382527589798,0.46866267919540405,747,0.0,348.767704161,1746160944.8572757,748,0.010416666977107525,0.028064865618944168,1148928.0,-0.14248545467853546,0.0
1.0,5752,32.23307418823242,62.20783996582031,0.3118915557861328,0.46866267919540405,749,0.0,349.583947859,1746160945.6733472,750,0.013671875,0.019636107608675957,1152000.0,-0.15271466970443726,0.0
1.0,5840,31.328125,62.20783996582031,0.3011665642261505,0.46866267919540405,760,0.0,353.98294728,1746160950.0726678,761,0.014322916977107525,0.018911931663751602,1168896.0,-0.13671141862869263,0.0
1.0,5872,31.412761688232422,62.20783996582031,0.2645888924598694,0.46866267919540405,764,0.0,355.619021091,1746160951.7087102,765,0.012369791977107525,0.021236084401607513,1175040.0,-0.12857389450073242,0.0
1.0,5992,32.20182418823242,62.20783996582031,0.28704485297203064,0.46866267919540405,779,0.0,361.680266271,1746160957.769855,780,0.014322916977107525,0.01683889701962471,1198080.0,-0.14588049054145813,0.0
1.0,6072,31.515625,62.20783996582031,0.30204951763153076,0.46866267919540405,789,0.0,365.673345872,1746160961.7631478,790,0.01497395895421505,0.016087587922811508,1213440.0,-0.14513903856277466,0.0
1.0,6296,30.84114646911621,62.20783996582031,0.24542491137981415,0.46866267919540405,817,0.0,376.97716263,1746160973.0668871,818,0.01106770895421505,0.03414366394281387,1256448.0,-0.17247802019119263,0.0
1.0,6440,32.208335876464844,62.20783996582031,0.2606881856918335,0.46866267919540405,835,0.0,384.186384027,1746160980.276147,836,0.012369791977107525,0.02484738826751709,1284096.0,-0.1488965004682541,0.0
1.0,6688,32.11588668823242,62.20783996582031,0.3057031035423279,0.46866267919540405,866,0.0,396.636952466,1746160992.7267027,867,0.014322916977107525,0.01622222363948822,1331712.0,-0.14555875957012177,0.0
1.0,6736,32.079429626464844,62.20783996582031,0.3180466294288635,0.46866267919540405,872,0.0,399.067654388,1746160995.157331,873,0.014322916977107525,0.01519869826734066,1340928.0,-0.14079256355762482,0.0
1.0,6968,31.98958396911621,62.20783996582031,0.38694286346435547,0.46866267919540405,901,0.0,410.795874189,1746161006.8855243,902,0.01171875,0.015093252062797546,1385472.0,-0.16752022504806519,0.029296875
1.0,7008,32.30859375,62.20783996582031,0.30908262729644775,0.46866267919540405,906,0.0,412.821271058,1746161008.910872,907,0.014322916977107525,0.027746155858039856,1393152.0,-0.19598817825317383,0.0
1.0,7112,30.91145896911621,62.20783996582031,0.32492467761039734,0.46866267919540405,919,0.0,418.066456786,1746161014.1561768,920,0.01171875,0.01514971163123846,1413120.0,-0.20882757008075714,0.0
1.0,7264,30.397136688232422,62.20783996582031,0.3506917357444763,0.46866267919540405,938,0.0,425.741210513,1746161021.830915,939,0.010416666977107525,0.012561405077576637,1442304.0,-0.1472197324037552,0.02669270895421505
1.0,7392,31.471355438232422,62.20783996582031,0.3358921408653259,0.46866267919540405,954,0.0,432.199560198,1746161028.2892847,955,0.009765625,0.040942516177892685,1466880.0,-0.22434133291244507,0.0
1.0,7416,31.369792938232422,62.20783996582031,0.3339270353317261,0.46866267919540405,957,0.0,433.401356341,1746161029.4910376,958,0.015625,0.0347200408577919,1471488.0,-0.364655077457428,0.0
1.0,7448,31.453125,62.20783996582031,0.34620845317840576,0.46866267919540405,961,0.0,435.025676974,1746161031.1153839,962,0.01171875,0.022196322679519653,1477632.0,-0.3316066861152649,0.0
