rng1893648005/test_returned_episode_lengths,loss,returned_episode_returns,grad_steps,test_returned_won_episode,_runtime,test_returned_episode_returns,rng1893648005/returned_won_episode,_step,rng1893648005/returned_episode,qvals,returned_won_episode,rng1893648005/test_returned_episode_returns,rng1893648005/returned_episode_lengths,rng1893648005/grad_steps,test_returned_episode,rng1893648005/test_returned_won_episode,env_step,_timestamp,rng1893648005/update_steps,returned_episode_lengths,rng1893648005/loss,rng1893648005/qvals,test_returned_episode_lengths,rng1893648005/test_returned_episode,returned_episode,rng1893648005/returned_episode_returns,rng1893648005/env_step,update_steps
30.49493980407715,0.0,0.11028989404439926,0,0.0,49.036904014,0.06141861155629158,0.0,11,0.015625,0.0,0.0,0.06141861155629158,30.96224021911621,0,1.0,0.0,18432.0,1746188751.7091837,12,30.96224021911621,0.0,0.0,30.49493980407715,1.0,0.015625,0.11028989404439926,18432.0,12
30.49493980407715,0.0,0.10630248486995697,0,0.0,49.168461473,0.06141861155629158,0.0,13,0.015625,0.0,0.0,0.06141861155629158,29.713542938232422,0,1.0,0.0,21504.0,1746188751.8407269,14,29.713542938232422,0.0,0.0,30.49493980407715,1.0,0.015625,0.10630248486995697,21504.0,14
30.49493980407715,0.0,0.0969284176826477,0,0.0,49.299935204,0.06141861155629158,0.0,15,0.01497395895421505,0.0,0.0,0.06141861155629158,30.303386688232422,0,1.0,0.0,24576.0,1746188751.972226,16,30.303386688232422,0.0,0.0,30.49493980407715,1.0,0.01497395895421505,0.0969284176826477,24576.0,16
30.49493980407715,0.0024730502627789974,0.10617029666900635,120,0.0,56.226167132,0.06141861155629158,0.0,45,0.014322916977107525,0.3043038845062256,0.0,0.06141861155629158,30.47265625,120,1.0,0.0,70656.0,1746188758.8984158,46,30.47265625,0.0024730502627789974,0.3043038845062256,30.49493980407715,1.0,0.014322916977107525,0.10617029666900635,70656.0,46
30.49493980407715,0.0058698272332549095,0.14293807744979858,176,0.0,58.998523131,0.06141861155629158,0.0,52,0.015625,0.4816703796386719,0.0,0.06141861155629158,30.95833396911621,176,1.0,0.0,81408.0,1746188761.6707532,53,30.95833396911621,0.0058698272332549095,0.4816703796386719,30.49493980407715,1.0,0.015625,0.14293807744979858,81408.0,53
30.49493980407715,0.00365633238106966,0.11588715016841888,200,0.0,60.185699435,0.06141861155629158,0.0,55,0.01497395895421505,0.5237007141113281,0.0,0.06141861155629158,30.81770896911621,200,1.0,0.0,86016.0,1746188762.8579545,56,30.81770896911621,0.00365633238106966,0.5237007141113281,30.49493980407715,1.0,0.01497395895421505,0.11588715016841888,86016.0,56
30.49493980407715,0.008291071280837059,0.12939243018627167,256,0.0,62.959175901,0.06141861155629158,0.0,62,0.014322916977107525,0.6227653622627258,0.0,0.06141861155629158,31.29427146911621,256,1.0,0.0,96768.0,1746188765.6314173,63,31.29427146911621,0.008291071280837059,0.6227653622627258,30.49493980407715,1.0,0.014322916977107525,0.12939243018627167,96768.0,63
30.49493980407715,0.009060445241630077,0.142167329788208,432,0.0,71.672872382,0.06141861155629158,0.0,84,0.014322916977107525,0.7671408653259277,0.0,0.06141861155629158,30.682292938232422,432,1.0,0.0,130560.0,1746188774.3451533,85,30.682292938232422,0.009060445241630077,0.7671408653259277,30.49493980407715,1.0,0.014322916977107525,0.142167329788208,130560.0,85
30.49493980407715,0.039509113878011703,0.15145568549633026,568,0.0,78.408171729,0.06141861155629158,0.0,101,0.015625,0.8547128438949585,0.0,0.06141861155629158,31.256511688232422,568,1.0,0.0,156672.0,1746188781.0804336,102,31.256511688232422,0.039509113878011703,0.8547128438949585,30.49493980407715,1.0,0.015625,0.15145568549633026,156672.0,102
30.49493980407715,0.01826479099690914,0.15324310958385468,664,0.0,83.16394135,0.06141861155629158,0.0,113,0.015625,0.8966308832168579,0.0,0.06141861155629158,31.33724021911621,664,1.0,0.0,175104.0,1746188785.8362076,114,31.33724021911621,0.01826479099690914,0.8966308832168579,30.49493980407715,1.0,0.015625,0.15324310958385468,175104.0,114
