update_steps,_runtime,env_step,returned_won_episode,returned_episode,test_returned_episode_lengths,loss,returned_episode_returns,qvals,test_returned_episode,test_returned_episode_returns,returned_episode_lengths,test_returned_won_episode,_timestamp,grad_steps,_step
2,62.647571908,3072.0,0.0,0.01497395895421505,39.725955963134766,0.0,0.10361310094594955,0.0,1.0,0.11651697754859924,30.69140625,0.0,1746181522.7551332,0,1
5,62.84858786,7680.0,0.0,0.015625,39.725955963134766,0.0,0.10672535747289658,0.0,1.0,0.11651697754859924,30.56770896911621,0.0,1746181522.9561362,0,4
11,63.253788655,16896.0,0.0,0.015625,39.725955963134766,0.0,0.11338913440704346,0.0,1.0,0.11651697754859924,31.03645896911621,0.0,1746181523.3613408,0,10
20,63.856288855,30720.0,0.0,0.01497395895421505,39.725955963134766,0.0,0.10265558958053589,0.0,1.0,0.11651697754859924,29.444011688232422,0.0,1746181523.9638443,0,19
25,64.190958764,38400.0,0.0,0.015625,39.725955963134766,0.0,0.11503247916698456,0.0,1.0,0.11651697754859924,30.57552146911621,0.0,1746181524.2985191,0,24
28,64.391698439,43008.0,0.0,0.013671875,39.725955963134766,0.0,0.1006319671869278,0.0,1.0,0.11651697754859924,30.44921875,0.0,1746181524.499268,0,27
39,67.733078657,59904.0,0.0,0.01497395895421505,39.725955963134766,0.001925695687532425,0.11887621134519577,0.09228206425905228,1.0,0.11651697754859924,30.70247459411621,0.0,1746181527.8406239,64,38
41,68.515667232,62976.0,0.0,0.01692708395421505,39.725955963134766,0.0015016734832897782,0.10993342101573944,0.081873819231987,1.0,0.11651697754859924,29.34765625,0.0,1746181528.6232185,80,40
44,69.688573755,67584.0,0.0,0.01497395895421505,39.725955963134766,0.003397168591618538,0.13562503457069397,0.36423200368881226,1.0,0.11651697754859924,30.42708396911621,0.0,1746181529.796,104,43
68,79.103507056,104448.0,0.0,0.01497395895421505,39.725955963134766,0.004665589891374111,0.14188000559806824,0.636745810508728,1.0,0.11651697754859924,31.283855438232422,0.0,1746181539.2110314,296,67
73,81.076884895,112128.0,0.0,0.0162760429084301,39.725955963134766,0.01080736517906189,0.15434540808200836,0.6689092516899109,1.0,0.11651697754859924,31.38671875,0.0,1746181541.1843688,336,72
106,94.035742731,162816.0,0.0,0.01497395895421505,39.725955963134766,0.012724293395876884,0.15592584013938904,0.6647100448608398,1.0,0.11651697754859924,31.47265625,0.0,1746181554.143234,600,105
107,94.42693616,164352.0,0.0,0.01497395895421505,39.725955963134766,0.012394027784466743,0.16100595891475677,0.6730378866195679,1.0,0.11651697754859924,30.47005271911621,0.0,1746181554.5344636,608,106
115,97.581927764,176640.0,0.0,0.015625,39.725955963134766,0.016695357859134674,0.15532457828521729,0.6402420401573181,1.0,0.11651697754859924,31.14583396911621,0.0,1746181557.6894042,672,114
138,106.590199939,211968.0,0.0,0.015625,39.725955963134766,0.034701891243457794,0.17204636335372925,0.7747886180877686,1.0,0.11651697754859924,31.01692771911621,0.0,1746181566.6977215,856,137
161,115.6450141,247296.0,0.0,0.01497395895421505,39.725955963134766,0.02123222127556801,0.18168437480926514,0.777028501033783,1.0,0.11651697754859924,31.63802146911621,0.0,1746181575.7525132,1040,160
164,116.823992811,251904.0,0.0,0.015625,39.725955963134766,0.12861521542072296,0.1656295657157898,0.7773202061653137,1.0,0.11651697754859924,31.18489646911621,0.0,1746181576.9315255,1064,163
168,118.404935485,258048.0,0.0,0.01497395895421505,39.725955963134766,0.03728850185871124,0.16808363795280457,0.5308530330657959,1.0,0.11651697754859924,31.713542938232422,0.0,1746181578.5124419,1096,167
179,122.747984049,274944.0,0.0,0.015625,39.725955963134766,0.027773268520832062,0.18183454871177673,0.5670034885406494,1.0,0.11651697754859924,31.29427146911621,0.0,1746181582.8554258,1184,178
180,123.139441518,276480.0,0.0,0.01497395895421505,39.725955963134766,0.027704766020178795,0.18707232177257538,0.5811471939086914,1.0,0.11651697754859924,31.830730438232422,0.0,1746181583.246932,1192,179
187,125.873608377,287232.0,0.0,0.014322916977107525,39.725955963134766,0.05085932835936546,0.16895657777786255,0.5807931423187256,1.0,0.11651697754859924,31.393230438232422,0.0,1746181585.981149,1248,186
210,134.915346517,322560.0,0.0,0.01497395895421505,39.725955963134766,0.05851393938064575,0.17714476585388184,0.4481348693370819,1.0,0.11651697754859924,31.822917938232422,0.0,1746181595.0228856,1432,209
254,152.233909013,390144.0,0.0,0.01497395895421505,39.725955963134766,0.12555205821990967,0.1831251084804535,0.4124435484409332,1.0,0.11651697754859924,31.72005271911621,0.0,1746181612.3406882,1784,253
