returned_won_episode,returned_episode_lengths,update_steps,test_returned_episode_returns,_step,loss,returned_episode,qvals,test_returned_episode_lengths,_runtime,grad_steps,test_returned_won_episode,returned_episode_returns,env_step,test_returned_episode,_timestamp
0.0,28.47135353088379,19,1.837548552430235e-05,18,0.0,0.01888020895421505,0.0,9.589580535888672,46.274672945,0,0.0,0.16113367676734924,29184,1.0,1746473593.2172108
0.0,27.46028709411621,21,1.837548552430235e-05,20,0.0,0.02018229104578495,0.0,9.589580535888672,46.384927975,0,0.0,0.1414765566587448,32256,1.0,1746473593.3274527
0.0,26.44270896911621,36,1.837548552430235e-05,35,0.009127043187618256,0.02083333395421505,-0.05653322860598564,9.589580535888672,48.407980032,40,0.0,0.127980038523674,55296,1.0,1746473595.350467
0.0,27.54427146911621,73,1.837548552430235e-05,72,0.011294413357973099,0.02018229104578495,1.0017646551132202,9.589580535888672,59.283203476,336,0.0,0.16427169740200043,112128,1.0,1746473606.225721
0.0,27.92513084411621,83,1.837548552430235e-05,82,0.010924444533884525,0.01888020895421505,0.9984163045883179,9.589580535888672,62.229787087,416,0.0,0.15414929389953613,127488,1.0,1746473609.1723058
0.0,27.75911521911621,112,1.837548552430235e-05,111,0.021890364587306976,0.01822916604578495,1.032543420791626,9.589580535888672,70.763442524,648,0.0,0.16649998724460602,172032,1.0,1746473617.705944
0.0,28.63150978088379,145,1.837548552430235e-05,144,0.018246781080961227,0.01953125,1.0080504417419434,9.589580535888672,80.47122767,912,0.0,0.2104826271533966,222720,1.0,1746473627.4137254
0.0,30.15364646911621,208,1.837548552430235e-05,207,0.032610706984996796,0.014973958022892475,0.8424352407455444,9.589580535888672,99.005595521,1416,0.0,0.1862768977880478,319488,1.0,1746473645.9480727
0.0,30.8828125,267,1.837548552430235e-05,266,0.0853574126958847,0.015625,0.5892013311386108,9.589580535888672,116.353637516,1888,0.0,0.2014886885881424,410112,1.0,1746473663.296121
0.0,26.62239646911621,272,1.837548552430235e-05,271,0.21347768604755402,0.021484375,0.5525194406509399,9.589580535888672,117.826178932,1928,0.0,0.13844530284404755,417792,1.0,1746473664.7686858
0.0,28.65755271911621,279,1.837548552430235e-05,278,0.06045781448483467,0.015625,0.49335935711860657,9.589580535888672,119.884767913,1984,0.0,0.19740450382232666,428544,1.0,1746473666.8272834
0.0,28.19466209411621,296,1.837548552430235e-05,295,0.09999190270900726,0.02018229104578495,0.39314377307891846,9.589580535888672,124.882885142,2120,0.0,0.17887412011623383,454656,1.0,1746473671.825405
0.0,30.59830665588379,351,0.08540263026952744,350,0.14995378255844116,0.01627604104578495,0.3396848440170288,44.12992477416992,141.122189294,2560,0.0,0.156279519200325,539136,1.0,1746473688.0646865
0.0,22.88932228088379,376,0.08540263026952744,375,0.3213058114051819,0.02994791604578495,0.26551803946495056,44.12992477416992,148.471072426,2760,0.0,0.08275087922811508,577536,1.0,1746473695.413597
0.0,30.80338478088379,379,0.08540263026952744,378,0.19240981340408325,0.015625,0.250101774930954,44.12992477416992,149.352294237,2784,0.0,0.13477344810962677,582144,1.0,1746473696.2948074
0.0,30.9375,382,0.08540263026952744,381,0.16793644428253174,0.015625,0.17926207184791565,44.12992477416992,150.233597311,2808,0.0,0.14320310950279236,586752,1.0,1746473697.1761117
0.0,27.85546875,391,0.08540263026952744,390,0.1174183338880539,0.02018229104578495,0.1807968020439148,44.12992477416992,152.887903736,2880,0.0,0.11802690476179123,600576,1.0,1746473699.8304036
0.0,31.68099021911621,398,0.08540263026952744,397,0.14424443244934082,0.014973958022892475,0.16662944853305817,44.12992477416992,154.944646569,2936,0.0,0.151542529463768,611328,1.0,1746473701.8871434
0.0,30.27994728088379,405,0.08540263026952744,404,0.18170326948165894,0.014322916977107525,0.17584854364395142,44.12992477416992,157.003590611,2992,0.0,0.15824563801288605,622080,1.0,1746473703.946091
0.0,29.20052146911621,426,0.08540263026952744,425,0.15057317912578583,0.01627604104578495,0.18069617450237274,44.12992477416992,163.252554992,3160,0.0,0.13540537655353546,654336,1.0,1746473710.1950576
0.0,31.30729103088379,432,0.08540263026952744,431,0.13367807865142822,0.015625,0.20019644498825073,44.12992477416992,165.016096056,3208,0.0,0.16917620599269867,663552,1.0,1746473711.9586039
0.0,30.94791603088379,445,0.08540263026952744,444,0.1641601026058197,0.014973958022892475,0.09322163462638855,44.12992477416992,168.837979406,3312,0.0,0.15410415828227997,683520,1.0,1746473715.7804923
0.0,31.05599021911621,447,0.08540263026952744,446,0.13781961798667908,0.015625,0.09300176054239273,44.12992477416992,169.42557215,3328,0.0,0.16933853924274445,686592,1.0,1746473716.3680909
0.0,29.10221290588379,450,0.08540263026952744,449,0.16194340586662292,0.017578125,0.11140575259923935,44.12992477416992,170.313541448,3352,0.0,0.15590626001358032,691200,1.0,1746473717.2560117
0.0,31.78580665588379,457,0.08540263026952744,456,0.10444661229848862,0.015625,0.08549287915229797,44.12992477416992,172.370344956,3408,0.0,0.16930468380451202,701952,1.0,1746473719.312835
0.0,30.85546875,470,0.08540263026952744,469,0.17828893661499023,0.013671875,0.06049320846796036,44.12992477416992,176.191695298,3512,0.0,0.176820307970047,721920,1.0,1746473723.134209
0.0,29.44921875,480,0.08540263026952744,479,0.19423547387123108,0.01627604104578495,0.06012117117643356,44.12992477416992,179.129452861,3592,0.0,0.12791234254837036,737280,1.0,1746473726.0719464
0.0,30.40625,484,0.08540263026952744,483,0.12599119544029236,0.013671875,0.012668549083173275,44.12992477416992,180.309039414,3624,0.0,0.15686890482902527,743424,1.0,1746473727.2515328
0.0,29.48958396911621,493,0.08540263026952744,492,0.19004400074481964,0.017578125,-0.07822848856449127,44.12992477416992,182.955767332,3696,0.0,0.16792793571949005,757248,1.0,1746473729.8982666
0.0,32.34114456176758,502,0.08540263026952744,501,0.15389308333396912,0.01171875,-0.03670641779899597,44.12992477416992,185.601509256,3768,0.0,0.1635720282793045,771072,1.0,1746473732.5439928
0.0,31.24088478088379,539,0.08540263026952744,538,0.09407611936330795,0.013671875,0.0057013691402971745,44.12992477416992,196.481976483,4064,0.0,0.1378767192363739,827904,1.0,1746473743.4244852
0.0,30.55599021911621,547,0.08540263026952744,546,0.11221010982990265,0.013671875,0.04218821972608566,44.12992477416992,198.833793793,4128,0.0,0.1084357500076294,840192,1.0,1746473745.7763329
0.0,31.640625,551,0.08540263026952744,550,0.08822931349277496,0.013671875,0.0431753545999527,44.12992477416992,200.008788962,4160,0.0,0.1470460146665573,846336,1.0,1746473746.9513023
0.0,30.5390625,586,0.08540263026952744,585,0.06762884557247162,0.012369791977107525,0.040421999990940094,44.12992477416992,210.295558942,4440,0.0,0.16347135603427887,900096,1.0,1746473757.2380295
0.0,30.0546875,604,0.08540263026952744,603,0.08274726569652557,0.01171875,0.014287976548075676,44.12992477416992,215.591146383,4584,0.0,0.1739886850118637,927744,1.0,1746473762.5335386
0.0,32.15234375,610,0.08540263026952744,609,0.06657059490680695,0.013020833022892475,0.07568483799695969,44.12992477416992,217.354248669,4632,0.0,0.15382203459739685,936960,1.0,1746473764.29676
0.0,30.21224021911621,612,0.08540263026952744,611,0.07025546580553055,0.011067708022892475,0.0886591225862503,44.12992477416992,217.942058894,4648,0.0,0.13168488442897797,940032,1.0,1746473764.8845742
0.0,30.50260353088379,613,0.08540263026952744,612,0.0780760645866394,0.011067708022892475,0.0741143599152565,44.12992477416992,218.235884732,4656,0.0,0.12127777189016342,941568,1.0,1746473765.1784186
0.0,29.60416603088379,637,0.08540263026952744,636,0.07545654475688934,0.013671875,0.08165298402309418,44.12992477416992,225.286311949,4848,0.0,0.1004565879702568,978432,1.0,1746473772.2288263
0.0,26.0,657,0.3056221604347229,656,0.084442138671875,0.0234375,0.10921503603458405,57.18490219116211,231.233698998,5008,0.0,0.18365798890590668,1009152,1.0,1746473778.1762216
0.0,30.92447853088379,667,0.3056221604347229,666,0.06239468976855278,0.013671875,0.1095215231180191,57.18490219116211,234.171551871,5088,0.0,0.15260416269302368,1024512,1.0,1746473781.114052
0.0,29.60286521911621,688,0.3056221604347229,687,0.10417124629020691,0.015625,0.05824807658791542,57.18490219116211,240.344582714,5256,0.0,0.20684374868869781,1056768,1.0,1746473787.287102
0.0,31.4609375,695,0.3056221604347229,694,0.1642260104417801,0.01171875,0.13422811031341553,57.18490219116211,242.403197214,5312,0.0,0.13014669716358185,1067520,1.0,1746473789.345726
0.0,32.13932418823242,699,0.3056221604347229,698,0.06954897940158844,0.012369791977107525,0.21409809589385986,57.18490219116211,243.578707436,5344,0.0,0.2081579715013504,1073664,1.0,1746473790.5211482
0.0,31.93619728088379,705,0.3056221604347229,704,0.0786747932434082,0.014322916977107525,0.26681220531463623,57.18490219116211,245.344013836,5392,0.0,0.23159199953079224,1082880,1.0,1746473792.286492
0.0,31.71875,713,0.3056221604347229,712,0.08468223363161087,0.014973958022892475,0.30211228132247925,57.18490219116211,247.694443735,5456,0.0,0.21910327672958374,1095168,1.0,1746473794.636956
