test_returned_episode_lengths,returned_episode_returns,returned_episode_lengths,test_returned_episode,loss,update_steps,_step,returned_won_episode,returned_episode,test_returned_won_episode,_timestamp,env_step,test_returned_episode_returns,grad_steps,qvals,_runtime
12.323841094970703,0.11244071274995804,30.289064407348633,0.9999999403953552,0.0,29,28,0.0,0.015625,0.0,1746155225.725566,44544.0,6.284367373154964e-06,0,0.0,80.109396763
12.323841094970703,0.13883207738399506,31.799480438232422,0.9999999403953552,0.006074230652302504,45,44,0.0,0.01497395895421505,0.0,1746155230.500979,69120.0,6.284367373154964e-06,112,0.34794139862060547,84.884595115
12.323841094970703,0.13727474212646484,30.365886688232422,0.9999999403953552,0.005522611550986767,51,50,0.0,0.013671875931322575,0.0,1746155232.4934194,78336.0,6.284367373154964e-06,160,0.35357314348220825,86.877317161
12.323841094970703,0.15872330963611603,30.747398376464844,0.9999999403953552,0.008019805885851383,55,54,0.0,0.014322916977107525,0.0,1746155233.8209357,84480.0,6.284367373154964e-06,192,0.5550246238708496,88.204843648
12.323841094970703,0.1582711637020111,30.610679626464844,0.9999999403953552,0.012658398598432541,63,62,0.0,0.013671875931322575,0.0,1746155236.4825904,96768.0,6.284367373154964e-06,256,0.6807218194007874,90.866270744
12.323841094970703,0.15673530101776123,31.641929626464844,0.9999999403953552,0.011521556414663792,75,74,0.0,0.014322916977107525,0.0,1746155240.4671445,115200.0,6.284367373154964e-06,352,0.77070552110672,94.851026515
12.323841094970703,0.1701744794845581,31.369792938232422,0.9999999403953552,0.017476433888077736,94,93,0.0,0.015625,0.0,1746155246.757615,144384.0,6.284367373154964e-06,504,0.8409615755081177,101.140984721
12.323841094970703,0.16674892604351044,30.881511688232422,0.9999999403953552,0.029748354107141495,123,122,0.0,0.014322916977107525,0.0,1746155256.3806503,188928.0,6.284367373154964e-06,736,0.9481449723243713,110.764051736
12.323841094970703,0.20088337361812592,31.953126907348633,0.9999999403953552,0.061388179659843445,133,132,0.0,0.01497395895421505,0.0,1746155259.690727,204288.0,6.284367373154964e-06,816,1.0284243822097778,114.074228086
12.323841094970703,0.1951436847448349,31.572917938232422,0.9999999403953552,0.03197968751192093,136,135,0.0,0.013671875931322575,0.0,1746155260.6825697,208896.0,6.284367373154964e-06,840,1.0751245021820068,115.066035711
12.323841094970703,0.18529027700424194,32.03125,0.9999999403953552,0.03860925883054733,160,159,0.0,0.012369791977107525,0.0,1746155268.6564975,245760.0,6.284367373154964e-06,1032,1.0183467864990234,123.039906082
12.323841094970703,0.21472980082035065,31.520835876464844,0.9999999403953552,0.09925450384616852,183,182,0.0,0.01497395895421505,0.0,1746155276.2985427,281088.0,6.284367373154964e-06,1216,0.7705774903297424,130.68192066
12.323841094970703,0.2141565978527069,31.040367126464844,0.9999999403953552,0.0922977551817894,187,186,0.0,0.01497395895421505,0.0,1746155277.6219945,287232.0,6.284367373154964e-06,1248,0.7507444620132446,132.005469733
12.323841094970703,0.18804585933685303,30.548179626464844,0.9999999403953552,0.09924289584159851,189,188,0.0,0.013671875931322575,0.0,1746155278.2836807,290304.0,6.284367373154964e-06,1264,0.7533948421478271,132.667100945
12.323841094970703,0.20741000771522522,31.138023376464844,0.9999999403953552,0.1499781459569931,194,193,0.0,0.015625,0.0,1746155279.9440193,297984.0,6.284367373154964e-06,1304,0.7406980991363525,134.327468263
12.323841094970703,0.2447110116481781,31.856773376464844,0.9999999403953552,0.11176300793886185,196,195,0.0,0.01302083395421505,0.0,1746155280.609852,301056.0,6.284367373154964e-06,1320,0.7366242408752441,134.993335698
12.323841094970703,0.23838625848293304,32.130210876464844,0.9999999403953552,0.11549608409404755,198,197,0.0,0.014322916977107525,0.0,1746155281.27092,304128.0,6.284367373154964e-06,1336,0.7434715032577515,135.654345285
12.323841094970703,0.20658062398433685,31.019533157348633,0.9999999403953552,0.08582258969545364,204,203,0.0,0.01302083395421505,0.0,1746155283.2810464,313344.0,6.284367373154964e-06,1384,0.7024201154708862,137.664546231
12.323841094970703,0.2599906325340271,31.949220657348633,0.9999999403953552,0.16170549392700195,259,258,0.0,0.01497395895421505,0.0,1746155301.5968022,397824.0,6.284367373154964e-06,1824,0.6614208221435547,155.980279625
12.323841094970703,0.2353389859199524,32.07682418823242,0.9999999403953552,0.20879757404327393,278,277,0.0,0.013671875931322575,0.0,1746155307.9166553,427008.0,6.284367373154964e-06,1976,0.7613629102706909,162.300081036
12.323841094970703,0.2623661160469055,31.752605438232422,0.9999999403953552,0.20014819502830505,285,284,0.0,0.014322916977107525,0.0,1746155310.2485266,437760.0,6.284367373154964e-06,2032,0.7258110046386719,164.631919215
12.323841094970703,0.2128014862537384,32.1875,0.9999999403953552,0.19022661447525024,303,302,0.0,0.013671875931322575,0.0,1746155316.206133,465408.0,6.284367373154964e-06,2176,0.6815989017486572,170.589581893
63.073455810546875,0.22531180083751678,32.0234375,1.0,0.3214977979660034,330,329,0.0,0.014322916977107525,0.0025773197412490845,1746155325.2638578,506880.0,0.6014329195022583,2392,0.6589774489402771,179.647369446
63.073455810546875,0.21912410855293274,31.984376907348633,1.0,0.28559163212776184,360,359,0.0,0.014322916977107525,0.0025773197412490845,1746155335.2322547,552960.0,0.6014329195022583,2632,0.606692373752594,189.615822581
63.073455810546875,0.18634183704853058,31.466148376464844,1.0,0.24823741614818573,374,373,0.0,0.014322916977107525,0.0025773197412490845,1746155339.8609493,574464.0,0.6014329195022583,2744,0.5508511066436768,194.244418062
63.073455810546875,0.24841725826263428,31.820314407348633,1.0,0.15649372339248657,376,375,0.0,0.01497395895421505,0.0025773197412490845,1746155340.5436316,577536.0,0.6014329195022583,2760,0.5629143714904785,194.927107054
63.073455810546875,0.20722758769989014,31.747398376464844,1.0,0.1567632257938385,381,380,0.0,0.015625,0.0025773197412490845,1746155342.201634,585216.0,0.6014329195022583,2800,0.5360386967658997,196.585058571
63.073455810546875,0.13090647757053375,31.292970657348633,1.0,0.11817309260368347,414,413,0.0,0.01497395895421505,0.0025773197412490845,1746155353.3123777,635904.0,0.6014329195022583,3064,0.5195102691650391,207.695827306
63.073455810546875,0.11740019172430038,31.604167938232422,1.0,0.13004669547080994,415,414,0.0,0.01497395895421505,0.0025773197412490845,1746155353.6438994,637440.0,0.6014329195022583,3072,0.5462981462478638,208.027280462
63.073455810546875,0.15649563074111938,31.250001907348633,1.0,0.12249860167503357,424,423,0.0,0.013671875931322575,0.0025773197412490845,1746155356.6542854,651264.0,0.6014329195022583,3144,0.512601375579834,211.037717874
63.073455810546875,0.1290290206670761,31.055992126464844,1.0,0.1817052662372589,432,431,0.0,0.01302083395421505,0.0025773197412490845,1746155359.3045952,663552.0,0.6014329195022583,3208,0.5526754856109619,213.688028599
63.073455810546875,0.1446130871772766,31.759117126464844,1.0,0.16486532986164093,438,437,0.0,0.014322916977107525,0.0025773197412490845,1746155361.311307,672768.0,0.6014329195022583,3256,0.5551252365112305,215.694987194
63.073455810546875,0.11657509952783585,31.220054626464844,1.0,0.1608424037694931,457,456,0.0,0.01302083395421505,0.0025773197412490845,1746155367.6291656,701952.0,0.6014329195022583,3408,0.4534171223640442,222.012621156
63.073455810546875,0.1683957874774933,32.0625,1.0,0.15061412751674652,490,489,0.0,0.01302083395421505,0.0025773197412490845,1746155378.5868077,752640.0,0.6014329195022583,3672,0.2806016206741333,232.97027071
63.073455810546875,0.16189563274383545,31.932292938232422,1.0,0.4195130467414856,506,505,0.0,0.015625,0.0025773197412490845,1746155383.90139,777216.0,0.6014329195022583,3800,0.3553937077522278,238.284788095
63.073455810546875,0.12457167357206345,32.3046875,1.0,0.19571122527122498,536,535,0.0,0.014322916977107525,0.0025773197412490845,1746155393.8621547,823296.0,0.6014329195022583,4040,0.29833871126174927,248.245577581
63.073455810546875,0.14002783596515656,32.12890625,1.0,0.4588848948478699,542,541,0.0,0.015625,0.0025773197412490845,1746155395.873243,832512.0,0.6014329195022583,4088,0.29986822605133057,250.256685456
63.073455810546875,0.19015468657016754,32.2734375,1.0,0.2736935317516327,592,591,0.0,0.013671875931322575,0.0025773197412490845,1746155412.539168,909312.0,0.6014329195022583,4488,0.2430650293827057,266.922666961
63.073455810546875,0.1542498916387558,32.309898376464844,1.0,0.20616811513900757,610,609,0.0,0.013671875931322575,0.0025773197412490845,1746155418.5286849,936960.0,0.6014329195022583,4632,0.26442548632621765,272.912273519
63.073455810546875,0.16732819378376007,31.839845657348633,1.0,0.20780399441719055,611,610,0.0,0.014322916977107525,0.0025773197412490845,1746155418.860231,938496.0,0.6014329195022583,4640,0.26308977603912354,273.243687923
63.073455810546875,0.1705024540424347,32.26432418823242,1.0,0.268765389919281,627,626,0.0,0.01497395895421505,0.0025773197412490845,1746155424.245964,963072.0,0.6014329195022583,4768,0.2708151936531067,278.629427832
59.60295867919922,0.13450706005096436,30.783855438232422,1.0,0.16104036569595337,657,656,0.0,0.015625,0.0,1746155434.2783656,1009152.0,0.23646199703216553,5008,0.29968124628067017,288.661930883
59.60295867919922,0.11932796239852905,29.86067771911621,1.0,0.17609229683876038,662,661,0.0,0.015625,0.0,1746155435.9630144,1016832.0,0.23646199703216553,5048,0.3587532043457031,290.346454329
59.60295867919922,0.1921817660331726,31.791667938232422,1.0,0.21154239773750305,697,696,0.0,0.01302083395421505,0.0,1746155447.6228735,1070592.0,0.23646199703216553,5328,0.2892908751964569,302.006402568
