test_returned_won_episode,returned_episode_returns,returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode,_runtime,test_returned_episode_lengths,test_returned_episode,grad_steps,env_step,qvals,_timestamp
0.0,0.15357030928134918,26.61458396911621,0.0,40,39,0.00011371447908459231,0.005303547251969576,0.01888020895421505,61.978756522,9.851764678955078,1.0,72,61440,0.1525801420211792,1746190053.300443
0.0,0.1610555499792099,27.07942771911621,0.0,68,67,0.00011371447908459231,0.00772714102640748,0.02018229104578495,70.270309966,9.851764678955078,1.0,296,104448,0.8505276441574097,1746190061.5919595
0.0,0.16187933087348938,27.10286521911621,0.0,77,76,0.00011371447908459231,0.008635482750833035,0.02018229104578495,72.939253163,9.851764678955078,1.0,368,118272,0.8974712491035461,1746190064.2609124
0.0,0.1854175180196762,27.87174415588379,0.0,129,128,0.00011371447908459231,0.01635173335671425,0.017578125,88.302849849,9.851764678955078,1.0,784,198144,0.8533512353897095,1746190079.6245124
0.0,0.1828801929950714,28.29427146911621,0.0,142,141,0.00011371447908459231,0.030076732859015465,0.017578125,92.151797781,9.851764678955078,1.0,888,218112,0.830904483795166,1746190083.4734375
0.0,0.18916578590869904,29.44010353088379,0.0,144,143,0.00011371447908459231,0.020766817033290863,0.017578125,92.742744298,9.851764678955078,1.0,904,221184,0.8311831951141357,1746190084.0643885
0.0,0.1992456465959549,27.923828125,0.0,157,156,0.00011371447908459231,0.022504299879074097,0.02018229104578495,96.571912746,9.851764678955078,1.0,1008,241152,0.7798956632614136,1746190087.8935518
0.0,0.18509981036186218,28.85807228088379,0.0,177,176,0.00011371447908459231,0.026110855862498283,0.015625,102.481869196,9.851764678955078,1.0,1168,271872,0.7381588220596313,1746190093.8035266
0.0,0.20128557085990906,29.53190040588379,0.0,189,188,0.00011371447908459231,0.02531944401562214,0.01692708395421505,106.029246928,9.851764678955078,1.0,1264,290304,0.7345724105834961,1746190097.3509173
0.0,0.19831769168376923,29.82552146911621,0.0,202,201,0.00011371447908459231,0.04361564293503761,0.015625,109.882746133,9.851764678955078,1.0,1368,310272,0.5946530103683472,1746190101.2044291
0.0,0.1935781091451645,30.20703125,0.0,220,219,0.00011371447908459231,0.03272600099444389,0.014973958022892475,115.210335069,9.851764678955078,1.0,1512,337920,0.58573317527771,1746190106.5319574
0.0,0.209151029586792,29.41536521911621,0.0,224,223,0.00011371447908459231,0.06308119744062424,0.01692708395421505,116.387240404,9.851764678955078,1.0,1544,344064,0.5832990407943726,1746190107.7088566
0.0,0.22636021673679352,30.27734375,0.0,225,224,0.00011371447908459231,0.05639024078845978,0.015625,116.6815228,9.851764678955078,1.0,1552,345600,0.5724097490310669,1746190108.003195
0.0,0.2222534567117691,30.31966209411621,0.0,233,232,0.00011371447908459231,0.0509999617934227,0.017578125,119.059668334,9.851764678955078,1.0,1616,357888,0.579283595085144,1746190110.38114
0.0,0.18722482025623322,29.837890625,0.0,241,240,0.00011371447908459231,0.040072113275527954,0.01692708395421505,121.420724657,9.851764678955078,1.0,1680,370176,0.5769513249397278,1746190112.742362
