returned_episode_returns,loss,test_returned_won_episode,_runtime,test_returned_episode_lengths,env_step,returned_won_episode,test_returned_episode_returns,test_returned_episode,qvals,returned_episode_lengths,_step,returned_episode,_timestamp,update_steps,grad_steps
0.1259177029132843,0.0,0.0,59.162002509,35.27032470703125,27648.0,0.0,0.15662682056427002,1,0.0,31.105470657348633,17,0.0162760429084301,1746162042.9667633,18,0
0.12355263531208038,0.007021408528089523,0.0,60.641321942,35.27032470703125,50688.0,0.0,0.15662682056427002,1,0.002052521565929055,31.402345657348633,32,0.013671875931322575,1746162044.4460332,33,16
0.13995178043842316,0.019881032407283783,0.0,66.997851676,35.27032470703125,79872.0,0.0,0.15662682056427002,1,0.47243863344192505,30.076824188232422,51,0.01302083395421505,1746162050.8025868,52,168
0.1703527569770813,0.0195920392870903,0.0,81.081530495,35.27032470703125,144384.0,0.0,0.15662682056427002,1,0.7673817873001099,30.998699188232422,93,0.015625,1746162064.8861518,94,504
0.196155846118927,0.03462709113955498,0.0,91.840501138,35.27032470703125,193536.0,0.0,0.15662682056427002,1,0.722785472869873,31.901042938232422,125,0.014322916977107525,1746162075.645181,126,760
0.18667107820510864,0.028105132281780243,0.0,93.51687483,35.27032470703125,201216.0,0.0,0.15662682056427002,1,0.710574746131897,30.39974021911621,130,0.015625,1746162077.3215747,131,800
0.21113532781600952,0.16990241408348083,0.0,97.515402629,35.27032470703125,219648.0,0.0,0.15662682056427002,1,0.7460811138153076,31.503908157348633,142,0.01497395895421505,1746162081.3201442,143,896
0.23053692281246185,0.09229175746440887,0.0,111.95057935,35.27032470703125,285696.0,0.0,0.15662682056427002,1,0.6689744591712952,31.678386688232422,185,0.014322916977107525,1746162095.755229,186,1240
0.22562453150749207,0.10144955664873123,0.0,114.960427984,35.27032470703125,299520.0,0.0,0.15662682056427002,1,0.5053932666778564,32.0546875,194,0.014322916977107525,1746162098.7649956,195,1312
0.21209870278835297,0.10216085612773895,0.0,116.296786051,35.27032470703125,305664.0,0.0,0.15662682056427002,1,0.519951581954956,31.859376907348633,198,0.013671875931322575,1746162100.1015048,199,1344
0.21906815469264984,0.2389371395111084,0.0,121.976916054,35.27032470703125,331776.0,0.0,0.15662682056427002,1,0.47709035873413086,32.11979293823242,215,0.01497395895421505,1746162105.7816496,216,1480
0.1818954050540924,0.44439950585365295,0.0,132.348390576,35.27032470703125,379392.0,0.0,0.15662682056427002,1,0.4349055290222168,31.160158157348633,246,0.014322916977107525,1746162116.1530542,247,1728
0.23787912726402283,0.42687761783599854,0.0,136.029297647,35.27032470703125,396288.0,0.0,0.15662682056427002,1,0.45876288414001465,31.842449188232422,257,0.015625,1746162119.8339922,258,1816
0.2019185870885849,0.4034067988395691,0.0,136.694052836,35.27032470703125,399360.0,0.0,0.15662682056427002,1,0.47397488355636597,31.951824188232422,259,0.01497395895421505,1746162120.498629,260,1832
0.2618456780910492,0.39462006092071533,0.0,139.055751582,35.27032470703125,410112.0,0.0,0.15662682056427002,1,0.4662199914455414,32.19010543823242,266,0.014322916977107525,1746162122.8604352,267,1888
0.2659735083580017,0.32987141609191895,0.0,146.732400308,35.27032470703125,445440.0,0.0,0.15662682056427002,1,0.45026665925979614,31.993492126464844,289,0.015625,1746162130.5371253,290,2072
0.22519837319850922,0.335665762424469,0.0,153.793399509,35.27032470703125,477696.0,0.0,0.15662682056427002,1,0.4473312199115753,31.500001907348633,310,0.013671875931322575,1746162137.5979025,311,2240
0.19635780155658722,0.3224447965621948,0.0,158.517094799,55.75025939941406,499200.0,0.0,0.4976893961429596,1,0.4307800233364105,30.968751907348633,324,0.01302083395421505,1746162142.3217878,325,2352
0.21908341348171234,0.28539907932281494,0.0,164.901648302,55.75025939941406,528384.0,0.0,0.4976893961429596,1,0.42589452862739563,31.256511688232422,343,0.011718750931322575,1746162148.7062988,344,2504
0.22781506180763245,0.29750266671180725,0.0,165.568014422,55.75025939941406,531456.0,0.0,0.4976893961429596,1,0.4181634187698364,32.196617126464844,345,0.01497395895421505,1746162149.3727672,346,2520
0.19575652480125427,0.31314826011657715,0.0,166.56704292,55.75025939941406,536064.0,0.0,0.4976893961429596,1,0.42621660232543945,32.15494918823242,348,0.01497395895421505,1746162150.3717012,349,2544
0.21025978028774261,0.2928451895713806,0.0,172.562183528,55.75025939941406,563712.0,0.0,0.4976893961429596,1,0.4007777273654938,31.252605438232422,366,0.01302083395421505,1746162156.3669152,367,2688
0.21971994638442993,0.2552630305290222,0.0,174.920629456,55.75025939941406,574464.0,0.0,0.4976893961429596,1,0.3830883502960205,31.289064407348633,373,0.014322916977107525,1746162158.725314,374,2744
0.1358402967453003,0.1544903814792633,0.0,184.643558049,55.75025939941406,619008.0,0.0,0.4976893961429596,1,0.38672560453414917,31.539064407348633,402,0.0162760429084301,1746162168.4481447,403,2976
0.12139920145273209,0.20331376791000366,0.0,195.849143141,55.75025939941406,669696.0,0.0,0.4976893961429596,1,0.29099926352500916,30.716148376464844,435,0.01497395895421505,1746162179.6538777,436,3240
0.06609022617340088,0.4639465808868408,0.0,201.195589166,55.75025939941406,694272.0,0.0,0.4976893961429596,1,0.2242530882358551,24.461589813232422,451,0.02669270895421505,1746162185.0002387,452,3368
0.11949159950017929,0.1419745832681656,0.0,208.865131038,55.75025939941406,729600.0,0.0,0.4976893961429596,1,0.2386210858821869,32.16276168823242,474,0.01302083395421505,1746162192.6698508,475,3552
0.13800935447216034,0.11873979866504669,0.0,212.558957919,55.75025939941406,746496.0,0.0,0.4976893961429596,1,0.160710409283638,32.247398376464844,485,0.015625,1746162196.3636436,486,3640
0.1677459478378296,0.4928438067436218,0.0,214.914716532,55.75025939941406,757248.0,0.0,0.4976893961429596,1,0.1090124174952507,31.139324188232422,492,0.015625,1746162198.7194333,493,3696
0.12144830077886581,0.1510724425315857,0.0,223.271646703,55.75025939941406,795648.0,0.0,0.4976893961429596,1,0.20060017704963684,31.856773376464844,517,0.014322916977107525,1746162207.076372,518,3896
