loss,grad_steps,qvals,test_returned_episode_returns,_step,returned_episode,env_step,returned_won_episode,test_returned_won_episode,test_returned_episode_lengths,returned_episode_lengths,returned_episode_returns,_runtime,_timestamp,test_returned_episode,update_steps
0.0,0,0.0,0.026030292734503746,1,0.01497395895421505,3072.0,0.0,0.0,49.8745231628418,31.05208396911621,0.11652129143476486,45.728769228,1746169378.5430443,1.0,2
0.0,0,0.0,0.026030292734503746,8,0.013671875,13824.0,0.0,0.0,49.8745231628418,31.41796875,0.11285185813903809,46.183494778,1746169378.99779,1.0,9
0.0,0,0.0,0.026030292734503746,27,0.015625,43008.0,0.0,0.0,49.8745231628418,30.402996063232422,0.1185288056731224,47.421063859,1746169380.2353733,1.0,28
0.004578369669616222,24,0.061444856226444244,0.026030292734503746,33,0.014322916977107525,52224.0,0.0,0.0,49.8745231628418,30.604167938232422,0.11008622497320175,48.82203293,1746169381.6363287,1.0,34
0.004498150199651718,216,0.5118954181671143,0.026030292734503746,57,0.014322916977107525,89088.0,0.0,0.0,49.8745231628418,31.05078125,0.13521109521389008,58.471638952,1746169391.2859602,1.0,58
0.009532123804092407,464,0.7206909656524658,0.026030292734503746,88,0.014322916977107525,136704.0,0.0,0.0,49.8745231628418,31.3359375,0.15608972311019897,70.94784393,1746169403.7621286,1.0,89
0.012604808434844017,528,0.6961426734924316,0.026030292734503746,96,0.01497395895421505,148992.0,0.0,0.0,49.8745231628418,31.522136688232422,0.172294482588768,74.164099643,1746169406.9783926,1.0,97
0.011595248244702816,536,0.6905261278152466,0.026030292734503746,97,0.01497395895421505,150528.0,0.0,0.0,49.8745231628418,31.276042938232422,0.1608651578426361,74.566184225,1746169407.380498,1.0,98
0.013246455229818821,640,0.6972347497940063,0.026030292734503746,110,0.01497395895421505,170496.0,0.0,0.0,49.8745231628418,31.9609375,0.17019233107566833,79.800148041,1746169412.6144528,1.0,111
0.016803130507469177,696,0.6303956508636475,0.026030292734503746,117,0.01497395895421505,181248.0,0.0,0.0,49.8745231628418,31.635417938232422,0.17415444552898407,82.614507211,1746169415.4288185,1.0,118
0.01615048013627529,704,0.6314064264297485,0.026030292734503746,118,0.013671875,182784.0,0.0,0.0,49.8745231628418,31.73567771911621,0.1694900244474411,83.017044049,1746169415.8313725,1.0,119
0.02226332388818264,848,0.7267028093338013,0.026030292734503746,136,0.01497395895421505,210432.0,0.0,0.0,49.8745231628418,31.98567771911621,0.1815756857395172,90.254786478,1746169423.0690765,1.0,137
0.03083549439907074,920,0.7461813688278198,0.026030292734503746,145,0.015625,224256.0,0.0,0.0,49.8745231628418,32.055992126464844,0.18819479644298553,93.88170812,1746169426.6959832,1.0,146
0.0472557358443737,968,0.750210702419281,0.026030292734503746,151,0.014322916977107525,233472.0,0.0,0.0,49.8745231628418,31.828125,0.18288688361644745,96.293988589,1746169429.1082997,1.0,152
0.046730346977710724,1032,0.518836259841919,0.026030292734503746,159,0.01302083395421505,245760.0,0.0,0.0,49.8745231628418,31.3984375,0.17397427558898926,99.51189164,1746169432.32617,1.0,160
0.0588068850338459,1120,0.28605902194976807,0.026030292734503746,170,0.014322916977107525,262656.0,0.0,0.0,49.8745231628418,32.16015625,0.17441390454769135,103.936809106,1746169436.751103,1.0,171
0.32888418436050415,1448,0.4025189280509949,0.026030292734503746,211,0.01302083395421505,325632.0,0.0,0.0,49.8745231628418,31.52864646911621,0.20364557206630707,120.47102915400001,1746169453.285219,1.0,212
0.26680395007133484,1528,0.4189660847187042,0.026030292734503746,221,0.013671875,340992.0,0.0,0.0,49.8745231628418,31.75,0.20034408569335938,124.500662724,1746169457.3147123,1.0,222
0.06895363330841064,1576,0.4909053146839142,0.026030292734503746,227,0.012369791977107525,350208.0,0.0,0.0,49.8745231628418,31.51302146911621,0.1851566731929779,126.919934691,1746169459.7339878,1.0,228
0.21519428491592407,1648,0.41096895933151245,0.026030292734503746,236,0.013671875,364032.0,0.0,0.0,49.8745231628418,32.243492126464844,0.19303253293037415,130.549228595,1746169463.3634276,1.0,237
0.12249046564102173,1824,0.32877683639526367,0.026030292734503746,258,0.014322916977107525,397824.0,0.0,0.0,49.8745231628418,31.9296875,0.21949784457683563,139.421469403,1746169472.235513,1.0,259
0.10129537433385849,1936,0.4470970332622528,0.026030292734503746,272,0.015625,419328.0,0.0,0.0,49.8745231628418,32.08073043823242,0.17935781180858612,145.065959251,1746169477.8799553,1.0,273
0.11357026547193527,2104,0.39682701230049133,0.026030292734503746,293,0.013671875,451584.0,0.0,0.0,49.8745231628418,30.66796875,0.1785777509212494,153.539045641,1746169486.3531497,1.0,294
0.1448604017496109,2192,0.3193536698818207,0.026030292734503746,304,0.015625,468480.0,0.0,0.0,49.8745231628418,32.0703125,0.21046893298625946,157.977904636,1746169490.7919757,1.0,305
0.1491461843252182,2232,0.3609631359577179,0.026030292734503746,309,0.01497395895421505,476160.0,0.0,0.0,49.8745231628418,31.576824188232422,0.19244611263275146,159.99285886,1746169492.8069327,1.0,310
0.11839112639427185,2416,0.2715526521205902,0.3266969919204712,332,0.015625,511488.0,0.0,0.0,50.23517990112305,31.03125,0.1653888076543808,169.352241017,1746169502.166525,1.0,333
0.10882959514856339,2464,0.33198630809783936,0.3266969919204712,338,0.012369791977107525,520704.0,0.0,0.0,50.23517990112305,30.66145896911621,0.1447422057390213,171.768011705,1746169504.5822659,1.0,339
0.13120290637016296,2496,0.2642422914505005,0.3266969919204712,342,0.015625,526848.0,0.0,0.0,50.23517990112305,31.2890625,0.12940073013305664,173.377974389,1746169506.1922636,1.0,343
0.18549160659313202,2784,0.23000872135162354,0.3266969919204712,378,0.01497395895421505,582144.0,0.0,0.0,50.23517990112305,32.1875,0.19911342859268188,187.86204458,1746169520.6763537,1.0,379
0.09375117719173431,2872,0.1828444004058838,0.3266969919204712,389,0.01302083395421505,599040.0,0.0,0.0,50.23517990112305,31.45833396911621,0.1962226927280426,192.286698926,1746169525.1009703,1.0,390
0.06992475688457489,2968,0.20442816615104675,0.3266969919204712,401,0.013671875,617472.0,0.0,0.0,50.23517990112305,31.99739646911621,0.18468761444091797,197.118742122,1746169529.9330258,1.0,402
0.07576151937246323,2976,0.18941812217235565,0.3266969919204712,402,0.014322916977107525,619008.0,0.0,0.0,50.23517990112305,30.264324188232422,0.17077073454856873,197.521013784,1746169530.3353274,1.0,403
0.3075084686279297,3048,0.15071545541286469,0.3266969919204712,411,0.014322916977107525,632832.0,0.0,0.0,50.23517990112305,32.325523376464844,0.22303800284862518,201.202002738,1746169534.0160594,1.0,412
