_runtime,returned_won_episode,qvals,test_returned_episode_returns,_step,returned_episode_lengths,test_returned_episode_lengths,returned_episode,returned_episode_returns,env_step,loss,test_returned_won_episode,update_steps,grad_steps,test_returned_episode,_timestamp
64.516711612,0.0,0.0,0.04859044402837753,17,29.95833396911621,32.1638298034668,0.01692708395421505,0.0936112329363823,27648.0,0.0,0.0,18,0,1,1746178883.7046216
66.955723621,0.0,0.107325479388237,0.04859044402837753,34,29.640625,32.1638298034668,0.01497395895421505,0.09741882979869843,53760.0,0.0029905056580901146,0.0,35,32,1,1746178886.1435566
67.737532744,0.0,0.20052610337734222,0.04859044402837753,36,30.55989646911621,32.1638298034668,0.01497395895421505,0.10450322926044464,56832.0,0.002592677716165781,0.0,37,48,1,1746178886.9253833
70.080232061,0.0,0.3230579197406769,0.04859044402837753,42,29.94270896911621,32.1638298034668,0.01497395895421505,0.11602848023176193,66048.0,0.003853201400488615,0.0,43,96,1,1746178889.2681122
79.901279671,0.0,0.603904128074646,0.04859044402837753,67,30.48177146911621,32.1638298034668,0.0162760429084301,0.13551437854766846,104448.0,0.004561774432659149,0.0,68,296,1,1746178899.0890794
80.292018292,0.0,0.6133087873458862,0.04859044402837753,68,29.5859375,32.1638298034668,0.013671875,0.1235346794128418,105984.0,0.00464688241481781,0.0,69,304,1,1746178899.4798675
103.840771302,0.0,0.7374153137207031,0.04859044402837753,128,31.07161521911621,32.1638298034668,0.015625,0.15847909450531006,198144.0,0.01526235044002533,0.0,129,784,1,1746178923.0285714
105.030299006,0.0,0.7787951231002808,0.04859044402837753,131,31.79036521911621,32.1638298034668,0.014322916977107525,0.170030876994133,202752.0,0.04649883136153221,0.0,132,808,1,1746178924.2180521
117.960855633,0.0,0.6843270063400269,0.04859044402837753,164,31.17708396911621,32.1638298034668,0.01497395895421505,0.16870032250881195,253440.0,0.032615382224321365,0.0,165,1072,1,1746178937.1486905
123.449460398,0.0,0.5840944051742554,0.04859044402837753,178,30.79036521911621,32.1638298034668,0.014322916977107525,0.16336439549922943,274944.0,0.04895828664302826,0.0,179,1184,1,1746178942.6372714
126.982066658,0.0,0.6002783179283142,0.04859044402837753,187,30.9765625,32.1638298034668,0.01497395895421505,0.16856884956359863,288768.0,0.0944318026304245,0.0,188,1256,1,1746178946.169851
127.377516875,0.0,0.6071003079414368,0.04859044402837753,188,31.369792938232422,32.1638298034668,0.015625,0.17082521319389343,290304.0,0.09570691734552383,0.0,189,1264,1,1746178946.56523
138.402238405,0.0,0.701842725276947,0.04859044402837753,216,30.209636688232422,32.1638298034668,0.013671875,0.1630392074584961,333312.0,0.101361483335495,0.0,217,1488,1,1746178957.5900338
139.575798847,0.0,0.7076548337936401,0.04859044402837753,219,31.740886688232422,32.1638298034668,0.015625,0.196885347366333,337920.0,0.0991503968834877,0.0,220,1512,1,1746178958.7636464
139.966748321,0.0,0.6929792165756226,0.04859044402837753,220,30.932292938232422,32.1638298034668,0.014322916977107525,0.15405522286891937,339456.0,0.10139811038970947,0.0,221,1520,1,1746178959.1546226
149.803379372,0.0,0.7453776597976685,0.04859044402837753,245,30.8359375,32.1638298034668,0.015625,0.18761050701141357,377856.0,0.24240151047706604,0.0,246,1720,1,1746178968.991122
150.202318093,0.0,0.720893144607544,0.04859044402837753,246,31.48958396911621,32.1638298034668,0.01497395895421505,0.1805187165737152,379392.0,0.2323918640613556,0.0,247,1728,1,1746178969.3899775
161.598223339,0.0,0.8711721301078796,0.04859044402837753,275,31.404949188232422,32.1638298034668,0.015625,0.2088356465101242,423936.0,0.40830546617507935,0.0,276,1960,1,1746178980.7858815
171.450001347,0.0,0.829602837562561,0.04859044402837753,300,31.471355438232422,32.1638298034668,0.015625,0.20691518485546112,462336.0,0.34518057107925415,0.0,301,2160,1,1746178990.637729
184.963053707,0.0,0.8224536180496216,0.5709244012832642,334,31.67708396911621,54.51473617553711,0.015625,0.22938093543052673,514560.0,0.4152638018131256,0.0,335,2432,1,1746179004.1508672
188.498765902,0.0,0.7796759605407715,0.5709244012832642,343,31.41927146911621,54.51473617553711,0.014322916977107525,0.18318220973014832,528384.0,0.8819166421890259,0.0,344,2504,1,1746179007.6865542
195.164050386,0.0,0.7942842245101929,0.5709244012832642,360,31.5390625,54.51473617553711,0.015625,0.19813716411590576,554496.0,0.6972275972366333,0.0,361,2640,1,1746179014.3518643
203.020358156,0.0,0.7441091537475586,0.5709244012832642,380,31.84895896911621,54.51473617553711,0.015625,0.17322906851768494,585216.0,0.5571203231811523,0.0,381,2800,1,1746179022.208138
206.941512117,0.0,0.8062584400177002,0.5709244012832642,390,31.29427146911621,54.51473617553711,0.015625,0.11691717803478241,600576.0,0.7144935131072998,0.0,391,2880,1,1746179026.129373
214.544787025,0.0,0.9649820923805237,0.5709244012832642,409,31.53255271911621,54.51473617553711,0.015625,0.20061177015304565,629760.0,0.5594267845153809,0.0,410,3032,1,1746179033.6224108
216.113046524,0.0,0.9839560389518738,0.5709244012832642,413,30.91015625,54.51473617553711,0.01497395895421505,0.13394804298877716,635904.0,0.8111927509307861,0.0,414,3064,1,1746179035.3007357
216.50980287,0.0,0.9700543880462646,0.5709244012832642,414,29.57942771911621,54.51473617553711,0.017578125,0.12409907579421997,637440.0,0.9096816182136536,0.0,415,3072,1,1746179035.6975706
228.681560581,0.0,0.9673177003860474,0.5709244012832642,445,31.56380271911621,54.51473617553711,0.014322916977107525,0.12878313660621643,685056.0,0.30398714542388916,0.0,446,3320,1,1746179047.8693328
229.07294996,0.0,0.9618998765945435,0.5709244012832642,446,31.029949188232422,54.51473617553711,0.015625,0.12539808452129364,686592.0,0.32527533173561096,0.0,447,3328,1,1746179048.2607625
236.532300099,0.0,1.007227897644043,0.5709244012832642,465,30.08984375,54.51473617553711,0.014322916977107525,0.08383892476558685,715776.0,0.30463510751724243,0.0,466,3480,1,1746179055.7201574
238.096838836,0.0,1.0141947269439697,0.5709244012832642,469,31.955730438232422,54.51473617553711,0.01497395895421505,0.09415799379348755,721920.0,0.3008958101272583,0.0,470,3512,1,1746179057.2846975
245.967974147,0.0,1.0770299434661865,0.5709244012832642,489,31.81770896911621,54.51473617553711,0.013671875,0.09459096193313599,752640.0,0.30155155062675476,0.0,490,3672,1,1746179065.155783
258.911993926,0.0,1.1599678993225098,0.5709244012832642,522,32.255210876464844,54.51473617553711,0.014322916977107525,0.09166745841503143,803328.0,1.3534454107284546,0.0,523,3936,1,1746179078.0997846
260.479604508,0.0,1.1309478282928467,0.5709244012832642,526,31.80989646911621,54.51473617553711,0.01497395895421505,0.10721825063228607,809472.0,1.150738000869751,0.0,527,3968,1,1746179079.6674714
262.858249621,0.0,1.1279760599136353,0.5709244012832642,532,29.96484375,54.51473617553711,0.0162760429084301,0.08843445777893066,818688.0,0.359776109457016,0.0,533,4016,1,1746179082.045904
270.725363462,0.0,1.2297279834747314,0.5709244012832642,552,31.62109375,54.51473617553711,0.015625,0.06924711167812347,849408.0,0.7599038481712341,0.0,553,4176,1,1746179089.9131663
281.725563448,0.0,1.2086907625198364,0.5709244012832642,580,31.28255271911621,54.51473617553711,0.015625,0.07048647105693817,892416.0,0.5607874393463135,0.0,581,4400,1,1746179100.9132426
282.51308151,0.0,1.2022488117218018,0.5709244012832642,582,31.74349021911621,54.51473617553711,0.015625,0.07703281939029694,895488.0,0.9790419340133667,0.0,583,4416,1,1746179101.7007954
288.788788759,0.0,1.260571837425232,0.5709244012832642,598,29.358074188232422,54.51473617553711,0.017578125,0.042898550629615784,920064.0,0.8084309697151184,0.0,599,4544,1,1746179107.9765925
