loss,returned_episode_lengths,returned_won_episode,update_steps,_step,returned_episode,test_returned_episode_returns,test_returned_episode,_runtime,grad_steps,qvals,test_returned_won_episode,returned_episode_returns,env_step,test_returned_episode_lengths,_timestamp
0.0,26.978515625,0.0,5,4,0.02018229104578495,0.17097532749176025,1.0,57.873948181,0,0.0,0.0,0.14182639122009277,7680,28.761600494384766,1746186045.1086972
0.0,27.568359375,0.0,10,9,0.021484375,0.17097532749176025,1.0,58.145010461,0,0.0,0.0,0.14364321529865265,15360,28.761600494384766,1746186045.3797874
0.0,27.57552146911621,0.0,13,12,0.02018229104578495,0.17097532749176025,1.0,58.307467879,0,0.0,0.0,0.13581164181232452,19968,28.761600494384766,1746186045.5422506
0.0,28.25455665588379,0.0,17,16,0.021484375,0.17097532749176025,1.0,58.529939686,0,0.0,0.0,0.14035937190055847,26112,28.761600494384766,1746186045.7647343
0.0,29.02734375,0.0,21,20,0.02018229104578495,0.17097532749176025,1.0,58.752429568,0,0.0,0.0,0.15570658445358276,32256,28.761600494384766,1746186045.9872332
0.0,28.947265625,0.0,25,24,0.02213541604578495,0.17097532749176025,1.0,58.969037832,0,0.0,0.0,0.1578168421983719,38400,28.761600494384766,1746186046.2038238
0.0,28.912109375,0.0,26,25,0.01888020895421505,0.17097532749176025,1.0,59.023159244,0,0.0,0.0,0.14488454163074493,39936,28.761600494384766,1746186046.257951
0.00645399559289217,26.39974021911621,0.0,59,58,0.01822916604578495,0.17097532749176025,1.0,67.579259089,224,0.8182712197303772,0.0,0.14878904819488525,90624,28.761600494384766,1746186054.8139226
0.00857783667743206,28.060546875,0.0,64,63,0.01822916604578495,0.17097532749176025,1.0,69.062694431,264,0.8790299892425537,0.0,0.17291580140590668,98304,28.761600494384766,1746186056.297478
0.007559829391539097,27.541015625,0.0,70,69,0.01822916604578495,0.17097532749176025,1.0,70.833629208,312,0.9275819063186646,0.0,0.1679166555404663,107520,28.761600494384766,1746186058.0683775
0.01195020042359829,28.31315040588379,0.0,73,72,0.01888020895421505,0.17097532749176025,1.0,71.723562443,336,0.9340050220489502,0.0,0.17404426634311676,112128,28.761600494384766,1746186058.9582624
0.009827114641666412,30.02799415588379,0.0,100,99,0.01692708395421505,0.17097532749176025,1.0,79.705885751,552,0.9263358116149902,0.0,0.21320223808288574,153600,28.761600494384766,1746186066.940665
0.017991960048675537,28.33854103088379,0.0,113,112,0.01888020895421505,0.17097532749176025,1.0,83.568237892,656,0.9221949577331543,0.0,0.1721189320087433,173568,28.761600494384766,1746186070.8030128
0.013725467026233673,28.44270896911621,0.0,118,117,0.01953125,0.17097532749176025,1.0,85.03640488,696,0.9329501390457153,0.0,0.18775518238544464,181248,28.761600494384766,1746186072.27119
0.01512024737894535,29.912109375,0.0,130,129,0.01627604104578495,0.17097532749176025,1.0,88.588125801,792,0.9379844665527344,0.0,0.18125517666339874,199680,28.761600494384766,1746186075.8229034
0.015561123378574848,29.734375,0.0,141,140,0.01692708395421505,0.17097532749176025,1.0,91.850013072,880,0.9141720533370972,0.0,0.19819356501102448,216576,28.761600494384766,1746186079.0847197
0.018528655171394348,28.78775978088379,0.0,160,159,0.017578125,0.17097532749176025,1.0,97.47257393,1032,0.8958483934402466,0.0,0.21005381643772125,245760,28.761600494384766,1746186084.7072976
0.03292560577392578,28.94270896911621,0.0,163,162,0.017578125,0.17097532749176025,1.0,98.375309546,1056,0.8957571983337402,0.0,0.19472308456897736,250368,28.761600494384766,1746186085.6100256
0.022280152887105942,29.76106834411621,0.0,178,177,0.01627604104578495,0.17097532749176025,1.0,102.797724772,1176,0.8968099355697632,0.0,0.19810327887535095,273408,28.761600494384766,1746186090.032422
0.021787583827972412,28.16015625,0.0,181,180,0.013020833022892475,0.17097532749176025,1.0,103.692745842,1200,0.9002485275268555,0.0,0.17550083994865417,278016,28.761600494384766,1746186090.9274895
0.03871734440326691,28.47721290588379,0.0,184,183,0.017578125,0.17097532749176025,1.0,104.587117855,1224,0.9545608758926392,0.0,0.18767620623111725,282624,28.761600494384766,1746186091.8218453
0.024006597697734833,29.61263084411621,0.0,189,188,0.01692708395421505,0.17097532749176025,1.0,106.077322838,1264,0.9153203964233398,0.0,0.19235937297344208,290304,28.761600494384766,1746186093.3120656
0.023233212530612946,30.11588478088379,0.0,190,189,0.01692708395421505,0.17097532749176025,1.0,106.369830342,1272,0.9190421104431152,0.0,0.20481161773204803,291840,28.761600494384766,1746186093.6046
