grad_steps,returned_episode,_timestamp,returned_episode_returns,test_returned_episode_returns,returned_won_episode,qvals,test_returned_episode,env_step,_runtime,test_returned_won_episode,loss,update_steps,_step,test_returned_episode_lengths,returned_episode_lengths
0,0.0507812537252903,1746176018.5592582,0.1264106035232544,0.12261591106653214,0.0,0.0,1.0,1536.0,47.44247991,0.0,0.0,1,0,16.11792755126953,15.693360328674316
0,0.0514322929084301,1746176019.3475826,0.11781685054302216,0.12261591106653214,0.0,0.0,1.0,21504.0,48.230404023,0.0,0.0,14,13,16.11792755126953,15.643230438232422
0,0.0514322929084301,1746176019.4081733,0.11538629233837128,0.12261591106653214,0.0,0.0,1.0,23040.0,48.290992155,0.0,0.0,15,14,16.11792755126953,15.777996063232422
0,0.0520833358168602,1746176020.0165014,0.12736546993255615,0.12261591106653214,0.0,0.0,1.0,38400.0,48.899337654,0.0,0.0,25,24,16.11792755126953,15.402344703674316
0,0.0533854179084301,1746176020.3193848,0.12745226919651031,0.12261591106653214,0.0,0.0,1.0,46080.0,49.202185856,0.0,0.0,30,29,16.11792755126953,15.185547828674316
240,0.0527343787252903,1746176030.1749396,0.14852432906627655,0.12261591106653214,0.0,0.38709592819213867,1.0,93696.0,59.057745649,0.0,0.051631033420562744,61,60,16.11792755126953,15.442708969116211
328,0.0546875037252903,1746176033.7701347,0.14589844644069672,0.12261591106653214,0.0,0.5296133756637573,1.0,110592.0,62.652924321,0.0,0.13050153851509094,72,71,16.11792755126953,14.802735328674316
440,0.0553385429084301,1746176038.3439386,0.15032552182674408,0.12261591106653214,0.0,0.48215603828430176,1.0,132096.0,67.226754114,0.0,0.05603765696287155,86,85,16.11792755126953,15.041666984558105
480,0.0566406287252903,1746176039.976054,0.15247398614883423,0.12261591106653214,0.0,0.47496742010116577,1.0,139776.0,68.858831114,0.0,0.05351069197058678,91,90,16.11792755126953,14.804688453674316
544,0.0540364608168602,1746176042.5904336,0.14522571861743927,0.12261591106653214,0.0,0.4272071421146393,1.0,152064.0,71.473333738,0.0,0.05685144290328026,99,98,16.11792755126953,14.499349594116211
568,0.0559895858168602,1746176043.5703907,0.15640193223953247,0.12261591106653214,0.0,0.4284379184246063,1.0,156672.0,72.453207319,0.0,0.09146678447723389,102,101,16.11792755126953,14.685547828674316
656,0.0559895858168602,1746176047.1683714,0.16647136211395264,0.12261591106653214,0.0,0.42576953768730164,1.0,173568.0,76.051204276,0.0,0.08836274594068527,113,112,16.11792755126953,14.796224594116211
768,0.0585937537252903,1746176051.7415671,0.15377604961395264,0.12261591106653214,0.0,0.40263229608535767,1.0,195072.0,80.624377688,0.0,0.07473056763410568,127,126,16.11792755126953,14.242838859558105
1096,0.0572916679084301,1746176065.1365323,0.1800781488418579,0.12261591106653214,0.0,0.3021617531776428,1.0,258048.0,94.019353152,0.0,0.15694966912269592,168,167,16.11792755126953,14.279948234558105
1280,0.0546875037252903,1746176072.6530662,0.17489151656627655,0.12261591106653214,0.0,0.30479681491851807,1.0,293376.0,101.53586377,0.0,0.09916076064109802,191,190,16.11792755126953,14.910157203674316
1368,0.0579427108168602,1746176076.2515807,0.19698351621627808,0.12261591106653214,0.0,0.2511627674102783,1.0,310272.0,105.134374149,0.0,0.09428393840789795,202,201,16.11792755126953,14.416016578674316
1520,0.0585937537252903,1746176082.4571867,0.2147352695465088,0.12261591106653214,0.0,0.2544523775577545,1.0,339456.0,111.339987366,0.0,0.09380216896533966,221,220,16.11792755126953,14.069662094116211
1864,0.0566406287252903,1746176096.5079668,0.22009551525115967,0.12261591106653214,0.0,0.25723135471343994,1.0,405504.0,125.390776942,0.0,0.11529360711574554,264,263,16.11792755126953,14.211588859558105
1880,0.0611979216337204,1746176097.1611462,0.251953125,0.12261591106653214,0.0,0.25509124994277954,1.0,408576.0,126.043953354,0.0,0.10818392783403397,266,265,16.11792755126953,13.728516578674316
1888,0.0566406287252903,1746176097.4877007,0.2254774570465088,0.12261591106653214,0.0,0.26125311851501465,1.0,410112.0,126.370504671,0.0,0.10447767376899719,267,266,16.11792755126953,14.259766578674316
2416,0.0690104216337204,1746176119.1376886,0.28155386447906494,0.581619918346405,0.0,0.2301797866821289,1.0,511488.0,148.020502109,0.0012386457528918982,0.05433504655957222,333,332,12.895748138427734,12.487630844116211
2592,0.0631510466337204,1746176126.3232179,0.29982641339302063,0.581619918346405,0.0,0.22383299469947815,1.0,545280.0,155.206032593,0.0012386457528918982,0.05368153005838394,355,354,12.895748138427734,12.958985328674316
2752,0.0611979216337204,1746176132.8587086,0.3083767592906952,0.581619918346405,0.0,0.2148669958114624,1.0,576000.0,161.741508652,0.0012386457528918982,0.06571458280086517,375,374,12.895748138427734,13.725912094116211
3264,0.0670572966337204,1746176153.8366888,0.30000004172325134,0.581619918346405,0.0,0.22552762925624847,1.0,674304.0,182.71949138,0.0012386457528918982,0.12408127635717392,439,438,12.895748138427734,12.639974594116211
3392,0.0716145858168602,1746176159.0592606,0.37890633940696716,0.581619918346405,0.0,0.21438518166542053,1.0,698880.0,187.94203936,0.0012386457528918982,0.0433586984872818,455,454,12.895748138427734,12.076172828674316
3600,0.0690104216337204,1746176167.5576072,0.38426655530929565,0.581619918346405,0.0,0.12218499928712845,1.0,738816.0,196.440399046,0.0012386457528918982,0.07705502212047577,481,480,12.895748138427734,12.416016578674316
3640,0.0611979216337204,1746176169.1897693,0.26087242364883423,0.581619918346405,0.0,0.07070020586252213,1.0,746496.0,198.072570541,0.0012386457528918982,0.19779925048351288,486,485,12.895748138427734,14.076172828674316
3728,0.0729166716337204,1746176172.7828948,0.40405821800231934,0.581619918346405,0.0,0.10269905626773834,1.0,763392.0,201.66568092,0.0012386457528918982,0.06316057592630386,497,496,12.895748138427734,11.834635734558105
3808,0.0696614608168602,1746176176.0478673,0.393576443195343,0.581619918346405,0.0,0.07265039533376694,1.0,778752.0,204.930659301,0.0012386457528918982,0.07935555279254913,507,506,12.895748138427734,12.231771469116211
3848,0.0690104216337204,1746176177.6804056,0.40232208371162415,0.581619918346405,0.0,0.04834961146116257,1.0,786432.0,206.563180527,0.0012386457528918982,0.10703836381435394,512,511,12.895748138427734,12.635416984558105
3888,0.0618489608168602,1746176179.3131406,0.4109375476837158,0.581619918346405,0.0,0.05279652029275894,1.0,794112.0,208.195952056,0.0012386457528918982,0.08145967870950699,517,516,12.895748138427734,14.050130844116211
3896,0.0729166716337204,1746176179.6396286,0.4036024808883667,0.581619918346405,0.0,0.04853719472885132,1.0,795648.0,208.522424369,0.0012386457528918982,0.08159986138343811,518,517,12.895748138427734,11.775391578674316
3904,0.0742187574505806,1746176179.9661314,0.39446619153022766,0.581619918346405,0.0,0.0376313179731369,1.0,797184.0,208.848928852,0.0012386457528918982,0.09449833631515503,519,518,12.895748138427734,11.610677719116211
4016,0.0690104216337204,1746176184.5430381,0.4449002146720886,0.581619918346405,0.0,0.0371217280626297,1.0,818688.0,213.425842677,0.0012386457528918982,0.05673755332827568,533,532,12.895748138427734,12.557291984558105
4120,0.0651041716337204,1746176188.7919624,0.41460511088371277,0.581619918346405,0.0,0.04218236356973648,1.0,838656.0,217.674757524,0.0012386457528918982,0.061721671372652054,546,545,12.895748138427734,13.069010734558105
4128,0.0611979216337204,1746176189.1185021,0.38604605197906494,0.581619918346405,0.0,0.04246758669614792,1.0,840192.0,218.001332,0.0012386457528918982,0.06313170492649078,547,546,12.895748138427734,13.406250953674316
4640,0.0703125,1746176210.0320463,0.468858540058136,0.581619918346405,0.0,0.05539289489388466,1.0,938496.0,238.914839159,0.0012386457528918982,0.05766534060239792,611,610,12.895748138427734,12.231771469116211
4712,0.0625,1746176212.9783893,0.47526049613952637,0.581619918346405,0.0,0.05483173578977585,1.0,952320.0,241.861247761,0.0012386457528918982,0.05241452902555466,620,619,12.895748138427734,13.143880844116211
4728,0.0696614608168602,1746176213.6316512,0.4919705390930176,0.581619918346405,0.0,0.0633227527141571,1.0,955392.0,242.514466842,0.0012386457528918982,0.05383788049221039,622,621,12.895748138427734,12.464193344116211
4800,0.0605468787252903,1746176216.5711396,0.47335073351860046,0.581619918346405,0.0,0.06151570379734039,1.0,969216.0,245.45394392,0.0012386457528918982,0.0570417121052742,631,630,12.895748138427734,13.885416984558105
4896,0.0716145858168602,1746176220.4916124,0.4882379174232483,0.581619918346405,0.0,0.06423848867416382,1.0,987648.0,249.374411405,0.0012386457528918982,0.058289818465709686,643,642,12.895748138427734,12.020182609558105
5400,0.0722656324505806,1746176241.154401,0.5020399689674377,0.5652068257331848,0.0,0.028810270130634308,1.0,1084416.0,270.037196252,0.0010427528759464622,0.05136971175670624,706,705,13.009801864624023,11.828776359558105
5440,0.0703125,1746176242.7892172,0.5165799260139465,0.5652068257331848,0.0,0.033131200820207596,1.0,1092096.0,271.672011062,0.0010427528759464622,0.05361075699329376,711,710,13.009801864624023,12.133463859558105
5496,0.0716145858168602,1746176245.0781014,0.5002821683883667,0.5652068257331848,0.0,0.034004248678684235,1.0,1102848.0,273.960891614,0.0010427528759464622,0.05530022829771042,718,717,13.009801864624023,12.052083969116211
5520,0.0703125,1746176246.0576255,0.507942795753479,0.5652068257331848,0.0,0.03165725618600845,1.0,1107456.0,274.940422793,0.0010427528759464622,0.06100206449627876,721,720,13.009801864624023,12.263672828674316
5624,0.0690104216337204,1746176250.3044562,0.531358540058136,0.5652068257331848,0.01106770895421505,0.039946090430021286,1.0,1127424.0,279.18727285,0.0010427528759464622,0.06138481944799423,734,733,13.009801864624023,12.623698234558105
5664,0.0670572966337204,1746176251.938002,0.5233290791511536,0.5652068257331848,0.0,0.035898685455322266,1.0,1135104.0,280.820820286,0.0010427528759464622,0.06019258126616478,739,738,13.009801864624023,12.767579078674316
5704,0.0703125,1746176253.5705109,0.5196614861488342,0.5652068257331848,0.0,0.046338167041540146,1.0,1142784.0,282.453304635,0.0010427528759464622,0.06904479116201401,744,743,13.009801864624023,12.472657203674316
6144,0.0696614608168602,1746176271.5395148,0.5101129412651062,0.5652068257331848,0.0,-0.04117032140493393,1.0,1227264.0,300.422319797,0.0010427528759464622,0.09240497648715973,799,798,13.009801864624023,12.485677719116211
6160,0.0696614608168602,1746176272.1934316,0.52239590883255,0.5652068257331848,0.0,-0.04698809236288071,1.0,1230336.0,301.076226694,0.0010427528759464622,0.07243815809488297,801,800,13.009801864624023,12.277995109558105
6176,0.0696614608168602,1746176272.8463755,0.515842080116272,0.5652068257331848,0.0,-0.045941032469272614,1.0,1233408.0,301.729166984,0.0010427528759464622,0.06663110852241516,803,802,13.009801864624023,12.470704078674316
6200,0.0735677108168602,1746176273.825877,0.48847657442092896,0.5652068257331848,0.0,-0.045563772320747375,1.0,1238016.0,302.708663392,0.0010427528759464622,0.05806291103363037,806,805,13.009801864624023,11.732422828674316
6248,0.0703125,1746176275.7851064,0.5125434994697571,0.5652068257331848,0.009765625931322575,-0.04570021852850914,1.0,1247232.0,304.667896412,0.0010427528759464622,0.06770530343055725,812,811,13.009801864624023,12.199870109558105
6280,0.0716145858168602,1746176277.0910418,0.5152778029441833,0.5652068257331848,0.0,-0.045135702937841415,1.0,1253376.0,305.973842446,0.0010427528759464622,0.06602858752012253,816,815,13.009801864624023,12.123047828674316
6704,0.0703125,1746176294.4271884,0.5335069894790649,0.5652068257331848,0.0,-0.05275130271911621,1.0,1334784.0,323.309990073,0.0010427528759464622,0.05132410675287247,869,868,13.009801864624023,12.338541984558105
6904,0.0696614608168602,1746176302.5955212,0.5466580390930176,0.5652068257331848,0.0,-0.03560993820428848,1.0,1373184.0,331.478337618,0.0010427528759464622,0.060707926750183105,894,893,13.009801864624023,12.626302719116211
7008,0.068359375,1746176306.8406422,0.529296875,0.5652068257331848,0.0,-0.03955309838056564,1.0,1393152.0,335.723425109,0.0010427528759464622,0.06802716106176376,907,906,13.009801864624023,12.710287094116211
7056,0.0716145858168602,1746176308.7996812,0.531467080116272,0.5652068257331848,0.0,-0.04331333562731743,1.0,1402368.0,337.682492235,0.0010427528759464622,0.06218817085027695,913,912,13.009801864624023,11.988282203674316
7144,0.0625,1746176312.3921108,0.5177735090255737,0.5652068257331848,0.0,-0.042842209339141846,1.0,1419264.0,341.274902271,0.0010427528759464622,0.07426826655864716,924,923,13.009801864624023,13.710287094116211
7400,0.068359375,1746176322.8510303,0.5220921039581299,0.5652068257331848,0.0,-0.06590195000171661,1.0,1468416.0,351.733869559,0.0010427528759464622,0.06009358540177345,956,955,13.009801864624023,12.248047828674316
