returned_episode_lengths,returned_won_episode,update_steps,returned_episode,_step,test_returned_episode_returns,loss,test_returned_episode_lengths,returned_episode_returns,_runtime,grad_steps,test_returned_won_episode,test_returned_episode,qvals,env_step,_timestamp
28.505859375,0.0,18,0.02018229104578495,17,0.12465053796768188,0.0,28.47896957397461,0.14842793345451355,59.419654745,0,0.0,1.0,0.0,27648,1746184047.61823
28.06900978088379,0.0,35,0.01822916604578495,34,0.12465053796768188,0.010029740631580353,28.47896957397461,0.1446588635444641,61.306001326,32,0.0,1.0,0.07668979465961456,53760,1746184049.5045364
27.50911521911621,0.0,37,0.01822916604578495,36,0.12465053796768188,0.008539872244000435,28.47896957397461,0.14871007204055786,61.893532647,48,0.0,1.0,0.18354099988937378,56832,1746184050.0920868
27.77083396911621,0.0,43,0.01822916604578495,42,0.12465053796768188,0.008559931069612503,28.47896957397461,0.15489408373832703,63.668065828,96,0.0,1.0,0.6170916557312012,66048,1746184051.8665862
28.67317771911621,0.0,68,0.01888020895421505,67,0.12465053796768188,0.008426961489021778,28.47896957397461,0.1786710023880005,71.060182013,296,0.0,1.0,0.8895189166069031,104448,1746184059.2586548
27.39713478088379,0.0,69,0.02018229104578495,68,0.12465053796768188,0.007751082070171833,28.47896957397461,0.1670025885105133,71.365707507,304,0.0,1.0,0.904109537601471,105984,1746184059.5640688
29.45963478088379,0.0,129,0.01692708395421505,128,0.12465053796768188,0.016420697793364525,28.47896957397461,0.1887933909893036,89.106373366,784,0.0,1.0,0.8619080781936646,198144,1746184077.304308
28.33333396911621,0.0,132,0.01692708395421505,131,0.12465053796768188,0.02856435999274254,28.47896957397461,0.1785103976726532,90.002836696,808,0.0,1.0,0.8733437061309814,202752,1746184078.1998005
29.21744728088379,0.0,165,0.014973958022892475,164,0.12465053796768188,0.024838780984282494,28.47896957397461,0.19470657408237457,99.79260487,1072,0.0,1.0,0.8244869709014893,253440,1746184087.9911406
29.37630271911621,0.0,179,0.01692708395421505,178,0.12465053796768188,0.026312606409192085,28.47896957397461,0.19849824905395508,103.94832086,1184,0.0,1.0,0.794945240020752,274944,1746184092.1467946
29.31640625,0.0,188,0.01692708395421505,187,0.12465053796768188,0.03672226518392563,28.47896957397461,0.21184808015823364,106.612207525,1256,0.0,1.0,0.7599538564682007,288768,1746184094.8107169
29.42708396911621,0.0,189,0.015625,188,0.12465053796768188,0.037125684320926666,28.47896957397461,0.18668749928474426,106.918919071,1264,0.0,1.0,0.7641170024871826,290304,1746184095.1172962
30.43099021911621,0.0,217,0.015625,216,0.12465053796768188,0.04194370657205582,28.47896957397461,0.2119157910346985,115.206232392,1488,0.0,1.0,0.7877295613288879,333312,1746184103.4045258
28.453125,0.0,220,0.01822916604578495,219,0.12465053796768188,0.04024764150381088,28.47896957397461,0.18165971338748932,116.09557238,1512,0.0,1.0,0.7737994194030762,337920,1746184104.29391
27.50390625,0.0,221,0.02083333395421505,220,0.12465053796768188,0.05444181710481644,28.47896957397461,0.19428123533725739,116.390377288,1520,0.0,1.0,0.7757015228271484,339456,1746184104.588794
30.08333396911621,0.0,246,0.015625,245,0.12465053796768188,0.07810866832733154,28.47896957397461,0.17975258827209473,123.794477026,1720,0.0,1.0,0.6063801050186157,377856,1746184111.9928465
29.61458396911621,0.0,247,0.01692708395421505,246,0.12465053796768188,0.0836954414844513,28.47896957397461,0.16924825310707092,124.089008331,1728,0.0,1.0,0.6045061945915222,379392,1746184112.2874475
29.0546875,0.0,276,0.01953125,275,0.12465053796768188,0.12517035007476807,28.47896957397461,0.2024027705192566,132.644517453,1960,0.0,1.0,0.5884971618652344,423936,1746184120.842793
29.66145896911621,0.0,301,0.01888020895421505,300,0.12465053796768188,0.1745443046092987,28.47896957397461,0.2123211771249771,140.023952856,2160,0.0,1.0,0.5841220021247864,462336,1746184128.2221801
30.69010353088379,0.0,335,0.014973958022892475,334,0.22256344556808472,0.16269512474536896,42.88629150390625,0.19717447459697723,150.129409682,2432,0.0,1.0,0.5662440061569214,514560,1746184138.3276718
