returned_episode,test_returned_episode_returns,_timestamp,loss,test_returned_won_episode,test_returned_episode_lengths,grad_steps,returned_episode_lengths,_step,_runtime,env_step,update_steps,returned_won_episode,returned_episode_returns,qvals,test_returned_episode
0.02148437686264515,0.08350357413291931,1746197450.4869785,0.0,0.00030459946719929576,18.43375015258789,0,23.964845657348633,2,69.117750526,4608.0,3,0.0,0.1534394919872284,0.0,1.0
0.02343750186264515,0.08350357413291931,1746197450.8827097,0.0,0.00030459946719929576,18.43375015258789,0,24.968751907348633,8,69.513442206,13824.0,9,0.0,0.17309348285198212,0.0,1.0
0.02473958395421505,0.08350357413291931,1746197451.2126665,0.0,0.00030459946719929576,18.43375015258789,0,24.925783157348633,13,69.843371985,21504.0,14,0.0,0.13812774419784546,0.0,1.0
0.0260416679084301,0.08350357413291931,1746197454.6941361,0.05844958871603012,0.00030459946719929576,18.43375015258789,56,25.141277313232422,37,73.324912617,58368.0,38,0.0,0.2002580761909485,-0.14830590784549713,1.0
0.02473958395421505,0.08350357413291931,1746197461.4365916,0.06455540657043457,0.00030459946719929576,18.43375015258789,216,23.74153709411621,57,80.067345022,89088.0,58,0.0,0.20312777161598206,0.23975442349910736,1.0
0.0221354179084301,0.08350357413291931,1746197465.815016,0.08789294958114624,0.00030459946719929576,18.43375015258789,320,25.710939407348633,70,84.445782938,109056.0,71,0.0,0.266343891620636,0.2710334062576294,1.0
0.0240885429084301,0.08350357413291931,1746197467.8343875,0.12318696826696396,0.00030459946719929576,18.43375015258789,368,24.708986282348633,76,86.465113818,118272.0,77,0.0,0.23247727751731873,0.2672785520553589,1.0
0.0221354179084301,0.08350357413291931,1746197469.512758,0.23498988151550293,0.00030459946719929576,18.43375015258789,408,23.986330032348633,81,88.143516146,125952.0,82,0.0,0.20836803317070007,0.3128221333026886,1.0
0.02343750186264515,0.08350357413291931,1746197470.8598793,0.15165171027183533,0.00030459946719929576,18.43375015258789,440,24.78255271911621,85,89.490623716,132096.0,86,0.0,0.23099443316459656,0.27555352449417114,1.0
0.02539062686264515,0.08350357413291931,1746197473.5554068,0.2711092531681061,0.00030459946719929576,18.43375015258789,504,22.356121063232422,93,92.186163338,144384.0,94,0.0,0.24815914034843445,0.23168456554412842,1.0
