_timestamp,qvals,returned_episode,update_steps,loss,env_step,grad_steps,test_returned_episode_lengths,test_returned_won_episode,returned_episode_lengths,_step,returned_won_episode,_runtime,test_returned_episode_returns,test_returned_episode,returned_episode_returns
1746186804.3878052,0.0,0.01497395895421505,18,0.0,27648.0,0,27.721879959106445,0.0,29.574871063232422,17,0.0,59.441027007,0.09258668124675751,1.0,0.10165253281593323
1746186806.047948,-0.1036168709397316,0.0162760429084301,33,0.004589593969285488,50688.0,16,27.721879959106445,0.0,30.173828125,32,0.0,61.101180278,0.09258668124675751,1.0,0.11122622340917587
1746186813.5178995,0.42984652519226074,0.015625,52,0.012657340615987778,79872.0,168,27.721879959106445,0.0,30.83724021911621,51,0.0,68.571110321,0.09258668124675751,1.0,0.12153037637472153
1746186830.0279214,0.801699697971344,0.01497395895421505,94,0.013253510929644108,144384.0,504,27.721879959106445,0.0,30.944011688232422,93,0.0,85.081296188,0.09258668124675751,1.0,0.1377185732126236
1746186842.5949175,0.710447371006012,0.01497395895421505,126,0.02154793217778206,193536.0,760,27.721879959106445,0.0,31.49349021911621,125,0.0,97.648119392,0.09258668124675751,1.0,0.1579217165708542
1746186844.5576081,0.7463164329528809,0.01497395895421505,131,0.01823551207780838,201216.0,800,27.721879959106445,0.0,30.98828125,130,0.0,99.610857045,0.09258668124675751,1.0,0.1362895518541336
1746186849.2816162,0.7639470100402832,0.015625,143,0.045576080679893494,219648.0,896,27.721879959106445,0.0,31.68880271911621,142,0.0,104.334909274,0.09258668124675751,1.0,0.157615065574646
1746186866.2225947,0.44427573680877686,0.014322916977107525,186,0.05575770139694214,285696.0,1240,27.721879959106445,0.0,30.592449188232422,185,0.0,121.275870908,0.09258668124675751,1.0,0.16077202558517456
1746186869.7897103,0.4426809251308441,0.014322916977107525,195,0.05244436860084534,299520.0,1312,27.721879959106445,0.0,31.72265625,194,0.0,124.842972566,0.09258668124675751,1.0,0.16496486961841583
1746186871.3820755,0.42660605907440186,0.013671875,199,0.057529859244823456,305664.0,1344,27.721879959106445,0.0,31.471355438232422,198,0.0,126.435424113,0.09258668124675751,1.0,0.16085714101791382
1746186878.1053908,0.4517870545387268,0.015625,216,0.11343792825937271,331776.0,1480,27.721879959106445,0.0,31.09375,215,0.0,133.158667415,0.09258668124675751,1.0,0.18531125783920288
1746186890.42973,0.44316673278808594,0.01497395895421505,247,0.12382341921329498,379392.0,1728,27.721879959106445,0.0,31.291667938232422,246,0.0,145.483021025,0.09258668124675751,1.0,0.20046430826187134
1746186894.7860563,0.4706772565841675,0.015625,258,0.19484609365463257,396288.0,1816,27.721879959106445,0.0,31.48958396911621,257,0.0,149.839371394,0.09258668124675751,1.0,0.1985463798046112
1746186895.5780492,0.4684699475765228,0.015625,260,0.17749589681625366,399360.0,1832,27.721879959106445,0.0,31.268230438232422,259,0.0,150.631316118,0.09258668124675751,1.0,0.20229381322860718
1746186898.354973,0.44827574491500854,0.015625,267,0.3826538920402527,410112.0,1888,27.721879959106445,0.0,31.287761688232422,266,0.0,153.408264732,0.09258668124675751,1.0,0.20164746046066284
1746186907.4341092,0.45687931776046753,0.015625,290,0.3895080089569092,445440.0,2072,27.721879959106445,0.0,31.7265625,289,0.0,162.487337503,0.09258668124675751,1.0,0.21068936586380005
1746186915.7599106,0.47256433963775635,0.014322916977107525,311,0.3514169454574585,477696.0,2240,27.721879959106445,0.0,31.45442771911621,310,0.0,170.813264692,0.09258668124675751,1.0,0.20197324454784393
1746186921.4195433,0.45029836893081665,0.015625,325,0.32465237379074097,499200.0,2352,55.50837707519531,0.0,30.9296875,324,0.0,176.472826573,0.5262695550918579,1.0,0.17876027524471283
1746186928.9794512,0.4559509754180908,0.01302083395421505,344,0.30019429326057434,528384.0,2504,55.50837707519531,0.0,31.78515625,343,0.0,184.032801932,0.5262695550918579,1.0,0.17189821600914001
1746186929.7744734,0.4474862217903137,0.015625,346,0.31473395228385925,531456.0,2520,55.50837707519531,0.0,31.252605438232422,345,0.0,184.827744693,0.5262695550918579,1.0,0.1644304394721985
1746186930.9656684,0.4537184536457062,0.015625,349,0.31890353560447693,536064.0,2544,55.50837707519531,0.0,31.526042938232422,348,0.0,186.018979816,0.5262695550918579,1.0,0.1991029977798462
1746186938.1021416,0.4344859719276428,0.015625,367,0.2719034254550934,563712.0,2688,55.50837707519531,0.0,31.23177146911621,366,0.0,193.155440711,0.5262695550918579,1.0,0.19536197185516357
1746186940.8827329,0.40961822867393494,0.014322916977107525,374,0.257816344499588,574464.0,2744,55.50837707519531,0.0,31.4609375,373,0.0,195.935976,0.5262695550918579,1.0,0.17615148425102234
1746186952.355552,0.3508186936378479,0.015625,403,0.25305256247520447,619008.0,2976,55.50837707519531,0.0,31.70052146911621,402,0.0,207.408812494,0.5262695550918579,1.0,0.19719378650188446
1746186965.5648882,0.28101587295532227,0.015625,436,0.1108754426240921,669696.0,3240,55.50837707519531,0.0,30.7734375,435,0.0,220.618160465,0.5262695550918579,1.0,0.10114391148090363
1746186971.9032927,0.26305916905403137,0.02083333395421505,452,0.182668536901474,694272.0,3368,55.50837707519531,0.0,27.447917938232422,451,0.0,226.956648809,0.5262695550918579,1.0,0.11513020843267441
1746186981.0193586,0.27356207370758057,0.01497395895421505,475,0.19977769255638123,729600.0,3552,55.50837707519531,0.0,31.002605438232422,474,0.0,236.072678429,0.5262695550918579,1.0,0.1342979222536087
