test_returned_episode,env_step,returned_won_episode,returned_episode,test_returned_won_episode,loss,qvals,grad_steps,returned_episode_lengths,test_returned_episode_lengths,_timestamp,_runtime,update_steps,test_returned_episode_returns,returned_episode_returns,_step
1.0,4608.0,0.0,0.0501302108168602,0.0,0.0,0.0,0,16.27278709411621,14.252068519592285,1746173846.4220555,47.66506451,3,0.20085786283016205,0.12230903655290604,2
1.0,13824.0,0.0,0.0501302108168602,0.0,0.0,0.0,0,16.3203125,14.252068519592285,1746173846.7854576,48.028442421,9,0.20085786283016205,0.12172310054302216,8
1.0,21504.0,0.0,0.0488281287252903,0.0,0.0,0.0,0,16.611980438232422,14.252068519592285,1746173847.0883684,48.331346742,14,0.20085786283016205,0.12013889849185944,13
1.0,58368.0,0.0,0.0507812537252903,0.0,0.02682279795408249,0.0433327741920948,56,15.708985328674316,14.252068519592285,1746173850.4023485,51.645306435,38,0.20085786283016205,0.13446182012557983,37
1.0,89088.0,0.0,0.0540364608168602,0.0,0.044545289129018784,0.4628155827522278,216,15.054688453674316,14.252068519592285,1746173856.9233909,58.166362895,58,0.20085786283016205,0.14902345836162567,57
1.0,109056.0,0.0,0.0533854179084301,0.0,0.050775714218616486,0.6121100187301636,320,14.868490219116211,14.252068519592285,1746173861.1666925,62.409672339,71,0.20085786283016205,0.157552108168602,70
1.0,118272.0,0.0,0.0566406287252903,0.0,0.046798110008239746,0.6497666835784912,368,14.363932609558105,14.252068519592285,1746173863.1221356,64.365112608,77,0.20085786283016205,0.16289064288139343,76
1.0,125952.0,0.0,0.0585937537252903,0.0,0.1151273101568222,0.6469238996505737,408,14.390625953674316,14.252068519592285,1746173864.7519536,65.994917253,82,0.20085786283016205,0.14505209028720856,81
1.0,132096.0,0.0,0.0566406287252903,0.0,0.047291211783885956,0.5947487354278564,440,14.304688453674316,14.252068519592285,1746173866.0595224,67.302501363,86,0.20085786283016205,0.16269531846046448,85
1.0,144384.0,0.0,0.0553385429084301,0.0,0.05990101024508476,0.5647342205047607,504,14.663412094116211,14.252068519592285,1746173868.6667464,69.909692507,94,0.20085786283016205,0.15753039717674255,93
1.0,147456.0,0.0,0.0559895858168602,0.0,0.04855307191610336,0.5442332625389099,520,14.750651359558105,14.252068519592285,1746173869.3211517,70.564112904,96,0.20085786283016205,0.15868057310581207,95
1.0,155136.0,0.0,0.0533854179084301,0.0,0.04913913831114769,0.5484448671340942,560,15.018229484558105,14.252068519592285,1746173870.9507527,72.193717742,101,0.20085786283016205,0.15520833432674408,100
1.0,190464.0,0.0,0.0598958358168602,0.0,0.06468428671360016,0.49316221475601196,744,14.051432609558105,14.252068519592285,1746173878.4539626,79.696952103,124,0.20085786283016205,0.1583116501569748,123
1.0,201216.0,0.0,0.0572916679084301,0.0,0.07553310692310333,0.43631720542907715,800,13.996745109558105,14.252068519592285,1746173880.7391446,81.982133526,131,0.20085786283016205,0.18081599473953247,130
1.0,221184.0,0.0,0.0572916679084301,0.0,0.07138673961162567,0.3836399018764496,904,14.283204078674316,14.252068519592285,1746173884.978421,86.221387284,144,0.20085786283016205,0.17500002682209015,143
1.0,242688.0,0.0,0.0605468787252903,0.0,0.11185844242572784,0.3651905059814453,1016,13.899740219116211,14.252068519592285,1746173889.5483222,90.791301702,158,0.20085786283016205,0.17771269381046295,157
1.0,254976.0,0.0,0.0579427108168602,0.0,0.13685455918312073,0.26650846004486084,1080,14.335287094116211,14.252068519592285,1746173892.1566398,93.39961209,166,0.20085786283016205,0.18480905890464783,165
1.0,301056.0,0.0,0.0579427108168602,0.0,0.0803009644150734,0.24550525844097137,1320,14.253255844116211,14.252068519592285,1746173901.9368443,103.179802561,196,0.20085786283016205,0.197048619389534,195
1.0,367104.0,0.0,0.0592447929084301,0.0,0.08426836133003235,0.22934283316135406,1664,14.212240219116211,14.252068519592285,1746173915.9651537,117.208134025,239,0.20085786283016205,0.22925350069999695,238
1.0,379392.0,0.0,0.0618489608168602,0.0,0.07395763695240021,0.22233814001083374,1728,13.662110328674316,14.252068519592285,1746173918.5729213,119.815906306,247,0.20085786283016205,0.22643230855464935,246
