returned_episode,_step,qvals,returned_episode_lengths,test_returned_episode,_runtime,loss,env_step,test_returned_episode_returns,returned_won_episode,test_returned_episode_lengths,returned_episode_returns,grad_steps,_timestamp,update_steps,test_returned_won_episode
0.02539062686264515,21,0.0,24.41145896911621,1.0,87.081541405,0.0,33792.0,0.15869034826755524,0.0,24.541475296020508,0.182752326130867,0,1746203418.0102553,22,0.0
0.02083333395421505,53,0.23530414700508118,25.867189407348633,1.0,95.466722761,0.0775161162018776,82944.0,0.15869034826755524,0.0,24.541475296020508,0.16600936651229858,184,1746203426.3953907,54,0.0
0.0260416679084301,78,0.26249635219573975,25.75520896911621,1.0,103.905953924,0.1411133110523224,121344.0,0.15869034826755524,0.0,24.541475296020508,0.21785187721252441,384,1746203434.8346415,79,0.0
0.02473958395421505,89,0.23337788879871368,24.12434959411621,1.0,107.62023953,0.13548478484153748,138240.0,0.15869034826755524,0.0,24.541475296020508,0.20838287472724915,472,1746203438.54892,90,0.0
0.02343750186264515,105,0.27457213401794434,25.000001907348633,1.0,113.026401467,0.33208316564559937,162816.0,0.15869034826755524,0.0201822929084301,24.541475296020508,0.2747015953063965,600,1746203443.9550848,106,0.0
0.0240885429084301,126,0.255206823348999,23.719402313232422,1.0,120.13910557,0.21900993585586548,195072.0,0.15869034826755524,0.0,24.541475296020508,0.24797412753105164,768,1746203451.067804,127,0.0
0.02539062686264515,135,0.2556179463863373,23.983074188232422,1.0,123.170383326,0.3769676089286804,208896.0,0.15869034826755524,0.0,24.541475296020508,0.2422245442867279,840,1746203454.0990756,136,0.0
0.02473958395421505,176,0.28849077224731445,24.79427146911621,1.0,137.041277913,0.28273385763168335,271872.0,0.15869034826755524,0.0,24.541475296020508,0.25504040718078613,1168,1746203467.9699817,177,0.0
0.02539062686264515,180,0.28313735127449036,23.17708396911621,1.0,138.391196224,0.3270103335380554,278016.0,0.15869034826755524,0.0162760429084301,24.541475296020508,0.30230244994163513,1200,1746203469.31988,181,0.0
0.02343750186264515,195,0.2607058882713318,25.69466209411621,1.0,143.450052436,0.31697964668273926,301056.0,0.15869034826755524,0.0,24.541475296020508,0.28548821806907654,1320,1746203474.378721,196,0.0
0.02148437686264515,198,0.2548234462738037,25.567058563232422,1.0,144.477902963,0.3353224992752075,305664.0,0.15869034826755524,0.0,24.541475296020508,0.2776162922382355,1344,1746203475.4064593,199,0.0
0.02473958395421505,201,0.27711057662963867,24.779949188232422,1.0,145.486067977,0.36523908376693726,310272.0,0.15869034826755524,0.0162760429084301,24.541475296020508,0.2706446349620819,1368,1746203476.4147635,202,0.0
0.02343750186264515,215,0.35630306601524353,24.01888084411621,1.0,150.193777732,0.444330096244812,331776.0,0.15869034826755524,0.0,24.541475296020508,0.2919408679008484,1480,1746203481.1224623,216,0.0
0.02539062686264515,228,0.35072633624076843,25.32161521911621,1.0,154.583341897,0.5371337532997131,351744.0,0.15869034826755524,0.03125,24.541475296020508,0.2975490093231201,1584,1746203485.5120103,229,0.0
0.02148437686264515,257,0.3660491704940796,26.46419334411621,1.0,164.395030849,0.7598823308944702,396288.0,0.15869034826755524,0.0,24.541475296020508,0.22162333130836487,1816,1746203495.3237357,258,0.0
0.0260416679084301,267,0.3656202554702759,24.31770896911621,1.0,167.761437152,0.8982201814651489,411648.0,0.15869034826755524,0.0,24.541475296020508,0.27262988686561584,1896,1746203498.6901596,268,0.0
0.0240885429084301,270,0.3617360591888428,25.835939407348633,1.0,168.779692355,0.9240047931671143,416256.0,0.15869034826755524,0.0,24.541475296020508,0.23673532903194427,1920,1746203499.7083592,271,0.0
0.02343750186264515,287,0.3639501929283142,25.809246063232422,1.0,174.528238254,0.9488117694854736,442368.0,0.15869034826755524,0.0,24.541475296020508,0.2413974553346634,2056,1746203505.456937,288,0.0
0.0221354179084301,298,0.3498636484146118,25.607423782348633,1.0,178.241142466,1.1281793117523193,459264.0,0.15869034826755524,0.0,24.541475296020508,0.2730565071105957,2144,1746203509.1698523,299,0.0
0.02539062686264515,309,0.32768508791923523,25.89583396911621,1.0,181.949869387,0.9406058192253113,476160.0,0.15869034826755524,0.0,24.541475296020508,0.2710675001144409,2232,1746203512.8785532,310,0.0
