grad_steps,loss,_timestamp,test_returned_episode_lengths,test_returned_episode,_runtime,returned_episode_returns,qvals,env_step,test_returned_won_episode,update_steps,test_returned_episode_returns,returned_episode,returned_episode_lengths,_step,returned_won_episode
72,0.0020307761151343584,1746161400.073701,26.617633819580078,1.0,51.894151492,0.12584000825881958,0.029639922082424164,61440.0,0.0,40,0.0557333268225193,0.014322916977107525,30.93359375,39,0.0
296,0.006018948741257191,1746161411.333905,26.617633819580078,1.0,63.154326392,0.15578360855579376,0.631439208984375,104448.0,0.0,68,0.0557333268225193,0.015625,31.25,67,0.0
368,0.007614525035023689,1746161414.9505231,26.617633819580078,1.0,66.770915519,0.14276984333992004,0.6912077069282532,118272.0,0.0,77,0.0557333268225193,0.014322916977107525,30.901042938232422,76,0.0
784,0.01910949870944023,1746161435.863242,26.617633819580078,1.0,87.683664905,0.15552067756652832,0.7140053510665894,198144.0,0.0,129,0.0557333268225193,0.01497395895421505,31.260417938232422,128,0.0
888,0.05512809753417969,1746161441.0965672,26.617633819580078,1.0,92.916968255,0.18154898285865784,0.8179576992988586,218112.0,0.0,142,0.0557333268225193,0.014322916977107525,31.5625,141,0.0
904,0.04339894652366638,1746161441.9005036,26.617633819580078,1.0,93.72093417,0.1780383586883545,0.7323825359344482,221184.0,0.0,144,0.0557333268225193,0.015625,31.717449188232422,143,0.0
1008,0.04488559439778328,1746161447.1238654,26.617633819580078,1.0,98.944288492,0.17281769216060638,0.5245245695114136,241152.0,0.0,157,0.0557333268225193,0.012369791977107525,30.84765625,156,0.0
1168,0.07228319346904755,1746161455.166176,26.617633819580078,1.0,106.986610042,0.21989087760448456,0.44275563955307007,271872.0,0.0,177,0.0557333268225193,0.014322916977107525,32.04948043823242,176,0.0
1264,0.14271587133407593,1746161459.9994495,26.617633819580078,1.0,111.819860933,0.15012378990650177,0.44039034843444824,290304.0,0.0,189,0.0557333268225193,0.01171875,30.71875,188,0.0
1368,0.4386212229728699,1746161465.2270408,26.617633819580078,1.0,117.047475993,0.20277512073516846,0.39553916454315186,310272.0,0.0,202,0.0557333268225193,0.01171875,31.518230438232422,201,0.0
1512,0.2647063136100769,1746161472.465469,26.617633819580078,1.0,124.2858842,0.21068120002746582,0.4134508967399597,337920.0,0.0,220,0.0557333268225193,0.013671875,31.924480438232422,219,0.0
1544,0.26834070682525635,1746161474.0732129,26.617633819580078,1.0,125.893625126,0.210469588637352,0.4354296326637268,344064.0,0.0,224,0.0557333268225193,0.013671875,31.29817771911621,223,0.0
1552,0.25964710116386414,1746161474.4749353,26.617633819580078,1.0,126.295382099,0.21996872127056122,0.4240981340408325,345600.0,0.0,225,0.0557333268225193,0.01497395895421505,31.17317771911621,224,0.0
1616,0.28344273567199707,1746161477.6916263,26.617633819580078,1.0,129.512050464,0.2277989387512207,0.4469333291053772,357888.0,0.0,233,0.0557333268225193,0.013671875,32.1796875,232,0.0
1680,0.25548338890075684,1746161480.907608,26.617633819580078,1.0,132.728028785,0.20488975942134857,0.44945985078811646,370176.0,0.0,241,0.0557333268225193,0.014322916977107525,31.733074188232422,240,0.0
1760,0.33684754371643066,1746161484.9293163,26.617633819580078,1.0,136.749714465,0.21735899150371552,0.49833959341049194,385536.0,0.0,251,0.0557333268225193,0.01497395895421505,31.572917938232422,250,0.0
1776,0.5586001873016357,1746161485.7328603,26.617633819580078,1.0,137.553282312,0.20399819314479828,0.5025907754898071,388608.0,0.0,253,0.0557333268225193,0.01497395895421505,31.23828125,252,0.0
2144,0.7866877317428589,1746161504.2279932,26.617633819580078,1.0,156.048414579,0.25144967436790466,0.4822763204574585,459264.0,0.0,299,0.0557333268225193,0.013671875,31.85286521911621,298,0.0
2240,0.7647991180419922,1746161509.05612,26.617633819580078,1.0,160.876559226,0.25636154413223267,0.47826486825942993,477696.0,0.0,311,0.0557333268225193,0.013671875,32.23828125,310,0.0
2312,0.7431493997573853,1746161512.6732996,26.617633819580078,1.0,164.493711729,0.24071082472801208,0.4781057834625244,491520.0,0.0,320,0.0557333268225193,0.015625,32.122398376464844,319,0.0
