rng1604522687/update_steps,_runtime,env_step,returned_won_episode,rng1604522687/env_step,rng1604522687/returned_episode,test_returned_episode_lengths,loss,returned_episode_returns,qvals,test_returned_episode,rng1604522687/test_returned_episode_lengths,rng1604522687/test_returned_episode,test_returned_episode_returns,update_steps,rng1604522687/returned_episode_lengths,rng1604522687/qvals,test_returned_won_episode,returned_episode_lengths,rng1604522687/test_returned_episode_returns,rng1604522687/returned_won_episode,rng1604522687/loss,rng1604522687/returned_episode_returns,_timestamp,grad_steps,rng1604522687/test_returned_won_episode,returned_episode,rng1604522687/grad_steps,_step
168,118.404935485,258048.0,0.0,258048.0,0.01497395895421505,39.725955963134766,0.03728850185871124,0.16808363795280457,0.5308530330657959,1.0,39.725955963134766,1.0,0.11651697754859924,168,31.713542938232422,0.5308530330657959,0.0,31.713542938232422,0.11651697754859924,0.0,0.03728850185871124,0.16808363795280457,1746181578.5124419,1096,0.0,0.01497395895421505,1096,167
186,125.482443196,285696.0,0.0,285696.0,0.015625,39.725955963134766,0.04777686297893524,0.17778298258781433,0.5683398842811584,1.0,39.725955963134766,1.0,0.11651697754859924,186,31.11458396911621,0.5683398842811584,0.0,31.11458396911621,0.11651697754859924,0.0,0.04777686297893524,0.17778298258781433,1746181585.5899522,1240,0.0,0.015625,1240,185
197,129.808643428,302592.0,0.0,302592.0,0.015625,39.725955963134766,0.03273055702447891,0.18807737529277802,0.588282585144043,1.0,39.725955963134766,1.0,0.11651697754859924,197,31.28125,0.588282585144043,0.0,31.28125,0.11651697754859924,0.0,0.03273055702447891,0.18807737529277802,1746181589.9161437,1328,0.0,0.015625,1328,196
246,149.074983914,377856.0,0.0,377856.0,0.015625,39.725955963134766,0.17504718899726868,0.206298828125,0.49749305844306946,1.0,39.725955963134766,1.0,0.11651697754859924,246,31.01953125,0.49749305844306946,0.0,31.01953125,0.11651697754859924,0.0,0.17504718899726868,0.206298828125,1746181609.1824334,1720,0.0,0.015625,1720,245
274,160.127465429,420864.0,0.0,420864.0,0.015625,39.725955963134766,0.255484014749527,0.2068842351436615,0.4011404514312744,1.0,39.725955963134766,1.0,0.11651697754859924,274,31.3828125,0.4011404514312744,0.0,31.3828125,0.11651697754859924,0.0,0.255484014749527,0.2068842351436615,1746181620.23496,1944,0.0,0.015625,1944,273
298,169.549660368,457728.0,0.0,457728.0,0.01497395895421505,39.725955963134766,0.17001870274543762,0.20747539401054382,0.3748888373374939,1.0,39.725955963134766,1.0,0.11651697754859924,298,31.74349021911621,0.3748888373374939,0.0,31.74349021911621,0.11651697754859924,0.0,0.17001870274543762,0.20747539401054382,1746181629.6571279,2136,0.0,0.01497395895421505,2136,297
306,172.679837105,470016.0,0.0,470016.0,0.015625,39.725955963134766,0.14970001578330994,0.20996102690696716,0.41395291686058044,1.0,39.725955963134766,1.0,0.11651697754859924,306,31.721355438232422,0.41395291686058044,0.0,31.721355438232422,0.11651697754859924,0.0,0.14970001578330994,0.20996102690696716,1746181632.7873683,2200,0.0,0.015625,2200,305
307,173.078326397,471552.0,0.0,471552.0,0.015625,39.725955963134766,0.15596657991409302,0.21433554589748383,0.4121186435222626,1.0,39.725955963134766,1.0,0.11651697754859924,307,31.471355438232422,0.4121186435222626,0.0,31.471355438232422,0.11651697754859924,0.0,0.15596657991409302,0.21433554589748383,1746181633.185602,2208,0.0,0.015625,2208,306
353,191.257252283,542208.0,0.0,542208.0,0.01497395895421505,54.68297576904297,0.19550324976444244,0.18197935819625854,0.3161798119544983,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,353,31.41927146911621,0.3161798119544983,0.0,31.41927146911621,0.43380963802337646,0.0,0.19550324976444244,0.18197935819625854,1746181651.3646839,2576,0.0,0.01497395895421505,2576,352
361,194.408845512,554496.0,0.0,554496.0,0.015625,54.68297576904297,0.28621670603752136,0.20714548230171204,0.31484800577163696,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,361,31.717449188232422,0.31484800577163696,0.0,31.717449188232422,0.43380963802337646,0.0,0.28621670603752136,0.20714548230171204,1746181654.5162776,2640,0.0,0.015625,2640,360
394,207.379339647,605184.0,0.0,605184.0,0.015625,54.68297576904297,0.2746082544326782,0.19907063245773315,0.37843310832977295,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,394,31.873699188232422,0.37843310832977295,0.0,31.873699188232422,0.43380963802337646,0.0,0.2746082544326782,0.19907063245773315,1746181667.4868622,2904,0.0,0.015625,2904,393
400,209.736370508,614400.0,0.0,614400.0,0.01497395895421505,54.68297576904297,0.2547599673271179,0.19699887931346893,0.37475329637527466,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,400,31.1875,0.37475329637527466,0.0,31.1875,0.43380963802337646,0.0,0.2547599673271179,0.19699887931346893,1746181669.8438985,2952,0.0,0.01497395895421505,2952,399
411,214.190813289,631296.0,0.0,631296.0,0.01497395895421505,54.68297576904297,0.28402799367904663,0.16768595576286316,0.38986319303512573,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,411,31.651042938232422,0.38986319303512573,0.0,31.651042938232422,0.43380963802337646,0.0,0.28402799367904663,0.16768595576286316,1746181674.298297,3040,0.0,0.01497395895421505,3040,410
417,216.560478602,640512.0,0.0,640512.0,0.014322916977107525,54.68297576904297,0.34051090478897095,0.15411800146102905,0.3677230477333069,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,417,31.412761688232422,0.3677230477333069,0.0,31.412761688232422,0.43380963802337646,0.0,0.34051090478897095,0.15411800146102905,1746181676.6679637,3088,0.0,0.014322916977107525,3088,416
426,220.077047396,654336.0,0.0,654336.0,0.01497395895421505,54.68297576904297,0.3957544267177582,0.17888979613780975,0.3625377416610718,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,426,31.25390625,0.3625377416610718,0.0,31.25390625,0.43380963802337646,0.0,0.3957544267177582,0.17888979613780975,1746181680.1845706,3160,0.0,0.01497395895421505,3160,425
439,225.174920384,674304.0,0.0,674304.0,0.015625,54.68297576904297,0.6746876835823059,0.14227621257305145,0.3540029525756836,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,439,31.84765625,0.3540029525756836,0.0,31.84765625,0.43380963802337646,0.0,0.6746876835823059,0.14227621257305145,1746181685.2824893,3264,0.0,0.015625,3264,438
447,228.318028943,686592.0,0.0,686592.0,0.014322916977107525,54.68297576904297,0.4096405506134033,0.14906764030456543,0.34409835934638977,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,447,32.13932418823242,0.34409835934638977,0.0,32.13932418823242,0.43380963802337646,0.0,0.4096405506134033,0.14906764030456543,1746181688.4255633,3328,0.0,0.014322916977107525,3328,446
448,228.722458479,688128.0,0.0,688128.0,0.014322916977107525,54.68297576904297,0.3965618908405304,0.12197808921337128,0.3546759784221649,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,448,31.80208396911621,0.3546759784221649,0.0,31.80208396911621,0.43380963802337646,0.0,0.3965618908405304,0.12197808921337128,1746181688.8298135,3336,0.0,0.014322916977107525,3336,447
449,229.113796059,689664.0,0.0,689664.0,0.01497395895421505,54.68297576904297,0.44481825828552246,0.11231495440006256,0.3657277822494507,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,449,31.04036521911621,0.3657277822494507,0.0,31.04036521911621,0.43380963802337646,0.0,0.44481825828552246,0.11231495440006256,1746181689.221282,3344,0.0,0.01497395895421505,3344,448
453,230.677118807,695808.0,0.0,695808.0,0.015625,54.68297576904297,0.31444817781448364,0.11280455440282822,0.36775779724121094,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,453,30.990886688232422,0.36775779724121094,0.0,30.990886688232422,0.43380963802337646,0.0,0.31444817781448364,0.11280455440282822,1746181690.7846587,3376,0.0,0.015625,3376,452
458,232.63073278,703488.0,0.0,703488.0,0.021484375,54.68297576904297,0.411075621843338,0.12939628958702087,0.3690461814403534,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,458,27.08203125,0.3690461814403534,0.0,27.08203125,0.43380963802337646,0.0,0.411075621843338,0.12939628958702087,1746181692.7382724,3416,0.0,0.021484375,3416,457
489,244.79181558,751104.0,0.0,751104.0,0.015625,54.68297576904297,0.41654181480407715,0.12505333125591278,0.413519024848938,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,489,31.869792938232422,0.413519024848938,0.0,31.869792938232422,0.43380963802337646,0.0,0.41654181480407715,0.12505333125591278,1746181704.8992932,3664,0.0,0.015625,3664,488
498,248.32774865,764928.0,0.0,764928.0,0.015625,54.68297576904297,0.45786380767822266,0.07179509848356247,0.4438634514808655,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,498,30.82942771911621,0.4438634514808655,0.0,30.82942771911621,0.43380963802337646,0.0,0.45786380767822266,0.07179509848356247,1746181708.4352598,3736,0.0,0.015625,3736,497
502,249.894245047,771072.0,0.0,771072.0,0.01497395895421505,54.68297576904297,0.3601554036140442,0.06785690039396286,0.4647873640060425,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,502,30.209636688232422,0.4647873640060425,0.0,30.209636688232422,0.43380963802337646,0.0,0.3601554036140442,0.06785690039396286,1746181710.001801,3768,0.0,0.01497395895421505,3768,501
519,256.561872417,797184.0,0.0,797184.0,0.013671875,54.68297576904297,0.48646649718284607,0.10452085733413696,0.4922459125518799,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,519,31.83984375,0.4922459125518799,0.0,31.83984375,0.43380963802337646,0.0,0.48646649718284607,0.10452085733413696,1746181716.6693673,3904,0.0,0.013671875,3904,518
560,272.649082972,860160.0,0.0,860160.0,0.01497395895421505,54.68297576904297,0.5330681800842285,0.05866825580596924,0.40639978647232056,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,560,32.23307418823242,0.40639978647232056,0.0,32.23307418823242,0.43380963802337646,0.0,0.5330681800842285,0.05866825580596924,1746181732.756595,4232,0.0,0.01497395895421505,4232,559
562,273.431641718,863232.0,0.0,863232.0,0.014322916977107525,54.68297576904297,0.43326032161712646,0.10692354291677475,0.41016051173210144,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,562,32.23828125,0.41016051173210144,0.0,32.23828125,0.43380963802337646,0.0,0.43326032161712646,0.10692354291677475,1746181733.5391934,4248,0.0,0.014322916977107525,4248,561
564,274.217565531,866304.0,0.0,866304.0,0.015625,54.68297576904297,0.5573124885559082,0.13826285302639008,0.40318113565444946,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,564,31.44270896911621,0.40318113565444946,0.0,31.44270896911621,0.43380963802337646,0.0,0.5573124885559082,0.13826285302639008,1746181734.3250515,4264,0.0,0.015625,4264,563
566,275.003458287,869376.0,0.0,869376.0,0.01497395895421505,54.68297576904297,0.5329281091690063,0.12238556146621704,0.4058113098144531,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,566,31.3671875,0.4058113098144531,0.0,31.3671875,0.43380963802337646,0.0,0.5329281091690063,0.12238556146621704,1746181735.1109831,4280,0.0,0.01497395895421505,4280,565
568,275.789626466,872448.0,0.0,872448.0,0.015625,54.68297576904297,0.7305517196655273,0.08010448515415192,0.3811990022659302,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,568,31.69661521911621,0.3811990022659302,0.0,31.69661521911621,0.43380963802337646,0.0,0.7305517196655273,0.08010448515415192,1746181735.8970573,4296,0.0,0.015625,4296,567
604,289.905859356,927744.0,0.0,927744.0,0.015625,54.68297576904297,0.46156275272369385,0.053921863436698914,0.39917874336242676,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,604,31.85286521911621,0.39917874336242676,0.0,31.85286521911621,0.43380963802337646,0.0,0.46156275272369385,0.053921863436698914,1746181750.0133486,4584,0.0,0.015625,4584,603
617,295.016404114,947712.0,0.0,947712.0,0.01497395895421505,54.68297576904297,0.6901962161064148,0.048744361847639084,0.4206922650337219,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,617,31.03515625,0.4206922650337219,0.0,31.03515625,0.43380963802337646,0.0,0.6901962161064148,0.048744361847639084,1746181755.1238923,4688,0.0,0.01497395895421505,4688,616
631,300.506978382,969216.0,0.0,969216.0,0.013671875,54.68297576904297,0.7845925688743591,0.04347758740186691,0.3824973404407501,0.9999999403953552,54.68297576904297,0.9999999403953552,0.43380963802337646,631,30.78645896911621,0.3824973404407501,0.0,30.78645896911621,0.43380963802337646,0.0,0.7845925688743591,0.04347758740186691,1746181760.614533,4800,0.0,0.013671875,4800,630
650,308.08246169,998400.0,0.0,998400.0,0.015625,52.263423919677734,0.8229235410690308,0.045850154012441635,0.36248308420181274,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,650,30.57421875,0.36248308420181274,0.0,30.57421875,0.0169618409126997,0.0,0.8229235410690308,0.045850154012441635,1746181768.189965,4952,0.0,0.015625,4952,649
661,312.401138755,1015296.0,0.0,1015296.0,0.012369791977107525,52.263423919677734,0.579367995262146,0.0597882941365242,0.3918127417564392,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,661,30.3203125,0.3918127417564392,0.0,30.3203125,0.0169618409126997,0.0,0.579367995262146,0.0597882941365242,1746181772.5085003,5040,0.0,0.012369791977107525,5040,660
665,313.961733095,1021440.0,0.0,1021440.0,0.015625,52.263423919677734,0.5698422193527222,0.03958077356219292,0.35965996980667114,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,665,30.38671875,0.35965996980667114,0.0,30.38671875,0.0169618409126997,0.0,0.5698422193527222,0.03958077356219292,1746181774.069234,5072,0.0,0.015625,5072,664
668,315.135127164,1026048.0,0.0,1026048.0,0.01302083395421505,52.263423919677734,0.6104589104652405,0.043985337018966675,0.3320893347263336,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,668,30.80859375,0.3320893347263336,0.0,30.80859375,0.0169618409126997,0.0,0.6104589104652405,0.043985337018966675,1746181775.2426584,5096,0.0,0.01302083395421505,5096,667
676,318.286880318,1038336.0,0.0,1038336.0,0.013671875,52.263423919677734,0.4318403899669647,0.04753158614039421,0.4657803177833557,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,676,31.268230438232422,0.4657803177833557,0.0,31.268230438232422,0.0169618409126997,0.0,0.4318403899669647,0.04753158614039421,1746181778.3943715,5160,0.0,0.013671875,5160,675
678,319.069223298,1041408.0,0.0,1041408.0,0.01302083395421505,52.263423919677734,0.7573086023330688,0.03134148195385933,0.518235445022583,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,678,31.631511688232422,0.518235445022583,0.0,31.631511688232422,0.0169618409126997,0.0,0.7573086023330688,0.03134148195385933,1746181779.1767204,5176,0.0,0.01302083395421505,5176,677
699,327.298077189,1073664.0,0.0,1073664.0,0.013671875,52.263423919677734,0.5407305955886841,0.028525512665510178,0.38085755705833435,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,699,31.8984375,0.38085755705833435,0.0,31.8984375,0.0169618409126997,0.0,0.5407305955886841,0.028525512665510178,1746181787.4056327,5344,0.0,0.013671875,5344,698
730,339.453267398,1121280.0,0.0,1121280.0,0.0078125,52.263423919677734,0.557209849357605,0.038803890347480774,0.39414870738983154,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,730,31.90364646911621,0.39414870738983154,0.0,31.90364646911621,0.0169618409126997,0.0,0.557209849357605,0.038803890347480774,1746181799.560729,5592,0.0,0.0078125,5592,729
739,342.991486856,1135104.0,0.0,1135104.0,0.01106770895421505,52.263423919677734,0.5267351865768433,0.06213725730776787,0.3627171814441681,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,739,31.26953125,0.3627171814441681,0.0,31.26953125,0.0169618409126997,0.0,0.5267351865768433,0.06213725730776787,1746181803.099001,5664,0.0,0.01106770895421505,5664,738
751,347.697930032,1153536.0,0.0,1153536.0,0.014322916977107525,52.263423919677734,0.463095486164093,0.06445720046758652,0.34023892879486084,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,751,31.09895896911621,0.34023892879486084,0.0,31.09895896911621,0.0169618409126997,0.0,0.463095486164093,0.06445720046758652,1746181807.8052864,5760,0.0,0.014322916977107525,5760,750
757,350.045219801,1162752.0,0.0,1162752.0,0.01497395895421505,52.263423919677734,0.6088273525238037,0.10350342839956284,0.32107335329055786,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,757,31.24739646911621,0.32107335329055786,0.0,31.24739646911621,0.0169618409126997,0.0,0.6088273525238037,0.10350342839956284,1746181810.1527467,5808,0.0,0.01497395895421505,5808,756
787,361.814731322,1208832.0,0.0,1208832.0,0.015625,52.263423919677734,0.43567466735839844,0.13155387341976166,0.34791046380996704,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,787,30.440105438232422,0.34791046380996704,0.0,30.440105438232422,0.0169618409126997,0.0,0.43567466735839844,0.13155387341976166,1746181821.9222615,6048,0.0,0.015625,6048,786
789,362.59738135,1211904.0,0.0,1211904.0,0.015625,52.263423919677734,0.4488891363143921,0.16974660754203796,0.30060839653015137,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,789,31.2578125,0.30060839653015137,0.0,31.2578125,0.0169618409126997,0.0,0.4488891363143921,0.16974660754203796,1746181822.7049143,6064,0.0,0.015625,6064,788
799,366.519740413,1227264.0,0.0,1227264.0,0.01171875,52.263423919677734,0.29179590940475464,0.1612829566001892,0.347798228263855,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,799,31.34765625,0.347798228263855,0.0,31.34765625,0.0169618409126997,0.0,0.29179590940475464,0.1612829566001892,1746181826.6272342,6144,0.0,0.01171875,6144,798
829,378.309681009,1273344.0,0.0,1273344.0,0.013671875,52.263423919677734,0.3339952826499939,0.1127898320555687,0.2777922451496124,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,829,31.75390625,0.2777922451496124,0.0,31.75390625,0.0169618409126997,0.0,0.3339952826499939,0.1127898320555687,1746181838.4171698,6384,0.0,0.013671875,6384,828
830,378.700702129,1274880.0,0.0,1274880.0,0.013671875,52.263423919677734,0.280640184879303,0.13799139857292175,0.26926878094673157,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,830,32.296875,0.26926878094673157,0.0,32.296875,0.0169618409126997,0.0,0.280640184879303,0.13799139857292175,1746181838.8081915,6392,0.0,0.013671875,6392,829
844,384.24027117,1296384.0,0.0,1296384.0,0.013671875,52.263423919677734,0.21905569732189178,0.14619013667106628,0.2845645844936371,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,844,32.333335876464844,0.2845645844936371,0.0,32.333335876464844,0.0169618409126997,0.0,0.21905569732189178,0.14619013667106628,1746181844.3477883,6504,0.0,0.013671875,6504,843
850,386.586986808,1305600.0,0.0,1305600.0,0.014322916977107525,52.263423919677734,0.18364647030830383,0.15349555015563965,0.2731196880340576,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,850,32.08854293823242,0.2731196880340576,0.0,32.08854293823242,0.0169618409126997,0.0,0.18364647030830383,0.15349555015563965,1746181846.6945333,6552,0.0,0.014322916977107525,6552,849
917,412.895331939,1408512.0,0.0,1408512.0,0.01106770895421505,52.263423919677734,0.1440744251012802,0.1091948002576828,0.05387958139181137,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,917,31.55208396911621,0.05387958139181137,0.0,31.55208396911621,0.0169618409126997,0.0,0.1440744251012802,0.1091948002576828,1746181873.0027752,7088,0.0,0.01106770895421505,7088,916
928,417.217249343,1425408.0,0.0,1425408.0,0.01171875,52.263423919677734,0.15248584747314453,0.1241137832403183,0.0922442227602005,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,928,32.07421875,0.0922442227602005,0.0,32.07421875,0.0169618409126997,0.0,0.15248584747314453,0.1241137832403183,1746181877.3247917,7176,0.0,0.01171875,7176,927
932,418.787507765,1431552.0,0.0,1431552.0,0.012369791977107525,52.263423919677734,0.15701480209827423,0.15469998121261597,0.08201659470796585,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,932,32.33854293823242,0.08201659470796585,0.0,32.33854293823242,0.0169618409126997,0.0,0.15701480209827423,0.15469998121261597,1746181878.8949697,7208,0.0,0.012369791977107525,7208,931
956,428.196154491,1468416.0,0.0,1468416.0,0.01497395895421505,52.263423919677734,0.09156863391399384,0.15171486139297485,0.022557362914085388,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,956,31.822917938232422,0.022557362914085388,0.0,31.822917938232422,0.0169618409126997,0.0,0.09156863391399384,0.15171486139297485,1746181888.303713,7400,0.0,0.01497395895421505,7400,955
958,428.982935639,1471488.0,0.0,1471488.0,0.013671875,52.263423919677734,0.1650681495666504,0.14360207319259644,0.01742992177605629,1.0000001192092896,52.263423919677734,1.0000001192092896,0.0169618409126997,958,31.2890625,0.01742992177605629,0.0,31.2890625,0.0169618409126997,0.0,0.1650681495666504,0.14360207319259644,1746181889.0904217,7416,0.0,0.013671875,7416,957
975,435.751941721,1497600.0,0.0,1497600.0,0.014322916977107525,64.83061218261719,0.06858859956264496,0.14043687283992767,-0.027992915362119675,1.0,64.83061218261719,1.0,0.2557509243488312,975,32.0625,-0.027992915362119675,0.0,32.0625,0.2557509243488312,0.0,0.06858859956264496,0.14043687283992767,1746181895.859499,7552,0.0,0.014322916977107525,7552,974
994,443.211308722,1526784.0,0.0,1526784.0,0.012369791977107525,64.83061218261719,0.055354658514261246,0.13788068294525146,-0.10240721702575684,1.0,64.83061218261719,1.0,0.2557509243488312,994,29.60677146911621,-0.10240721702575684,0.0,29.60677146911621,0.2557509243488312,0.0,0.055354658514261246,0.13788068294525146,1746181903.3187807,7704,0.0,0.012369791977107525,7704,993
995,443.61134339,1528320.0,0.0,1528320.0,0.012369791977107525,64.83061218261719,0.06970972567796707,0.11688676476478577,-0.10503336787223816,1.0,64.83061218261719,1.0,0.2557509243488312,995,30.34765625,-0.10503336787223816,0.0,30.34765625,0.2557509243488312,0.0,0.06970972567796707,0.11688676476478577,1746181903.7187006,7712,0.0,0.012369791977107525,7712,994
1007,448.306493185,1546752.0,0.0,1546752.0,0.012369791977107525,64.83061218261719,0.04904966428875923,0.1238979920744896,-0.07226918637752533,1.0,64.83061218261719,1.0,0.2557509243488312,1007,29.53515625,-0.07226918637752533,0.0,29.53515625,0.2557509243488312,0.0,0.04904966428875923,0.1238979920744896,1746181908.4138563,7808,0.0,0.012369791977107525,7808,1006
1023,454.58718467,1571328.0,0.0,1571328.0,0.01497395895421505,64.83061218261719,0.05148368328809738,0.15230318903923035,-0.1665416657924652,1.0,64.83061218261719,1.0,0.2557509243488312,1023,31.62109375,-0.1665416657924652,0.0,31.62109375,0.2557509243488312,0.0,0.05148368328809738,0.15230318903923035,1746181914.6945455,7936,0.0,0.01497395895421505,7936,1022
1026,455.767684506,1575936.0,0.0,1575936.0,0.01171875,64.83061218261719,0.04220375046133995,0.10269543528556824,-0.1637628823518753,1.0,64.83061218261719,1.0,0.2557509243488312,1026,27.920574188232422,-0.1637628823518753,0.0,27.920574188232422,0.2557509243488312,0.0,0.04220375046133995,0.10269543528556824,1746181915.8751712,7960,0.0,0.01171875,7960,1025
