returned_episode_lengths,returned_won_episode,loss,update_steps,_step,test_returned_episode_returns,env_step,test_returned_episode_lengths,returned_episode,_runtime,grad_steps,qvals,test_returned_won_episode,returned_episode_returns,test_returned_episode,_timestamp
24.95052146911621,0.0,0.0,7,6,0.455923855304718,10752,32.83440017700195,0.025390625,48.541187315,0,0.0,0.0,0.23358069360256195,1.0,1746426446.1682148
26.29231834411621,0.0,0.0,26,25,0.455923855304718,39936,32.83440017700195,0.02083333395421505,49.760858593,0,0.0,0.0,0.24710284173488617,1.0,1746426447.3878486
25.755859375,0.0,0.0028814589604735374,49,48,0.455923855304718,75264,32.83440017700195,0.0234375,56.929340924,144,0.21647286415100098,0.0,0.2610611915588379,1.0,1746426454.5562983
24.79557228088379,0.0,0.007733218837529421,57,56,0.455923855304718,87552,32.83440017700195,0.02278645895421505,59.991192445,208,0.47405749559402466,0.0,0.2563574016094208,1.0,1746426457.6180725
24.55143165588379,0.0,0.013766121119260788,66,65,0.455923855304718,101376,32.83440017700195,0.02473958395421505,63.422643562,280,0.6160076856613159,0.0,0.2622981369495392,1.0,1746426461.049645
26.32421875,0.0,0.019056305289268494,81,80,0.455923855304718,124416,32.83440017700195,0.0234375,69.122572143,400,0.724573016166687,0.0,0.28691402077674866,1.0,1746426466.7495656
24.58658790588379,0.0,0.03611167520284653,84,83,0.455923855304718,129024,32.83440017700195,0.02278645895421505,70.259572179,424,0.7742747664451599,0.0,0.2826855182647705,1.0,1746426467.8865983
25.04752540588379,0.0,0.05370183661580086,93,92,0.455923855304718,142848,32.83440017700195,0.02473958395421505,73.703768623,496,0.8046656847000122,0.0,0.3075976073741913,1.0,1746426471.3305638
25.34049415588379,0.0,0.03820530325174332,98,97,0.455923855304718,150528,32.83440017700195,0.02278645895421505,75.615048219,536,0.819786548614502,0.0,0.28909826278686523,1.0,1746426473.2420082
24.91731834411621,0.0,0.05297388881444931,106,105,0.455923855304718,162816,32.83440017700195,0.02473958395421505,78.650234107,600,0.8393744230270386,0.0,0.3100162744522095,1.0,1746426476.2772522
25.50650978088379,0.0,0.05095493793487549,107,106,0.455923855304718,164352,32.83440017700195,0.02408854104578495,79.029306887,608,0.8367288112640381,0.0,0.29223304986953735,1.0,1746426476.656323
24.80013084411621,0.0,0.06378556787967682,116,115,0.455923855304718,178176,32.83440017700195,0.02278645895421505,82.457196404,680,0.8318742513656616,0.0,0.29409828782081604,1.0,1746426480.0838933
24.462890625,0.0,0.0687837153673172,128,127,0.455923855304718,196608,32.83440017700195,0.02604166604578495,87.042653857,776,0.8232139945030212,0.0,0.3065462112426758,1.0,1746426484.66941
