_runtime,grad_steps,test_returned_won_episode,test_returned_episode_lengths,returned_episode_lengths,returned_episode,test_returned_episode_returns,returned_won_episode,qvals,update_steps,env_step,_timestamp,loss,test_returned_episode,_step,returned_episode_returns
58.502846794999996,176,0.0,18.756948471069336,25.232421875,0.02408854104578495,0.038202591240406036,0.0,0.7773728966712952,53,81408.0,1746198823.833563,0.015992745757102966,1.0,52,0.28007808327674866
65.586455365,328,0.0,18.756948471069336,25.61328125,0.0234375,0.038202591240406036,0.0,0.9715511202812195,72,110592.0,1746198830.9171808,0.09099837392568588,1.0,71,0.2898404896259308
67.076465165,360,0.0,18.756948471069336,26.86002540588379,0.02213541604578495,0.038202591240406036,0.0,0.9221271276473999,76,116736.0,1746198832.4071562,0.02235354669392109,1.0,75,0.2832682132720947
71.175686835,448,0.0,18.756948471069336,25.38606834411621,0.02408854104578495,0.038202591240406036,0.0,0.9110714197158813,87,133632.0,1746198836.5064132,0.0312710739672184,1.0,86,0.3018326461315155
82.712404423,696,0.0,18.756948471069336,24.58268165588379,0.02213541604578495,0.038202591240406036,0.0,0.6429681181907654,118,181248.0,1746198848.043096,0.10314631462097168,1.0,117,0.2751562297344208
89.418215609,840,0.0,18.756948471069336,25.12434959411621,0.02408854104578495,0.038202591240406036,0.0,0.5187127590179443,136,208896.0,1746198854.7489429,0.13773739337921143,1.0,135,0.2686588168144226
92.402459379,904,0.0,18.756948471069336,27.22005271911621,0.0234375,0.038202591240406036,0.0,0.4904601275920868,144,221184.0,1746198857.7331414,0.09823288023471832,1.0,143,0.28800779581069946
106.572430382,1208,0.0,18.756948471069336,24.18619728088379,0.0234375,0.038202591240406036,0.0,0.47535794973373413,182,279552.0,1746198871.9031591,0.2765808403491974,1.0,181,0.3025130033493042
109.178060756,1264,0.0,18.756948471069336,26.44856834411621,0.02213541604578495,0.038202591240406036,0.0,0.46689537167549133,189,290304.0,1746198874.5087745,0.2714223265647888,1.0,188,0.308173805475235
111.045902044,1304,0.0,18.756948471069336,24.91145896911621,0.025390625,0.038202591240406036,0.0,0.47044989466667175,194,297984.0,1746198876.3766367,0.27344271540641785,1.0,193,0.31578123569488525
118.86734731,1472,0.0,18.756948471069336,24.44400978088379,0.025390625,0.038202591240406036,0.0,0.47040805220603943,215,330240.0,1746198884.1980457,0.2811477780342102,1.0,214,0.320393830537796
121.479576201,1528,0.0,18.756948471069336,25.18033790588379,0.02473958395421505,0.038202591240406036,0.0,0.4560422897338867,222,340992.0,1746198886.8102815,0.2810629904270172,1.0,221,0.3250943720340729
124.459108689,1592,0.0,18.756948471069336,24.27083396911621,0.02408854104578495,0.038202591240406036,0.0,0.44153910875320435,230,353280.0,1746198889.7898166,0.14209714531898499,1.0,229,0.2521223723888397
144.964380423,2032,0.0,18.756948471069336,25.18033790588379,0.02408854104578495,0.038202591240406036,0.0,0.41905534267425537,285,437760.0,1746198910.2950802,0.1481839120388031,1.0,284,0.2362988293170929
146.826489594,2072,0.0,18.756948471069336,26.67057228088379,0.02278645895421505,0.038202591240406036,0.0,0.38723450899124146,290,445440.0,1746198912.157216,0.17167137563228607,1.0,289,0.21347002685070038
147.571927824,2088,0.0,18.756948471069336,25.41080665588379,0.02408854104578495,0.038202591240406036,0.0,0.3684443533420563,292,448512.0,1746198912.9026494,0.2323911190032959,1.0,291,0.2548697888851166
149.806349687,2136,0.0,18.756948471069336,24.45638084411621,0.02473958395421505,0.038202591240406036,0.0,0.37685853242874146,298,457728.0,1746198915.1370714,0.18340981006622314,1.0,297,0.2785872220993042
151.300007642,2168,0.0,18.756948471069336,24.775390625,0.02278645895421505,0.038202591240406036,0.0,0.39260101318359375,302,463872.0,1746198916.6307318,0.1449248492717743,1.0,301,0.27492836117744446
157.266877046,2296,0.0,18.756948471069336,24.39518165588379,0.02669270895421505,0.038202591240406036,0.0,0.43422365188598633,318,488448.0,1746198922.5975835,0.10450350493192673,1.0,317,0.32292643189430237
158.756751522,2328,0.0,18.756948471069336,26.09114646911621,0.02473958395421505,0.038202591240406036,0.0,0.4086568355560303,322,494592.0,1746198924.087445,0.11260853707790375,1.0,321,0.3027050197124481
163.683871249,2432,0.0,34.57205581665039,26.26106834411621,0.02213541604578495,0.5123558044433594,0.0,0.37782740592956543,335,514560.0,1746198929.0145795,0.17515528202056885,1.0,334,0.2795800566673279
165.172990087,2464,0.0,34.57205581665039,25.92513084411621,0.02473958395421505,0.5123558044433594,0.0,0.3823595643043518,339,520704.0,1746198930.5036924,0.17949822545051575,1.0,338,0.29100582003593445
171.136373785,2592,0.0,34.57205581665039,25.990234375,0.0234375,0.5123558044433594,0.0,0.33545172214508057,355,545280.0,1746198936.4670746,0.12035465240478516,1.0,354,0.250742107629776
173.37113007,2640,0.0,34.57205581665039,25.96224021911621,0.02278645895421505,0.5123558044433594,0.0,0.3283814787864685,361,554496.0,1746198938.7018209,0.12568582594394684,1.0,360,0.2717512547969818
179.703683371,2776,0.0,34.57205581665039,26.60546875,0.02278645895421505,0.5123558044433594,0.0,0.32156869769096375,378,580608.0,1746198945.0344005,0.17279648780822754,1.0,377,0.2887141704559326
181.213422039,2808,0.0,34.57205581665039,26.248046875,0.02278645895421505,0.5123558044433594,0.0,0.32074376940727234,382,586752.0,1746198946.5441365,0.11602428555488586,1.0,381,0.20819984376430511
183.448551419,2856,0.0,34.57205581665039,25.32096290588379,0.02213541604578495,0.5123558044433594,0.0,0.30745136737823486,388,595968.0,1746198948.7792783,0.20663052797317505,1.0,387,0.3339387774467468
190.53557775,3008,0.0,34.57205581665039,28.0390625,0.01953125,0.5123558044433594,0.0,0.3170124888420105,407,625152.0,1746198955.866286,0.17853239178657532,1.0,406,0.21432287991046906
196.575397876,3136,0.0,34.57205581665039,29.24479103088379,0.02018229104578495,0.5123558044433594,0.0,0.29413098096847534,423,649728.0,1746198961.9060984,0.0686931312084198,1.0,422,0.18524739146232605
199.928627478,3208,0.0,34.57205581665039,26.60872459411621,0.02408854104578495,0.5123558044433594,0.0,0.27943092584609985,432,663552.0,1746198965.2593346,0.07469496876001358,1.0,431,0.16713543236255646
200.301111524,3216,0.0,34.57205581665039,27.046875,0.02018229104578495,0.5123558044433594,0.0,0.2846391499042511,433,665088.0,1746198965.6317832,0.07633937895298004,1.0,432,0.21274085342884064
202.16417606,3256,0.0,34.57205581665039,28.48111915588379,0.01822916604578495,0.5123558044433594,0.0,0.28739863634109497,438,672768.0,1746198967.4948764,0.07072180509567261,1.0,437,0.17897135019302368
216.697552393,3568,0.0,34.57205581665039,27.77083396911621,0.02018229104578495,0.5123558044433594,0.0,0.2715502977371216,477,732672.0,1746198982.0282712,0.06890444457530975,1.0,476,0.18850910663604736
217.815992758,3592,0.0,34.57205581665039,27.62630271911621,0.02213541604578495,0.5123558044433594,0.0,0.2625541090965271,480,737280.0,1746198983.1467156,0.07273438572883606,1.0,479,0.20471352338790894
218.188238774,3600,0.0,34.57205581665039,27.78841209411621,0.01953125,0.5123558044433594,0.0,0.25194820761680603,481,738816.0,1746198983.5189607,0.07031681388616562,1.0,480,0.223271444439888
220.438746229,3648,0.0,34.57205581665039,26.384765625,0.02083333395421505,0.5123558044433594,0.0,0.2532259225845337,487,748032.0,1746198985.769457,0.07184043526649475,1.0,486,0.19426757097244263
222.672465254,3696,0.0,34.57205581665039,26.78841209411621,0.0234375,0.5123558044433594,0.0,0.25048771500587463,493,757248.0,1746198988.003211,0.07415097951889038,1.0,492,0.2669433653354645
229.751542517,3848,0.0,34.57205581665039,22.306640625,0.03059895895421505,0.5123558044433594,0.0,0.19511234760284424,512,786432.0,1746198995.0822732,0.13032588362693787,1.0,511,0.16025063395500183
239.442578475,4056,0.0,34.57205581665039,24.06900978088379,0.01692708395421505,0.5123558044433594,0.0,0.1185944601893425,538,826368.0,1746199004.7732916,0.1666426956653595,1.0,537,0.17959634959697723
246.149455668,4200,0.0,34.57205581665039,27.34830665588379,0.02083333395421505,0.5123558044433594,0.0,0.12785834074020386,556,854016.0,1746199011.4801865,0.09921526908874512,1.0,555,0.2847948968410492
248.758666903,4256,0.0,34.57205581665039,25.54427146911621,0.0234375,0.5123558044433594,0.0,0.13156016170978546,563,864768.0,1746199014.0894046,0.1055661141872406,1.0,562,0.25222328305244446
249.504349133,4272,0.0,34.57205581665039,28.29166603088379,0.02213541604578495,0.5123558044433594,0.0,0.16221633553504944,565,867840.0,1746199014.8350527,0.0709720104932785,1.0,564,0.3479882478713989
250.996606422,4304,0.0,34.57205581665039,27.63802146911621,0.02083333395421505,0.5123558044433594,0.0,0.15654483437538147,569,873984.0,1746199016.327326,0.11026008427143097,1.0,568,0.2955371141433716
254.718649735,4384,0.0,34.57205581665039,26.89518165588379,0.02213541604578495,0.5123558044433594,0.0,0.18911628425121307,579,889344.0,1746199020.0493586,0.08455568552017212,1.0,578,0.3106575012207031
264.027129748,4584,0.0,34.57205581665039,26.80533790588379,0.021484375,0.5123558044433594,0.0,0.18350593745708466,604,927744.0,1746199029.3578537,0.05255010724067688,1.0,603,0.30517899990081787
266.260680906,4632,0.0,34.57205581665039,25.36002540588379,0.02083333395421505,0.5123558044433594,0.0,0.1668483018875122,610,936960.0,1746199031.591413,0.036500927060842514,1.0,609,0.36160802841186523
267.389467007,4656,0.0,34.57205581665039,26.66341209411621,0.02213541604578495,0.5123558044433594,0.0,0.16879531741142273,613,941568.0,1746199032.7200537,0.04244918376207352,1.0,612,0.362141877412796
267.762289242,4664,0.0,34.57205581665039,26.6875,0.02018229104578495,0.5123558044433594,0.0,0.1709226667881012,614,943104.0,1746199033.092988,0.03829030692577362,1.0,613,0.3199739158153534
270.74220703,4728,0.0,34.57205581665039,24.19075584411621,0.02278645895421505,0.5123558044433594,0.0,0.18068251013755798,622,955392.0,1746199036.0729263,0.04188615828752518,1.0,621,0.32101234793663025
274.838329816,4816,0.0,34.57205581665039,26.72525978088379,0.013671875,0.5123558044433594,0.0,0.18879060447216034,633,972288.0,1746199040.1690505,0.04295925050973892,1.0,632,0.29670897126197815
280.05295007,4928,0.0,34.57205581665039,26.64583396911621,0.01822916604578495,0.5123558044433594,0.0,0.1861550509929657,647,993792.0,1746199045.3836482,0.04214906692504883,1.0,646,0.3676464259624481
283.491589661,5000,0.0,40.26023864746094,27.583984375,0.021484375,0.5123372673988342,0.0,0.1375952959060669,656,1007616.0,1746199048.8223004,0.04639388620853424,0.9999999403953552,655,0.3832193613052368
285.728715814,5048,0.0,40.26023864746094,25.18294334411621,0.013020833022892475,0.5123372673988342,0.0,0.14661113917827606,662,1016832.0,1746199051.0594146,0.05887440964579582,0.9999999403953552,661,0.272402286529541
293.555803525,5216,0.0,40.26023864746094,26.88671875,0.02083333395421505,0.5123372673988342,0.0,0.10921061038970947,683,1049088.0,1746199058.8864822,0.036651454865932465,0.9999999403953552,682,0.3835253119468689
295.045651936,5248,0.0,40.26023864746094,29.44791603088379,0.01822916604578495,0.5123372673988342,0.0,0.15631476044654846,687,1055232.0,1746199060.3763814,0.0512731671333313,0.9999999403953552,686,0.33972975611686707
295.79016252,5264,0.0,40.26023864746094,27.935546875,0.02018229104578495,0.5123372673988342,0.0,0.15532070398330688,689,1058304.0,1746199061.1208878,0.03879708796739578,0.9999999403953552,688,0.35526689887046814
302.493224137,5408,0.0,40.26023864746094,25.484375,0.02018229104578495,0.5123372673988342,0.0,0.0938529446721077,707,1085952.0,1746199067.8239253,0.04817706346511841,0.9999999403953552,706,0.3955663740634918
309.19557421,5552,0.0,40.26023864746094,27.84114646911621,0.013020833022892475,0.5123372673988342,0.0,0.080838143825531,725,1113600.0,1746199074.526296,0.044526781886816025,0.9999999403953552,724,0.34202468395233154
315.521657251,5688,0.0,40.26023864746094,28.107421875,0.014973958022892475,0.5123372673988342,0.02604166604578495,0.07144510746002197,742,1139712.0,1746199080.852392,0.032913245260715485,0.9999999403953552,741,0.38808590173721313
317.384760683,5728,0.0,40.26023864746094,26.57877540588379,0.017578125,0.5123372673988342,0.0,0.06313487887382507,747,1147392.0,1746199082.7154539,0.03194568678736687,0.9999999403953552,746,0.3518912196159363
322.59840326,5840,0.0,40.26023864746094,26.0390625,0.01627604104578495,0.5123372673988342,0.0,0.04148733243346214,761,1168896.0,1746199087.929131,0.04815782606601715,0.9999999403953552,760,0.27760085463523865
333.399869606,6072,0.0,40.26023864746094,27.68815040588379,0.014322916977107525,0.5123372673988342,0.0,-0.0003884027246385813,790,1213440.0,1746199098.730575,0.031320586800575256,0.9999999403953552,789,0.3832453489303589
344.576204881,6312,0.0,40.26023864746094,28.28841209411621,0.02018229104578495,0.5123372673988342,0.0,0.008495272137224674,820,1259520.0,1746199109.9069302,0.039860617369413376,0.9999999403953552,819,0.3785383403301239
355.402320728,6544,0.0,40.26023864746094,25.076171875,0.014973958022892475,0.5123372673988342,0.0,-0.1061798632144928,849,1304064.0,1746199120.733028,0.03329251706600189,0.9999999403953552,848,0.3527278006076813
355.774886727,6552,0.0,40.26023864746094,26.138671875,0.014973958022892475,0.5123372673988342,0.0,-0.1087365373969078,850,1305600.0,1746199121.1055996,0.029310043901205063,0.9999999403953552,849,0.3645246624946594
377.018694554,7008,0.0,40.26023864746094,24.31770896911621,0.014322916977107525,0.5123372673988342,0.0,-0.1310511827468872,907,1393152.0,1746199142.3493636,0.026891712099313736,0.9999999403953552,906,0.3549022376537323
378.881255942,7048,0.0,40.26023864746094,26.55208396911621,0.013671875,0.5123372673988342,0.0,-0.09973783791065216,912,1400832.0,1746199144.211973,0.03591825067996979,0.9999999403953552,911,0.3797492980957031
379.254233529,7056,0.0,40.26023864746094,27.32161521911621,0.021484375,0.5123372673988342,0.0,-0.11527672410011292,913,1402368.0,1746199144.5849552,0.022250283509492874,0.9999999403953552,912,0.5034927129745483
388.941167978,7264,0.0,40.26023864746094,26.02604103088379,0.015625,0.5123372673988342,0.0,-0.16945883631706238,939,1442304.0,1746199154.2718787,0.019949788227677345,0.9999999403953552,938,0.42009106278419495
389.685798018,7280,0.0,40.26023864746094,27.01627540588379,0.012369791977107525,0.5123372673988342,0.0546875,-0.17296981811523438,941,1445376.0,1746199155.0165188,0.02087828516960144,0.9999999403953552,940,0.47701162099838257
