returned_episode,env_step,_step,test_returned_episode_returns,_timestamp,qvals,loss,update_steps,grad_steps,returned_won_episode,test_returned_episode,test_returned_won_episode,returned_episode_returns,returned_episode_lengths,test_returned_episode_lengths,_runtime
0.02213541604578495,18432.0,11,5.092048922961112e-06,1746189196.3114405,0.0,0.0,12,0,0.0,1.0,0.0,0.1454826295375824,26.47395896911621,9.324177742004395,45.317815541
0.02083333395421505,30720.0,19,5.092048922961112e-06,1746189196.7565153,0.0,0.0,20,0,0.0,1.0,0.0,0.1307109296321869,26.71419334411621,9.324177742004395,45.762916105
0.01953125,33792.0,21,5.092048922961112e-06,1746189196.8703277,0.0,0.0,22,0,0.0,1.0,0.0,0.13853125274181366,27.13997459411621,9.324177742004395,45.876688977
0.02083333395421505,36864.0,23,5.092048922961112e-06,1746189196.9816213,0.0,0.0,24,0,0.0,1.0,0.0,0.13789582252502441,25.47786521911621,9.324177742004395,45.988001702
0.01953125,43008.0,27,5.092048922961112e-06,1746189197.204234,0.0,0.0,28,0,0.0,1.0,0.0,0.1431579887866974,28.37369728088379,9.324177742004395,46.210627232
0.02083333395421505,46080.0,29,5.092048922961112e-06,1746189197.3155186,0.0,0.0,30,0,0.0,1.0,0.0,0.14864236116409302,28.39388084411621,9.324177742004395,46.321918987
0.02083333395421505,59904.0,38,5.092048922961112e-06,1746189199.7373722,0.13344597816467285,0.006007570773363113,39,64,0.0,1.0,0.0,0.13678210973739624,27.43619728088379,9.324177742004395,48.743745792
0.01888020895421505,76800.0,49,5.092048922961112e-06,1746189202.9907887,0.6197000741958618,0.00588233070448041,50,152,0.0,1.0,0.0,0.15323524177074432,28.2890625,9.324177742004395,51.997170632
0.017578125,84480.0,54,5.092048922961112e-06,1746189204.4682982,0.7439941763877869,0.007901778444647789,55,192,0.0,1.0,0.0,0.16563715040683746,27.630859375,9.324177742004395,53.474686299
0.01888020895421505,118272.0,76,5.092048922961112e-06,1746189210.9777236,0.849929690361023,0.008689535781741142,77,368,0.0,1.0,0.0,0.17516925930976868,29.26888084411621,9.324177742004395,59.984117568
0.01822916604578495,121344.0,78,5.092048922961112e-06,1746189211.5693038,0.8367785215377808,0.008077863603830338,79,384,0.0,1.0,0.0,0.1719227433204651,28.57421875,9.324177742004395,60.575683549
0.01953125,133632.0,86,5.092048922961112e-06,1746189213.935713,0.8533520102500916,0.00912118423730135,87,448,0.0,1.0,0.0,0.17954427003860474,28.01888084411621,9.324177742004395,62.94215941
0.014973958022892475,168960.0,109,5.092048922961112e-06,1746189220.7386732,0.7865325808525085,0.011836854740977287,110,632,0.0,1.0,0.0,0.1789756864309311,28.47786521911621,9.324177742004395,69.745058766
0.01822916604578495,204288.0,132,5.092048922961112e-06,1746189227.548538,0.7864181995391846,0.03826117515563965,133,816,0.0,1.0,0.0,0.2002473920583725,28.595703125,9.324177742004395,76.554945863
0.015625,244224.0,158,5.092048922961112e-06,1746189235.2407446,0.7532238364219666,0.02278647944331169,159,1024,0.0,1.0,0.0,0.1705121546983719,29.46614646911621,9.324177742004395,84.247153101
0.01888020895421505,248832.0,161,5.092048922961112e-06,1746189236.1300447,0.7496652603149414,0.04632476717233658,162,1048,0.0,1.0,0.0,0.19383767247200012,29.24739646911621,9.324177742004395,85.136445412
