loss,_timestamp,returned_episode_returns,grad_steps,_step,test_returned_won_episode,test_returned_episode,qvals,test_returned_episode_lengths,returned_episode_lengths,returned_episode,returned_won_episode,_runtime,test_returned_episode_returns,update_steps,env_step
0.0,1746164309.4350402,0.12817493081092834,0,20,0.0,1.0,0.0,17.048051834106445,30.808595657348633,0.015625,0.0,56.86380202,0.005123684648424387,21,32256.0
0.0,1746164309.6165643,0.12159039825201035,0,23,0.0,1.0,0.0,17.048051834106445,29.843751907348633,0.01497395895421505,0.0,57.045319243,0.005123684648424387,24,36864.0
0.005475569516420364,1746164312.6597185,0.10499893128871918,64,38,0.0,1.0,-0.021974490955471992,17.048051834106445,29.654949188232422,0.01302083395421505,0.0,60.088550021,0.005123684648424387,39,59904.0
0.00830836221575737,1746164321.9509726,0.14101341366767883,288,66,0.0,1.0,0.6234201192855835,17.048051834106445,31.641929626464844,0.01302083395421505,0.0,69.37987057,0.005123684648424387,67,102912.0
0.008952152915298939,1746164326.5789964,0.16761599481105804,400,80,0.0,1.0,0.763470470905304,17.048051834106445,31.365886688232422,0.015625,0.0,74.008097717,0.005123684648424387,81,124416.0
0.012989583425223827,1746164327.5647051,0.18949821591377258,424,83,0.0,1.0,0.7835686802864075,17.048051834106445,30.881511688232422,0.015625,0.0,74.993704713,0.005123684648424387,84,129024.0
0.01121505070477724,1746164328.217251,0.14368681609630585,440,85,0.0,1.0,0.7964541912078857,17.048051834106445,31.332033157348633,0.01497395895421505,0.0,75.646068654,0.005123684648424387,86,132096.0
0.10160914808511734,1746164351.9951167,0.21645796298980713,1016,157,0.0,1.0,0.7201374173164368,17.048051834106445,30.906251907348633,0.014322916977107525,0.0,99.426597468,0.005123684648424387,158,242688.0
0.04810073971748352,1746164355.9754949,0.21268680691719055,1112,169,0.0,1.0,0.7540174126625061,17.048051834106445,30.619792938232422,0.014322916977107525,0.0,103.404342538,0.005123684648424387,170,261120.0
0.12001088261604309,1746164356.9581673,0.19525375962257385,1136,172,0.0,1.0,0.7280251383781433,17.048051834106445,31.371095657348633,0.01497395895421505,0.0,104.387075765,0.005123684648424387,173,265728.0
0.09511132538318634,1746164364.9417207,0.23327860236167908,1328,196,0.0,1.0,0.8759793043136597,17.048051834106445,31.507814407348633,0.014322916977107525,0.0,112.370673433,0.005123684648424387,197,302592.0
