returned_episode_lengths,returned_won_episode,update_steps,test_returned_episode_lengths,_step,test_returned_episode_returns,loss,returned_episode,returned_episode_returns,_runtime,grad_steps,test_returned_won_episode,test_returned_episode,qvals,env_step,_timestamp
23.645183563232422,0.0,43,17.51940155029297,42,0.07524365186691284,0.03583981841802597,0.02669270895421505,0.21346446871757507,70.38170569,96,0.0,1.0,0.1832495480775833,66048,1747624865.9799988
23.628908157348633,0.0,94,17.51940155029297,93,0.07524365186691284,0.13605350255966187,0.02669270895421505,0.28299328684806824,86.952614276,504,0.0,1.0,0.6112905740737915,144384,1747624882.550913
24.641277313232422,0.0,95,17.51940155029297,94,0.07524365186691284,0.13632166385650635,0.02539062686264515,0.2949434518814087,87.27525919,512,0.0,1.0,0.6040862798690796,145920,1747624882.8735502
26.147136688232422,0.0,117,17.51940155029297,116,0.07524365186691284,0.1508868932723999,0.02278645895421505,0.29421114921569824,94.422731962,688,0.0,1.0,0.5797505378723145,179712,1747624890.0209913
25.83333396911621,0.0,166,17.51940155029297,165,0.07524365186691284,0.16660769283771515,0.02278645895421505,0.3104407787322998,110.375152055,1080,0.0,1.0,0.6080264449119568,254976,1747624905.9733827
26.025392532348633,0.0,172,17.51940155029297,171,0.07524365186691284,0.17955799400806427,0.0221354179084301,0.2808898985385895,112.328729569,1128,0.0,1.0,0.6198908090591431,264192,1747624907.926993
26.49153709411621,0.0,173,17.51940155029297,172,0.07524365186691284,0.18268543481826782,0.02148437686264515,0.30666035413742065,112.654214959,1136,0.0,1.0,0.6125603318214417,265728,1747624908.2524378
26.099611282348633,0.0,205,17.51940155029297,204,0.07524365186691284,0.165011465549469,0.02343750186264515,0.30678310990333557,123.0758602,1392,0.0,1.0,0.6260807514190674,314880,1747624918.6740723
25.63411521911621,0.0,215,17.51940155029297,214,0.07524365186691284,0.15184639394283295,0.02343750186264515,0.28696754574775696,126.332592282,1472,0.0,1.0,0.6413359642028809,330240,1747624921.9308157
26.46809959411621,0.0,219,17.51940155029297,218,0.07524365186691284,0.13868966698646545,0.0240885429084301,0.330016553401947,127.628120094,1504,0.0,1.0,0.6400798559188843,336384,1747624923.2263885
25.252605438232422,0.0,237,17.51940155029297,236,0.07524365186691284,0.1394253373146057,0.02343750186264515,0.3336593806743622,133.502817781,1648,0.0,1.0,0.6432961225509644,364032,1747624929.1010706
24.14192771911621,0.0,290,17.51940155029297,289,0.07524365186691284,0.14499475061893463,0.02669270895421505,0.34581825137138367,150.83352038,2072,0.0,1.0,0.6547807455062866,445440,1747624946.431734
26.231121063232422,0.0,292,17.51940155029297,291,0.07524365186691284,0.1149502769112587,0.0240885429084301,0.32912302017211914,151.477966577,2088,0.0,1.0,0.6411256194114685,448512,1747624947.0761685
25.445314407348633,0.0,311,17.51940155029297,310,0.07524365186691284,0.13468492031097412,0.0260416679084301,0.3683561384677887,157.687068312,2240,0.0,1.0,0.6405802369117737,477696,1747624953.2850008
27.067058563232422,0.0,316,17.51940155029297,315,0.07524365186691284,0.16098552942276,0.02343750186264515,0.36874398589134216,159.350637426,2280,0.0,1.0,0.6363414525985718,485376,1747624954.94888
24.222658157348633,0.0,323,17.51940155029297,322,0.07524365186691284,0.10152870416641235,0.02669270895421505,0.3497813940048218,161.632544268,2336,0.0,1.0,0.632491409778595,496128,1747624957.2308164
25.461589813232422,0.0,330,39.0237922668457,329,0.6066392064094543,0.10696419328451157,0.02343750186264515,0.3794792890548706,163.983678576,2392,0.009665427729487419,1.0,0.6367225050926208,506880,1747624959.5819154
26.133464813232422,0.0,335,39.0237922668457,334,0.6066392064094543,0.1246470957994461,0.02343750186264515,0.3909790813922882,165.629945682,2432,0.009665427729487419,1.0,0.6458235383033752,514560,1747624961.228278
24.939455032348633,0.0,336,39.0237922668457,335,0.6066392064094543,0.09495747834444046,0.02343750186264515,0.3677179217338562,165.953598185,2440,0.009665427729487419,1.0,0.6464059352874756,516096,1747624961.5518444
26.754558563232422,0.0,355,39.0237922668457,354,0.6066392064094543,0.1328175961971283,0.0221354179084301,0.34224218130111694,172.171480973,2592,0.009665427729487419,1.0,0.6589911580085754,545280,1747624967.769718
25.442058563232422,0.0,359,39.0237922668457,358,0.6066392064094543,0.12226937711238861,0.0240885429084301,0.3945833146572113,173.474454614,2624,0.009665427729487419,1.0,0.6481984853744507,551424,1747624969.072664
23.992189407348633,0.0,368,39.0237922668457,367,0.6066392064094543,0.1416310966014862,0.02539062686264515,0.3733656108379364,176.441540788,2696,0.009665427729487419,1.0,0.6514859199523926,565248,1747624972.0395794
23.929689407348633,0.0,383,39.0237922668457,382,0.6066392064094543,0.18755248188972473,0.02343750186264515,0.353559285402298,181.350938562,2816,0.009665427729487419,1.0,0.6274664402008057,588288,1747624976.948984
25.13020896911621,0.0,389,39.0237922668457,388,0.6066392064094543,0.16423842310905457,0.02278645895421505,0.3351762890815735,183.321147694,2864,0.009665427729487419,1.0,0.6266443729400635,597504,1747624978.9193888
