_step,grad_steps,env_step,update_steps,returned_won_episode,returned_episode_lengths,returned_episode,loss,test_returned_episode_returns,_timestamp,test_returned_won_episode,returned_episode_returns,qvals,test_returned_episode_lengths,test_returned_episode,_runtime
25,0,39936.0,26,0.0,28.912109375,0.01888020895421505,0.0,0.17097532749176025,1746457866.4640613,0.0,0.14488454163074493,0.0,28.761600494384766,1.0,46.888576901
27,0,43008.0,28,0.0,28.193359375,0.02018229104578495,0.0,0.17097532749176025,1746457866.5744452,0.0,0.14299999177455902,0.0,28.761600494384766,1.0,46.998938864
42,96,66048.0,43,0.0,26.09244728088379,0.02083333395421505,0.008477447554469109,0.17097532749176025,1746457870.285609,0.0,0.14211542904376984,0.5100457668304443,28.761600494384766,1.0,50.710120351
69,312,107520.0,70,0.0,27.541015625,0.01822916604578495,0.007559829391539097,0.17097532749176025,1746457878.2517104,0.0,0.1679166555404663,0.9275819063186646,28.761600494384766,1.0,58.676206471
71,328,110592.0,72,0.0,27.62890625,0.01953125,0.016924988478422165,0.17097532749176025,1746457878.8395972,0.0,0.1742812544107437,0.99015212059021,28.761600494384766,1.0,59.2640935
108,624,167424.0,109,0.0,29.28645896911621,0.01822916604578495,0.011286040768027306,0.17097532749176025,1746457889.776316,0.0,0.17986717820167542,0.9037498831748962,28.761600494384766,1.0,70.200791485
115,680,178176.0,116,0.0,28.669921875,0.01953125,0.013938524760305882,0.17097532749176025,1746457891.8534596,0.0,0.2057439088821411,0.9339605569839478,28.761600494384766,1.0,72.278078605
134,832,207360.0,135,0.0,28.87890625,0.017578125,0.017825249582529068,0.17097532749176025,1746457897.4666831,0.0,0.18283505737781525,0.9157191514968872,28.761600494384766,1.0,77.891170637
136,848,210432.0,137,0.0,29.44856834411621,0.01822916604578495,0.017170418053865433,0.17097532749176025,1746457898.0683377,0.0,0.20605206489562988,0.914667010307312,28.761600494384766,1.0,78.492826217
148,944,228864.0,149,0.0,28.75716209411621,0.01822916604578495,0.019171878695487976,0.17097532749176025,1746457901.634677,0.0,0.19714409112930298,0.9129553437232971,28.761600494384766,1.0,82.05932837
152,976,235008.0,153,0.0,29.59895896911621,0.017578125,0.026344386860728264,0.17097532749176025,1746457902.8159537,0.0,0.19592534005641937,0.8899943232536316,28.761600494384766,1.0,83.240458588
161,1048,248832.0,162,0.0,28.71549415588379,0.01822916604578495,0.040247298777103424,0.17097532749176025,1746457905.472425,0.0,0.20332810282707214,0.9065898656845093,28.761600494384766,1.0,85.897011881
169,1112,261120.0,170,0.0,28.37109375,0.015625,0.019967887550592422,0.17097532749176025,1746457907.854133,0.0,0.1867968738079071,0.9019333124160767,28.761600494384766,1.0,88.27876973
192,1296,296448.0,193,0.0,29.13541603088379,0.01953125,0.04137977212667465,0.17097532749176025,1746457914.6974478,0.0,0.22111283242702484,0.8950971364974976,28.761600494384766,1.0,95.122010483
193,1304,297984.0,194,0.0,28.42447853088379,0.01888020895421505,0.04310692101716995,0.17097532749176025,1746457914.9920444,0.0,0.20503123104572296,0.8665038347244263,28.761600494384766,1.0,95.416592789
207,1416,319488.0,208,0.0,30.25455665588379,0.01692708395421505,0.032709185034036636,0.17097532749176025,1746457919.1537633,0.0,0.1895945966243744,0.843958854675293,28.761600494384766,1.0,99.578275179
235,1640,362496.0,236,0.0,29.7109375,0.015625,0.03686181455850601,0.17097532749176025,1746457927.51053,0.0,0.19910761713981628,0.7258104085922241,28.761600494384766,1.0,107.935068292
236,1648,364032.0,237,0.0,29.95572853088379,0.015625,0.04894951730966568,0.17097532749176025,1746457927.8052955,0.0,0.18083766102790833,0.7284285426139832,28.761600494384766,1.0,108.229941828
