qvals,_runtime,returned_episode_returns,returned_won_episode,loss,grad_steps,test_returned_episode_returns,test_returned_episode,test_returned_won_episode,returned_episode_lengths,test_returned_episode_lengths,returned_episode,update_steps,_timestamp,env_step,_step
0.0,58.816135273,0.24187172949314117,0.0,0.0,0,0.018414827063679695,1.0,0.0,26.515625,19.340364456176758,0.02408854104578495,26,1746199775.4518158,39936.0,25
0.0,58.943976678,0.24128253757953644,0.0,0.0,0,0.018414827063679695,1.0,0.0,25.779296875,19.340364456176758,0.02473958395421505,28,1746199775.5796661,43008.0,27
0.505378782749176,63.645150197,0.24510414898395538,0.0,0.011395910754799843,96,0.018414827063679695,1.0,0.0,25.20247459411621,19.340364456176758,0.02408854104578495,43,1746199780.2808187,66048.0,42
1.0405232906341553,73.836879356,0.29034504294395447,0.0,0.016364669427275658,312,0.018414827063679695,1.0,0.0,26.13216209411621,19.340364456176758,0.02213541604578495,70,1746199790.4723363,107520.0,69
1.0945708751678467,74.588197122,0.2936815917491913,0.0,0.08544330298900604,328,0.018414827063679695,1.0,0.0,25.474609375,19.340364456176758,0.02278645895421505,72,1746199791.2238042,110592.0,71
0.9564151167869568,88.531921385,0.3079264163970947,0.0,0.051826804876327515,624,0.018414827063679695,1.0,0.0,25.52018165588379,19.340364456176758,0.0234375,109,1746199805.1675622,167424.0,108
0.8908984661102295,91.180279833,0.31150713562965393,0.0,0.10558885335922241,680,0.018414827063679695,1.0,0.0,25.14518165588379,19.340364456176758,0.025390625,116,1746199807.8158937,178176.0,115
0.8576861619949341,98.336604279,0.3194335699081421,0.0,0.13303479552268982,832,0.018414827063679695,1.0,0.0,24.63411521911621,19.340364456176758,0.025390625,135,1746199814.9720573,207360.0,134
0.8512440919876099,99.090282511,0.3064192831516266,0.0,0.11390458047389984,848,0.018414827063679695,1.0,0.0,25.01822853088379,19.340364456176758,0.02473958395421505,137,1746199815.725911,210432.0,136
0.9328539371490479,103.647768891,0.28766271471977234,0.0,0.13167008757591248,944,0.018414827063679695,1.0,0.0,26.04622459411621,19.340364456176758,0.02213541604578495,149,1746199820.283339,228864.0,148
0.9434415698051453,105.156136662,0.30702468752861023,0.0,0.1293277144432068,976,0.018414827063679695,1.0,0.0,25.25390625,19.340364456176758,0.02473958395421505,153,1746199821.7917304,235008.0,152
0.9588454961776733,108.561168277,0.32155922055244446,0.0,0.09810283780097961,1048,0.018414827063679695,1.0,0.0,24.20247459411621,19.340364456176758,0.02669270895421505,162,1746199825.1967602,248832.0,161
0.8792086839675903,111.566058794,0.2929101586341858,0.0,0.10532145947217941,1112,0.018414827063679695,1.0,0.0,24.291015625,19.340364456176758,0.02604166604578495,170,1746199828.201645,261120.0,169
0.855655312538147,120.257227454,0.3478482961654663,0.0,0.09342784434556961,1296,0.018414827063679695,1.0,0.0,25.189453125,19.340364456176758,0.02473958395421505,193,1746199836.892843,296448.0,192
0.8452620506286621,120.637444433,0.28198888897895813,0.0,0.09092672169208527,1304,0.018414827063679695,1.0,0.0,24.86197853088379,19.340364456176758,0.0234375,194,1746199837.2730508,297984.0,193
0.8256343603134155,125.919344173,0.3447135090827942,0.0,0.08264195919036865,1416,0.018414827063679695,1.0,0.0,24.72786521911621,19.340364456176758,0.02604166604578495,208,1746199842.554959,319488.0,207
0.7546737194061279,136.515620778,0.3598567247390747,0.0,0.06933961808681488,1640,0.018414827063679695,1.0,0.0,24.89518165588379,19.340364456176758,0.02669270895421505,236,1746199853.1512425,362496.0,235
0.7443816661834717,136.89252176,0.33316728472709656,0.0,0.0712420791387558,1648,0.018414827063679695,1.0,0.0,26.50065040588379,19.340364456176758,0.02408854104578495,237,1746199853.5281062,364032.0,236
