grad_steps,returned_episode_returns,returned_episode_lengths,returned_episode,test_returned_episode,loss,update_steps,returned_won_episode,test_returned_won_episode,qvals,test_returned_episode_returns,env_step,_step,_runtime,_timestamp,test_returned_episode_lengths
1976,0.2687481641769409,27.062501907348633,0.02278645895421505,1.0,1.1924738883972168,278,0.0,0.0,0.22371962666511536,0.2238297015428543,427008.0,277,186.759876999,1746459203.5671346,45.47686767578125
2048,0.3093271851539612,26.005861282348633,0.02278645895421505,1.0,1.3314487934112549,287,0.0,0.0,0.21015805006027222,0.2238297015428543,440832.0,286,190.925321504,1746459207.7325945,45.47686767578125
2128,0.26226601004600525,26.72786521911621,0.02343750186264515,1.0,1.179168701171875,297,0.0,0.0,0.2166457176208496,0.2238297015428543,456192.0,296,195.552331881,1746459212.3595908,45.47686767578125
2560,0.3030432462692261,26.178386688232422,0.02148437686264515,1.0,1.1327636241912842,351,0.0,0.006196746602654457,0.19642794132232666,0.46272096037864685,539136.0,350,220.674839847,1746459237.4821148,41.45158767700195
2720,0.30014243721961975,27.35286521911621,0.02083333395421505,1.0,1.0671831369400024,371,0.0,0.006196746602654457,0.18685781955718994,0.46272096037864685,569856.0,370,229.924974469,1746459246.7322292,41.45158767700195
2792,0.3749435544013977,25.289714813232422,0.0221354179084301,1.0,0.9520961046218872,380,0.0572916679084301,0.006196746602654457,0.184663325548172,0.46272096037864685,583680.0,379,234.098311535,1746459250.9056017,41.45158767700195
2856,0.29212501645088196,27.671876907348633,0.02148437686264515,1.0,0.9837306141853333,388,0.0,0.006196746602654457,0.17049315571784973,0.46272096037864685,595968.0,387,237.800016683,1746459254.6073163,41.45158767700195
3040,0.2624081075191498,26.201824188232422,0.0240885429084301,1.0,0.5758581161499023,411,0.0,0.006196746602654457,0.17454731464385986,0.46272096037864685,631296.0,410,248.56501132,1746459265.3722932,41.45158767700195
3048,0.2506557106971741,27.14192771911621,0.01692708395421505,1.0,0.5956881046295166,412,0.0,0.006196746602654457,0.18479445576667786,0.46272096037864685,632832.0,411,249.027373756,1746459265.8346448,41.45158767700195
3168,0.2912338376045227,28.50130271911621,0.02148437686264515,1.0,0.6998550891876221,427,0.0,0.006196746602654457,0.16137632727622986,0.46272096037864685,655872.0,426,255.971687797,1746459272.7789705,41.45158767700195
3208,0.3167807161808014,26.89388084411621,0.0201822929084301,1.0,0.6304677724838257,432,0.0,0.006196746602654457,0.18445710837841034,0.46272096037864685,663552.0,431,258.283974403,1746459275.0912602,41.45158767700195
3216,0.31774163246154785,27.916017532348633,0.02083333395421505,1.0,0.6685458421707153,433,0.0,0.006196746602654457,0.18780022859573364,0.46272096037864685,665088.0,432,258.746240347,1746459275.5535145,41.45158767700195
3368,0.27088260650634766,26.513673782348633,0.0201822929084301,1.0,0.7127518653869629,452,0.0,0.006196746602654457,0.17222005128860474,0.46272096037864685,694272.0,451,267.534754825,1746459284.3420117,41.45158767700195
3496,0.27452725172042847,27.095705032348633,0.0201822929084301,1.0,0.8776745200157166,468,0.0,0.006196746602654457,0.19229468703269958,0.46272096037864685,718848.0,467,274.945268049,1746459291.7525208,41.45158767700195
3504,0.2892080843448639,26.35091209411621,0.01888020895421505,1.0,0.8398575782775879,469,0.0,0.006196746602654457,0.17824389040470123,0.46272096037864685,720384.0,468,275.407664449,1746459292.2149305,41.45158767700195
3584,0.3422660231590271,25.771486282348633,0.02083333395421505,1.0,0.8502316474914551,479,0.0442708358168602,0.006196746602654457,0.18163913488388062,0.46272096037864685,735744.0,478,280.0329035,1746459296.8401875,41.45158767700195
3624,0.25185924768447876,25.285808563232422,0.0201822929084301,1.0,0.5860737562179565,484,0.0,0.006196746602654457,0.19648203253746033,0.46272096037864685,743424.0,483,282.345437273,1746459299.1527052,41.45158767700195
3680,0.3114936351776123,26.807292938232422,0.01953125186264515,1.0,0.5181024670600891,491,0.0,0.006196746602654457,0.18144530057907104,0.46272096037864685,754176.0,490,285.582572836,1746459302.3898184,41.45158767700195
3816,0.2860819399356842,27.574220657348633,0.01953125186264515,1.0,0.5113314390182495,508,0.004557291977107525,0.006196746602654457,0.17754888534545898,0.46272096037864685,780288.0,507,293.451260515,1746459310.258532,41.45158767700195
3952,0.35319235920906067,26.76106834411621,0.02278645895421505,1.0,0.7138180136680603,525,0.01302083395421505,0.006196746602654457,0.18935319781303406,0.46272096037864685,806400.0,524,301.322949464,1746459318.1301906,41.45158767700195
4080,0.24270793795585632,26.066408157348633,0.017578125,1.0,0.6663950681686401,541,0.0,0.006196746602654457,0.1924898624420166,0.46272096037864685,830976.0,540,308.723617309,1746459325.530883,41.45158767700195
4160,0.3388896882534027,25.89388084411621,0.0201822929084301,1.0,1.1522746086120605,551,0.0162760429084301,0.006196746602654457,0.18769758939743042,0.46272096037864685,846336.0,550,313.353522014,1746459330.1607394,41.45158767700195
4272,0.34064149856567383,26.69270896911621,0.02148437686264515,1.0,0.795682966709137,565,0.0,0.006196746602654457,0.17086748778820038,0.46272096037864685,867840.0,564,319.829756107,1746459336.6370196,41.45158767700195
4456,0.3370422422885895,27.69856834411621,0.02148437686264515,1.0,0.4929816722869873,588,0.0,0.006196746602654457,0.10273177921772003,0.46272096037864685,903168.0,587,330.464137,1746459347.2713304,41.45158767700195
4544,0.3602756857872009,25.79427146911621,0.01692708395421505,1.0,0.3801543414592743,599,0.0319010429084301,0.006196746602654457,0.10885615646839142,0.46272096037864685,920064.0,598,335.551993267,1746459352.359268,41.45158767700195
4616,0.33968281745910645,27.095705032348633,0.02083333395421505,1.0,0.38487786054611206,608,0.0,0.006196746602654457,0.10706605762243271,0.46272096037864685,933888.0,607,339.713733866,1746459356.5210147,41.45158767700195
4720,0.3570457696914673,27.78450584411621,0.0201822929084301,1.0,0.38542038202285767,621,0.0,0.006196746602654457,0.10952802002429962,0.46272096037864685,953856.0,620,345.729959711,1746459362.5372376,41.45158767700195
4816,0.3669417202472687,28.707683563232422,0.01302083395421505,1.0,0.2659062147140503,633,0.0,0.006196746602654457,0.09134974330663681,0.46272096037864685,972288.0,632,351.279966764,1746459368.0872455,41.45158767700195
4824,0.3006904125213623,26.957683563232422,0.017578125,1.0,0.27186620235443115,634,0.0,0.006196746602654457,0.09675027430057526,0.46272096037864685,973824.0,633,351.742456491,1746459368.5497026,41.45158767700195
4832,0.34773510694503784,26.87825584411621,0.02148437686264515,1.0,0.35184332728385925,635,0.0,0.006196746602654457,0.0931825041770935,0.46272096037864685,975360.0,634,352.204961366,1746459369.0122318,41.45158767700195
5008,0.3824261724948883,28.511720657348633,0.0182291679084301,1.0,0.267606258392334,657,0.02734375186264515,0.013146362267434597,0.07902514189481735,0.5238916873931885,1009152.0,656,362.500278909,1746459379.30755,44.32515335083008
5136,0.2961318790912628,27.608074188232422,0.01692708395421505,1.0,0.25742626190185547,673,0.0,0.013146362267434597,0.06789705157279968,0.5238916873931885,1033728.0,672,369.902238865,1746459386.7095404,44.32515335083008
5224,0.2814289331436157,27.216798782348633,0.0201822929084301,1.0,0.3318397104740143,684,0.0,0.013146362267434597,0.07520681619644165,0.5238916873931885,1050624.0,683,374.988879146,1746459391.7961507,44.32515335083008
5232,0.3340469002723694,27.02278709411621,0.01888020895421505,1.0,0.3231028914451599,685,0.0,0.013146362267434597,0.07613502442836761,0.5238916873931885,1052160.0,684,375.451290715,1746459392.258583,44.32515335083008
5240,0.2937168478965759,25.97005271911621,0.0162760429084301,1.0,0.330561101436615,686,0.0,0.013146362267434597,0.09787997603416443,0.5238916873931885,1053696.0,685,375.914371247,1746459392.7216523,44.32515335083008
5512,0.4003978967666626,27.92317771911621,0.01953125186264515,1.0,0.267135351896286,720,0.033203125,0.013146362267434597,0.1325327306985855,0.5238916873931885,1105920.0,719,391.65634037,1746459408.463626,44.32515335083008
5536,0.46323734521865845,29.394533157348633,0.0162760429084301,1.0,0.25855550169944763,723,0.0904947966337204,0.013146362267434597,0.1375882923603058,0.5238916873931885,1110528.0,722,393.044049793,1746459409.8513246,44.32515335083008
5544,0.4314475357532501,29.025392532348633,0.017578125,1.0,0.18212005496025085,724,0.0358072929084301,0.013146362267434597,0.15045970678329468,0.5238916873931885,1112064.0,723,393.506675766,1746459410.3139532,44.32515335083008
5600,0.33099281787872314,29.42513084411621,0.017578125,1.0,0.17293128371238708,731,0.0,0.013146362267434597,0.16961026191711426,0.5238916873931885,1122816.0,730,396.743561637,1746459413.5508041,44.32515335083008
5688,0.3825628459453583,29.744792938232422,0.0182291679084301,1.0,0.17358052730560303,742,0.0182291679084301,0.013146362267434597,0.16829617321491241,0.5238916873931885,1139712.0,741,401.833374655,1746459418.6406522,44.32515335083008
5904,0.4853918254375458,27.076173782348633,0.01888020895421505,1.0,0.1591416597366333,769,0.0611979216337204,0.013146362267434597,0.13940364122390747,0.5238916873931885,1181184.0,768,414.327322397,1746459431.13458,44.32515335083008
6096,0.481347918510437,27.912761688232422,0.017578125,1.0,0.13701173663139343,793,0.0755208358168602,0.013146362267434597,0.14223718643188477,0.5238916873931885,1218048.0,792,425.427652276,1746459442.2349389,44.32515335083008
6128,0.43326443433761597,27.51497459411621,0.0162760429084301,1.0,0.13585755228996277,797,0.0572916679084301,0.013146362267434597,0.11270158737897873,0.5238916873931885,1224192.0,796,427.276892104,1746459444.0841858,44.32515335083008
6424,0.47651436924934387,29.059246063232422,0.01888020895421505,1.0,0.13785359263420105,834,0.0475260429084301,0.013146362267434597,0.05053597316145897,0.5238916873931885,1281024.0,833,444.385595591,1746459461.1928568,44.32515335083008
6448,0.47850778698921204,28.31380271911621,0.017578125,1.0,0.1861562728881836,837,0.0690104216337204,0.013146362267434597,0.05026867985725403,0.5238916873931885,1285632.0,836,445.818729315,1746459462.625986,44.32515335083008
6528,0.48557212948799133,26.567058563232422,0.015625,1.0,0.19983568787574768,847,0.0742187574505806,0.013146362267434597,0.04877341166138649,0.5238916873931885,1300992.0,846,450.448565997,1746459467.2558682,44.32515335083008
6592,0.3643606901168823,28.99739646911621,0.01692708395421505,1.0,0.24536558985710144,855,0.0,0.013146362267434597,0.08111108839511871,0.5238916873931885,1313280.0,854,454.149262906,1746459470.956517,44.32515335083008
6600,0.3649154305458069,28.14974021911621,0.015625,1.0,0.19192618131637573,856,0.0032552084885537624,0.013146362267434597,0.09726300835609436,0.5238916873931885,1314816.0,855,454.611545936,1746459471.4188082,44.32515335083008
6608,0.5004956126213074,28.024089813232422,0.0182291679084301,1.0,0.24553394317626953,857,0.0703125,0.013146362267434597,0.08808434754610062,0.5238916873931885,1316352.0,856,455.073700993,1746459471.8806546,44.32515335083008
6616,0.48888424038887024,26.36458396911621,0.02148437686264515,1.0,0.22836047410964966,858,0.0839843824505806,0.013146362267434597,0.10182428359985352,0.5238916873931885,1317888.0,857,455.539044022,1746459472.3463142,44.32515335083008
6704,0.3703870475292206,27.591798782348633,0.01692708395421505,1.0,0.18256142735481262,869,0.0260416679084301,0.013146362267434597,0.10975479334592819,0.5238916873931885,1334784.0,868,460.63059475,1746459477.4378917,44.32515335083008
6744,0.43315011262893677,29.38411521911621,0.01692708395421505,1.0,0.16680306196212769,874,0.0462239608168602,0.013146362267434597,0.11549496650695801,0.5238916873931885,1342464.0,873,462.943902203,1746459479.7511826,44.32515335083008
6760,0.40762314200401306,28.972658157348633,0.01692708395421505,1.0,0.1713624894618988,876,0.02669270895421505,0.013146362267434597,0.10440900921821594,0.5238916873931885,1345536.0,875,463.86875392,1746459480.6759875,44.32515335083008
6792,0.48465871810913086,26.938152313232422,0.01497395895421505,1.0,0.279524028301239,880,0.1041666716337204,0.013146362267434597,0.10913226008415222,0.5238916873931885,1351680.0,879,465.718942068,1746459482.5262268,44.32515335083008
7096,0.33718743920326233,28.03645896911621,0.01302083395421505,1.0,0.22574496269226074,918,0.0,0.013146362267434597,0.009111860767006874,0.5238916873931885,1410048.0,917,483.28773399,1746459500.0950308,44.32515335083008
7168,0.40421348810195923,29.835939407348633,0.015625,1.0,0.236525297164917,927,0.0260416679084301,0.013146362267434597,0.02674783207476139,0.5238916873931885,1423872.0,926,487.455187067,1746459504.262472,44.32515335083008
7200,0.4616906940937042,27.53059959411621,0.01953125186264515,1.0,0.27492383122444153,931,0.0787760466337204,0.013146362267434597,0.02830902859568596,0.5238916873931885,1430016.0,930,489.303274683,1746459506.1105804,44.32515335083008
7224,0.41310980916023254,29.850261688232422,0.014322916977107525,1.0,0.22579020261764526,934,0.015625,0.013146362267434597,0.036626480519771576,0.5238916873931885,1434624.0,933,490.69071819,1746459507.4979954,44.32515335083008
7304,0.3236331641674042,27.48763084411621,0.01497395895421505,1.0,0.2959724962711334,944,0.0,0.013146362267434597,-0.013593400828540325,0.5238916873931885,1449984.0,943,495.314675004,1746459512.1219518,44.32515335083008
7456,0.34826788306236267,25.002605438232422,0.013671875931322575,1.0,0.3759603500366211,963,0.0494791679084301,0.013146362267434597,-0.006619015242904425,0.5238916873931885,1479168.0,962,504.10109,1746459520.90839,44.32515335083008
7544,0.47745439410209656,29.11849021911621,0.01302083395421505,1.0,0.3681589663028717,974,0.0761718824505806,0.013146362267434597,0.02513429895043373,0.5238916873931885,1496064.0,973,509.190053764,1746459525.9973345,44.32515335083008
7848,0.27542591094970703,26.300783157348633,0.011718750931322575,1.0,0.39073485136032104,1012,0.011718750931322575,0.03868698701262474,-0.014300957322120667,0.5308539271354675,1554432.0,1011,526.888756929,1746459543.69588,55.02813720703125
7896,0.421828031539917,27.953126907348633,0.01497395895421505,1.0,0.5511444807052612,1018,0.0319010429084301,0.03868698701262474,-0.05571523308753967,0.5308539271354675,1563648.0,1017,529.665201274,1746459546.472515,55.02813720703125
7960,0.3572097420692444,28.394533157348633,0.013671875931322575,1.0,0.406218945980072,1026,0.0,0.03868698701262474,-0.03416021168231964,0.5308539271354675,1575936.0,1025,533.366543299,1746459550.1738424,55.02813720703125
8056,0.45846131443977356,27.955080032348633,0.017578125,1.0,0.417186975479126,1038,0.0566406287252903,0.03868698701262474,-0.0787578821182251,0.5308539271354675,1594368.0,1037,538.917872053,1746459555.7251587,55.02813720703125
8384,0.42669808864593506,27.740886688232422,0.01497395895421505,1.0,0.4833190441131592,1079,0.0390625037252903,0.03868698701262474,-0.07247839868068695,0.5308539271354675,1657344.0,1078,557.884334343,1746459574.6916208,55.02813720703125
8448,0.5076468586921692,27.832033157348633,0.0162760429084301,1.0,0.5199934244155884,1087,0.0983072966337204,0.03868698701262474,-0.08384208381175995,0.5308539271354675,1669632.0,1086,561.584544089,1746459578.391832,55.02813720703125
8568,0.57825767993927,28.373699188232422,0.017578125,1.0,1.0835226774215698,1102,0.0944010466337204,0.03868698701262474,-0.08545970171689987,0.5308539271354675,1692672.0,1101,568.519412243,1746459585.326695,55.02813720703125
8744,0.41096600890159607,29.30013084411621,0.01497395895421505,1.0,0.7561935782432556,1124,0.0501302108168602,0.03868698701262474,-0.10133537650108337,0.5308539271354675,1726464.0,1123,578.69164788,1746459595.4989436,55.02813720703125
8880,0.7628893852233887,28.776042938232422,0.0162760429084301,1.0,0.6223018169403076,1141,0.2532552182674408,0.03868698701262474,-0.12085864692926407,0.5308539271354675,1752576.0,1140,586.554419047,1746459603.3616982,55.02813720703125
8960,0.42719411849975586,29.33333396911621,0.01302083395421505,1.0,0.6806289553642273,1151,0.0397135429084301,0.03868698701262474,-0.11420897394418716,0.5308539271354675,1767936.0,1150,591.182603466,1746459607.9898834,55.02813720703125
8968,0.5588971972465515,28.31770896911621,0.013671875931322575,1.0,0.6553767919540405,1152,0.1360677182674408,0.03868698701262474,-0.10858447849750519,0.5308539271354675,1769472.0,1151,591.645076184,1746459608.452371,55.02813720703125
8976,0.5017992258071899,28.248699188232422,0.01692708395421505,1.0,0.6196965575218201,1153,0.0657552108168602,0.03868698701262474,-0.09947706758975983,0.5308539271354675,1771008.0,1152,592.107421401,1746459608.9147174,55.02813720703125
9040,0.3160151243209839,26.511720657348633,0.012369791977107525,1.0,0.7738683223724365,1161,0.02539062686264515,0.03868698701262474,-0.12632524967193604,0.5308539271354675,1783296.0,1160,595.805757624,1746459612.6130311,55.02813720703125
9128,0.5100500583648682,28.77864646911621,0.0182291679084301,1.0,0.5238432884216309,1172,0.0872395858168602,0.03868698701262474,-0.16027003526687622,0.5308539271354675,1800192.0,1171,600.900397923,1746459617.7076244,55.02813720703125
9424,0.5474717617034912,28.187501907348633,0.013671875931322575,1.0,0.6889549493789673,1209,0.1282552182674408,0.03868698701262474,-0.1620512157678604,0.5308539271354675,1857024.0,1208,618.007515374,1746459634.8148293,55.02813720703125
9440,0.41535523533821106,25.81575584411621,0.013671875931322575,1.0,0.9048149585723877,1211,0.0462239608168602,0.03868698701262474,-0.13919781148433685,0.5308539271354675,1860096.0,1210,618.932298283,1746459635.7395918,55.02813720703125
9592,0.5560030937194824,29.250001907348633,0.013671875931322575,1.0,0.5769758224487305,1230,0.130859375,0.03868698701262474,-0.14738968014717102,0.5308539271354675,1889280.0,1229,627.727341889,1746459644.534635,55.02813720703125
9608,0.4951465129852295,27.03841209411621,0.0162760429084301,1.0,0.4377821385860443,1232,0.0937500074505806,0.03868698701262474,-0.15754716098308563,0.5308539271354675,1892352.0,1231,628.651640714,1746459645.4589453,55.02813720703125
9656,0.7128422260284424,28.502605438232422,0.017578125,1.0,0.5216802954673767,1238,0.2246093899011612,0.03868698701262474,-0.1392449140548706,0.5308539271354675,1901568.0,1237,631.427373644,1746459648.234632,55.02813720703125
10032,0.5621363520622253,29.72591209411621,0.01692708395421505,1.0,0.7815320491790771,1285,0.0865885466337204,0.03868698701262474,-0.1682172417640686,0.5308539271354675,1973760.0,1284,653.212712936,1746459670.020007,55.02813720703125
10168,0.6627510190010071,28.09114646911621,0.01888020895421505,1.0,0.5929738879203796,1302,0.2005208432674408,0.18801410496234894,-0.18060539662837982,0.8879062533378601,1999872.0,1301,661.195013124,1746459678.0022967,55.379554748535156
10360,0.5201573371887207,27.722658157348633,0.013671875931322575,1.0,0.6168738603591919,1326,0.1223958432674408,0.18801410496234894,-0.2019185721874237,0.8879062533378601,2036736.0,1325,672.297365063,1746459689.1046705,55.379554748535156
10608,0.3992486000061035,25.95052146911621,0.012369791977107525,1.0,0.3453221321105957,1357,0.0579427108168602,0.18801410496234894,-0.22047218680381775,0.8879062533378601,2084352.0,1356,686.635115291,1746459703.4424276,55.379554748535156
10920,0.5675179958343506,28.601564407348633,0.013671875931322575,1.0,0.5179314613342285,1396,0.1660156399011612,0.18801410496234894,-0.1530800610780716,0.8879062533378601,2144256.0,1395,704.670721979,1746459721.4780076,55.379554748535156
11336,0.5767644643783569,29.252605438232422,0.014322916977107525,1.0,0.5677623748779297,1448,0.1295572966337204,0.18801410496234894,-0.17696665227413177,0.8879062533378601,2224128.0,1447,728.723252185,1746459745.5305707,55.379554748535156
11360,0.5779458284378052,29.779949188232422,0.01302083395421505,1.0,0.5601481199264526,1451,0.1471354216337204,0.18801410496234894,-0.18402405083179474,0.8879062533378601,2228736.0,1450,730.109349001,1746459746.9166222,55.379554748535156
11400,0.6984512805938721,27.957033157348633,0.01497395895421505,1.0,0.5731807351112366,1456,0.2037760466337204,0.18801410496234894,-0.17354629933834076,0.8879062533378601,2236416.0,1455,732.425272028,1746459749.23255,55.379554748535156
11408,0.6886335015296936,29.70833396911621,0.0162760429084301,1.0,0.566848635673523,1457,0.2057291716337204,0.18801410496234894,-0.17694157361984253,0.8879062533378601,2237952.0,1456,732.887457787,1746459749.6947508,55.379554748535156
11536,0.75831139087677,29.125652313232422,0.0162760429084301,1.0,0.5207098722457886,1473,0.2454427182674408,0.18801410496234894,-0.18053454160690308,0.8879062533378601,2262528.0,1472,740.288604468,1746459757.0958593,55.379554748535156
11560,0.7252041697502136,29.94661521911621,0.017578125,1.0,0.6122302412986755,1476,0.2317708432674408,0.18801410496234894,-0.1808943897485733,0.8879062533378601,2267136.0,1475,741.676359978,1746459758.4836392,55.379554748535156
11688,0.7101083397865295,27.861980438232422,0.015625,1.0,0.4900364577770233,1492,0.2467448115348816,0.18801410496234894,-0.18239526450634003,0.8879062533378601,2291712.0,1491,749.073862286,1746459765.881141,55.379554748535156
12048,0.7272931337356567,29.069011688232422,0.017578125,1.0,0.42281925678253174,1537,0.2135416716337204,0.18801410496234894,-0.25236377120018005,0.8879062533378601,2360832.0,1536,769.900513476,1746459786.7075677,55.379554748535156
12320,0.8290656208992004,28.27083396911621,0.015625,1.0,0.4526626765727997,1571,0.3242187798023224,0.18801410496234894,-0.2492367923259735,0.8879062533378601,2413056.0,1570,785.656541167,1746459802.4636652,55.379554748535156
12576,0.8187065720558167,27.804689407348633,0.015625,1.0,0.44377171993255615,1603,0.3111979365348816,0.18801410496234894,-0.31149452924728394,0.8879062533378601,2462208.0,1602,800.483302258,1746459817.2905056,55.379554748535156
12704,0.6277549266815186,30.064455032348633,0.014322916977107525,1.0,0.48857438564300537,1619,0.2135416716337204,0.18801410496234894,-0.26750874519348145,0.8879062533378601,2486784.0,1618,807.896157006,1746459824.703227,55.379554748535156
12720,0.6312867999076843,29.166017532348633,0.015625,1.0,0.560484766960144,1621,0.1295572966337204,0.18801410496234894,-0.22579868137836456,0.8879062533378601,2489856.0,1620,808.823576836,1746459825.6306782,55.379554748535156
