rng677216225/returned_episode_lengths,_runtime,test_returned_episode,rng677216225/env_step,rng677216225/update_steps,rng677216225/loss,returned_episode_lengths,rng677216225/test_returned_won_episode,rng677216225/test_returned_episode_lengths,rng677216225/test_returned_episode,loss,rng677216225/grad_steps,rng677216225/returned_episode_returns,update_steps,test_returned_won_episode,qvals,rng677216225/returned_episode,rng677216225/test_returned_episode_returns,returned_episode_returns,env_step,returned_episode,returned_won_episode,test_returned_episode_returns,_timestamp,rng677216225/returned_won_episode,rng677216225/qvals,test_returned_episode_lengths,_step,grad_steps
30.2109375,57.879655527,1.0,4608.0,3,0.0,30.2109375,0.0,16.22243309020996,1.0,0.0,0,0.1045379787683487,3,0.0,0.0,0.0162760429084301,0.008502827025949955,0.1045379787683487,4608.0,0.0162760429084301,0.0,0.008502827025949955,1746184157.0659401,0.0,0.0,16.22243309020996,2,0
30.119140625,57.946645632,1.0,6144.0,4,0.0,30.119140625,0.0,16.22243309020996,1.0,0.0,0,0.103073850274086,4,0.0,0.0,0.01497395895421505,0.008502827025949955,0.103073850274086,6144.0,0.01497395895421505,0.0,0.008502827025949955,1746184157.1329682,0.0,0.0,16.22243309020996,3,0
29.66536521911621,59.355409469,1.0,38400.0,25,0.0,29.66536521911621,0.0,16.22243309020996,1.0,0.0,0,0.10806616395711899,25,0.0,0.0,0.0162760429084301,0.008502827025949955,0.10806616395711899,38400.0,0.0162760429084301,0.0,0.008502827025949955,1746184158.5415595,0.0,0.0,16.22243309020996,24,0
28.594402313232422,60.146923133,1.0,49152.0,32,0.004443231970071793,28.594402313232422,0.0,16.22243309020996,1.0,0.004443231970071793,8,0.09311942756175995,32,0.0,-0.030568670481443405,0.017578125,0.008502827025949955,0.09311942756175995,49152.0,0.017578125,0.0,0.008502827025949955,1746184159.3332446,0.0,-0.030568670481443405,16.22243309020996,31,8
31.421875,66.00839859,1.0,72192.0,47,0.002531537087634206,31.421875,0.0,16.22243309020996,1.0,0.002531537087634206,128,0.12055756896734238,47,0.0,0.33170372247695923,0.015625,0.008502827025949955,0.12055756896734238,72192.0,0.015625,0.0,0.008502827025949955,1746184165.194745,0.0,0.33170372247695923,16.22243309020996,46,128
29.66536521911621,74.628845565,1.0,105984.0,69,0.004358330275863409,29.66536521911621,0.0,16.22243309020996,1.0,0.004358330275863409,304,0.12477479875087738,69,0.0,0.6167433261871338,0.01302083395421505,0.008502827025949955,0.12477479875087738,105984.0,0.01302083395421505,0.0,0.008502827025949955,1746184173.8151505,0.0,0.6167433261871338,16.22243309020996,68,304
31.2890625,85.214622595,1.0,147456.0,96,0.009842866100370884,31.2890625,0.0,16.22243309020996,1.0,0.009842866100370884,520,0.14660419523715973,96,0.0,0.779067873954773,0.01497395895421505,0.008502827025949955,0.14660419523715973,147456.0,0.01497395895421505,0.0,0.008502827025949955,1746184184.400918,0.0,0.779067873954773,16.22243309020996,95,520
30.90625,93.454288054,1.0,179712.0,117,0.01446596346795559,30.90625,0.0,16.22243309020996,1.0,0.01446596346795559,688,0.1554938405752182,117,0.0,0.6889457702636719,0.015625,0.008502827025949955,0.1554938405752182,179712.0,0.015625,0.0,0.008502827025949955,1746184192.640616,0.0,0.6889457702636719,16.22243309020996,116,688
31.48046875,102.502601958,1.0,215040.0,140,0.01827138289809227,31.48046875,0.0,16.22243309020996,1.0,0.01827138289809227,872,0.16759799420833588,140,0.0,0.8030019402503967,0.01497395895421505,0.008502827025949955,0.16759799420833588,215040.0,0.01497395895421505,0.0,0.008502827025949955,1746184201.6889234,0.0,0.8030019402503967,16.22243309020996,139,872
31.428386688232422,104.472968514,1.0,222720.0,145,0.027329498901963234,31.428386688232422,0.0,16.22243309020996,1.0,0.027329498901963234,912,0.16663269698619843,145,0.0,0.7990269660949707,0.01497395895421505,0.008502827025949955,0.16663269698619843,222720.0,0.01497395895421505,0.0,0.008502827025949955,1746184203.6592371,0.0,0.7990269660949707,16.22243309020996,144,912
