returned_episode_lengths,env_step,qvals,update_steps,_step,returned_episode,returned_episode_returns,test_returned_episode,grad_steps,returned_won_episode,loss,test_returned_episode_returns,test_returned_episode_lengths,test_returned_won_episode,_runtime,_timestamp
29.625,66048.0,0.298949271440506,43,42,0.014322916977107525,0.11126767098903656,1.0,96,0.0,0.004233641549944878,0.02511768415570259,24.11228370666504,0.0,55.026949788,1746183504.100722
30.86067771911621,144384.0,0.7034009695053101,94,93,0.013671875,0.14541547000408173,1.0,504,0.0,0.015450047329068184,0.02511768415570259,24.11228370666504,0.0,75.216254017,1746183524.290035
31.315105438232422,145920.0,0.716495156288147,95,94,0.01497395895421505,0.145074725151062,1.0,512,0.0,0.012875890359282494,0.02511768415570259,24.11228370666504,0.0,75.611988436,1746183524.6857796
31.43489646911621,179712.0,0.6815565824508667,117,116,0.015625,0.15423651039600372,1.0,688,0.0,0.014547094702720642,0.02511768415570259,24.11228370666504,0.0,84.326310554,1746183533.4000819
31.48046875,254976.0,0.6657930612564087,166,165,0.01497395895421505,0.18171393871307373,1.0,1080,0.0,0.030979983508586884,0.02511768415570259,24.11228370666504,0.0,103.735839835,1746183552.8095586
31.537761688232422,264192.0,0.7244006395339966,172,171,0.015625,0.17627060413360596,1.0,1128,0.0,0.049036383628845215,0.02511768415570259,24.11228370666504,0.0,106.111937844,1746183555.1856844
31.04036521911621,265728.0,0.713188648223877,173,172,0.014322916977107525,0.17056533694267273,1.0,1136,0.0,0.07170139253139496,0.02511768415570259,24.11228370666504,0.0,106.507926282,1746183555.5816836
31.190105438232422,314880.0,0.7374363541603088,205,204,0.015625,0.19544586539268494,1.0,1392,0.0,0.05293989181518555,0.02511768415570259,24.11228370666504,0.0,119.184677955,1746183568.2584438
31.50520896911621,330240.0,0.7661954164505005,215,214,0.01497395895421505,0.20195123553276062,1.0,1472,0.0,0.05567246675491333,0.02511768415570259,24.11228370666504,0.0,123.146631791,1746183572.2204127
31.41796875,336384.0,0.7544924020767212,219,218,0.01497395895421505,0.19139747321605682,1.0,1504,0.0,0.05113620683550835,0.02511768415570259,24.11228370666504,0.0,124.729328892,1746183573.8030996
31.63020896911621,364032.0,0.7958554029464722,237,236,0.014322916977107525,0.2102854698896408,1.0,1648,0.0,0.052864715456962585,0.02511768415570259,24.11228370666504,0.0,131.856615945,1746183580.9303927
30.768230438232422,445440.0,0.8187433481216431,290,289,0.014322916977107525,0.2041146457195282,1.0,2072,0.0,0.06309842318296432,0.02511768415570259,24.11228370666504,0.0,152.848200976,1746183601.9219563
31.131511688232422,448512.0,0.8239455819129944,292,291,0.015625,0.22725951671600342,1.0,2088,0.0,0.07248128950595856,0.02511768415570259,24.11228370666504,0.0,153.639956345,1746183602.7137191
31.57161521911621,477696.0,0.860020637512207,311,310,0.015625,0.22379541397094727,1.0,2240,0.0,0.06710094213485718,0.02511768415570259,24.11228370666504,0.0,161.167150058,1746183610.240917
30.401042938232422,485376.0,0.8874921798706055,316,315,0.014322916977107525,0.21925859153270721,1.0,2280,0.0,0.06442295014858246,0.02511768415570259,24.11228370666504,0.0,163.145705021,1746183612.2194753
