test_returned_episode_lengths,loss,returned_episode_returns,grad_steps,test_returned_won_episode,_runtime,test_returned_episode_returns,returned_won_episode,_step,returned_episode,qvals,returned_episode_lengths,test_returned_episode,env_step,_timestamp,update_steps
30.49493980407715,0.0,0.10810071229934692,0,0.0,48.44517795,0.06141861155629158,0.0,2,0.015625,0.0,30.2734375,1.0,4608.0,1746188751.1174393,3
30.49493980407715,0.0,0.11611627042293549,0,0.0,48.642407367,0.06141861155629158,0.0,5,0.0162760429084301,0.0,30.98177146911621,1.0,9216.0,1746188751.3146727,6
30.49493980407715,0.0,0.11196141690015793,0,0.0,48.971103893,0.06141861155629158,0.0,10,0.01497395895421505,0.0,30.791667938232422,1.0,16896.0,1746188751.6433978,11
30.49493980407715,0.0,0.11065690219402313,0,0.0,49.234208683,0.06141861155629158,0.0,14,0.0162760429084301,0.0,29.8203125,1.0,23040.0,1746188751.9064715,15
30.49493980407715,0.0,0.10544838011264801,0,0.0,49.563071905,0.06141861155629158,0.0,19,0.0162760429084301,0.0,29.1796875,1.0,30720.0,1746188752.2353554,20
30.49493980407715,0.0030658389441668987,0.10603141784667969,48,0.0,52.661438255,0.06141861155629158,0.0,36,0.015625,0.011668149381875992,30.080730438232422,1.0,56832.0,1746188755.3336954,37
30.49493980407715,0.002946853172034025,0.1034718006849289,56,0.0,53.059634571,0.06141861155629158,0.0,37,0.0162760429084301,0.02110712043941021,29.1640625,1.0,58368.0,1746188755.7318718,38
30.49493980407715,0.005171273835003376,0.13257376849651337,272,0.0,63.750957081,0.06141861155629158,0.0,64,0.014322916977107525,0.6288647651672363,31.17578125,1.0,99840.0,1746188766.4232206,65
30.49493980407715,0.014236059039831161,0.15561267733573914,792,0.0,89.499729346,0.06141861155629158,0.0,129,0.015625,0.9296799898147583,31.07421875,1.0,199680.0,1746188792.1719658,130
30.49493980407715,0.03415736183524132,0.17001816630363464,928,0.0,96.232775225,0.06141861155629158,0.0,146,0.01497395895421505,0.9772697687149048,31.213542938232422,1.0,225792.0,1746188798.9050276,147
30.49493980407715,0.03240646421909332,0.1683228313922882,944,0.0,97.024361116,0.06141861155629158,0.0,148,0.01497395895421505,0.9732931852340698,30.83724021911621,1.0,228864.0,1746188799.6965868,149
30.49493980407715,0.025490647181868553,0.16238875687122345,1104,0.0,104.950883761,0.06141861155629158,0.0,168,0.01497395895421505,0.7798579335212708,30.5234375,1.0,259584.0,1746188807.623152,169
30.49493980407715,0.11207420378923416,0.15480171144008636,1184,0.0,108.910435561,0.06141861155629158,0.0,178,0.015625,0.665068507194519,30.578125,1.0,274944.0,1746188811.5826752,179
30.49493980407715,0.0782690942287445,0.1715250462293625,1296,0.0,114.454019795,0.06141861155629158,0.0,192,0.014322916977107525,0.5432100296020508,31.33333396911621,1.0,296448.0,1746188817.126296,193
30.49493980407715,0.05686786025762558,0.15577688813209534,1536,0.0,126.34027792,0.06141861155629158,0.0,222,0.015625,0.7105188369750977,30.76692771911621,1.0,342528.0,1746188829.0125134,223
30.49493980407715,0.052079908549785614,0.1792333722114563,1600,0.0,129.507372095,0.06141861155629158,0.0,230,0.01497395895421505,0.7143694162368774,31.361980438232422,1.0,354816.0,1746188832.1796262,231
30.49493980407715,0.05500344932079315,0.191353902220726,1608,0.0,129.903336428,0.06141861155629158,0.0,231,0.014322916977107525,0.737191915512085,30.6640625,1.0,356352.0,1746188832.5755804,232
30.49493980407715,0.0535341277718544,0.20025229454040527,1640,0.0,131.486777956,0.06141861155629158,0.0,235,0.015625,0.7323043346405029,31.5,1.0,362496.0,1746188834.15903,236
30.49493980407715,0.056967027485370636,0.1801043152809143,1808,0.0,139.805857189,0.06141861155629158,0.0,256,0.014322916977107525,0.5108704566955566,32.03125,1.0,394752.0,1746188842.4781103,257
30.49493980407715,0.07393785566091537,0.2083863914012909,1824,0.0,140.601370829,0.06141861155629158,0.0,258,0.015625,0.47659826278686523,31.18489646911621,1.0,397824.0,1746188843.27365,259
30.49493980407715,0.07581539452075958,0.1825554072856903,1832,0.0,140.997303121,0.06141861155629158,0.0,259,0.01497395895421505,0.4973105192184448,31.66796875,1.0,399360.0,1746188843.6695378,260
30.49493980407715,0.11916115134954453,0.14539329707622528,1960,0.0,147.331210761,0.06141861155629158,0.0,275,0.014322916977107525,0.3289312422275543,30.807292938232422,1.0,423936.0,1746188850.0034637,276
30.49493980407715,0.10935571789741516,0.19085747003555298,1984,0.0,148.518578879,0.06141861155629158,0.0,278,0.015625,0.3263304829597473,31.70442771911621,1.0,428544.0,1746188851.1908286,279
30.49493980407715,0.10164682567119598,0.1259213536977768,2200,0.0,159.213337812,0.06141861155629158,0.0,305,0.015625,0.5271358489990234,30.29296875,1.0,470016.0,1746188861.885585,306
30.49493980407715,0.09229929745197296,0.19031858444213867,2256,0.0,161.992166077,0.06141861155629158,0.0,312,0.01497395895421505,0.4013144075870514,30.62630271911621,1.0,480768.0,1746188864.6644151,313
30.49493980407715,0.21227672696113586,0.14499549567699432,2336,0.0,165.953183907,0.06141861155629158,0.0,322,0.014322916977107525,0.41827303171157837,31.83333396911621,1.0,496128.0,1746188868.62542,323
46.72413635253906,0.1518016755580902,0.13391591608524323,2416,0.0,170.004329474,0.12184768915176392,0.0,332,0.015625,0.4173799455165863,31.27864646911621,1.0,511488.0,1746188872.6765993,333
46.72413635253906,0.23818935453891754,0.21423158049583435,2464,0.0,172.383296914,0.12184768915176392,0.0,338,0.014322916977107525,0.36494892835617065,31.412761688232422,1.0,520704.0,1746188875.0555665,339
46.72413635253906,0.14215341210365295,0.17030362784862518,2504,0.0,174.362691655,0.12184768915176392,0.0,343,0.015625,0.4002494812011719,31.53515625,1.0,528384.0,1746188877.0349476,344
46.72413635253906,0.22402629256248474,0.1466783583164215,2552,0.0,176.738921654,0.12184768915176392,0.0,349,0.014322916977107525,0.3767845034599304,31.58724021911621,1.0,537600.0,1746188879.4111707,350
46.72413635253906,0.15548379719257355,0.11674319952726364,2568,0.0,177.531029228,0.12184768915176392,0.0,351,0.013671875,0.39298200607299805,30.78645896911621,1.0,540672.0,1746188880.2033105,352
46.72413635253906,0.22393178939819336,0.12383510917425156,2600,0.0,179.11427695,0.12184768915176392,0.0,355,0.01497395895421505,0.34697604179382324,31.0859375,1.0,546816.0,1746188881.786553,356
46.72413635253906,0.2503640651702881,0.08034659177064896,2624,0.0,180.302313452,0.12184768915176392,0.0,358,0.02083333395421505,0.35573744773864746,26.76692771911621,1.0,551424.0,1746188882.974571,359
46.72413635253906,0.21426136791706085,0.14974451065063477,2696,0.0,183.868099172,0.12184768915176392,0.0,367,0.014322916977107525,0.3742111921310425,31.87239646911621,1.0,565248.0,1746188886.5403473,368
46.72413635253906,0.453304648399353,0.13322068750858307,2760,0.0,187.035212383,0.12184768915176392,0.0,375,0.01497395895421505,0.32740551233291626,30.70833396911621,1.0,577536.0,1746188889.7074387,376
46.72413635253906,0.40904825925827026,0.11969707906246185,2992,0.0,198.520621326,0.12184768915176392,0.0,404,0.015625,0.2962125539779663,31.67578125,1.0,622080.0,1746188901.192806,405
46.72413635253906,0.1633780598640442,0.12257295846939087,3056,0.0,201.757137711,0.12184768915176392,0.0,412,0.01497395895421505,0.25434136390686035,32.059898376464844,1.0,634368.0,1746188904.429344,413
46.72413635253906,0.2320689558982849,0.09594941139221191,3096,0.0,203.737890096,0.12184768915176392,0.0,417,0.014322916977107525,0.3485836982727051,31.479167938232422,1.0,642048.0,1746188906.4101465,418
46.72413635253906,0.179482102394104,0.0704176053404808,3400,0.0,218.790025548,0.12184768915176392,0.0,455,0.015625,0.3492896556854248,30.95638084411621,1.0,700416.0,1746188921.462262,456
46.72413635253906,0.38659346103668213,0.08004629611968994,3528,0.0,225.126386502,0.12184768915176392,0.0,471,0.01497395895421505,0.23337322473526,31.31380271911621,1.0,724992.0,1746188927.798621,472
46.72413635253906,0.5610626935958862,0.07264015078544617,3744,0.0,235.818294979,0.12184768915176392,0.0,498,0.015625,0.2610093355178833,31.9921875,1.0,766464.0,1746188938.4905593,499
46.72413635253906,0.21539506316184998,0.08000048995018005,4088,0.0,252.850567222,0.12184768915176392,0.0,541,0.015625,0.1469995081424713,31.47265625,1.0,832512.0,1746188955.5228221,542
46.72413635253906,0.24361570179462433,0.05736340209841728,4352,0.0,265.914910628,0.12184768915176392,0.0,574,0.017578125,0.12094411253929138,30.228515625,1.0,883200.0,1746188968.587166,575
46.72413635253906,0.2894625663757324,0.046054571866989136,4392,0.0,267.893840602,0.12184768915176392,0.0,579,0.0162760429084301,0.09987006336450577,29.298828125,1.0,890880.0,1746188970.566067,580
46.72413635253906,0.2795804738998413,0.08341701328754425,4400,0.0,268.289635628,0.12184768915176392,0.0,580,0.015625,0.09956003725528717,31.09114646911621,1.0,892416.0,1746188970.961894,581
46.72413635253906,0.4826643466949463,0.03297650068998337,4432,0.0,269.872972147,0.12184768915176392,0.0,584,0.021484375,0.13730488717556,27.893230438232422,1.0,898560.0,1746188972.5452476,585
46.72413635253906,0.5313977599143982,0.07947024703025818,4552,0.0,275.817208467,0.12184768915176392,0.0,599,0.01171875,0.13234807550907135,31.908855438232422,1.0,921600.0,1746188978.4894035,600
46.72413635253906,0.5060697793960571,0.055300623178482056,4664,0.0,281.361199855,0.12184768915176392,0.0,613,0.0162760429084301,0.12162318825721741,30.48958396911621,1.0,943104.0,1746188984.0334826,614
46.72413635253906,0.5524054765701294,0.03221709653735161,4680,0.0,282.154627899,0.12184768915176392,0.0,615,0.0201822929084301,0.13034504652023315,28.06380271911621,1.0,946176.0,1746188984.826848,616
46.72413635253906,0.3068920373916626,0.0644332617521286,4760,0.0,286.114883984,0.12184768915176392,0.0,625,0.01302083395421505,0.12814944982528687,31.213542938232422,1.0,961536.0,1746188988.7871616,626
46.72413635253906,0.30827999114990234,0.07548858225345612,4776,0.0,286.90615329,0.12184768915176392,0.0,627,0.015625,0.12734226882457733,31.201824188232422,1.0,964608.0,1746188989.5784311,628
46.72413635253906,0.3867984712123871,0.049820296466350555,4904,0.0,293.244024084,0.12184768915176392,0.0,643,0.015625,0.09636581689119339,29.46809959411621,1.0,989184.0,1746188995.9162672,644
55.11703109741211,0.3446570038795471,0.06038309261202812,5024,0.0,299.283773573,0.05155288428068161,0.0,658,0.014322916977107525,0.01824118010699749,31.901042938232422,1.0,1012224.0,1746189001.9559898,659
55.11703109741211,0.2489551603794098,0.05930224061012268,5088,0.0,302.45578695,0.05155288428068161,0.0,666,0.01302083395421505,0.008090076968073845,31.09114646911621,1.0,1024512.0,1746189005.128031,667
55.11703109741211,0.25535690784454346,0.05043821781873703,5136,0.0,304.832316138,0.05155288428068161,0.0,672,0.0201822929084301,0.005539963021874428,28.158203125,1.0,1033728.0,1746189007.5045726,673
55.11703109741211,0.23980030417442322,0.04005461558699608,5152,0.0,305.623796683,0.05155288428068161,0.0,674,0.012369791977107525,0.05198260769248009,30.776042938232422,1.0,1036800.0,1746189008.29606,675
55.11703109741211,0.32973557710647583,0.07448595017194748,5488,0.0,322.258938691,0.05155288428068161,0.0,716,0.01302083395421505,-0.03623942658305168,30.026042938232422,1.0,1101312.0,1746189024.931208,717
55.11703109741211,0.32261258363723755,0.16154669225215912,5920,0.0,343.651926099,0.05155288428068161,0.0,770,0.01497395895421505,-0.10707917809486389,31.92578125,1.0,1184256.0,1746189046.3241835,771
55.11703109741211,0.2609390914440155,0.14959494769573212,5960,0.0,345.632463169,0.05155288428068161,0.0,775,0.014322916977107525,-0.12610216438770294,31.86067771911621,1.0,1191936.0,1746189048.3047178,776
55.11703109741211,0.15380623936653137,0.17291295528411865,6096,0.0,352.36957023,0.05155288428068161,0.0,792,0.01497395895421505,-0.12602008879184723,31.951824188232422,1.0,1218048.0,1746189055.0417883,793
55.11703109741211,0.20559558272361755,0.12388639152050018,6184,0.0,356.728012368,0.05155288428068161,0.0,803,0.013671875,-0.12767034769058228,30.283855438232422,1.0,1234944.0,1746189059.4002893,804
55.11703109741211,0.2049407660961151,0.15565946698188782,6216,0.0,358.311411626,0.05155288428068161,0.0,807,0.015625,-0.11302962899208069,31.67578125,1.0,1241088.0,1746189060.9836726,808
55.11703109741211,0.16684743762016296,0.09893923252820969,6328,0.0,363.858153159,0.05155288428068161,0.0,821,0.015625,0.009095405228435993,31.12890625,1.0,1262592.0,1746189066.5304034,822
55.11703109741211,0.12078975886106491,0.1289580762386322,6376,0.0,366.233495976,0.05155288428068161,0.0,827,0.014322916977107525,-0.08646656572818756,30.5390625,1.0,1271808.0,1746189068.90575,828
55.11703109741211,0.10273384302854538,0.15871083736419678,6544,0.0,374.583661488,0.05155288428068161,0.0,848,0.01497395895421505,-0.1124277412891388,31.440105438232422,1.0,1304064.0,1746189077.2559257,849
55.11703109741211,0.0989515408873558,0.15279515087604523,6552,0.0,374.979486565,0.05155288428068161,0.0,849,0.01497395895421505,-0.0996057391166687,31.94661521911621,1.0,1305600.0,1746189077.651768,850
55.11703109741211,0.10134001821279526,0.1788104772567749,6648,0.0,379.733040976,0.05155288428068161,0.0,861,0.014322916977107525,-0.10119310021400452,31.33333396911621,1.0,1324032.0,1746189082.4053261,862
55.11703109741211,0.10138542950153351,0.1508028209209442,6704,0.0,382.508391575,0.05155288428068161,0.0,868,0.01106770895421505,-0.08935898542404175,31.779949188232422,1.0,1334784.0,1746189085.1806777,869
