returned_episode_lengths,returned_won_episode,test_returned_episode,update_steps,grad_steps,loss,_step,test_returned_episode_returns,env_step,returned_episode,_runtime,test_returned_episode_lengths,returned_episode_returns,qvals,test_returned_won_episode,_timestamp
23.22981834411621,0.0,0.9999999403953552,16,0,0.0,15,0.026044243946671486,24576,0.02473958395421505,71.188449464,18.266706466674805,0.13965478539466858,0.0,0.0,1746434743.0270305
24.296876907348633,0.0,0.9999999403953552,98,536,0.1713269203901291,97,0.026044243946671486,150528,0.02343750186264515,94.440470864,18.266706466674805,0.23604127764701843,0.3164331912994385,0.0,1746434766.2790697
25.520183563232422,0.0,0.9999999403953552,99,544,0.186448872089386,98,0.026044243946671486,152064,0.02539062686264515,94.771824417,18.266706466674805,0.25351741909980774,0.3142681121826172,0.0,1746434766.6104376
24.296876907348633,0.0,0.9999999403953552,102,568,0.35965198278427124,101,0.026044243946671486,156672,0.0240885429084301,95.76528796,18.266706466674805,0.2216184139251709,0.3343358635902405,0.0,1746434767.6038923
24.990886688232422,0.0,0.9999999403953552,110,632,0.20448164641857147,109,0.026044243946671486,168960,0.02343750186264515,98.423725219,18.266706466674805,0.26476436853408813,0.31036901473999023,0.0,1746434770.2622836
24.90559959411621,0.0,0.9999999403953552,137,848,0.31963932514190674,136,0.026044243946671486,210432,0.02278645895421505,107.383645865,18.266706466674805,0.25068798661231995,0.30102303624153137,0.0,1746434779.222253
23.919923782348633,0.0,0.9999999403953552,152,968,0.483826607465744,151,0.026044243946671486,233472,0.0221354179084301,112.364820561,18.266706466674805,0.2568489611148834,0.33234983682632446,0.0,1746434784.203432
23.03255271911621,0.0052083334885537624,0.9999999403953552,169,1104,0.42240917682647705,168,0.026044243946671486,259584,0.0260416679084301,118.025548192,18.266706466674805,0.25783905386924744,0.3405463695526123,0.0,1746434789.8641636
24.57747459411621,0.0,0.9999999403953552,176,1160,0.3824499845504761,175,0.026044243946671486,270336,0.02343750186264515,120.346038534,18.266706466674805,0.2679773271083832,0.3503534495830536,0.0,1746434792.184619
27.55208396911621,0.0,0.9999999403953552,187,1248,0.4042782783508301,186,0.026044243946671486,287232,0.02148437686264515,124.007854444,18.266706466674805,0.25421732664108276,0.3512639105319977,0.0,1746434795.8464787
25.38997459411621,0.0,0.9999999403953552,206,1400,0.4481489956378937,205,0.026044243946671486,316416,0.0221354179084301,130.312313601,18.266706466674805,0.2770392894744873,0.35323935747146606,0.0,1746434802.1509156
29.05403709411621,0.0,0.9999999403953552,258,1816,0.447701632976532,257,0.026044243946671486,396288,0.01953125186264515,147.603415364,18.266706466674805,0.3055107593536377,0.360958069562912,0.0,1746434819.4418557
25.734376907348633,0.0221354179084301,0.9999999403953552,264,1864,0.4802553355693817,263,0.026044243946671486,405504,0.0201822929084301,149.592628507,18.266706466674805,0.31212231516838074,0.3698691725730896,0.0,1746434821.431258
24.85872459411621,0.0,0.9999999403953552,267,1888,0.5140268802642822,266,0.026044243946671486,410112,0.0240885429084301,150.588080074,18.266706466674805,0.2837373614311218,0.36971402168273926,0.0,1746434822.4266963
26.545574188232422,0.0,0.9999999403953552,271,1920,0.46164870262145996,270,0.026044243946671486,416256,0.02473958395421505,151.914201334,18.266706466674805,0.30394747853279114,0.36397576332092285,0.0,1746434823.7528229
27.644533157348633,0.0,0.9999999403953552,277,1968,0.49549809098243713,276,0.026044243946671486,425472,0.02148437686264515,153.914715182,18.266706466674805,0.2740858197212219,0.36600548028945923,0.0,1746434825.7533438
23.08528709411621,0.0,0.9999999403953552,283,2016,0.49413150548934937,282,0.026044243946671486,434688,0.02278645895421505,155.903668454,18.266706466674805,0.23400384187698364,0.37472403049468994,0.0,1746434827.7422843
26.15559959411621,0.0,0.9999999403953552,288,2056,0.4405147433280945,287,0.026044243946671486,442368,0.02083333395421505,157.561483649,18.266706466674805,0.29556453227996826,0.37647807598114014,0.0,1746434829.4000027
26.627605438232422,0.0,0.9999999403953552,289,2064,0.4769930839538574,288,0.026044243946671486,443904,0.02148437686264515,157.892821633,18.266706466674805,0.2768062651157379,0.37383532524108887,0.0,1746434829.7314088
24.666667938232422,0.0,1.0,326,2360,0.5052037239074707,325,0.4804930090904236,500736,0.02343750186264515,170.251031708,40.40644073486328,0.24747297167778015,0.38946980237960815,0.007668711710721254,1746434842.0896533
22.801433563232422,0.0,1.0,331,2400,0.4800497889518738,330,0.4804930090904236,508416,0.02278645895421505,171.908226548,40.40644073486328,0.2697124481201172,0.40307047963142395,0.007668711710721254,1746434843.7468514
26.451173782348633,0.0,1.0,334,2424,0.5587496757507324,333,0.4804930090904236,513024,0.02083333395421505,172.911333591,40.40644073486328,0.2645989656448364,0.3991307020187378,0.007668711710721254,1746434844.7498953
24.599611282348633,0.0,1.0,341,2480,0.517596960067749,340,0.4804930090904236,523776,0.02539062686264515,175.240158884,40.40644073486328,0.30372193455696106,0.39830297231674194,0.007668711710721254,1746434847.0787668
26.91927146911621,0.0,1.0,343,2496,0.5868052244186401,342,0.4804930090904236,526848,0.02278645895421505,175.903068494,40.40644073486328,0.31706327199935913,0.3892204761505127,0.007668711710721254,1746434847.7416885
25.001955032348633,0.0,1.0,360,2632,0.4712570309638977,359,0.4804930090904236,552960,0.02148437686264515,181.555533199,40.40644073486328,0.2790101170539856,0.39744043350219727,0.007668711710721254,1746434853.3941338
27.888673782348633,0.0,1.0,370,2712,0.5319607257843018,369,0.4804930090904236,568320,0.0182291679084301,184.885380426,40.40644073486328,0.24386073648929596,0.4006420969963074,0.007668711710721254,1746434856.7239776
24.303386688232422,0.0377604179084301,1.0,375,2752,0.4878788888454437,374,0.4804930090904236,576000,0.01888020895421505,186.542700834,40.40644073486328,0.2885393798351288,0.40998193621635437,0.007668711710721254,1746434858.3813283
26.58138084411621,0.0325520858168602,1.0,431,3200,0.5727776288986206,430,0.4804930090904236,662016,0.0201822929084301,205.244605131,40.40644073486328,0.34257274866104126,0.4218764007091522,0.007668711710721254,1746434877.0831573
26.185548782348633,0.013671875931322575,1.0,436,3240,0.4888581335544586,435,0.4804930090904236,669696,0.02278645895421505,206.908538349,40.40644073486328,0.2832711935043335,0.4179103672504425,0.007668711710721254,1746434878.7471397
26.367189407348633,0.0,1.0,444,3304,0.5635985136032104,443,0.4804930090904236,681984,0.0201822929084301,209.560020083,40.40644073486328,0.25568991899490356,0.42435845732688904,0.007668711710721254,1746434881.3986363
23.623699188232422,0.0,1.0,445,3312,0.7328226566314697,444,0.4804930090904236,683520,0.0240885429084301,209.891201257,40.40644073486328,0.2789522409439087,0.41754859685897827,0.007668711710721254,1746434881.729814
26.85481834411621,0.0,1.0,471,3520,0.4896264374256134,470,0.4804930090904236,723456,0.0201822929084301,218.521454542,40.40644073486328,0.3349187970161438,0.4504597783088684,0.007668711710721254,1746434890.3599658
27.143230438232422,0.02929687686264515,1.0,491,3680,0.6322789192199707,490,0.4804930090904236,754176,0.02278645895421505,225.170021559,40.40644073486328,0.3685535192489624,0.4546765089035034,0.007668711710721254,1746434897.0086036
26.482423782348633,0.0240885429084301,1.0,533,4016,0.525471568107605,532,0.4804930090904236,818688,0.01953125186264515,239.143816848,40.40644073486328,0.36009615659713745,0.4390329122543335,0.007668711710721254,1746434910.982433
27.998699188232422,0.0,1.0,536,4040,0.39417922496795654,535,0.4804930090904236,823296,0.0162760429084301,240.13792813,40.40644073486328,0.3013298213481903,0.4405347406864166,0.007668711710721254,1746434911.9765127
28.89192771911621,0.0,1.0,546,4120,0.30980348587036133,545,0.4804930090904236,838656,0.017578125,243.470644677,40.40644073486328,0.3130604326725006,0.4304872155189514,0.007668711710721254,1746434915.3092558
26.80013084411621,0.0,1.0,550,4152,0.3872101902961731,549,0.4804930090904236,844800,0.0162760429084301,244.796551522,40.40644073486328,0.33025532960891724,0.43942904472351074,0.007668711710721254,1746434916.6351445
27.20638084411621,0.02734375186264515,1.0,552,4168,0.28338509798049927,551,0.4804930090904236,847872,0.0182291679084301,245.460085522,40.40644073486328,0.41272279620170593,0.44789427518844604,0.007668711710721254,1746434917.2986898
27.074220657348633,0.011718750931322575,1.0,560,4232,0.3401784896850586,559,0.4804930090904236,860160,0.01497395895421505,248.112091796,40.40644073486328,0.34472543001174927,0.45979058742523193,0.007668711710721254,1746434919.950679
28.54036521911621,0.0,1.0,572,4328,0.31595245003700256,571,0.4804930090904236,878592,0.015625,252.102344103,40.40644073486328,0.3138614296913147,0.4716407358646393,0.007668711710721254,1746434923.9409559
27.55013084411621,0.02539062686264515,1.0,581,4400,0.451343297958374,580,0.4804930090904236,892416,0.01692708395421505,255.086216405,40.40644073486328,0.4119786024093628,0.4885281026363373,0.007668711710721254,1746434926.9247198
26.453126907348633,0.0748697966337204,1.0,583,4416,0.34886473417282104,582,0.4804930090904236,895488,0.017578125,255.761874685,40.40644073486328,0.4932384788990021,0.4936298131942749,0.007668711710721254,1746434927.6002867
27.781251907348633,0.0709635466337204,1.0,604,4584,0.3363570272922516,603,0.4804930090904236,927744,0.01953125186264515,262.738091545,40.40644073486328,0.4592793583869934,0.4904215931892395,0.007668711710721254,1746434934.5766606
26.12044334411621,0.02473958395421505,1.0,616,4680,0.3133147954940796,615,0.4804930090904236,946176,0.0201822929084301,266.718557146,40.40644073486328,0.365506649017334,0.49503427743911743,0.007668711710721254,1746434938.5571904
28.27474021911621,0.0371093787252903,1.0,628,4776,0.36796480417251587,627,0.4804930090904236,964608,0.01888020895421505,270.70964923,40.40644073486328,0.43930426239967346,0.48617732524871826,0.007668711710721254,1746434942.548247
25.25520896911621,0.0,1.0,643,4896,0.25097477436065674,642,0.4804930090904236,987648,0.013671875931322575,275.685493867,40.40644073486328,0.30607736110687256,0.5028827786445618,0.007668711710721254,1746434947.5240557
27.486980438232422,0.0,1.0,662,5048,0.2519083619117737,661,0.6424697041511536,1016832,0.01497395895421505,282.079089669,48.67805099487305,0.2681703567504883,0.4987098276615143,0.053658537566661835,1746434953.9176478
26.36067771911621,0.0462239608168602,1.0,663,5056,0.23560799658298492,662,0.6424697041511536,1018368,0.0182291679084301,282.410847722,48.67805099487305,0.43138620257377625,0.5136806964874268,0.053658537566661835,1746434954.2494287
28.262371063232422,0.0,1.0,678,5176,0.23374341428279877,677,0.6424697041511536,1041408,0.017578125,287.388738414,48.67805099487305,0.36075904965400696,0.488577663898468,0.053658537566661835,1746434959.227251
27.22005271911621,0.0436197929084301,1.0,690,5272,0.22799193859100342,689,0.6424697041511536,1059840,0.01497395895421505,291.377913291,48.67805099487305,0.4257138669490814,0.5120645761489868,0.053658537566661835,1746434963.2165122
29.562501907348633,0.0898437574505806,1.0,692,5288,0.19088758528232574,691,0.6424697041511536,1062912,0.01497395895421505,292.040988088,48.67805099487305,0.48151540756225586,0.49876073002815247,0.053658537566661835,1746434963.8795726
27.949220657348633,0.017578125,1.0,703,5376,0.2351093292236328,702,0.6424697041511536,1079808,0.0162760429084301,295.692893559,48.67805099487305,0.4147481918334961,0.5114008188247681,0.053658537566661835,1746434967.5314915
30.148439407348633,0.0,1.0,735,5632,0.22764506936073303,734,0.6424697041511536,1128960,0.015625,306.343567945,48.67805099487305,0.3635672330856323,0.5293811559677124,0.053658537566661835,1746434978.1821966
27.812501907348633,0.0527343787252903,1.0,756,5800,0.1817617416381836,755,0.6424697041511536,1161216,0.0162760429084301,313.312658533,48.67805099487305,0.4815458357334137,0.5161910057067871,0.053658537566661835,1746434985.1512866
29.09505271911621,0.0885416716337204,1.0,763,5856,0.20858432352542877,762,0.6424697041511536,1171968,0.01692708395421505,315.642373107,48.67805099487305,0.5523938536643982,0.5122323036193848,0.053658537566661835,1746434987.4808354
26.179689407348633,0.1321614682674408,1.0,783,6016,0.2497778683900833,782,0.6424697041511536,1202688,0.013671875931322575,322.288196352,48.67805099487305,0.5202431678771973,0.5219232439994812,0.053658537566661835,1746434994.1268039
28.11067771911621,0.02539062686264515,1.0,800,6152,0.25593531131744385,799,0.6424697041511536,1228800,0.0182291679084301,327.933910273,48.67805099487305,0.44458913803100586,0.5285794138908386,0.053658537566661835,1746434999.77253
21.803386688232422,0.02343750186264515,1.0,817,6288,0.3346177041530609,816,0.6424697041511536,1254912,0.0162760429084301,333.582762552,48.67805099487305,0.32666024565696716,0.5262345671653748,0.053658537566661835,1746435005.4213638
27.33528709411621,0.2311197966337204,1.0,835,6432,0.29314982891082764,834,0.6424697041511536,1282560,0.015625,339.564474732,48.67805099487305,0.7198951244354248,0.5396727323532104,0.053658537566661835,1746435011.4030883
30.490886688232422,0.0696614608168602,1.0,844,6504,0.2936208248138428,843,0.6424697041511536,1296384,0.015625,342.549919792,48.67805099487305,0.48018312454223633,0.5246619582176208,0.053658537566661835,1746435014.3884947
27.955080032348633,0.1067708358168602,1.0,865,6672,0.3003540635108948,864,0.6424697041511536,1328640,0.01888020895421505,349.57655487,48.67805099487305,0.6232121586799622,0.5300076007843018,0.053658537566661835,1746435021.4151332
26.39974021911621,0.1321614682674408,1.0,888,6856,0.2640358805656433,887,0.6424697041511536,1363968,0.0201822929084301,357.203268477,48.67805099487305,0.5860884785652161,0.5338973999023438,0.053658537566661835,1746435029.0418494
27.088542938232422,0.0774739608168602,1.0,933,7216,0.3090953826904297,932,0.6424697041511536,1433088,0.015625,372.138196164,48.67805099487305,0.4674055874347687,0.5322540998458862,0.053658537566661835,1746435043.9767847
25.565105438232422,0.1562500149011612,1.0,934,7224,0.2685278654098511,933,0.6424697041511536,1434624,0.01106770895421505,372.469421288,48.67805099487305,0.5463880300521851,0.5273300409317017,0.053658537566661835,1746435044.3080242
25.744142532348633,0.2239583432674408,1.0,939,7264,0.24757201969623566,938,0.6424697041511536,1442304,0.01692708395421505,374.127842682,48.67805099487305,0.6667990684509277,0.5086616277694702,0.053658537566661835,1746435045.964732
28.449220657348633,0.1471354216337204,1.0,943,7296,0.2718071937561035,942,0.6424697041511536,1448448,0.013671875931322575,375.468893312,48.67805099487305,0.6450312733650208,0.5280650854110718,0.053658537566661835,1746435047.3074768
27.478517532348633,0.1302083432674408,1.0,977,7568,0.36125844717025757,976,1.0241724252700806,1500672,0.014322916977107525,386.827400464,52.97190856933594,0.5979875326156616,0.5352204442024231,0.2629213333129883,1746435058.6660254
27.914064407348633,0.1106770858168602,1.0,1009,7824,0.3353564143180847,1008,1.0241724252700806,1549824,0.01497395895421505,397.474629522,52.97190856933594,0.5828756093978882,0.5204713344573975,0.2629213333129883,1746435069.3132536
