returned_episode_lengths,returned_won_episode,update_steps,qvals,_step,test_returned_episode_returns,loss,returned_episode,_runtime,test_returned_episode_lengths,returned_episode_returns,grad_steps,test_returned_won_episode,test_returned_episode,env_step,_timestamp
25.658855438232422,0.0,9,0.0,8,0.09800197184085846,0.0,0.02343750186264515,72.878071557,23.424097061157227,0.2168312519788742,0,0.0,0.9999999403953552,13824,1747617315.4574077
25.924480438232422,0.0,28,0.0,27,0.09800197184085846,0.0,0.02473958395421505,74.225434172,23.424097061157227,0.21648837625980377,0,0.0,0.9999999403953552,43008,1747617316.804805
25.480470657348633,0.0,34,-0.02710968628525734,33,0.09800197184085846,0.03187441825866699,0.02669270895421505,75.764676334,23.424097061157227,0.23962165415287018,24,0.0,0.9999999403953552,52224,1747617318.344003
24.399089813232422,0.0,43,0.08503922820091248,42,0.09800197184085846,0.02376968041062355,0.02539062686264515,79.718744327,23.424097061157227,0.21191823482513428,96,0.0,0.9999999403953552,66048,1747617322.2981153
26.07161521911621,0.0,60,0.366996705532074,59,0.09800197184085846,0.01224125549197197,0.02343750186264515,87.212448374,23.424097061157227,0.2541351318359375,232,0.0,0.9999999403953552,92160,1747617329.7918406
25.13411521911621,0.0,69,0.6333310604095459,68,0.09800197184085846,0.02415410801768303,0.02148437686264515,91.17782037,23.424097061157227,0.27808481454849243,304,0.0,0.9999999403953552,105984,1747617333.7572203
25.338542938232422,0.0,86,0.9055753946304321,85,0.09800197184085846,0.047814320772886276,0.02278645895421505,98.668831429,23.424097061157227,0.26735159754753113,440,0.0,0.9999999403953552,132096,1747617341.2481644
24.97786521911621,0.0,105,0.9613518714904785,104,0.09800197184085846,0.0788707435131073,0.02278645895421505,107.00588408,23.424097061157227,0.2747757136821747,592,0.0,0.9999999403953552,161280,1747617349.5852597
25.386720657348633,0.0,116,0.9314295053482056,115,0.09800197184085846,0.0829281210899353,0.02473958395421505,111.849063095,23.424097061157227,0.2726254165172577,680,0.0,0.9999999403953552,178176,1747617354.4284463
25.141277313232422,0.0,117,0.9550972580909729,116,0.09800197184085846,0.07959548383951187,0.02539062686264515,112.288084936,23.424097061157227,0.289706826210022,688,0.0,0.9999999403953552,179712,1747617354.8673089
26.839845657348633,0.0,125,0.954803466796875,124,0.09800197184085846,0.10186696797609329,0.0201822929084301,115.79562799,23.424097061157227,0.25348353385925293,752,0.0,0.9999999403953552,192000,1747617358.375027
25.649089813232422,0.0,149,1.039973497390747,148,0.09800197184085846,0.09716996550559998,0.0240885429084301,126.31619081,23.424097061157227,0.2732502520084381,944,0.0,0.9999999403953552,228864,1747617368.895618
27.117189407348633,0.0,159,1.0728542804718018,158,0.09800197184085846,0.08114413917064667,0.0221354179084301,130.711469328,23.424097061157227,0.28062981367111206,1024,0.0,0.9999999403953552,244224,1747617373.2908928
27.81380271911621,0.0,165,1.0780112743377686,164,0.09800197184085846,0.0804223045706749,0.02278645895421505,133.34188059,23.424097061157227,0.28147783875465393,1072,0.0,0.9999999403953552,253440,1747617375.92126
26.66927146911621,0.0,173,1.1077642440795898,172,0.09800197184085846,0.08533865213394165,0.02278645895421505,136.851651702,23.424097061157227,0.2903026044368744,1136,0.0,0.9999999403953552,265728,1747617379.4310784
27.672527313232422,0.0,185,1.1325421333312988,184,0.09800197184085846,0.08268730342388153,0.02148437686264515,142.134729231,23.424097061157227,0.2969283163547516,1232,0.0,0.9999999403953552,284160,1747617384.714138
25.543621063232422,0.0,213,1.1944997310638428,212,0.09800197184085846,0.06909965723752975,0.02343750186264515,154.412515676,23.424097061157227,0.28596240282058716,1456,0.0,0.9999999403953552,327168,1747617396.991988
26.32942771911621,0.0,221,1.1935985088348389,220,0.09800197184085846,0.07005593180656433,0.02148437686264515,157.929015874,23.424097061157227,0.28918784856796265,1520,0.0,0.9999999403953552,339456,1747617400.5084982
27.760417938232422,0.0,247,1.2406643629074097,246,0.09800197184085846,0.06251241266727448,0.02148437686264515,169.318997573,23.424097061157227,0.31055930256843567,1728,0.0,0.9999999403953552,379392,1747617411.8984492
25.87044334411621,0.0,262,1.2611327171325684,261,0.09800197184085846,0.056431278586387634,0.0221354179084301,175.895855439,23.424097061157227,0.3075839877128601,1848,0.0,0.9999999403953552,402432,1747617418.475328
25.701173782348633,0.0,270,1.279115915298462,269,0.09800197184085846,0.064017653465271,0.0221354179084301,179.423354243,23.424097061157227,0.30595070123672485,1912,0.0,0.9999999403953552,414720,1747617422.002808
25.69270896911621,0.0,274,1.2739231586456299,273,0.09800197184085846,0.05196148529648781,0.02278645895421505,181.176397592,23.424097061157227,0.2975095808506012,1944,0.0,0.9999999403953552,420864,1747617423.7558916
26.32552146911621,0.0,276,1.2709506750106812,275,0.09800197184085846,0.04922480136156082,0.02148437686264515,182.053481065,23.424097061157227,0.32525837421417236,1960,0.0,0.9999999403953552,423936,1747617424.6329374
27.28450584411621,0.0,277,1.2708873748779297,276,0.09800197184085846,0.05301891267299652,0.0221354179084301,182.492021084,23.424097061157227,0.32169869542121887,1968,0.0,0.9999999403953552,425472,1747617425.071456
27.304689407348633,0.0,290,1.2930622100830078,289,0.09800197184085846,0.05152743309736252,0.0221354179084301,188.192191979,23.424097061157227,0.32055073976516724,2072,0.0,0.9999999403953552,445440,1747617430.771618
27.10677146911621,0.0,295,1.295262336730957,294,0.09800197184085846,0.048964522778987885,0.02083333395421505,190.387854505,23.424097061157227,0.35960978269577026,2112,0.0,0.9999999403953552,453120,1747617432.9673698
25.82161521911621,0.0,303,1.3190244436264038,302,0.09800197184085846,0.051038339734077454,0.02278645895421505,193.899812222,23.424097061157227,0.3395974040031433,2176,0.0,0.9999999403953552,465408,1747617436.479045
25.695314407348633,0.0,327,1.3217754364013672,326,0.5851483345031738,0.056355901062488556,0.02278645895421505,204.533789321,37.90391159057617,0.3469982445240021,2368,0.0034317090176045895,1.0,502272,1747617447.1132984
26.439455032348633,0.0,338,1.3362873792648315,337,0.5851483345031738,0.05542297661304474,0.02343750186264515,209.365020402,37.90391159057617,0.3559783697128296,2456,0.0034317090176045895,1.0,519168,1747617451.9444654
27.16927146911621,0.0,352,1.3372998237609863,351,0.5851483345031738,0.05439047887921333,0.02148437686264515,215.499660234,37.90391159057617,0.34331846237182617,2568,0.0034317090176045895,1.0,540672,1747617458.079152
26.54817771911621,0.0,364,1.3580434322357178,363,0.5851483345031738,0.05492853745818138,0.02083333395421505,220.765009863,37.90391159057617,0.3232976496219635,2664,0.0034317090176045895,1.0,559104,1747617463.3445008
27.632814407348633,0.0,367,1.3665844202041626,366,0.5851483345031738,0.05108616128563881,0.0221354179084301,222.081323288,37.90391159057617,0.3508089780807495,2688,0.0034317090176045895,1.0,563712,1747617464.6608255
27.96224021911621,0.0,388,1.3921444416046143,387,0.5851483345031738,0.050318241119384766,0.02148437686264515,231.293694135,37.90391159057617,0.34093141555786133,2856,0.0034317090176045895,1.0,595968,1747617473.8731363
25.574220657348633,0.0,393,1.3897819519042969,392,0.5851483345031738,0.0533527210354805,0.02083333395421505,233.484632864,37.90391159057617,0.3096485435962677,2896,0.0034317090176045895,1.0,603648,1747617476.0641186
27.09700584411621,0.0,404,1.3650243282318115,403,0.5851483345031738,0.06503759324550629,0.02083333395421505,238.328995915,37.90391159057617,0.37076541781425476,2984,0.0034317090176045895,1.0,620544,1747617480.9084878
26.953126907348633,0.0,405,1.3788084983825684,404,0.5851483345031738,0.06701681017875671,0.02148437686264515,238.767170538,37.90391159057617,0.35997024178504944,2992,0.0034317090176045895,1.0,622080,1747617481.3466518
27.02083396911621,0.0,422,1.3883885145187378,421,0.5851483345031738,0.0672423392534256,0.0201822929084301,246.376728065,37.90391159057617,0.36011016368865967,3128,0.0034317090176045895,1.0,648192,1747617488.9562168
26.17708396911621,0.0,449,1.3997471332550049,448,0.5851483345031738,0.06330946832895279,0.02343750186264515,258.209381257,37.90391159057617,0.3880019187927246,3344,0.0034317090176045895,1.0,689664,1747617500.788751
25.671876907348633,0.0,466,1.4220781326293945,465,0.5851483345031738,0.049027685075998306,0.02148437686264515,265.644058909,37.90391159057617,0.3802702724933624,3480,0.0034317090176045895,1.0,715776,1747617508.2235637
26.938152313232422,0.0,468,1.414984107017517,467,0.5851483345031738,0.050335850566625595,0.0221354179084301,266.520238407,37.90391159057617,0.37809422612190247,3496,0.0034317090176045895,1.0,718848,1747617509.0997386
26.74544334411621,0.0,472,1.4187612533569336,471,0.5851483345031738,0.05172151327133179,0.0221354179084301,268.268711798,37.90391159057617,0.37071725726127625,3528,0.0034317090176045895,1.0,724992,1747617510.8482354
27.117189407348633,0.0,476,1.4210413694381714,475,0.5851483345031738,0.059965282678604126,0.02083333395421505,270.031326483,37.90391159057617,0.35854923725128174,3560,0.0034317090176045895,1.0,731136,1747617512.610609
27.025392532348633,0.0,491,1.3990962505340576,490,0.5851483345031738,0.06319560110569,0.02083333395421505,276.59606682,37.90391159057617,0.36390814185142517,3680,0.0034317090176045895,1.0,754176,1747617519.1755998
