test_returned_episode_returns,env_step,returned_episode_lengths,returned_won_episode,test_returned_episode_lengths,test_returned_won_episode,grad_steps,_step,loss,returned_episode_returns,update_steps,qvals,_timestamp,test_returned_episode,returned_episode,_runtime
0.09858360886573792,7680.0,17.96809959411621,0.0,15.015507698059082,0.0,0,4,0.0,0.14004500210285187,5,0.0,1746177945.7649004,1.0,0.0436197929084301,50.601817516
0.09858360886573792,24576.0,17.51302146911621,0.0,15.015507698059082,0.0,0,15,0.0,0.13817472755908966,16,0.0,1746177946.5672235,1.0,0.0449218787252903,51.404098155
0.09858360886573792,29184.0,17.58724021911621,0.0,15.015507698059082,0.0,0,18,0.0,0.14236508309841156,19,0.0,1746177946.7861974,1.0,0.0442708358168602,51.623088551
0.09858360886573792,50688.0,17.945964813232422,0.0,15.015507698059082,0.0,16,32,0.020377732813358307,0.13037405908107758,33,-0.07157532870769501,1746177948.5629363,1.0,0.0416666679084301,53.399895682
0.09858360886573792,66048.0,17.18880271911621,0.0,15.015507698059082,0.0,96,42,0.00793540570884943,0.15697206556797028,43,0.20910686254501343,1746177953.0460854,1.0,0.0449218787252903,57.88302955
0.09858360886573792,75264.0,17.953125,0.0,15.015507698059082,0.0,144,48,0.0026218814309686422,0.14802321791648865,49,0.15383201837539673,1746177955.7357647,1.0,0.0442708358168602,60.572698417
0.09858360886573792,76800.0,17.458984375,0.0,15.015507698059082,0.0,152,49,0.0024536948185414076,0.1571733057498932,50,0.16261771321296692,1746177956.1836615,1.0,0.0449218787252903,61.020601893
0.09858360886573792,124416.0,17.352214813232422,0.0,15.015507698059082,0.0,400,80,0.02275005914270878,0.16605114936828613,81,0.6292915940284729,1746177970.0914614,1.0,0.0455729179084301,74.928471125
0.09858360886573792,132096.0,17.482421875,0.0,15.015507698059082,0.0,440,85,0.025848589837551117,0.16505683958530426,86,0.592671275138855,1746177972.334655,1.0,0.0449218787252903,77.17164563
0.09858360886573792,135168.0,16.84765625,0.0,15.015507698059082,0.0,456,87,0.023475155234336853,0.16626422107219696,88,0.5990281105041504,1746177973.2306345,1.0,0.0462239608168602,78.067595763
0.09858360886573792,148992.0,16.547527313232422,0.0,15.015507698059082,0.0,528,96,0.023678921163082123,0.16878552734851837,97,0.562317967414856,1746177977.2783103,1.0,0.0442708358168602,82.11527058
0.09858360886573792,153600.0,16.576171875,0.0,15.015507698059082,0.0,552,99,0.021653437986969948,0.16800428926944733,100,0.5737079381942749,1746177978.6296732,1.0,0.0475260429084301,83.466630315
