update_steps,qvals,returned_episode,returned_episode_returns,env_step,test_returned_episode_returns,_runtime,returned_episode_lengths,test_returned_episode,returned_won_episode,loss,test_returned_won_episode,grad_steps,_step,test_returned_episode_lengths,_timestamp
1,0.0,0.01888020895421505,0.14797654747962952,1536.0,0.10852555930614471,57.064490963,27.650390625,0.9999999403953552,0.0,0.0,0.0,0,0,29.653371810913086,1746188045.4303741
10,0.0,0.02018229104578495,0.14464755356311798,15360.0,0.10852555930614471,57.570457211,27.87565040588379,0.9999999403953552,0.0,0.0,0.0,0,9,29.653371810913086,1746188045.9371421
13,0.0,0.01953125,0.14350607991218567,19968.0,0.10852555930614471,57.733629279,27.177734375,0.9999999403953552,0.0,0.0,0.0,0,12,29.653371810913086,1746188046.10032
28,0.0,0.01692708395421505,0.13529253005981445,43008.0,0.10852555930614471,58.553191391,28.37825584411621,0.9999999403953552,0.0,0.0,0.0,0,27,29.653371810913086,1746188046.919883
38,-0.017616484314203262,0.02213541604578495,0.14409026503562927,58368.0,0.10852555930614471,60.78383448,27.36588478088379,0.9999999403953552,0.0,0.008898969739675522,0.0,56,37,29.653371810913086,1746188049.1504993
39,-0.01582593470811844,0.01953125,0.14762672781944275,59904.0,0.10852555930614471,61.083825176,28.98177146911621,0.9999999403953552,0.0,0.008599376305937767,0.0,64,38,29.653371810913086,1746188049.4504616
40,-0.00540497712790966,0.01953125,0.14272914826869965,61440.0,0.10852555930614471,61.378168663,28.42057228088379,0.9999999403953552,0.0,0.009806487709283829,0.0,72,39,29.653371810913086,1746188049.7448525
46,0.2773728370666504,0.025390625,0.14293663203716278,70656.0,0.10852555930614471,63.148653722,25.31705665588379,0.9999999403953552,0.0,0.005139053333550692,0.0,120,45,29.653371810913086,1746188051.515321
55,0.7606445550918579,0.02083333395421505,0.1577942669391632,84480.0,0.10852555930614471,65.807238477,26.96419334411621,0.9999999403953552,0.0,0.006242887116968632,0.0,192,54,29.653371810913086,1746188054.1739023
75,1.004099726676941,0.02018229104578495,0.16137152910232544,115200.0,0.10852555930614471,71.716552255,27.59505271911621,0.9999999403953552,0.0,0.007308486849069595,0.0,352,74,29.653371810913086,1746188060.083206
98,1.0084360837936401,0.01822916604578495,0.200608491897583,150528.0,0.10852555930614471,78.499332703,29.35546875,0.9999999403953552,0.0,0.008326441049575806,0.0,536,97,29.653371810913086,1746188066.8659945
122,1.0523061752319336,0.01953125,0.18474216759204865,187392.0,0.10852555930614471,85.603028408,28.55013084411621,0.9999999403953552,0.0,0.02354077436029911,0.0,728,121,29.653371810913086,1746188073.9697082
134,1.0595333576202393,0.017578125,0.2143992930650711,205824.0,0.10852555930614471,89.167706738,29.86588478088379,0.9999999403953552,0.0,0.015030505135655403,0.0,824,133,29.653371810913086,1746188077.5343704
