returned_episode_lengths,returned_won_episode,update_steps,env_step,_step,test_returned_episode_returns,loss,returned_episode,returned_episode_returns,test_returned_won_episode,qvals,grad_steps,_runtime,test_returned_episode_lengths,test_returned_episode,_timestamp
22.193361282348633,0.0,5,7680,4,0.0643957182765007,0.0,0.0279947929084301,0.1956397444009781,0.0,0.0,0,84.680082262,23.661344528198242,1.0,1746198816.1884851
24.02474021911621,0.0,16,24576,15,0.0643957182765007,0.0,0.0260416679084301,0.1583130657672882,0.0,0.0,0,85.398160248,23.661344528198242,1.0,1746198816.906566
25.13020896911621,0.0,19,29184,18,0.0643957182765007,0.0,0.02278645895421505,0.18959052860736847,0.0,0.0,0,85.594162291,23.661344528198242,1.0,1746198817.1024995
26.125652313232422,0.0,33,50688,32,0.0643957182765007,0.062478017061948776,0.0240885429084301,0.1568930596113205,0.0,-0.059786513447761536,16,87.05906843,23.661344528198242,1.0,1746198818.5673892
23.912761688232422,0.0,43,66048,42,0.0643957182765007,0.04820900037884712,0.02734375186264515,0.1991908997297287,0.0,-0.1283264458179474,96,90.462113393,23.661344528198242,1.0,1746198821.970407
26.24153709411621,0.0,49,75264,48,0.0643957182765007,0.04808824509382248,0.02278645895421505,0.23508772253990173,0.0,0.11969312280416489,144,92.492539999,23.661344528198242,1.0,1746198824.0008035
23.88411521911621,0.0,50,76800,49,0.0643957182765007,0.03738652169704437,0.0260416679084301,0.19583404064178467,0.0,0.0948362797498703,152,92.828860066,23.661344528198242,1.0,1746198824.3371692
26.694011688232422,0.0,81,124416,80,0.0643957182765007,0.09991016983985901,0.02083333395421505,0.2160196453332901,0.0,0.32711660861968994,400,103.313312621,23.661344528198242,1.0,1746198834.8216789
26.731121063232422,0.0,86,132096,85,0.0643957182765007,0.14241090416908264,0.0221354179084301,0.22611097991466522,0.0,0.23648852109909058,440,104.99579066,23.661344528198242,1.0,1746198836.504078
26.21614646911621,0.0,88,135168,87,0.0643957182765007,0.13202306628227234,0.02148437686264515,0.23502002656459808,0.0,0.24077126383781433,456,105.671748814,23.661344528198242,1.0,1746198837.180015
22.86458396911621,0.0,97,148992,96,0.0643957182765007,0.20315146446228027,0.02473958395421505,0.21501529216766357,0.0,0.23251934349536896,528,108.734430551,23.661344528198242,1.0,1746198840.2427537
25.525392532348633,0.0345052108168602,100,153600,99,0.0643957182765007,0.15898030996322632,0.0221354179084301,0.25543349981307983,0.0,0.2501816749572754,552,109.744092647,23.661344528198242,1.0,1746198841.2524333
23.363933563232422,0.0,101,155136,100,0.0643957182765007,0.16054600477218628,0.02734375186264515,0.2188696712255478,0.0,0.257996529340744,560,110.079954565,23.661344528198242,1.0,1746198841.5883007
24.826824188232422,0.0,103,158208,102,0.0643957182765007,0.24320349097251892,0.02473958395421505,0.25300148129463196,0.0,0.2575156092643738,576,110.751529722,23.661344528198242,1.0,1746198842.2598941
27.494792938232422,0.0,123,188928,122,0.0643957182765007,0.26701217889785767,0.01953125186264515,0.23003488779067993,0.0,0.32317715883255005,736,117.475253898,23.661344528198242,1.0,1746198848.9835997
26.337892532348633,0.0325520858168602,147,225792,146,0.0643957182765007,0.2699679136276245,0.02278645895421505,0.32951387763023376,0.0,0.3892982006072998,928,125.595235698,23.661344528198242,1.0,1746198857.103588
24.719402313232422,0.0,156,239616,155,0.0643957182765007,0.2647126019001007,0.02539062686264515,0.28623849153518677,0.0,0.3999481797218323,1000,128.6110328,23.661344528198242,1.0,1746198860.119347
24.279949188232422,0.0,157,241152,156,0.0643957182765007,0.3139362633228302,0.02539062686264515,0.24315747618675232,0.0,0.38720595836639404,1008,128.951951358,23.661344528198242,1.0,1746198860.460292
27.234376907348633,0.0,166,254976,165,0.0643957182765007,0.32704445719718933,0.02083333395421505,0.2657786011695862,0.0,0.3985610008239746,1080,131.992016215,23.661344528198242,1.0,1746198863.5003812
27.34114646911621,0.0,177,271872,176,0.0643957182765007,0.34577488899230957,0.01888020895421505,0.258201539516449,0.0,0.3786957263946533,1168,135.703418102,23.661344528198242,1.0,1746198867.211779
26.744792938232422,0.0,191,293376,190,0.0643957182765007,0.4462568163871765,0.0221354179084301,0.27364012598991394,0.0,0.41127505898475647,1280,140.436577451,23.661344528198242,1.0,1746198871.9449344
24.658855438232422,0.01888020895421505,196,301056,195,0.0643957182765007,0.40187549591064453,0.02278645895421505,0.297719806432724,0.0,0.4535532593727112,1320,142.115565949,23.661344528198242,1.0,1746198873.6239476
26.93489646911621,0.0,216,331776,215,0.0643957182765007,0.4445451498031616,0.0221354179084301,0.25333014130592346,0.0,0.45716097950935364,1480,148.856940884,23.661344528198242,1.0,1746198880.365245
26.051433563232422,0.0,221,339456,220,0.0643957182765007,0.47087252140045166,0.02148437686264515,0.2553766369819641,0.0,0.45613908767700195,1520,150.553205529,23.661344528198242,1.0,1746198882.0594707
24.453777313232422,0.01888020895421505,230,353280,229,0.0643957182765007,0.5162235498428345,0.02148437686264515,0.292900413274765,0.0,0.44552740454673767,1592,153.585929013,23.661344528198242,1.0,1746198885.0942419
25.865236282348633,0.005859375465661287,232,356352,231,0.0643957182765007,0.5953308939933777,0.02278645895421505,0.2668394148349762,0.0,0.43616795539855957,1608,154.271505338,23.661344528198242,1.0,1746198885.7797234
24.089845657348633,0.0,262,402432,261,0.0643957182765007,0.7116022109985352,0.02343750186264515,0.3128402829170227,0.0,0.40303686261177063,1848,164.372679825,23.661344528198242,1.0,1746198895.880894
24.92122459411621,0.0,267,410112,266,0.0643957182765007,0.7604957818984985,0.02343750186264515,0.22938431799411774,0.0,0.3870099186897278,1888,166.056284878,23.661344528198242,1.0,1746198897.5645888
25.01106834411621,0.0,271,416256,270,0.0643957182765007,0.7513643503189087,0.02343750186264515,0.19517044723033905,0.0,0.4279252886772156,1920,167.400181097,23.661344528198242,1.0,1746198898.9085515
25.34700584411621,0.0,272,417792,271,0.0643957182765007,0.7111873626708984,0.0221354179084301,0.2640922963619232,0.0,0.42383915185928345,1928,167.739860275,23.661344528198242,1.0,1746198899.2480998
26.311199188232422,0.0,273,419328,272,0.0643957182765007,0.6635768413543701,0.0221354179084301,0.25088202953338623,0.0,0.43480902910232544,1936,168.081985369,23.661344528198242,1.0,1746198899.590315
27.11263084411621,0.017578125,278,427008,277,0.0643957182765007,0.7074318528175354,0.01953125186264515,0.2916776239871979,0.0,0.4101167321205139,1976,169.777357552,23.661344528198242,1.0,1746198901.2856786
25.66927146911621,0.0,287,440832,286,0.0643957182765007,1.094801425933838,0.02343750186264515,0.2292604148387909,0.0,0.3820273280143738,2048,172.801486332,23.661344528198242,1.0,1746198904.3097053
24.431642532348633,0.0,297,456192,296,0.0643957182765007,0.8865983486175537,0.02539062686264515,0.24890822172164917,0.0,0.4023122191429138,2128,176.184450051,23.661344528198242,1.0,1746198907.6928203
25.963542938232422,0.0,351,539136,350,0.18467387557029724,1.533405065536499,0.02343750186264515,0.22246958315372467,0.0004308487696107477,0.418610155582428,2560,194.510828674,24.817319869995117,1.0,1746198926.0191767
25.79231834411621,0.0,371,569856,370,0.18467387557029724,1.919809103012085,0.02083333395421505,0.212940976023674,0.0004308487696107477,0.4272090196609497,2720,201.283686254,24.817319869995117,1.0,1746198932.792009
27.412761688232422,0.0,380,583680,379,0.18467387557029724,1.4464352130889893,0.02148437686264515,0.2443680614233017,0.0004308487696107477,0.4090301990509033,2792,204.325497984,24.817319869995117,1.0,1746198935.8338485
25.880861282348633,0.02278645895421505,388,595968,387,0.18467387557029724,1.4475231170654297,0.0201822929084301,0.2902835011482239,0.0004308487696107477,0.3990268111228943,2856,207.034643743,24.817319869995117,1.0,1746198938.5428324
26.483074188232422,0.0,411,631296,410,0.18467387557029724,1.6465997695922852,0.0221354179084301,0.23200395703315735,0.0004308487696107477,0.40897220373153687,3040,214.96977045,24.817319869995117,1.0,1746198946.4779994
25.779298782348633,0.0,412,632832,411,0.18467387557029724,1.670979380607605,0.0201822929084301,0.23928160965442657,0.0004308487696107477,0.4053431749343872,3048,215.304794642,24.817319869995117,1.0,1746198946.8130875
26.42122459411621,0.0,427,655872,426,0.18467387557029724,2.9804039001464844,0.02148437686264515,0.22976826131343842,0.0004308487696107477,0.42819076776504517,3168,220.363739321,24.817319869995117,1.0,1746198951.8721075
25.783855438232422,0.0,432,663552,431,0.18467387557029724,4.095606327056885,0.02083333395421505,0.18744248151779175,0.0004308487696107477,0.42433011531829834,3208,222.048428347,24.817319869995117,1.0,1746198953.5566602
26.248699188232422,0.0,433,665088,432,0.18467387557029724,4.760554313659668,0.02083333395421505,0.16747106611728668,0.0004308487696107477,0.438856840133667,3216,222.384992345,24.817319869995117,1.0,1746198953.8931901
27.49349021911621,0.0,452,694272,451,0.18467387557029724,1.9083495140075684,0.01888020895421505,0.17809917032718658,0.0004308487696107477,0.4000072479248047,3368,228.791660378,24.817319869995117,1.0,1746198960.3000143
26.046876907348633,0.0,468,718848,467,0.18467387557029724,2.2629055976867676,0.01888020895421505,0.18503467738628387,0.0004308487696107477,0.3940122723579407,3496,234.180800467,24.817319869995117,1.0,1746198965.689143
26.084636688232422,0.0,469,720384,468,0.18467387557029724,2.140988826751709,0.02148437686264515,0.22458958625793457,0.0004308487696107477,0.3785531520843506,3504,234.515807707,24.817319869995117,1.0,1746198966.0241582
27.174480438232422,0.0,479,735744,478,0.18467387557029724,2.366586208343506,0.01953125186264515,0.22916197776794434,0.0004308487696107477,0.3642142713069916,3584,237.896946946,24.817319869995117,1.0,1746198969.4051504
26.268230438232422,0.0,484,743424,483,0.18467387557029724,1.956343173980713,0.0201822929084301,0.228393092751503,0.0004308487696107477,0.3825976252555847,3624,239.592965621,24.817319869995117,1.0,1746198971.1012437
23.667970657348633,0.0,491,754176,490,0.18467387557029724,1.9954168796539307,0.02734375186264515,0.2121334820985794,0.0004308487696107477,0.37658315896987915,3680,241.949279234,24.817319869995117,1.0,1746198973.4576292
27.513673782348633,0.0,508,780288,507,0.18467387557029724,1.51632821559906,0.01953125186264515,0.20496121048927307,0.0004308487696107477,0.3486461639404297,3816,247.702485208,24.817319869995117,1.0,1746198979.2108054
22.351564407348633,0.0,525,806400,524,0.18467387557029724,2.0545742511749268,0.0319010429084301,0.17729979753494263,0.0004308487696107477,0.34648188948631287,3952,253.421480849,24.817319869995117,1.0,1746198984.9298086
29.352214813232422,0.0,541,830976,540,0.18467387557029724,1.387995719909668,0.017578125,0.31960833072662354,0.0004308487696107477,0.31727248430252075,4080,258.816794151,24.817319869995117,1.0,1746198990.3250718
27.47981834411621,0.0371093787252903,551,846336,550,0.18467387557029724,1.3704478740692139,0.017578125,0.3503434658050537,0.0004308487696107477,0.33210161328315735,4160,262.18462465,24.817319869995117,1.0,1746198993.6929386
27.828126907348633,0.0,565,867840,564,0.18467387557029724,1.2635371685028076,0.01888020895421505,0.33138012886047363,0.0004308487696107477,0.3324906826019287,4272,266.908629215,24.817319869995117,1.0,1746198998.4169679
25.261720657348633,0.0299479179084301,588,903168,587,0.18467387557029724,1.2685372829437256,0.0182291679084301,0.31545373797416687,0.0004308487696107477,0.35820454359054565,4456,274.652367432,24.817319869995117,1.0,1746199006.1607454
27.197917938232422,0.01497395895421505,599,920064,598,0.18467387557029724,1.337697982788086,0.017578125,0.35651734471321106,0.0004308487696107477,0.3448314964771271,4544,278.346729812,24.817319869995117,1.0,1746199009.8550868
28.953126907348633,0.01497395895421505,608,933888,607,0.18467387557029724,1.3760318756103516,0.017578125,0.2965506911277771,0.0004308487696107477,0.34543275833129883,4616,281.378835657,24.817319869995117,1.0,1746199012.8871195
27.37044334411621,0.0,621,953856,620,0.18467387557029724,0.9643687009811401,0.02083333395421505,0.3624645471572876,0.0004308487696107477,0.3183142840862274,4720,285.753899281,24.817319869995117,1.0,1746199017.2622821
28.29817771911621,0.0,633,972288,632,0.18467387557029724,0.5670627355575562,0.01692708395421505,0.3854738175868988,0.0004308487696107477,0.26598161458969116,4816,289.81101474,24.817319869995117,1.0,1746199021.3193433
27.074871063232422,0.01953125186264515,634,973824,633,0.18467387557029724,0.7469906806945801,0.02148437686264515,0.3806416392326355,0.0004308487696107477,0.2521231174468994,4824,290.147503618,24.817319869995117,1.0,1746199021.6558347
27.194011688232422,0.0,635,975360,634,0.18467387557029724,0.7077744007110596,0.017578125,0.23851710557937622,0.0004308487696107477,0.2399587482213974,4832,290.484821151,24.817319869995117,1.0,1746199021.9930122
