test_returned_episode,test_returned_episode_lengths,update_steps,returned_won_episode,test_returned_episode_returns,loss,grad_steps,returned_episode_returns,_step,test_returned_won_episode,_runtime,env_step,_timestamp,returned_episode,qvals,returned_episode_lengths
1.0,19.759410858154297,3,0.0,0.08718345314264297,0.0,0,0.14612926542758942,2,0.0,61.005593699,4608.0,1746171894.466783,0.0442708358168602,0.0,17.896484375
1.0,19.759410858154297,9,0.0,0.08718345314264297,0.0,0,0.13766571879386902,8,0.0,61.447678199,13824.0,1746171894.9089684,0.0462239608168602,0.0,17.41536521911621
1.0,19.759410858154297,14,0.0,0.08718345314264297,0.0,0,0.13097774982452393,13,0.0,61.81355044,21504.0,1746171895.2748327,0.0423177108168602,0.0,17.82161521911621
1.0,19.759410858154297,38,0.0,0.08718345314264297,0.012174837291240692,56,0.13358193635940552,37,0.0,66.231353188,58368.0,1746171899.6925216,0.0455729179084301,0.21377696096897125,17.388671875
1.0,19.759410858154297,58,0.0,0.08718345314264297,0.02510681375861168,216,0.15511363744735718,57,0.0,75.350087278,89088.0,1746171908.8112442,0.0449218787252903,0.33695822954177856,17.016277313232422
1.0,19.759410858154297,71,0.0,0.08718345314264297,0.030443452298641205,320,0.15518465638160706,70,0.0,81.261055098,109056.0,1746171914.7222302,0.0455729179084301,0.43538644909858704,17.080078125
1.0,19.759410858154297,77,0.0,0.08718345314264297,0.04843498766422272,368,0.15763495862483978,76,0.0,84.001297175,118272.0,1746171917.462454,0.0462239608168602,0.3423166573047638,17.311199188232422
1.0,19.759410858154297,82,0.0,0.08718345314264297,0.12970033288002014,408,0.16055871546268463,81,0.0,86.291862395,125952.0,1746171919.7529547,0.0475260429084301,0.3631005883216858,16.638671875
1.0,19.759410858154297,86,0.0,0.08718345314264297,0.03688255324959755,440,0.15989583730697632,85,0.0,88.128387426,132096.0,1746171921.5895529,0.0468750037252903,0.35994061827659607,17.1484375
1.0,19.759410858154297,94,0.0,0.08718345314264297,0.09279371052980423,504,0.1593395173549652,93,0.0,91.743527967,144384.0,1746171925.2046208,0.0449218787252903,0.3404644727706909,17.291667938232422
1.0,19.759410858154297,96,0.0,0.08718345314264297,0.09142789989709854,520,0.15864112973213196,95,0.0,92.662642431,147456.0,1746171926.1237981,0.0468750037252903,0.3528860807418823,16.885417938232422
1.0,19.759410858154297,101,0.0,0.08718345314264297,0.09067525714635849,560,0.1676018238067627,100,0.0,94.934871247,155136.0,1746171928.3960445,0.0455729179084301,0.33728688955307007,17.03450584411621
1.0,19.759410858154297,124,0.0,0.08718345314264297,0.13993209600448608,744,0.15622633695602417,123,0.0,105.38409151,190464.0,1746171938.845168,0.0442708358168602,0.2693188786506653,17.484375
1.0,19.759410858154297,131,0.0,0.08718345314264297,0.08248840272426605,800,0.15767046809196472,130,0.0,108.572093858,201216.0,1746171942.0332477,0.0449218787252903,0.2852100133895874,17.197265625
1.0,19.759410858154297,144,0.0,0.08718345314264297,0.06494070589542389,904,0.17099907994270325,143,0.0,114.480724049,221184.0,1746171947.9419231,0.0442708358168602,0.28902098536491394,17.59895896911621
1.0,19.759410858154297,158,0.0,0.08718345314264297,0.058344364166259766,1016,0.17425428330898285,157,0.0,120.840699129,242688.0,1746171954.301871,0.0468750037252903,0.2814295291900635,16.617839813232422
1.0,19.759410858154297,166,0.0,0.08718345314264297,0.14324873685836792,1080,0.15266336500644684,165,0.0,124.510008285,254976.0,1746171957.9711993,0.0436197929084301,0.19620582461357117,17.6953125
1.0,19.759410858154297,196,0.0,0.08718345314264297,0.046076126396656036,1320,0.18526281416416168,195,0.0,138.182969413,301056.0,1746171971.6434767,0.0423177108168602,0.21020978689193726,18.28645896911621
1.0,19.759410858154297,239,0.0,0.08718345314264297,0.05162663757801056,1664,0.23618610203266144,238,0.0,157.749022037,367104.0,1746171991.2102058,0.0527343787252903,0.15128429234027863,15.380208969116211
1.0,19.759410858154297,247,0.0,0.08718345314264297,0.08195711672306061,1728,0.22999529540538788,246,0.0,161.389586898,379392.0,1746171994.850772,0.0429687537252903,0.15182746946811676,17.9375
1.0,19.759410858154297,261,0.0,0.08718345314264297,0.13337936997413635,1840,0.23384235799312592,260,0.0,167.710412252,400896.0,1746172001.1716132,0.0410156287252903,0.15174223482608795,18.830080032348633
1.0,19.759410858154297,275,0.0,0.08718345314264297,0.054272860288619995,1952,0.24708808958530426,274,0.0,174.04856972,422400.0,1746172007.5093448,0.0442708358168602,0.15600618720054626,17.51953125
1.0,19.759410858154297,302,0.0,0.08718345314264297,0.15058141946792603,2168,0.2401515394449234,301,0.0,186.311427122,463872.0,1746172019.7725482,0.0468750037252903,0.13746026158332825,16.66536521911621
1.0,19.759410858154297,304,0.0,0.08718345314264297,0.11818401515483856,2184,0.26058241724967957,303,0.0,187.213926344,466944.0,1746172020.6748917,0.0475260429084301,0.11932088434696198,15.957032203674316
1.0,19.759410858154297,309,0.0,0.08718345314264297,0.1495709866285324,2224,0.26328128576278687,308,0.0,189.473468632,474624.0,1746172022.934249,0.0507812537252903,0.11397214233875275,15.719402313232422
1.0,19.759410858154297,310,0.0,0.08718345314264297,0.10735290497541428,2232,0.2629143297672272,309,0.0,189.926500812,476160.0,1746172023.3872566,0.0475260429084301,0.13038921356201172,16.570964813232422
1.0,19.759410858154297,316,0.0,0.08718345314264297,0.03802177309989929,2280,0.30382341146469116,315,0.0,192.646218003,485376.0,1746172026.1071618,0.0540364608168602,0.14321117103099823,14.986329078674316
1.0,19.759410858154297,322,0.0,0.08718345314264297,0.0528704971075058,2328,0.2632339596748352,321,0.0,195.336233334,494592.0,1746172028.796886,0.0449218787252903,0.14278052747249603,16.716796875
1.0,20.771854400634766,340,0.0,0.7273244857788086,0.1171620786190033,2472,0.2822680175304413,339,0.02238805964589119,203.626904571,522240.0,1746172037.0878398,0.0501302108168602,0.11643847823143005,15.709636688232422
1.0,20.771854400634766,359,0.0,0.7273244857788086,0.20477019250392914,2624,0.21298536658287048,358,0.02238805964589119,212.226649451,551424.0,1746172045.687399,0.0449218787252903,0.01779007539153099,17.30208396911621
1.0,20.771854400634766,401,0.0,0.7273244857788086,0.0510096475481987,2960,0.33918097615242004,400,0.02238805964589119,231.204822903,615936.0,1746172064.6660311,0.0533854179084301,0.04166274890303612,15.175782203674316
1.0,20.771854400634766,412,0.0,0.7273244857788086,0.05129164084792137,3048,0.279048353433609,411,0.02238805964589119,236.339665193,632832.0,1746172069.8008726,0.0455729179084301,0.041128505021333694,15.907552719116211
1.0,20.771854400634766,415,0.0,0.7273244857788086,0.035845253616571426,3072,0.36158862709999084,414,0.02238805964589119,237.692266411,637440.0,1746172071.153496,0.0540364608168602,0.0337938591837883,15.095052719116211
1.0,20.771854400634766,437,0.0,0.7273244857788086,0.03771059587597847,3248,0.3795100152492523,436,0.02238805964589119,247.623254826,671232.0,1746172081.0844753,0.0553385429084301,0.046848051249980927,14.631510734558105
1.0,20.771854400634766,450,0.0,0.7273244857788086,0.054249346256256104,3352,0.4034564793109894,449,0.02238805964589119,253.498290067,691200.0,1746172086.9593713,0.0598958358168602,0.007506998255848885,13.761719703674316
1.0,20.771854400634766,454,0.0,0.7273244857788086,0.05787111818790436,3384,0.39373818039894104,453,0.02238805964589119,255.29958345,697344.0,1746172088.7606988,0.0579427108168602,0.00026611873181536794,13.729166984558105
1.0,20.771854400634766,487,0.0,0.7273244857788086,0.051146477460861206,3648,0.4692116677761078,486,0.02238805964589119,270.220186122,748032.0,1746172103.6814036,0.0618489608168602,-0.017472876235842705,13.442057609558105
1.0,20.771854400634766,514,0.0,0.7273244857788086,0.07712160050868988,3864,0.4651515483856201,513,0.02238805964589119,282.399294538,789504.0,1746172115.8605192,0.0625,-0.08134424686431885,13.397787094116211
1.0,20.771854400634766,584,0.010416666977107525,0.7273244857788086,0.0626666396856308,4424,0.5458452105522156,583,0.02238805964589119,314.02968452,897024.0,1746172147.490885,0.0618489608168602,-0.13399973511695862,13.762370109558105
1.0,20.771854400634766,586,0.0,0.7273244857788086,0.06700877845287323,4440,0.526207447052002,585,0.02238805964589119,314.931309675,900096.0,1746172148.3925495,0.0625,-0.13494561612606049,13.497396469116211
1.0,20.771854400634766,589,0.0,0.7273244857788086,0.07219589501619339,4464,0.5268229246139526,588,0.02238805964589119,316.285427726,904704.0,1746172149.7466722,0.0631510466337204,-0.12067803740501404,13.288412094116211
1.0,20.771854400634766,593,0.009765625931322575,0.7273244857788086,0.06290584057569504,4496,0.5585110187530518,592,0.02238805964589119,318.089522047,910848.0,1746172151.550793,0.0625,-0.12426227331161499,13.625651359558105
1.0,20.771854400634766,602,0.0,0.7273244857788086,0.09864677488803864,4568,0.5478811264038086,601,0.02238805964589119,322.152741312,924672.0,1746172155.6139836,0.0611979216337204,-0.16220268607139587,13.742188453674316
