returned_episode_lengths,returned_episode_returns,returned_won_episode,update_steps,test_returned_episode,_step,test_returned_episode_returns,loss,returned_episode,grad_steps,_runtime,test_returned_episode_lengths,qvals,env_step,test_returned_won_episode,_timestamp
23.246095657348633,0.2154075801372528,0.0,2,1.0,1,0.037932515144348145,0.0,0.02734375186264515,0,69.451476495,44.82320022583008,0.0,3072,0.0,1747617388.4922442
24.24544334411621,0.19733551144599915,0.0,9,1.0,8,0.037932515144348145,0.0,0.02734375186264515,0,69.885269012,44.82320022583008,0.0,13824,0.0,1747617388.9261827
25.66731834411621,0.20611675083637238,0.0,28,1.0,27,0.037932515144348145,0.0,0.02539062686264515,0,71.052854963,44.82320022583008,0.0,43008,0.0,1747617390.0938127
23.669923782348633,0.21403545141220093,0.0,34,1.0,33,0.037932515144348145,0.04384316876530647,0.02734375186264515,24,72.252277223,44.82320022583008,0.12357932329177856,52224,0.0,1747617391.293093
24.38997459411621,0.2654935121536255,0.0,58,1.0,57,0.037932515144348145,0.061228249222040176,0.02343750186264515,216,80.261157209,44.82320022583008,0.4923061728477478,89088,0.0,1747617399.3018954
22.820314407348633,0.2814737558364868,0.0,89,1.0,88,0.037932515144348145,0.11844941228628159,0.0279947929084301,464,90.637525379,44.82320022583008,0.6803461313247681,136704,0.0,1747617409.6780293
24.40364646911621,0.2831534743309021,0.0,97,1.0,96,0.037932515144348145,0.12799088656902313,0.02669270895421505,528,93.325798798,44.82320022583008,0.6255865097045898,148992,0.0,1747617412.3665793
25.652345657348633,0.27698588371276855,0.0,98,1.0,97,0.037932515144348145,0.12980759143829346,0.02539062686264515,536,93.657092105,44.82320022583008,0.6203541159629822,150528,0.0,1747617412.6977422
22.820314407348633,0.2924482524394989,0.0,111,1.0,110,0.037932515144348145,0.18043923377990723,0.02539062686264515,640,98.015577757,44.82320022583008,0.6293329000473022,170496,0.0,1747617417.0562332
25.099611282348633,0.3056257963180542,0.0,118,1.0,117,0.037932515144348145,0.22491370141506195,0.0240885429084301,696,100.360368296,44.82320022583008,0.6251780390739441,181248,0.0,1747617419.401179
