test_returned_won_episode,returned_episode_returns,env_step,loss,grad_steps,returned_episode,test_returned_episode_returns,test_returned_episode,_timestamp,returned_episode_lengths,update_steps,returned_won_episode,qvals,_step,test_returned_episode_lengths,_runtime
0.0,0.15844877064228058,24576.0,0.0,0,0.02083333395421505,0.0021013151854276657,1.0,1746191168.8608315,27.97200584411621,16,0.0,0.0,15,12.093387603759766,45.362534512
0.0,0.13362239301204681,46080.0,0.0,0,0.01953125,0.0021013151854276657,1.0,1746191169.6409662,28.14778709411621,30,0.0,0.0,29,12.093387603759766,46.142674647
0.0,0.17568054795265198,81408.0,0.009974339976906776,176,0.01822916604578495,0.0021013151854276657,1.0,1746191176.1955824,29.82356834411621,53,0.0,0.811491847038269,52,12.093387603759766,52.697289001
0.0,0.1831284612417221,133632.0,0.008806321769952774,448,0.02018229104578495,0.0021013151854276657,1.0,1746191186.2426803,27.76953125,87,0.0,0.9219096899032593,86,12.093387603759766,62.744368519
0.0,0.181949645280838,281088.0,0.03305166959762573,1216,0.01692708395421505,0.0021013151854276657,1.0,1746191214.6074352,29.50260353088379,183,0.0,0.7738968133926392,182,12.093387603759766,91.109147843
0.0,0.18710067868232727,301056.0,0.03210717439651489,1320,0.015625,0.0021013151854276657,1.0,1746191218.4465373,29.85677146911621,196,0.0,0.8124989867210388,195,12.093387603759766,94.948239218
0.0,0.18843227624893188,327168.0,0.03951350599527359,1456,0.01692708395421505,0.0021013151854276657,1.0,1746191223.4686391,29.41080665588379,213,0.0,0.7354971170425415,212,12.093387603759766,99.970348284
0.0,0.20121438801288605,339456.0,0.04349052160978317,1520,0.014322916977107525,0.0021013151854276657,1.0,1746191225.8324625,30.41536521911621,221,0.0,0.739427924156189,220,12.093387603759766,102.334155978
0.0,0.18961717188358307,345600.0,0.040464963763952255,1552,0.014322916977107525,0.0021013151854276657,1.0,1746191227.0142007,29.96224021911621,225,0.0,0.7410776019096375,224,12.093387603759766,103.515893922
0.0,0.2127508670091629,367104.0,0.039302513003349304,1664,0.014973958022892475,0.0021013151854276657,1.0,1746191231.1478384,30.39518165588379,239,0.0,0.7290897369384766,238,12.093387603759766,107.649547054
0.0,0.20662933588027954,370176.0,0.03731247037649155,1680,0.01822916604578495,0.0021013151854276657,1.0,1746191231.738805,28.47525978088379,241,0.0,0.7245242595672607,240,12.093387603759766,108.240526865
0.0,0.19065538048744202,411648.0,0.04717357084155083,1896,0.017578125,0.0021013151854276657,1.0,1746191239.7134717,28.87630271911621,268,0.0,0.5917568206787109,267,12.093387603759766,116.215169959
0.0,0.19837412238121033,417792.0,0.07394887506961823,1928,0.017578125,0.0021013151854276657,1.0,1746191240.8965676,28.86067771911621,272,0.0,0.6110740900039673,271,12.093387603759766,117.398345699
0.0,0.15098871290683746,430080.0,0.06839672476053238,1992,0.021484375,0.0021013151854276657,1.0,1746191243.258032,28.04557228088379,280,0.0,0.5573669672012329,279,12.093387603759766,119.759748399
0.0,0.18771526217460632,446976.0,0.18875975906848907,2080,0.017578125,0.0021013151854276657,1.0,1746191246.5118442,28.79361915588379,291,0.0,0.43918609619140625,290,12.093387603759766,123.013553611
0.0,0.15145225822925568,500736.0,0.180648535490036,2360,0.01627604104578495,0.06765097379684448,1.0,1746191256.9127474,29.404296875,326,0.0,0.5417755842208862,325,38.28116226196289,133.414449401
0.0,0.17086195945739746,523776.0,0.21209582686424255,2480,0.01627604104578495,0.06765097379684448,1.0,1746191261.3429725,29.88020896911621,341,0.0,0.42375993728637695,340,38.28116226196289,137.844669618
0.0,0.147523432970047,615936.0,0.2608456611633301,2960,0.02278645895421505,0.06765097379684448,1.0,1746191279.0715225,26.86849021911621,401,0.0,0.2941441535949707,400,38.28116226196289,155.573234424
0.0,0.18508245050907135,635904.0,0.18579524755477905,3064,0.015625,0.06765097379684448,1.0,1746191282.912502,30.78385353088379,414,0.0,0.2609039545059204,413,38.28116226196289,159.414203866
0.0,0.1920320987701416,680448.0,0.13773098587989807,3296,0.01627604104578495,0.06765097379684448,1.0,1746191291.5535305,29.87760353088379,443,0.0,0.20406566560268402,442,38.28116226196289,168.055221101
0.0,0.17671091854572296,723456.0,0.1901603639125824,3520,0.01627604104578495,0.06765097379684448,1.0,1746191299.8260021,30.47005271911621,471,0.0,0.23894062638282776,470,38.28116226196289,176.327691902
0.0,0.1706249862909317,749568.0,0.1939849555492401,3656,0.015625,0.06765097379684448,1.0,1746191304.8490667,30.875,488,0.0,0.21056920289993286,487,38.28116226196289,181.350751539
0.0,0.1578506976366043,795648.0,0.13142462074756622,3896,0.015625,0.06765097379684448,1.0,1746191313.7159555,31.20572853088379,518,0.0,0.24070167541503906,517,38.28116226196289,190.217715763
0.0,0.1394565850496292,803328.0,0.12076154351234436,3936,0.014322916977107525,0.06765097379684448,1.0,1746191315.194605,32.13541793823242,523,0.0,0.2228451520204544,522,38.28116226196289,191.69630194
0.0,0.15102168917655945,826368.0,0.15720687806606293,4056,0.01171875,0.06765097379684448,1.0,1746191319.6238716,31.05078125,538,0.0,0.1807393729686737,537,38.28116226196289,196.125566824
0.0,0.14395920932292938,838656.0,0.12228929251432419,4120,0.014973958022892475,0.06765097379684448,1.0,1746191321.9876592,32.29557418823242,546,0.0,0.135898157954216,545,38.28116226196289,198.489361054
0.0,0.14153124392032623,843264.0,0.10974976420402527,4144,0.013671875,0.06765097379684448,1.0,1746191322.8761003,31.58854103088379,549,0.0,0.13923826813697815,548,38.28116226196289,199.377870695
0.0,0.1541718691587448,850944.0,0.10433974862098694,4184,0.014322916977107525,0.06765097379684448,1.0,1746191324.3640072,31.80208396911621,554,0.0,0.1813836544752121,553,38.28116226196289,200.865978532
0.0,0.13710936903953552,872448.0,0.11675530672073364,4296,0.014322916977107525,0.06765097379684448,1.0,1746191328.5032294,31.47135353088379,568,0.0,0.1681288778781891,567,38.28116226196289,205.004919345
0.0,0.12661457061767578,886272.0,0.10706998407840729,4368,0.014322916977107525,0.06765097379684448,1.0,1746191331.1586537,31.3828125,577,0.0,0.2083244025707245,576,38.28116226196289,207.660354214
0.0,0.11860242486000061,889344.0,0.1269499808549881,4384,0.014973958022892475,0.06765097379684448,1.0,1746191331.74423,31.7109375,579,0.0,0.19038739800453186,578,38.28116226196289,208.245934546
0.0,0.12881596386432648,893952.0,0.12661167979240417,4408,0.01627604104578495,0.06765097379684448,1.0,1746191332.6274824,30.52083396911621,582,0.0,0.2045648992061615,581,38.28116226196289,209.12915344
0.0,0.13849741220474243,907776.0,0.10904733836650848,4480,0.014973958022892475,0.06765097379684448,1.0,1746191335.297368,31.52474021911621,591,0.0,0.171746164560318,590,38.28116226196289,211.799288404
0.0,0.09983159601688385,930816.0,0.08716818690299988,4600,0.01171875,0.06765097379684448,1.0,1746191339.7493122,30.16666603088379,606,0.0,0.1242915466427803,605,38.28116226196289,216.251198281
0.0,0.12820573151111603,950784.0,0.08951027691364288,4704,0.012369791977107525,0.06765097379684448,1.0,1746191343.6048791,31.36067771911621,619,0.0,0.1514919251203537,618,38.28116226196289,220.106740309
0.0,0.09563801437616348,966144.0,0.1012842059135437,4784,0.012369791977107525,0.06765097379684448,1.0,1746191346.5644825,31.04947853088379,629,0.0,0.15891075134277344,628,38.28116226196289,223.066253928
0.0,0.07576562464237213,975360.0,0.07672460377216339,4832,0.012369791977107525,0.06765097379684448,1.0,1746191348.3391347,31.70833396911621,635,0.0,0.16378113627433777,634,38.28116226196289,224.840932481
0.0,0.11282465606927872,983040.0,0.07282836735248566,4872,0.014322916977107525,0.06765097379684448,1.0,1746191349.8199954,32.12890625,640,0.0,0.20868253707885742,639,38.28116226196289,226.321791433
0.0,0.11969704180955887,993792.0,0.07446455955505371,4928,0.013671875,0.06765097379684448,1.0,1746191351.8917613,31.77083396911621,647,0.0,0.205107182264328,646,38.28116226196289,228.393612744
0.0,0.0919930562376976,1007616.0,0.07892680168151855,5000,0.013020833022892475,0.09060069173574448,1.0,1746191354.6202004,31.77734375,656,0.0,0.12472759187221527,655,56.59690475463867,231.121928408
0.0,0.07744704931974411,1018368.0,0.0764436423778534,5056,0.013020833022892475,0.09060069173574448,1.0,1746191356.6972766,31.24869728088379,663,0.0,0.0909782201051712,662,56.59690475463867,233.199031028
0.0,0.07407291978597641,1022976.0,0.07211384177207947,5080,0.011067708022892475,0.09060069173574448,1.0,1746191357.5845852,31.79036521911621,666,0.0,0.04732444882392883,665,56.59690475463867,234.086345592
0.0,0.09274913370609283,1052160.0,0.06960005313158035,5232,0.013020833022892475,0.09060069173574448,1.0,1746191363.2157438,32.13411331176758,685,0.0,0.09795915335416794,684,56.59690475463867,239.717691929
0.0,0.09498350322246552,1065984.0,0.05946732312440872,5304,0.013671875,0.09060069173574448,1.0,1746191365.8854778,32.20963668823242,694,0.0,0.10923775285482407,693,56.59690475463867,242.387385144
0.0,0.12914234399795532,1090560.0,0.06255204975605011,5432,0.013671875,0.09060069173574448,1.0,1746191370.6250482,31.82552146911621,710,0.0,0.08849267661571503,709,56.59690475463867,247.126948705
0.0,0.09907986223697662,1093632.0,0.05177856236696243,5448,0.012369791977107525,0.09060069173574448,1.0,1746191371.2174287,32.34244918823242,712,0.0,0.08577822148799896,711,56.59690475463867,247.719351686
0.0,0.10553471744060516,1121280.0,0.06660264730453491,5592,0.009765625,0.09060069173574448,1.0,1746191376.5549023,31.65234375,730,0.0,0.061540331691503525,729,56.59690475463867,253.056822637
0.0,0.11507032066583633,1135104.0,0.05526025593280792,5664,0.011067708022892475,0.09060069173574448,1.0,1746191379.2222087,31.3984375,739,0.0,0.08506894111633301,738,56.59690475463867,255.724040145
0.0,0.177129328250885,1142784.0,0.05151869356632233,5704,0.012369791977107525,0.09060069173574448,1.0,1746191380.7029562,31.19661521911621,744,0.0,0.058993227779865265,743,56.59690475463867,257.204825868
0.0,0.13876822590827942,1181184.0,0.11859467625617981,5904,0.014322916977107525,0.09060069173574448,1.0,1746191388.1056933,31.74869728088379,769,0.0,0.004625781439244747,768,56.59690475463867,264.607631245
0.0,0.21643921732902527,1185792.0,0.05074986815452576,5928,0.013020833022892475,0.09060069173574448,1.0,1746191388.9959657,31.61197853088379,772,0.0,0.0004595586797222495,771,56.59690475463867,265.497928705
0.0,0.23299391567707062,1188864.0,0.04447179660201073,5944,0.014973958022892475,0.09060069173574448,1.0,1746191389.5890608,31.95833396911621,774,0.0,0.0030509880743920803,773,56.59690475463867,266.090985491
0.0,0.21072307229042053,1202688.0,0.06562436372041702,6016,0.013020833022892475,0.09060069173574448,1.0,1746191392.249263,31.17708396911621,783,0.0,-0.013293479569256306,782,56.59690475463867,268.750972588
0.0,0.24843226373195648,1210368.0,0.0411311611533165,6056,0.014322916977107525,0.09060069173574448,1.0,1746191393.7260768,30.92447853088379,788,0.0,0.008853055536746979,787,56.59690475463867,270.227779394
0.0,0.2219860851764679,1233408.0,0.05191941559314728,6176,0.01171875,0.09060069173574448,1.0,1746191398.1592953,31.19921875,803,0.0,0.0841531902551651,802,56.59690475463867,274.660980607
0.0,0.2482578009366989,1239552.0,0.038744546473026276,6208,0.013020833022892475,0.09060069173574448,1.0,1746191399.340996,32.00260543823242,807,0.0,0.0729389488697052,806,56.59690475463867,275.842700949
0.0,0.24170568585395813,1274880.0,0.034230608493089676,6392,0.012369791977107525,0.09060069173574448,1.0,1746191406.138689,30.765625,830,0.0,0.0779426246881485,829,56.59690475463867,282.640401563
0.0,0.2348758429288864,1281024.0,0.032032959163188934,6424,0.013020833022892475,0.09060069173574448,1.0,1746191407.319452,29.53515625,834,0.0,0.059443578124046326,833,56.59690475463867,283.821146588
0.0,0.2693037688732147,1290240.0,0.03321285918354988,6472,0.011067708022892475,0.09060069173574448,1.0,1746191409.090586,31.30338478088379,840,0.0,0.06344674527645111,839,56.59690475463867,285.592280515
0.0,0.24336542189121246,1296384.0,0.04196403548121452,6504,0.013671875,0.09060069173574448,1.0,1746191410.2722576,30.41145896911621,844,0.0,0.08863452821969986,843,56.59690475463867,286.773960255
0.0,0.2807985842227936,1436160.0,0.022122476249933243,7232,0.013671875,0.09060069173574448,1.0,1746191437.1722631,31.5390625,935,0.0,0.07839952409267426,934,56.59690475463867,313.673955915
0.0,0.2642768919467926,1437696.0,0.023758508265018463,7240,0.013671875,0.09060069173574448,1.0,1746191437.4674404,31.45703125,936,0.0,0.07962335646152496,935,56.59690475463867,313.969132477
0.0,0.28028208017349243,1460736.0,0.019940312951803207,7360,0.013020833022892475,0.09060069173574448,1.0,1746191441.898858,31.28125,951,0.0,0.05136353522539139,950,56.59690475463867,318.400565349
0.0,0.28409284353256226,1465344.0,0.020036228001117706,7384,0.01171875,0.09060069173574448,1.0,1746191442.7841504,30.83984375,954,0.0,0.05674152076244354,953,56.59690475463867,319.285865904
0.0,0.2952091693878174,1474560.0,0.021193914115428925,7432,0.013020833022892475,0.09060069173574448,1.0,1746191444.5586374,31.32161521911621,960,0.0,0.054174989461898804,959,56.59690475463867,321.060358277
0.0,0.2838853895664215,1499136.0,0.017103776335716248,7560,0.013020833022892475,0.5883956551551819,1.0,1746191449.3472786,31.34375,976,0.0,0.051531825214624405,975,61.95935821533203,325.848964409
0.0,0.319999098777771,1517568.0,0.017264388501644135,7656,0.014973958022892475,0.5883956551551819,1.0,1746191452.8945217,32.22526168823242,988,0.0,-0.07808344066143036,987,61.95935821533203,329.396233031
0.0,0.29953643679618835,1522176.0,0.01785285398364067,7680,0.014973958022892475,0.5883956551551819,1.0,1746191453.780754,31.18619728088379,991,0.0,-0.05269645154476166,990,61.95935821533203,330.282470644
0.0,0.31172648072242737,1534464.0,0.01546555757522583,7744,0.014322916977107525,0.5883956551551819,1.0,1746191456.1437492,31.95442771911621,999,0.0,-0.03919260948896408,998,61.95935821533203,332.645454011
0.0,0.3151380121707916,1589760.0,0.01368543691933155,8032,0.01171875,0.5883956551551819,1.0,1746191466.774962,31.33463478088379,1035,0.0,-0.0036285612732172012,1034,61.95935821533203,343.276689282
0.0,0.3387109041213989,1669632.0,0.01153468620032072,8448,0.014322916977107525,0.5883956551551819,1.0,1746191482.1325066,31.58854103088379,1087,0.0,-0.11863327771425247,1086,61.95935821533203,358.634194791
0.0,0.3233567476272583,1671168.0,0.011209588497877121,8456,0.013020833022892475,0.5883956551551819,1.0,1746191482.4277852,32.08854293823242,1088,0.0,-0.11902186274528503,1087,61.95935821533203,358.929482178
0.0,0.29836714267730713,1674240.0,0.010959280654788017,8472,0.011067708022892475,0.5883956551551819,1.0,1746191483.019341,31.36849021911621,1090,0.0,-0.12377020716667175,1089,61.95935821533203,359.52103005
0.0,0.31608501076698303,1732608.0,0.01111655868589878,8776,0.01171875,0.5883956551551819,1.0,1746191494.2480063,31.68880271911621,1128,0.0,-0.17723748087882996,1127,61.95935821533203,370.749719102
0.0,0.2854244112968445,1771008.0,0.011295684613287449,8976,0.009765625,0.5883956551551819,1.0,1746191501.631517,30.24479103088379,1153,0.0,-0.1313086748123169,1152,61.95935821533203,378.133207273
0.0,0.3130129873752594,1783296.0,0.011874040588736534,9040,0.008463541977107525,0.5883956551551819,1.0,1746191503.99227,31.57682228088379,1161,0.0,-0.13471518456935883,1160,61.95935821533203,380.493963352
0.0,0.3291892111301422,1794048.0,0.01064594928175211,9096,0.009114583022892475,0.5883956551551819,1.0,1746191506.0597963,32.33723831176758,1168,0.0,-0.12169946730136871,1167,61.95935821533203,382.561483199
0.0,0.3317195773124695,1815552.0,0.010939679108560085,9208,0.013671875,0.5883956551551819,1.0,1746191510.1950707,32.40364456176758,1182,0.0,-0.1119268462061882,1181,61.95935821533203,386.696772044
0.0,0.31793054938316345,1826304.0,0.01273004338145256,9264,0.013020833022892475,0.5883956551551819,1.0,1746191512.262606,32.12760543823242,1189,0.0,-0.1280398964881897,1188,61.95935821533203,388.764300838
0.0,0.29501643776893616,1835520.0,0.027761485427618027,9312,0.009765625,0.5883956551551819,1.0,1746191514.0379605,30.51432228088379,1195,0.0,-0.06614163517951965,1194,61.95935821533203,390.539699831
0.0,0.2926787734031677,1852416.0,0.013412820175290108,9400,0.009114583022892475,0.5883956551551819,1.0,1746191517.2879672,31.91015625,1206,0.0,-0.12592241168022156,1205,61.95935821533203,393.789669512
0.0,0.3289322257041931,1873920.0,0.011673657223582268,9512,0.015625,0.5883956551551819,1.0,1746191521.4222126,30.94661521911621,1220,0.0,-0.12813283503055573,1219,61.95935821533203,397.923906931
0.0,0.29690971970558167,1900032.0,0.01201716624200344,9648,0.008463541977107525,0.5883956551551819,1.0,1746191526.441991,31.58854103088379,1237,0.0,-0.11732292175292969,1236,61.95935821533203,402.943697957
0.0,0.29374387860298157,1907712.0,0.014248190447688103,9688,0.01171875,0.5883956551551819,1.0,1746191527.9177804,30.59635353088379,1242,0.0,-0.14969965815544128,1241,61.95935821533203,404.419491094
0.0,0.3202577531337738,1924608.0,0.011651009321212769,9776,0.009765625,0.5883956551551819,1.0,1746191531.1678677,31.671875,1253,0.0,-0.06767544895410538,1252,61.95935821533203,407.669580571
0.0,0.32396870851516724,1939968.0,0.010981332510709763,9856,0.01171875,0.5883956551551819,1.0,1746191534.1205945,32.12630081176758,1263,0.0,-0.07505790889263153,1262,61.95935821533203,410.622291451
0.0,0.33122217655181885,1949184.0,0.011421489529311657,9904,0.01171875,0.5883956551551819,1.0,1746191535.8942173,31.98697853088379,1269,0.0,-0.07394123077392578,1268,61.95935821533203,412.395916833
0.0,0.31579944491386414,2064384.0,0.011571825481951237,10504,0.008463541977107525,0.6643967032432556,1.0,1746191558.1388187,31.22395896911621,1344,0.0,-0.21230527758598328,1343,67.39274597167969,434.640526179
0.0,0.2996848523616791,2078208.0,0.02242875099182129,10576,0.013671875,0.6643967032432556,1.0,1746191560.797278,30.86588478088379,1353,0.0,-0.19616883993148804,1352,67.39274597167969,437.298967294
0.0,0.30497825145721436,2136576.0,0.009600300341844559,10880,0.008463541977107525,0.6643967032432556,1.0,1746191572.0233147,31.078125,1391,0.0,-0.1669301986694336,1390,67.39274597167969,448.525018581
0.0,0.3108879625797272,2142720.0,0.01111694984138012,10912,0.0078125,0.6643967032432556,1.0,1746191573.2039728,31.03775978088379,1395,0.0,-0.16075919568538666,1394,67.39274597167969,449.705674677
0.0,0.32359370589256287,2155008.0,0.06927137076854706,10976,0.015625,0.6643967032432556,1.0,1746191575.5672355,31.90755271911621,1403,0.0,-0.3501148819923401,1402,67.39274597167969,452.068939479
0.0,0.31977686285972595,2184192.0,0.011197570711374283,11128,0.012369791977107525,0.6643967032432556,1.0,1746191581.1809702,32.23176956176758,1422,0.0,-0.3082333505153656,1421,67.39274597167969,457.682682948
0.0,0.2945963144302368,2211840.0,0.01570235937833786,11272,0.009765625,0.6643967032432556,1.0,1746191586.495332,30.375,1440,0.0,-0.299341082572937,1439,67.39274597167969,462.997018128
0.0,0.31494003534317017,2233344.0,0.014463631436228752,11384,0.009765625,0.6643967032432556,1.0,1746191590.6307583,31.72916603088379,1454,0.0,-0.2923194169998169,1453,67.39274597167969,467.132473016
0.0,0.31143486499786377,2248704.0,0.010637465864419937,11464,0.009114583022892475,0.6643967032432556,1.0,1746191593.5833657,31.0234375,1464,0.0,-0.27989354729652405,1463,67.39274597167969,470.085078475
0.0,0.2885094881057739,2257920.0,0.011364201083779335,11512,0.0078125,0.6643967032432556,1.0,1746191595.3616219,29.8203125,1470,0.0,-0.28902667760849,1469,67.39274597167969,471.863327557
0.0,0.29140880703926086,2260992.0,0.015816353261470795,11528,0.009114583022892475,0.6643967032432556,1.0,1746191595.9522655,30.94010353088379,1472,0.0,-0.2826777696609497,1471,67.39274597167969,472.453952514
0.0,0.30287232995033264,2268672.0,0.03724110126495361,11568,0.009114583022892475,0.6643967032432556,1.0,1746191597.4278927,31.83333396911621,1477,0.0,-0.17831869423389435,1476,67.39274597167969,473.929594994
0.0,0.30705636739730835,2277888.0,0.013531005010008812,11616,0.0078125,0.6643967032432556,1.0,1746191599.199684,31.76822853088379,1483,0.0,-0.17756645381450653,1482,67.39274597167969,475.701382189
0.0,0.2918975055217743,2310144.0,0.012118149548768997,11784,0.008463541977107525,0.6643967032432556,1.0,1746191605.4016497,30.36197853088379,1504,0.0,-0.17840778827667236,1503,67.39274597167969,481.903352955
0.0,0.30957892537117004,2345472.0,0.010360714048147202,11968,0.009114583022892475,0.6643967032432556,1.0,1746191612.1930764,30.88411521911621,1527,0.0,-0.20243173837661743,1526,67.39274597167969,488.694794558
0.0,0.2946839928627014,2403840.0,0.01001831516623497,12272,0.008463541977107525,0.6643967032432556,1.0,1746191623.420202,30.15755271911621,1565,0.0,-0.24589082598686218,1564,67.39274597167969,499.921880067
0.0,0.28278815746307373,2405376.0,0.00977324414998293,12280,0.009114583022892475,0.6643967032432556,1.0,1746191623.7155774,29.75911521911621,1566,0.0,-0.24064429104328156,1565,67.39274597167969,500.21729278
0.0,0.313384473323822,2419200.0,0.01780364103615284,12352,0.0078125,0.6643967032432556,1.0,1746191626.3743324,30.85677146911621,1575,0.0,-0.2542973756790161,1574,67.39274597167969,502.876017546
0.0,0.30302077531814575,2423808.0,0.012588487938046455,12376,0.0078125,0.6643967032432556,1.0,1746191627.259803,30.15625,1578,0.0,-0.25789105892181396,1577,67.39274597167969,503.761516558
0.0,0.3038714826107025,2431488.0,0.11366703361272812,12416,0.011067708022892475,0.6643967032432556,1.0,1746191628.7364511,31.88020896911621,1583,0.0,-0.21639902889728546,1582,67.39274597167969,505.238161081
0.0,0.32091227173805237,2448384.0,0.019240297377109528,12504,0.008463541977107525,0.6643967032432556,1.0,1746191631.9872894,31.90364646911621,1594,0.0,-0.3003019690513611,1593,67.39274597167969,508.48898036
0.0,0.3037707805633545,2452992.0,0.009812962263822556,12528,0.0078125,0.6643967032432556,1.0,1746191632.8728344,29.78775978088379,1597,0.0,-0.2989456057548523,1596,67.39274597167969,509.374532452
0.0,0.29460933804512024,2474496.0,0.01210144441574812,12640,0.009765625,0.6643967032432556,1.0,1746191637.0131598,30.421875,1611,0.0,-0.3024292290210724,1610,67.39274597167969,513.514865969
0.0,0.3198593258857727,2476032.0,0.013755720108747482,12648,0.009114583022892475,0.6643967032432556,1.0,1746191637.308484,31.80989646911621,1612,0.0,-0.30285391211509705,1611,67.39274597167969,513.810180497
0.0,0.3152247667312622,2477568.0,0.01069867517799139,12656,0.0078125,0.6643967032432556,1.0,1746191637.6035368,30.71744728088379,1613,0.0,-0.30052608251571655,1612,67.39274597167969,514.105252125
0.0,0.3210233747959137,2483712.0,0.012935817241668701,12688,0.0078125,0.6643967032432556,1.0,1746191638.7840161,30.84244728088379,1617,0.0,-0.2929763197898865,1616,67.39274597167969,515.285728488
0.0,0.31149646639823914,2494464.0,0.015827860683202744,12744,0.0078125,0.6643967032432556,1.0,1746191640.850419,31.48046875,1624,0.0,-0.3093684911727905,1623,67.39274597167969,517.3521204
0.007462686393409967,0.3271978795528412,2502144.0,0.012594366446137428,12784,0.008463541977107525,0.7630719542503357,1.0,1746191642.3900595,32.15885543823242,1629,0.0,-0.30687499046325684,1628,73.0055923461914,518.891764497
