update_steps,test_returned_episode_lengths,rng3947986621/returned_episode_lengths,_timestamp,rng3947986621/returned_episode_returns,_runtime,rng3947986621/env_step,rng3947986621/test_returned_episode_lengths,rng3947986621/returned_episode,qvals,rng3947986621/qvals,returned_episode_lengths,env_step,test_returned_episode_returns,rng3947986621/loss,returned_won_episode,returned_episode_returns,test_returned_won_episode,rng3947986621/update_steps,returned_episode,loss,rng3947986621/test_returned_episode_returns,grad_steps,rng3947986621/grad_steps,_step,rng3947986621/test_returned_episode,rng3947986621/returned_won_episode,test_returned_episode,rng3947986621/test_returned_won_episode
401,52.69530487060547,31.46484375,1746181017.175237,0.19391612708568573,197.212681908,615936.0,52.69530487060547,0.01497395895421505,0.31604883074760437,0.31604883074760437,31.46484375,615936.0,0.5243716239929199,0.14972686767578125,0.0,0.19391612708568573,0.0,401,0.01497395895421505,0.14972686767578125,0.5243716239929199,2960,2960,400,1.0,0.0,1.0,0.0
408,52.69530487060547,31.46614646911621,1746181019.9532797,0.15494978427886963,199.990770194,626688.0,52.69530487060547,0.01497395895421505,0.27517932653427124,0.27517932653427124,31.46614646911621,626688.0,0.5243716239929199,0.35097938776016235,0.0,0.15494978427886963,0.0,408,0.01497395895421505,0.35097938776016235,0.5243716239929199,3016,3016,407,1.0,0.0,1.0,0.0
420,52.69530487060547,31.21224021911621,1746181024.7714489,0.1815372109413147,204.808892143,645120.0,52.69530487060547,0.015625,0.2713759243488312,0.2713759243488312,31.21224021911621,645120.0,0.5243716239929199,0.3621428906917572,0.0,0.1815372109413147,0.0,420,0.015625,0.3621428906917572,0.5243716239929199,3112,3112,419,1.0,0.0,1.0,0.0
427,52.69530487060547,31.404949188232422,1746181027.5454147,0.1756746470928192,207.582870305,655872.0,52.69530487060547,0.015625,0.30158111453056335,0.30158111453056335,31.404949188232422,655872.0,0.5243716239929199,0.20780473947525024,0.0,0.1756746470928192,0.0,427,0.015625,0.20780473947525024,0.5243716239929199,3168,3168,426,1.0,0.0,1.0,0.0
431,52.69530487060547,31.13802146911621,1746181029.1298873,0.15796911716461182,209.167344493,662016.0,52.69530487060547,0.015625,0.3174591660499573,0.3174591660499573,31.13802146911621,662016.0,0.5243716239929199,0.18942099809646606,0.0,0.15796911716461182,0.0,431,0.015625,0.18942099809646606,0.5243716239929199,3200,3200,430,1.0,0.0,1.0,0.0
451,52.69530487060547,31.815105438232422,1746181037.058217,0.1511499583721161,217.095685572,692736.0,52.69530487060547,0.01497395895421505,0.3329095244407654,0.3329095244407654,31.815105438232422,692736.0,0.5243716239929199,0.19931238889694214,0.0,0.1511499583721161,0.0,451,0.01497395895421505,0.19931238889694214,0.5243716239929199,3360,3360,450,1.0,0.0,1.0,0.0
476,52.69530487060547,31.209636688232422,1746181046.9658353,0.1271645724773407,227.003300914,731136.0,52.69530487060547,0.01497395895421505,0.3869744539260864,0.3869744539260864,31.209636688232422,731136.0,0.5243716239929199,0.14945843815803528,0.0,0.1271645724773407,0.0,476,0.01497395895421505,0.14945843815803528,0.5243716239929199,3560,3560,475,1.0,0.0,1.0,0.0
480,52.69530487060547,32.087242126464844,1746181048.5510137,0.18121838569641113,228.588461499,737280.0,52.69530487060547,0.014322916977107525,0.392419695854187,0.392419695854187,32.087242126464844,737280.0,0.5243716239929199,0.14795425534248352,0.0,0.18121838569641113,0.0,480,0.014322916977107525,0.14795425534248352,0.5243716239929199,3592,3592,479,1.0,0.0,1.0,0.0
481,52.69530487060547,31.791667938232422,1746181048.9470901,0.16873058676719666,228.984559606,738816.0,52.69530487060547,0.015625,0.3847789764404297,0.3847789764404297,31.791667938232422,738816.0,0.5243716239929199,0.15658721327781677,0.0,0.16873058676719666,0.0,481,0.015625,0.15658721327781677,0.5243716239929199,3600,3600,480,1.0,0.0,1.0,0.0
487,52.69530487060547,32.06510543823242,1746181051.3241017,0.16276568174362183,231.361545322,748032.0,52.69530487060547,0.01497395895421505,0.378336101770401,0.378336101770401,32.06510543823242,748032.0,0.5243716239929199,0.15845759212970734,0.0,0.16276568174362183,0.0,487,0.01497395895421505,0.15845759212970734,0.5243716239929199,3648,3648,486,1.0,0.0,1.0,0.0
489,52.69530487060547,30.78645896911621,1746181052.1164024,0.12420117110013962,232.153811917,751104.0,52.69530487060547,0.014322916977107525,0.4349151849746704,0.4349151849746704,30.78645896911621,751104.0,0.5243716239929199,0.08473876118659973,0.0,0.12420117110013962,0.0,489,0.014322916977107525,0.08473876118659973,0.5243716239929199,3664,3664,488,1.0,0.0,1.0,0.0
501,52.69530487060547,32.05729293823242,1746181056.870438,0.13851621747016907,236.907874582,769536.0,52.69530487060547,0.01497395895421505,0.3774645924568176,0.3774645924568176,32.05729293823242,769536.0,0.5243716239929199,0.09740753471851349,0.0,0.13851621747016907,0.0,501,0.01497395895421505,0.09740753471851349,0.5243716239929199,3760,3760,500,1.0,0.0,1.0,0.0
506,52.69530487060547,31.13020896911621,1746181058.8511124,0.11712412536144257,238.888547537,777216.0,52.69530487060547,0.01106770895421505,0.39622431993484497,0.39622431993484497,31.13020896911621,777216.0,0.5243716239929199,0.10290305316448212,0.0,0.11712412536144257,0.0,506,0.01106770895421505,0.10290305316448212,0.5243716239929199,3800,3800,505,1.0,0.0,1.0,0.0
