test_returned_won_episode,returned_episode_returns,returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode,_runtime,test_returned_episode_lengths,test_returned_episode,grad_steps,env_step,qvals,_timestamp
0.0,0.166230708360672,22.837892532348633,0.0,5,4,0.05964846909046173,0.0,0.0240885429084301,86.385800651,20.634695053100586,1.0,0,7680,0.0,1746201116.3402684
0.0,0.16918794810771942,26.32552146911621,0.0,10,9,0.05964846909046173,0.0,0.02278645895421505,86.719767676,20.634695053100586,1.0,0,15360,0.0,1746201116.6741993
0.0,0.1809629499912262,23.197267532348633,0.0,13,12,0.05964846909046173,0.0,0.02734375186264515,86.91859878,20.634695053100586,1.0,0,19968,0.0,1746201116.8730574
0.0,0.17030508816242218,24.91731834411621,0.0,17,16,0.05964846909046173,0.0,0.02473958395421505,87.180364293,20.634695053100586,1.0,0,26112,0.0,1746201117.134816
0.0,0.17052708566188812,24.84700584411621,0.0,21,20,0.05964846909046173,0.0,0.02473958395421505,87.446016542,20.634695053100586,1.0,0,32256,0.0,1746201117.400494
0.0,0.20186302065849304,24.65950584411621,0.0,25,24,0.05964846909046173,0.0,0.02669270895421505,87.709179565,20.634695053100586,1.0,0,38400,0.0,1746201117.663644
0.0,0.18720205128192902,25.172527313232422,0.0,26,25,0.05964846909046173,0.0,0.0240885429084301,87.774409006,20.634695053100586,1.0,0,39936,0.0,1746201117.7288716
0.0,0.2043340653181076,23.684246063232422,0.0,59,58,0.05964846909046173,0.058468304574489594,0.0240885429084301,97.615792071,20.634695053100586,1.0,224,90624,0.24599556624889374,1746201127.570009
0.0,0.19672837853431702,24.875652313232422,0.0,64,63,0.05964846909046173,0.10584661364555359,0.0260416679084301,99.311625045,20.634695053100586,1.0,264,98304,0.2733573913574219,1746201129.2659202
0.0,0.22019360959529877,24.707033157348633,0.0,70,69,0.05964846909046173,0.08747284859418869,0.02343750186264515,101.350488755,20.634695053100586,1.0,312,107520,0.27307581901550293,1746201131.3048031
