_timestamp,qvals,returned_episode,update_steps,loss,env_step,grad_steps,test_returned_episode_lengths,test_returned_won_episode,returned_episode_lengths,_step,returned_won_episode,_runtime,test_returned_episode_returns,test_returned_episode,returned_episode_returns
1746186804.1846032,0.0,0.01497395895421505,15,0.0,23040.0,0,27.721879959106445,0.0,29.98046875,14,0.0,59.237780934,0.09258668124675751,1.0,0.1097870022058487
1746186811.9507174,0.32376888394355774,0.01497395895421505,48,0.0028706020675599575,73728.0,136,27.721879959106445,0.0,30.162761688232422,47,0.0,67.003933072,0.09258668124675751,1.0,0.11425244808197021
1746186825.7007158,0.7443703413009644,0.01497395895421505,83,0.01474771648645401,127488.0,416,27.721879959106445,0.0,31.15625,82,0.0,80.753941933,0.09258668124675751,1.0,0.14408499002456665
1746186826.0932498,0.7638168334960938,0.015625,84,0.01048679742962122,129024.0,424,27.721879959106445,0.0,31.00390625,83,0.0,81.146451619,0.09258668124675751,1.0,0.13224413990974426
1746186826.8825889,0.7646705508232117,0.01497395895421505,86,0.008650512434542179,132096.0,440,27.721879959106445,0.0,30.78515625,85,0.0,81.935808591,0.09258668124675751,1.0,0.14065676927566528
1746186827.6652122,0.7805944681167603,0.01497395895421505,88,0.008393262512981892,135168.0,456,27.721879959106445,0.0,30.58724021911621,87,0.0,82.718410631,0.09258668124675751,1.0,0.14227630198001862
1746186828.0567033,0.7864270210266113,0.01497395895421505,89,0.008190266788005829,136704.0,464,27.721879959106445,0.0,31.33724021911621,88,0.0,83.109918178,0.09258668124675751,1.0,0.15190210938453674
1746186830.0279214,0.801699697971344,0.01497395895421505,94,0.013253510929644108,144384.0,504,27.721879959106445,0.0,30.944011688232422,93,0.0,85.081296188,0.09258668124675751,1.0,0.1377185732126236
1746186831.5947368,0.8314526081085205,0.01497395895421505,98,0.01046824175864458,150528.0,536,27.721879959106445,0.0,31.111980438232422,97,0.0,86.64794711,0.09258668124675751,1.0,0.14528751373291016
1746186835.5236764,0.79150390625,0.015625,108,0.012019763700664043,165888.0,616,27.721879959106445,0.0,31.5078125,107,0.0,90.576892971,0.09258668124675751,1.0,0.15580108761787415
1746186842.2025173,0.7318379878997803,0.014322916977107525,125,0.026258312165737152,192000.0,752,27.721879959106445,0.0,31.16796875,124,0.0,97.255721608,0.09258668124675751,1.0,0.14630243182182312
1746186852.4331167,0.5874691009521484,0.01497395895421505,151,0.03617340326309204,231936.0,960,27.721879959106445,0.0,30.86328125,150,0.0,107.486356036,0.09258668124675751,1.0,0.16356006264686584
1746186854.0153327,0.5153887271881104,0.014322916977107525,155,0.06696511805057526,238080.0,992,27.721879959106445,0.0,31.420574188232422,154,0.0,109.068661397,0.09258668124675751,1.0,0.15599104762077332
1746186861.4911366,0.5146679878234863,0.014322916977107525,174,0.06454351544380188,267264.0,1144,27.721879959106445,0.0,31.1171875,173,0.0,116.54436732,0.09258668124675751,1.0,0.15693429112434387
1746186862.2835298,0.49362555146217346,0.01497395895421505,176,0.040427327156066895,270336.0,1160,27.721879959106445,0.0,31.46614646911621,175,0.0,117.336769227,0.09258668124675751,1.0,0.15954802930355072
1746186863.069335,0.49216151237487793,0.015625,178,0.0391155406832695,273408.0,1176,27.721879959106445,0.0,31.3203125,177,0.0,118.122587612,0.09258668124675751,1.0,0.15067651867866516
1746186871.3820755,0.42660605907440186,0.013671875,199,0.057529859244823456,305664.0,1344,27.721879959106445,0.0,31.471355438232422,198,0.0,126.435424113,0.09258668124675751,1.0,0.16085714101791382
1746186878.498135,0.4519960284233093,0.01497395895421505,217,0.10800158977508545,333312.0,1488,27.721879959106445,0.0,31.73958396911621,216,0.0,133.551401767,0.09258668124675751,1.0,0.18847855925559998
1746186879.6948245,0.4543374180793762,0.014322916977107525,220,0.10667383670806885,337920.0,1512,27.721879959106445,0.0,31.29427146911621,219,0.0,134.748100483,0.09258668124675751,1.0,0.19200241565704346
1746186880.8837185,0.4302992820739746,0.014322916977107525,223,0.29265058040618896,342528.0,1536,27.721879959106445,0.0,30.64974021911621,222,0.0,135.936976667,0.09258668124675751,1.0,0.15730468928813934
1746186883.2676528,0.440433144569397,0.015625,229,0.2679346203804016,351744.0,1584,27.721879959106445,0.0,31.41796875,228,0.0,138.320907245,0.09258668124675751,1.0,0.18159322440624237
1746186889.63006,0.4263073205947876,0.01497395895421505,245,0.12024540454149246,376320.0,1712,27.721879959106445,0.0,31.479167938232422,244,0.0,144.683332627,0.09258668124675751,1.0,0.19937345385551453
1746186894.392513,0.4776376187801361,0.01497395895421505,257,0.18265798687934875,394752.0,1808,27.721879959106445,0.0,31.24349021911621,256,0.0,149.445888969,0.09258668124675751,1.0,0.17518918216228485
1746186895.5780492,0.4684699475765228,0.015625,260,0.17749589681625366,399360.0,1832,27.721879959106445,0.0,31.268230438232422,259,0.0,150.631316118,0.09258668124675751,1.0,0.20229381322860718
1746186902.7138913,0.4694698452949524,0.01497395895421505,278,0.36387813091278076,427008.0,1976,27.721879959106445,0.0,31.35286521911621,277,0.0,157.767151058,0.09258668124675751,1.0,0.1941390037536621
1746186905.864421,0.4599969983100891,0.01497395895421505,286,0.36343857645988464,439296.0,2040,27.721879959106445,0.0,31.299480438232422,285,0.0,160.917649725,0.09258668124675751,1.0,0.19562797248363495
1746186916.1581497,0.45573222637176514,0.015625,312,0.31735649704933167,479232.0,2248,27.721879959106445,0.0,31.53515625,311,0.0,171.211432366,0.09258668124675751,1.0,0.19371435046195984
1746186926.5907238,0.45166540145874023,0.01497395895421505,338,0.31607764959335327,519168.0,2456,55.50837707519531,0.0,31.264324188232422,337,0.0,181.644065882,0.5262695550918579,1.0,0.1739077866077423
1746186929.7744734,0.4474862217903137,0.015625,346,0.31473395228385925,531456.0,2520,55.50837707519531,0.0,31.252605438232422,345,0.0,184.827744693,0.5262695550918579,1.0,0.1644304394721985
1746186933.7395022,0.4519501328468323,0.01302083395421505,356,0.2992095947265625,546816.0,2600,55.50837707519531,0.0,31.07942771911621,355,0.0,188.792761623,0.5262695550918579,1.0,0.16476230323314667
1746186934.9177072,0.4529498219490051,0.015625,359,0.30399367213249207,551424.0,2624,55.50837707519531,0.0,31.4453125,358,0.0,189.971077396,0.5262695550918579,1.0,0.14501331746578217
1746186937.3107913,0.4338230490684509,0.014322916977107525,365,0.2729349732398987,560640.0,2672,55.50837707519531,0.0,31.8671875,364,0.0,192.36405074,0.5262695550918579,1.0,0.16185802221298218
1746186939.6935089,0.42214733362197876,0.015625,371,0.28384870290756226,569856.0,2720,55.50837707519531,0.0,30.99609375,370,0.0,194.746850602,0.5262695550918579,1.0,0.1399822235107422
1746186945.641945,0.39120757579803467,0.01497395895421505,386,0.2612624764442444,592896.0,2840,55.50837707519531,0.0,31.24349021911621,385,0.0,200.695249385,0.5262695550918579,1.0,0.13967250287532806
1746186955.1349604,0.3717767596244812,0.015625,410,0.1062517911195755,629760.0,3032,55.50837707519531,0.0,30.576824188232422,409,0.0,210.188251808,0.5262695550918579,1.0,0.13912078738212585
1746186959.2138677,0.3698071837425232,0.015625,420,0.10321089625358582,645120.0,3112,55.50837707519531,0.0,31.82161521911621,419,0.0,214.267130078,0.5262695550918579,1.0,0.15490667521953583
1746186959.6186626,0.3618854284286499,0.015625,421,0.11094455420970917,646656.0,3120,55.50837707519531,0.0,30.854167938232422,420,0.0,214.67205975,0.5262695550918579,1.0,0.13751590251922607
1746186965.1654599,0.27359333634376526,0.015625,435,0.11126623302698135,668160.0,3232,55.50837707519531,0.0,31.31640625,434,0.0,220.218802697,0.5262695550918579,1.0,0.1317770928144455
1746186968.3336728,0.30342161655426025,0.013671875,443,0.1171291172504425,680448.0,3296,55.50837707519531,0.0,30.44270896911621,442,0.0,223.38706535,0.5262695550918579,1.0,0.09233607351779938
1746186969.9125595,0.31781232357025146,0.015625,447,0.13732336461544037,686592.0,3328,55.50837707519531,0.0,29.080730438232422,446,0.0,224.965899716,0.5262695550918579,1.0,0.1180088147521019
1746186975.8729577,0.255986750125885,0.013671875,462,0.322025328874588,709632.0,3448,55.50837707519531,0.0,31.43099021911621,461,0.0,230.926235937,0.5262695550918579,1.0,0.12426117062568665
1746186982.997204,0.25010257959365845,0.015625,480,0.1334301084280014,737280.0,3592,55.50837707519531,0.0,31.33724021911621,479,0.0,238.050485821,0.5262695550918579,1.0,0.12485118955373764
1746186997.270574,0.06276963651180267,0.013671875,516,0.10809114575386047,792576.0,3880,55.50837707519531,0.0,31.99609375,515,0.0,252.323927764,0.5262695550918579,1.0,0.13377274572849274
1746187011.9539213,-0.049908675253391266,0.015625,553,0.18010717630386353,849408.0,4176,55.50837707519531,0.0,31.82552146911621,552,0.0,267.007299898,0.5262695550918579,1.0,0.10088735073804855
1746187015.115415,-0.057947780936956406,0.01497395895421505,561,0.15414205193519592,861696.0,4240,55.50837707519531,0.0,31.436199188232422,560,0.0,270.16880408,0.5262695550918579,1.0,0.09049832075834274
1746187015.9102323,-0.04374508559703827,0.015625,563,0.19959190487861633,864768.0,4256,55.50837707519531,0.0,31.4609375,562,0.0,270.963602358,0.5262695550918579,1.0,0.07915440201759338
1746187023.8346093,-0.07149204611778259,0.01497395895421505,583,0.16013407707214355,895488.0,4416,55.50837707519531,0.0,32.06119918823242,582,0.0,278.887954161,0.5262695550918579,1.0,0.13486844301223755
1746187024.6287937,-0.09868694096803665,0.015625,585,0.12702572345733643,898560.0,4432,55.50837707519531,0.0,32.02604293823242,584,0.0,279.682045895,0.5262695550918579,1.0,0.13787445425987244
1746187027.8364096,-0.1474507600069046,0.015625,593,0.10678869485855103,910848.0,4496,55.50837707519531,0.0,32.0546875,592,0.0,282.889709122,0.5262695550918579,1.0,0.14188075065612793
1746187040.5772362,-0.09829168021678925,0.01497395895421505,625,0.1058950126171112,960000.0,4752,55.50837707519531,0.0,31.580730438232422,624,0.0,295.630635007,0.5262695550918579,1.0,0.14618366956710815
1746187041.7709513,-0.05546579137444496,0.01497395895421505,628,0.10577977448701859,964608.0,4776,55.50837707519531,0.0,31.678386688232422,627,0.0,296.824214996,0.5262695550918579,1.0,0.05145854502916336
1746187042.9772313,-0.04151728004217148,0.013671875,631,0.12539121508598328,969216.0,4800,55.50837707519531,0.0,31.359375,630,0.0,298.030511976,0.5262695550918579,1.0,0.10929222404956818
1746187046.1716702,-0.014181122183799744,0.01497395895421505,639,0.12878432869911194,981504.0,4864,55.50837707519531,0.0,31.67708396911621,638,0.0,301.225058343,0.5262695550918579,1.0,0.13564105331897736
1746187057.437186,-0.07877137511968613,0.014322916977107525,667,0.19879865646362305,1024512.0,5088,57.25328826904297,0.0,31.84375,666,0.0,312.490608911,0.2169221192598343,0.9999999403953552,0.06448184698820114
1746187062.2025642,-0.023627564311027527,0.015625,679,0.31090450286865234,1042944.0,5184,57.25328826904297,0.0,31.69270896911621,678,0.0,317.255949505,0.2169221192598343,0.9999999403953552,0.11983522027730942
1746187064.5830474,-0.08223336189985275,0.013671875,685,0.17131967842578888,1052160.0,5232,57.25328826904297,0.0,32.2265625,684,0.0,319.636321764,0.2169221192598343,0.9999999403953552,0.09859839081764221
1746187066.9660673,-0.02894054725766182,0.014322916977107525,691,0.27596762776374817,1061376.0,5280,57.25328826904297,0.0,31.268230438232422,690,0.0,322.019446522,0.2169221192598343,0.9999999403953552,0.0425894632935524
1746187074.4911757,-0.1673969179391861,0.012369791977107525,710,0.18116357922554016,1090560.0,5432,57.25328826904297,0.0,30.99739646911621,709,0.0,329.544439799,0.2169221192598343,0.9999999403953552,0.09718503057956696
1746187076.0760913,-0.19184252619743347,0.014322916977107525,714,0.10991925746202469,1096704.0,5464,57.25328826904297,0.0,32.4296875,713,0.0,331.129374719,0.2169221192598343,0.9999999403953552,0.0937386155128479
1746187078.8435378,-0.20226164162158966,0.01497395895421505,721,0.12599506974220276,1107456.0,5520,57.25328826904297,0.0,32.08463668823242,720,0.0,333.896783372,0.2169221192598343,0.9999999403953552,0.10266870260238647
1746187088.353764,-0.18066512048244476,0.015625,745,0.14377665519714355,1144320.0,5712,57.25328826904297,0.0,31.850261688232422,744,0.0,343.407158031,0.2169221192598343,0.9999999403953552,0.1580977588891983
1746187089.5384543,-0.20633646845817566,0.015625,748,0.14379557967185974,1148928.0,5736,57.25328826904297,0.0,31.18359375,747,0.0,344.591935662,0.2169221192598343,0.9999999403953552,0.10065019130706787
1746187091.124157,-0.19181713461875916,0.015625,752,0.1128656268119812,1155072.0,5768,57.25328826904297,0.0,31.29036521911621,751,0.0,346.177403321,0.2169221192598343,0.9999999403953552,0.09672146290540695
1746187091.9194512,-0.23539432883262634,0.015625,754,0.10090577602386475,1158144.0,5784,57.25328826904297,0.0,31.43359375,753,0.0,346.972748557,0.2169221192598343,0.9999999403953552,0.1115928515791893
1746187097.0692534,-0.1967771351337433,0.015625,767,0.14394521713256836,1178112.0,5888,57.25328826904297,0.0,31.84505271911621,766,0.0,352.122599959,0.2169221192598343,0.9999999403953552,0.16617266833782196
1746187097.8561373,-0.19419431686401367,0.015625,769,0.1661108136177063,1181184.0,5904,57.25328826904297,0.0,31.65755271911621,768,0.0,352.909412719,0.2169221192598343,0.9999999403953552,0.14997714757919312
1746187104.974732,-0.24397359788417816,0.015625,787,0.09794966876506805,1208832.0,6048,57.25328826904297,0.0,32.22135543823242,786,0.0,360.028070002,0.2169221192598343,0.9999999403953552,0.17954617738723755
1746187105.37013,-0.23875315487384796,0.015625,788,0.09158851206302643,1210368.0,6056,57.25328826904297,0.0,31.94921875,787,0.0,360.423451329,0.2169221192598343,0.9999999403953552,0.1685122698545456
1746187110.1054733,-0.24120797216892242,0.01497395895421505,800,0.08908291161060333,1228800.0,6152,57.25328826904297,0.0,32.016929626464844,799,0.0,365.158784389,0.2169221192598343,0.9999999403953552,0.1869896650314331
1746187112.4658072,-0.2336728721857071,0.015625,806,0.09112077951431274,1238016.0,6200,57.25328826904297,0.0,32.2109375,805,0.0,367.519074401,0.2169221192598343,0.9999999403953552,0.18966257572174072
1746187140.2501044,-0.3305214047431946,0.015625,876,0.06476546823978424,1345536.0,6760,57.25328826904297,0.0,31.57421875,875,0.0,395.303368321,0.2169221192598343,0.9999999403953552,0.21267223358154297
1746187143.0354493,-0.31111329793930054,0.015625,883,0.06987658143043518,1356288.0,6816,57.25328826904297,0.0,32.31119918823242,882,0.0,398.088728991,0.2169221192598343,0.9999999403953552,0.20630204677581787
1746187143.8210611,-0.3301566243171692,0.015625,885,0.06746558845043182,1359360.0,6832,57.25328826904297,0.0,32.106773376464844,884,0.0,398.87435596,0.2169221192598343,0.9999999403953552,0.2170611023902893
1746187147.3825958,-0.32696419954299927,0.014322916977107525,894,0.06257838755846024,1373184.0,6904,57.25328826904297,0.0,32.001304626464844,893,0.0,402.43584434,0.2169221192598343,0.9999999403953552,0.22526602447032928
1746187159.2870557,-0.3511613607406616,0.015625,924,0.053562697023153305,1419264.0,7144,57.25328826904297,0.0,32.15234375,923,0.0,414.340478156,0.2169221192598343,0.9999999403953552,0.2414608895778656
1746187165.6390321,-0.3199857473373413,0.015625,940,0.058609772473573685,1443840.0,7272,57.25328826904297,0.0,32.352867126464844,939,0.0,420.692747246,0.2169221192598343,0.9999999403953552,0.2394709587097168
1746187168.4066682,-0.3607064187526703,0.015625,947,0.05111627280712128,1454592.0,7328,57.25328826904297,0.0,31.854167938232422,946,0.0,423.459934446,0.2169221192598343,0.9999999403953552,0.20615963637828827
1746187171.9836664,-0.31335002183914185,0.015625,956,0.04789195954799652,1468416.0,7400,57.25328826904297,0.0,32.138023376464844,955,0.0,427.036923925,0.2169221192598343,0.9999999403953552,0.2358740270137787
1746187172.3774147,-0.30784404277801514,0.015625,957,0.048808753490448,1469952.0,7408,57.25328826904297,0.0,31.6640625,956,0.0,427.430767446,0.2169221192598343,0.9999999403953552,0.22209608554840088
