returned_episode_lengths,returned_won_episode,loss,update_steps,_step,test_returned_episode_returns,env_step,test_returned_episode_lengths,returned_episode,_runtime,grad_steps,qvals,test_returned_won_episode,returned_episode_returns,test_returned_episode,_timestamp
30.899742126464844,0.0,0.0,9,8,6.284367373154964e-06,13824,12.323841094970703,0.015625,45.487309352,0,0.0,0.0,0.11838770657777786,0.9999999403953552,1746373188.759943
30.36849021911621,0.0,0.0,28,27,6.284367373154964e-06,43008,12.323841094970703,0.015625,46.644615106,0,0.0,0.0,0.09755344688892365,0.9999999403953552,1746373189.9172544
29.86653709411621,0.0,0.007050083950161934,34,33,6.284367373154964e-06,52224,12.323841094970703,0.015625,47.816032606,24,-0.06452032178640366,0.0,0.12046821415424347,0.9999999403953552,1746373191.0886455
30.825523376464844,0.0,0.005451844539493322,43,42,6.284367373154964e-06,66048,12.323841094970703,0.013671875931322575,50.783046402,96,0.021204091608524323,0.0,0.11141103506088257,0.9999999403953552,1746373194.0556438
30.40755271911621,0.0,0.005767581984400749,60,59,6.284367373154964e-06,92160,12.323841094970703,0.014322916977107525,56.395136469,232,0.35626867413520813,0.0,0.15359826385974884,0.9999999403953552,1746373199.667764
30.846355438232422,0.0,0.007286424748599529,69,68,6.284367373154964e-06,105984,12.323841094970703,0.012369791977107525,59.367164512,304,0.5177779197692871,0.0,0.14529842138290405,0.9999999403953552,1746373202.6397884
30.27083396911621,0.0,0.011444060131907463,86,85,6.284367373154964e-06,132096,12.323841094970703,0.013671875931322575,64.982291541,440,0.6877427101135254,0.0,0.14340147376060486,0.9999999403953552,1746373208.2548816
31.063804626464844,0.0,0.017541714012622833,105,104,6.284367373154964e-06,161280,12.323841094970703,0.013671875931322575,71.256021373,592,0.7789337635040283,0.0,0.15639552474021912,0.9999999403953552,1746373214.5286427
31.236980438232422,0.0,0.020390864461660385,116,115,6.284367373154964e-06,178176,12.323841094970703,0.013671875931322575,74.883477613,680,0.8160529732704163,0.0,0.1844894289970398,0.9999999403953552,1746373218.1561055
31.770835876464844,0.0,0.01910524256527424,117,116,6.284367373154964e-06,179712,12.323841094970703,0.014322916977107525,75.213123841,688,0.8003120422363281,0.0,0.1865881234407425,0.9999999403953552,1746373218.4857504
30.928386688232422,0.0,0.024893630295991898,125,124,6.284367373154964e-06,192000,12.323841094970703,0.0162760429084301,77.851902979,752,0.8004364967346191,0.0,0.20187559723854065,0.9999999403953552,1746373221.124521
31.132814407348633,0.0,0.02901460975408554,149,148,6.284367373154964e-06,228864,12.323841094970703,0.01302083395421505,85.771212557,944,0.8193908333778381,0.0,0.1638338267803192,0.9999999403953552,1746373229.043846
31.891929626464844,0.0,0.03188645839691162,159,158,6.284367373154964e-06,244224,12.323841094970703,0.014322916977107525,89.071448801,1024,0.854150116443634,0.0,0.18832983076572418,0.9999999403953552,1746373232.344078
32.134117126464844,0.0,0.04012017324566841,165,164,6.284367373154964e-06,253440,12.323841094970703,0.01302083395421505,91.054504052,1072,0.8907880783081055,0.0,0.21624228358268738,0.9999999403953552,1746373234.3271124
31.700523376464844,0.0,0.052996475249528885,173,172,6.284367373154964e-06,265728,12.323841094970703,0.014322916977107525,93.694785598,1136,0.8915219306945801,0.0,0.2106902301311493,0.9999999403953552,1746373236.9674
31.477867126464844,0.0,0.047826893627643585,185,184,6.284367373154964e-06,284160,12.323841094970703,0.013671875931322575,97.652284965,1232,0.8770102858543396,0.0,0.22422242164611816,0.9999999403953552,1746373240.9249074
32.1484375,0.0,0.0813455805182457,213,212,6.284367373154964e-06,327168,12.323841094970703,0.01497395895421505,106.888540772,1456,0.8929166793823242,0.0,0.22849248349666595,0.9999999403953552,1746373250.1611702
31.295574188232422,0.0,0.060770098119974136,221,220,6.284367373154964e-06,339456,12.323841094970703,0.014322916977107525,109.528497965,1520,0.900385320186615,0.0,0.21927981078624725,0.9999999403953552,1746373252.8011312
31.828126907348633,0.0,0.07253974676132202,247,246,6.284367373154964e-06,379392,12.323841094970703,0.014322916977107525,118.106360263,1728,0.9079370498657227,0.0,0.24677354097366333,0.9999999403953552,1746373261.378975
