returned_won_episode,qvals,grad_steps,returned_episode,test_returned_won_episode,env_step,returned_episode_returns,test_returned_episode_lengths,loss,_timestamp,returned_episode_lengths,_step,update_steps,_runtime,test_returned_episode_returns,test_returned_episode
0.0,0.3103746175765991,96,0.014322916977107525,0.0,66048.0,0.11490505188703537,26.090545654296875,0.005102028138935566,1746157956.1844196,29.61328125,42,43,64.943913209,0.14507567882537842,1.0
0.0,0.6922109127044678,504,0.01497395895421505,0.0,144384.0,0.166322261095047,26.090545654296875,0.015568271279335022,1746157976.804132,31.772136688232422,93,94,85.564055238,0.14507567882537842,1.0
0.0,0.697037935256958,512,0.015625,0.0,145920.0,0.1729462593793869,26.090545654296875,0.013256404548883438,1746157977.2327216,31.5703125,94,95,85.992452144,0.14507567882537842,1.0
0.0,0.7617660760879517,688,0.013671875,0.0,179712.0,0.16820856928825378,26.090545654296875,0.01747070625424385,1746157986.1078327,31.34765625,116,117,94.867304141,0.14507567882537842,1.0
0.0,0.9773694276809692,1080,0.01497395895421505,0.0,254976.0,0.20163750648498535,26.090545654296875,0.03268110379576683,1746158005.8342702,32.110679626464844,165,166,114.593696085,0.14507567882537842,1.0
0.0,0.9772719144821167,1128,0.015625,0.0,264192.0,0.20534095168113708,26.090545654296875,0.07838533818721771,1746158008.2432344,31.916667938232422,171,172,117.002738432,0.14507567882537842,1.0
0.0,0.9433809518814087,1136,0.013671875,0.0,265728.0,0.19575051963329315,26.090545654296875,0.08056345582008362,1746158008.6698828,31.4375,172,173,117.429475066,0.14507567882537842,1.0
0.0,0.47019878029823303,1392,0.01302083395421505,0.0,314880.0,0.19480809569358826,26.090545654296875,0.2550908327102661,1746158021.58782,31.66015625,204,205,130.347251772,0.14507567882537842,1.0
0.0,0.46946626901626587,1472,0.012369791977107525,0.0,330240.0,0.19599084556102753,26.090545654296875,0.2443833202123642,1746158025.624499,32.22265625,214,215,134.384235443,0.14507567882537842,1.0
0.0,0.45493409037590027,1504,0.01497395895421505,0.0,336384.0,0.21206021308898926,26.090545654296875,0.1232929602265358,1746158027.2257779,31.87239646911621,218,219,135.98523395,0.14507567882537842,1.0
