returned_won_episode,env_step,_timestamp,grad_steps,loss,update_steps,_step,test_returned_episode_lengths,qvals,test_returned_episode,returned_episode_returns,test_returned_won_episode,test_returned_episode_returns,_runtime,returned_episode_lengths,returned_episode
0.0,29184.0,1746199715.922515,0,0.0,19,18,21.611797332763672,0.0,0.9999999403953552,0.1772887408733368,0.0,0.03416486084461212,69.375254386,24.859376907348633,0.0240885429084301
0.017578125,32256.0,1746199716.0543995,0,0.0,21,20,21.611797332763672,0.0,0.9999999403953552,0.2097509503364563,0.0,0.03416486084461212,69.507134754,24.217449188232422,0.02669270895421505
0.0,55296.0,1746199718.3964818,40,0.062913678586483,36,35,21.611797332763672,0.011204549111425877,0.9999999403953552,0.16251713037490845,0.0,0.03416486084461212,71.849224858,22.14388084411621,0.02669270895421505
0.0,112128.0,1746199730.8405828,336,0.14277903735637665,73,72,21.611797332763672,0.3496541380882263,0.9999999403953552,0.2566169500350952,0.0,0.03416486084461212,84.293344296,24.115886688232422,0.0260416679084301
0.0,127488.0,1746199734.2046018,416,0.19496773183345795,83,82,21.611797332763672,0.36130958795547485,0.9999999403953552,0.2091940939426422,0.0,0.03416486084461212,87.657374902,24.86067771911621,0.02539062686264515
0.0,172032.0,1746199743.9575377,648,0.32099494338035583,112,111,21.611797332763672,0.278062641620636,0.9999999403953552,0.22343561053276062,0.0,0.03416486084461212,97.410294185,24.261720657348633,0.02473958395421505
0.0,222720.0,1746199755.0614002,912,0.3032016456127167,145,144,21.611797332763672,0.2823907732963562,0.9999999403953552,0.2798905372619629,0.0,0.03416486084461212,108.514144147,24.602214813232422,0.02343750186264515
0.0,319488.0,1746199776.2710578,1416,0.3982539772987366,208,207,21.611797332763672,0.3355606198310852,0.9999999403953552,0.2865368723869324,0.0,0.03416486084461212,129.723795248,26.003908157348633,0.0240885429084301
0.0,410112.0,1746199796.127874,1888,0.5475056767463684,267,266,21.611797332763672,0.3405429422855377,0.9999999403953552,0.26948484778404236,0.0,0.03416486084461212,149.580634647,23.574220657348633,0.02473958395421505
0.03515625,417792.0,1746199797.8147957,1928,0.5203937888145447,272,271,21.611797332763672,0.3277831971645355,0.9999999403953552,0.30633267760276794,0.0,0.03416486084461212,151.267561019,26.36653709411621,0.02083333395421505
0.0,428544.0,1746199800.1725178,1984,0.5513204336166382,279,278,21.611797332763672,0.3329049348831177,0.9999999403953552,0.2650582194328308,0.0,0.03416486084461212,153.62526868,25.197917938232422,0.02083333395421505
0.0,454656.0,1746199805.8928862,2120,0.46192291378974915,296,295,21.611797332763672,0.31160083413124084,0.9999999403953552,0.30586302280426025,0.0,0.03416486084461212,159.345630026,24.60091209411621,0.0240885429084301
0.0,539136.0,1746199824.490103,2560,0.4441892206668854,351,350,40.32035827636719,0.26557284593582153,1.0,0.3356896936893463,0.037425149232149124,0.6146742701530457,177.942941287,27.096355438232422,0.02148437686264515
0.0,577536.0,1746199832.9071398,2760,0.286755234003067,376,375,40.32035827636719,0.2593502700328827,1.0,0.33214104175567627,0.037425149232149124,0.6146742701530457,186.359900906,26.216798782348633,0.02083333395421505
0.02734375186264515,582144.0,1746199833.9138436,2784,0.25862041115760803,379,378,40.32035827636719,0.26492589712142944,1.0,0.40916916728019714,0.037425149232149124,0.6146742701530457,187.366596545,27.686199188232422,0.017578125
0.0,586752.0,1746199834.923381,2808,0.34841275215148926,382,381,40.32035827636719,0.2616971731185913,1.0,0.2848582863807678,0.037425149232149124,0.6146742701530457,188.376141457,24.662111282348633,0.02083333395421505
0.0,600576.0,1746199837.9536905,2880,0.29485732316970825,391,390,40.32035827636719,0.27340972423553467,1.0,0.30796441435813904,0.037425149232149124,0.6146742701530457,191.406456679,26.59114646911621,0.01953125186264515
0.0,611328.0,1746199840.3068767,2936,0.34989312291145325,398,397,40.32035827636719,0.29163435101509094,1.0,0.34090033173561096,0.037425149232149124,0.6146742701530457,193.75963336,26.420574188232422,0.0201822929084301
0.0,622080.0,1746199842.6590035,2992,0.31778764724731445,405,404,40.32035827636719,0.2683122456073761,1.0,0.34234678745269775,0.037425149232149124,0.6146742701530457,196.111755508,25.180339813232422,0.02473958395421505
0.06640625,654336.0,1746199849.8204718,3160,0.25648555159568787,426,425,40.32035827636719,0.2884042263031006,1.0,0.42042768001556396,0.037425149232149124,0.6146742701530457,203.273216583,24.60677146911621,0.02148437686264515
0.0,663552.0,1746199851.8326194,3208,0.2792213559150696,432,431,40.32035827636719,0.3228451609611511,1.0,0.30221912264823914,0.037425149232149124,0.6146742701530457,205.285364121,25.791017532348633,0.01953125186264515
0.0,683520.0,1746199856.2009673,3312,0.26754435896873474,445,444,40.32035827636719,0.3255685567855835,1.0,0.2957219183444977,0.037425149232149124,0.6146742701530457,209.653719727,27.211589813232422,0.01692708395421505
0.0,686592.0,1746199856.8762412,3328,0.30175483226776123,447,446,40.32035827636719,0.3195697069168091,1.0,0.39404675364494324,0.037425149232149124,0.6146742701530457,210.329142636,25.91927146911621,0.02083333395421505
0.0,691200.0,1746199857.8814692,3352,0.33328524231910706,450,449,40.32035827636719,0.29398539662361145,1.0,0.38421323895454407,0.037425149232149124,0.6146742701530457,211.334255224,28.59895896911621,0.01888020895421505
0.02929687686264515,701952.0,1746199860.232893,3408,0.425639271736145,457,456,40.32035827636719,0.3435726761817932,1.0,0.4492274224758148,0.037425149232149124,0.6146742701530457,213.685647033,25.192058563232422,0.02473958395421505
0.0638020858168602,721920.0,1746199864.6074038,3512,0.28036513924598694,470,469,40.32035827636719,0.36561644077301025,1.0,0.42598825693130493,0.037425149232149124,0.6146742701530457,218.060144412,27.683595657348633,0.01692708395421505
0.0279947929084301,737280.0,1746199867.9693227,3592,0.37122902274131775,480,479,40.32035827636719,0.3867766857147217,1.0,0.3596378564834595,0.037425149232149124,0.6146742701530457,221.422048911,25.686199188232422,0.02148437686264515
0.01497395895421505,743424.0,1746199869.3174272,3624,0.27751076221466064,484,483,40.32035827636719,0.3700524568557739,1.0,0.385786235332489,0.037425149232149124,0.6146742701530457,222.770181263,26.87434959411621,0.0201822929084301
0.0364583358168602,757248.0,1746199872.3454561,3696,0.34860697388648987,493,492,40.32035827636719,0.3541973829269409,1.0,0.43652579188346863,0.037425149232149124,0.6146742701530457,225.798204785,27.62434959411621,0.01953125186264515
0.017578125,771072.0,1746199875.3725529,3768,0.3629460334777832,502,501,40.32035827636719,0.34385672211647034,1.0,0.3509199619293213,0.037425149232149124,0.6146742701530457,228.825292428,27.275392532348633,0.02083333395421505
0.02864583395421505,827904.0,1746199887.8378077,4064,0.42262279987335205,539,538,40.32035827636719,0.3744507431983948,1.0,0.4132877588272095,0.037425149232149124,0.6146742701530457,241.290732869,26.548830032348633,0.01888020895421505
0.0305989608168602,840192.0,1746199890.5271015,4128,0.3929869532585144,547,546,40.32035827636719,0.3645722270011902,1.0,0.370291143655777,0.037425149232149124,0.6146742701530457,243.979848665,27.126955032348633,0.02083333395421505
0.0,846336.0,1746199891.8750873,4160,0.364910364151001,551,550,40.32035827636719,0.3675636947154999,1.0,0.3970600962638855,0.037425149232149124,0.6146742701530457,245.327846703,28.22981834411621,0.0182291679084301
0.0319010429084301,900096.0,1746199903.6619914,4440,0.2992015480995178,586,585,40.32035827636719,0.3189207911491394,1.0,0.3812218904495239,0.037425149232149124,0.6146742701530457,257.114747386,28.03450584411621,0.015625
0.0358072929084301,927744.0,1746199909.7226808,4584,0.39256733655929565,604,603,40.32035827636719,0.32030653953552246,1.0,0.3334110677242279,0.037425149232149124,0.6146742701530457,263.175439585,27.09309959411621,0.017578125
0.00911458395421505,936960.0,1746199911.7410269,4632,0.3686584234237671,610,609,40.32035827636719,0.3149649202823639,1.0,0.4116151034832001,0.037425149232149124,0.6146742701530457,265.193776096,29.097658157348633,0.015625
0.006510416977107525,940032.0,1746199912.4139187,4648,0.621424674987793,612,611,40.32035827636719,0.3203541040420532,1.0,0.4318197965621948,0.037425149232149124,0.6146742701530457,265.866661972,28.289064407348633,0.01888020895421505
0.0182291679084301,941568.0,1746199912.749746,4656,0.6098910570144653,613,612,40.32035827636719,0.29128992557525635,1.0,0.37809988856315613,0.037425149232149124,0.6146742701530457,266.202508143,28.498048782348633,0.0182291679084301
0.0,978432.0,1746199920.8243418,4848,0.39663514494895935,637,636,40.32035827636719,0.29199090600013733,1.0,0.35618823766708374,0.037425149232149124,0.6146742701530457,274.277080163,27.269533157348633,0.0182291679084301
0.0520833358168602,1009152.0,1746199927.626236,5008,0.428104043006897,657,656,46.64910888671875,0.27526575326919556,1.0,0.4149661064147949,0.1589840203523636,0.8523560762405396,281.078982516,28.250652313232422,0.01497395895421505
0.0364583358168602,1024512.0,1746199930.9900846,5088,0.4078994393348694,667,666,46.64910888671875,0.2678888142108917,1.0,0.3917495310306549,0.1589840203523636,0.8523560762405396,284.442825889,29.140626907348633,0.01497395895421505
0.0638020858168602,1056768.0,1746199938.067308,5256,0.37894898653030396,688,687,46.64910888671875,0.2983165979385376,1.0,0.4313811957836151,0.1589840203523636,0.8523560762405396,291.520282019,25.984376907348633,0.015625
0.1132812574505806,1067520.0,1746199940.4190128,5312,0.5077629089355469,695,694,46.64910888671875,0.27763766050338745,1.0,0.4481578469276428,0.1589840203523636,0.8523560762405396,293.871771336,25.67122459411621,0.01692708395421505
0.1054687574505806,1073664.0,1746199941.7624438,5344,0.4791773557662964,699,698,46.64910888671875,0.28086569905281067,1.0,0.5020738840103149,0.1589840203523636,0.8523560762405396,295.215182728,26.399089813232422,0.01692708395421505
0.1048177108168602,1082880.0,1746199943.7777405,5392,0.5327298641204834,705,704,46.64910888671875,0.30231255292892456,1.0,0.5686606764793396,0.1589840203523636,0.8523560762405396,297.230499358,27.349611282348633,0.0182291679084301
0.0533854179084301,1095168.0,1746199946.4651446,5456,0.7227420210838318,713,712,46.64910888671875,0.29481062293052673,1.0,0.4569736123085022,0.1589840203523636,0.8523560762405396,299.917897219,26.82552146911621,0.017578125
0.0345052108168602,1105920.0,1746199948.8264525,5512,0.6293588876724243,720,719,46.64910888671875,0.3180765211582184,1.0,0.36265262961387634,0.1589840203523636,0.8523560762405396,302.279303058,24.13411521911621,0.015625
0.0572916679084301,1116672.0,1746199951.1802197,5568,0.5094269514083862,727,726,46.64910888671875,0.2892996668815613,1.0,0.44126608967781067,0.1589840203523636,0.8523560762405396,304.632973112,28.707033157348633,0.015625
0.0455729179084301,1121280.0,1746199952.1913948,5592,0.5835316181182861,730,729,46.64910888671875,0.30846384167671204,1.0,0.38756874203681946,0.1589840203523636,0.8523560762405396,305.64414504,27.04427146911621,0.013671875931322575
