returned_episode_lengths,returned_episode,_timestamp,update_steps,loss,grad_steps,test_returned_episode_lengths,test_returned_episode_returns,qvals,_runtime,test_returned_episode,returned_won_episode,_step,test_returned_won_episode,env_step,returned_episode_returns
30.93359375,0.01497395895421505,1746166714.5807624,1,0.0,0,20.92624855041504,0.008333842270076275,0.0,46.135132742,1.0,0.0,0,0.0,1536.0,0.10530533641576767
31.53515625,0.0162760429084301,1746166715.42897,14,0.0,0,20.92624855041504,0.008333842270076275,0.0,46.982996184,1.0,0.0,13,0.0,21504.0,0.1159321665763855
30.49349021911621,0.015625,1746166715.493905,15,0.0,0,20.92624855041504,0.008333842270076275,0.0,47.047936381,1.0,0.0,14,0.0,23040.0,0.10869269073009491
30.27864646911621,0.015625,1746166716.146829,25,0.0,0,20.92624855041504,0.008333842270076275,0.0,47.700894753,1.0,0.0,24,0.0,38400.0,0.11917775869369507
30.69466209411621,0.0162760429084301,1746166716.4722447,30,0.0,0,20.92624855041504,0.008333842270076275,0.0,48.026277306,1.0,0.0,29,0.0,46080.0,0.113533154129982
31.92578125,0.013671875,1746166728.5648162,61,0.004745272919535637,240,20.92624855041504,0.008333842270076275,0.534943699836731,60.11883216,1.0,0.0,60,0.0,93696.0,0.132632777094841
31.838542938232422,0.013671875,1746166732.9752479,72,0.024676058441400528,328,20.92624855041504,0.008333842270076275,0.6776577234268188,64.529277546,1.0,0.0,71,0.0,110592.0,0.1384001523256302
30.98828125,0.014322916977107525,1746166738.5870185,86,0.009713506326079369,440,20.92624855041504,0.008333842270076275,0.7346733808517456,70.141043085,1.0,0.0,85,0.0,132096.0,0.15459497272968292
31.45703125,0.015625,1746166740.5960445,91,0.008896270766854286,480,20.92624855041504,0.008333842270076275,0.7616943120956421,72.150062739,1.0,0.0,90,0.0,139776.0,0.16716890037059784
31.87630271911621,0.014322916977107525,1746166743.8014112,99,0.010424192994832993,544,20.92624855041504,0.008333842270076275,0.7592764496803284,75.355409702,1.0,0.0,98,0.0,152064.0,0.15639151632785797
31.90364646911621,0.014322916977107525,1746166745.0058951,102,0.04519015550613403,568,20.92624855041504,0.008333842270076275,0.7922981381416321,76.559913641,1.0,0.0,101,0.0,156672.0,0.16905874013900757
31.75130271911621,0.014322916977107525,1746166749.414638,113,0.02819301187992096,656,20.92624855041504,0.008333842270076275,0.7238317728042603,80.968667842,1.0,0.0,112,0.0,173568.0,0.16266442835330963
31.686199188232422,0.013671875,1746166755.0277,127,0.03428561985492706,768,20.92624855041504,0.008333842270076275,0.8352088928222656,86.581732746,1.0,0.0,126,0.0,195072.0,0.16742508113384247
32.126304626464844,0.013671875,1746166771.489848,168,0.027844564989209175,1096,20.92624855041504,0.008333842270076275,0.8750270009040833,103.043885227,1.0,0.0,167,0.0,258048.0,0.19469138979911804
