test_returned_won_episode,returned_episode_returns,returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode,_runtime,test_returned_episode_lengths,test_returned_episode,grad_steps,env_step,qvals,_timestamp
0.0,0.12776990234851837,17.81380271911621,0.0,15,14,0.09858360886573792,0.0,0.0423177108168602,51.331122934,15.015507698059082,1.0,0,23040,0.0,1746177946.4942274
0.0,0.1532907336950302,17.414714813232422,0.0,47,46,0.09858360886573792,0.003173142671585083,0.0455729179084301,59.673780428,15.015507698059082,1.0,128,72192,0.12392266094684601,1746177954.8368099
0.0,0.16246449947357178,16.873699188232422,0.0,66,65,0.09858360886573792,0.021235845983028412,0.0468750037252903,68.197622067,15.015507698059082,1.0,280,101376,0.5722677707672119,1746177963.3606799
0.0,0.16495029628276825,17.236980438232422,0.0,72,71,0.09858360886573792,0.0955011248588562,0.0449218787252903,70.88270245,15.015507698059082,1.0,328,110592,0.6212279796600342,1746177966.045731
0.0,0.1687263399362564,16.5859375,0.0,78,77,0.09858360886573792,0.0233708955347538,0.0488281287252903,73.583272662,15.015507698059082,1.0,376,119808,0.6358718872070312,1746177968.7463145
0.0,0.16497397422790527,17.623046875,0.0,83,82,0.09858360886573792,0.06349437683820724,0.0449218787252903,75.826866483,15.015507698059082,1.0,416,127488,0.5778943300247192,1746177970.9896407
0.0,0.17459756135940552,17.276042938232422,0.0,108,107,0.09858360886573792,0.02400413528084755,0.0455729179084301,87.052982233,15.015507698059082,1.0,616,165888,0.6266136169433594,1746177982.2160287
0.0,0.1742897778749466,18.107421875,0.0,122,121,0.09858360886573792,0.03493129834532738,0.0423177108168602,93.344504706,15.015507698059082,1.0,728,187392,0.6361123919487,1746177988.5073986
0.0,0.18418562412261963,16.613933563232422,0.0,135,134,0.09858360886573792,0.02425411343574524,0.0475260429084301,99.188365265,15.015507698059082,1.0,832,207360,0.6501061916351318,1746177994.351329
0.0,0.19371449947357178,16.27474021911621,0.0,140,139,0.09858360886573792,0.02399853989481926,0.0481770858168602,101.438740952,15.015507698059082,1.0,872,215040,0.6546248197555542,1746177996.601652
0.0,0.2013731449842453,16.18489646911621,0.0,159,158,0.09858360886573792,0.02878315933048725,0.0494791679084301,109.982970838,15.015507698059082,1.0,1024,244224,0.5925099849700928,1746178005.145984
0.0,0.19702890515327454,16.504558563232422,0.0,163,162,0.09858360886573792,0.039063673466444016,0.0468750037252903,111.781910271,15.015507698059082,1.0,1056,250368,0.5995933413505554,1746178006.944905
0.0,0.205267533659935,15.813152313232422,0.0,172,171,0.09858360886573792,0.0499323233962059,0.0507812537252903,115.845070678,15.015507698059082,1.0,1128,264192,0.5819029808044434,1746178011.0081115
0.0,0.21286699175834656,15.705730438232422,0.0,182,181,0.09858360886573792,0.1015062928199768,0.0501302108168602,120.341222249,15.015507698059082,1.0,1208,279552,0.48214584589004517,1746178015.5042148
0.0,0.19080258905887604,15.624349594116211,0.0,183,182,0.09858360886573792,0.09153284132480621,0.0494791679084301,120.792706151,15.015507698059082,1.0,1216,281088,0.4655632972717285,1746178015.955641
0.0,0.24260184168815613,15.431641578674316,0.0,215,214,0.09858360886573792,0.15193042159080505,0.0527343787252903,135.232031624,15.015507698059082,1.0,1472,330240,0.4397035837173462,1746178030.3947628
0.0,0.2209990918636322,15.223958969116211,0.0,226,225,0.09858360886573792,0.08433087915182114,0.0514322929084301,140.215450111,15.015507698059082,1.0,1560,347136,0.5192316770553589,1746178035.3783174
0.0,0.2223011702299118,15.349610328674316,0.0,227,226,0.09858360886573792,0.08937456458806992,0.0540364608168602,140.668738817,15.015507698059082,1.0,1568,348672,0.5125436186790466,1746178035.8316624
0.0,0.24814161658287048,15.132813453674316,0.0,228,227,0.09858360886573792,0.07790114730596542,0.0527343787252903,141.118198023,15.015507698059082,1.0,1576,350208,0.511580228805542,1746178036.2811728
0.0,0.2363400012254715,15.745443344116211,0.0,232,231,0.09858360886573792,0.10351549088954926,0.0514322929084301,142.911457668,15.015507698059082,1.0,1608,356352,0.5119315981864929,1746178038.0743318
0.0,0.24274387955665588,14.938802719116211,0.0,237,236,0.09858360886573792,0.08435256779193878,0.0546875037252903,145.170349687,15.015507698059082,1.0,1648,364032,0.49596908688545227,1746178040.3332787
0.0,0.257291704416275,15.120443344116211,0.0,251,250,0.09858360886573792,0.09150182455778122,0.0533854179084301,151.498251924,15.015507698059082,1.0,1760,385536,0.46620312333106995,1746178046.6611402
0.0,0.2702060341835022,15.008463859558105,0.0,270,269,0.09858360886573792,0.09794552624225616,0.0546875037252903,160.046054708,15.015507698059082,1.0,1912,414720,0.34324291348457336,1746178055.208995
0.0,0.22353222966194153,14.112630844116211,0.0,287,286,0.09858360886573792,0.21471388638019562,0.0605468787252903,167.720955088,15.015507698059082,1.0,2048,440832,0.2886219620704651,1746178062.88392
0.0,0.2622278034687042,15.446615219116211,0.0,294,293,0.09858360886573792,0.20187008380889893,0.0514322929084301,170.876043853,15.015507698059082,1.0,2104,451584,0.3085789978504181,1746178066.0389476
